ID,pause_trigger,word_score_warriner,rt,offset_img,word,delay_frames_after,correct_resp,scan day,onset_word,key_t,no,duration_measured_word,delay_frames_before,age,session,word_score_pc,word_trigger,onset_img,word_label,gender,response,img_trigger,condition,pause_trigger_t,offset_word,img,duration_measured_img,duration_frames
HSS,31,8.37,-3.055534499930218,105.78058670007158,fun,336,1,Wednesday,101.35256760008633,102.03361640009098,11,0.6959722999017686,180,22,1,-3.2613064969771037,11,105.0891509000212,pos,female,b,21,faceWord_exp,103.04998960008379,102.0485398999881,image_stim_p.png,0.6914358000503853,42
HSS,32,4.9,-4.73777149990201,118.414165000082,plot,180,1,Wednesday,111.38709189998917,112.9987892000936,12,0.6930779000977054,336,22,1,0.2016963621838916,12,117.73656069999561,neg,female,y,22,faceWord_exp,113.08293470006902,112.08016980008688,image_stim_n.png,0.6776043000863865,42
HSS,31,6.14,-2.970060299965553,125.81271470000502,limousine,336,1,Wednesday,121.41645000001881,122.16467900003772,13,0.6967090000398457,180,22,1,-1.4783411251765788,11,125.13473930000328,pos,female,b,21,faceWord_exp,123.11320540006272,122.11315900005866,image_stim_p.png,0.677975400001742,42
HSS,41,5.71,-2.1225644999649376,135.81056230003014,tourist,336,1,Wednesday,131.41567110002507,133.0113780000247,14,0.6950188999762759,180,22,1,-0.31568469709749714,13,135.13394249998964,neu,female,b,21,faceWord_exp,133.11230759997852,132.11069000000134,image_stim_p.png,0.6766198000404984,42
HSS,42,5.42,-5.19956750003621,148.44206780008972,treaty,180,0,Wednesday,141.41702250007074,142.56492310005706,15,0.6937229000031948,336,22,1,-0.7213913907893977,13,147.76449060009327,neu,female,b,22,faceWord_exp,143.11125970003195,142.11074540007394,image_stim_n.png,0.677577199996449,42
HSS,42,5.22,-4.954712999984622,158.4416668000631,noun,180,0,Wednesday,151.44559860008303,152.8098765000468,16,0.6967685999115929,336,22,1,0.11872473318936595,13,157.76458950003143,neu,female,b,22,faceWord_exp,153.1418232000433,152.14236719999462,image_stim_n.png,0.6770773000316694,42
HSS,32,4.21,-1.1030672999331728,165.8416595000308,policeman,336,0,Wednesday,161.4460258000763,164.06028990005143,17,0.6966744000092149,180,22,1,0.397042668763988,12,165.1633571999846,neg,female,b,22,faceWord_exp,163.14174440002535,162.14270020008553,image_stim_n.png,0.6783023000461981,42
HSS,32,2.67,-2.6173472000518814,175.83875990007073,lonely,336,1,Wednesday,171.44400720007252,172.5428557000123,18,0.6954461999703199,180,22,1,4.010420717126172,12,175.16020290006418,neg,female,y,22,faceWord_exp,173.14092470007017,172.13945340004284,image_stim_n.png,0.6785570000065491,42
HSS,32,4.23,-4.3737514000386,188.4713981000241,jury,180,1,Wednesday,181.4429848000873,183.40662959998008,19,0.6948042999720201,336,22,1,1.7036686386059527,12,187.78038100001868,neg,female,y,22,faceWord_exp,183.14029250002932,182.1377891000593,image_stim_n.png,0.6910171000054106,42
HSS,31,8.47,-5.32370519998949,198.48690680006985,happy,180,1,Wednesday,191.47425940004177,192.47155030001886,20,0.6973441999871284,336,22,1,-3.1501939707833047,11,197.79525550000835,pos,female,b,21,faceWord_exp,193.17118300008588,192.1716036000289,image_stim_p.png,0.6916513000614941,42
HSS,41,5.17,-4.169945499976166,208.4845178000396,keyboard,180,1,Wednesday,201.4897066000849,203.6359053000342,21,0.6960191999096423,336,22,1,-0.08455950357770388,13,207.80585080001038,neu,female,b,21,faceWord_exp,203.1861862000078,202.18572579999454,image_stim_p.png,0.6786670000292361,42
HSS,42,5.05,-5.220380999962799,218.484500200022,fiddle,180,0,Wednesday,211.49132720008492,212.58615400001872,22,0.6937644999707118,336,22,1,-1.0601571884744718,13,217.80653499998152,neu,female,b,22,faceWord_exp,213.1848095000023,212.18509170005564,image_stim_n.png,0.6779652000404894,42
HSS,32,2.05,-0.8360054000513628,225.88413940009195,victim,336,1,Wednesday,221.48882279999088,224.36847320001107,23,0.6937834999989718,180,22,1,3.457530661450998,12,225.20447860006243,neg,female,y,22,faceWord_exp,223.18360089999624,222.18260629998986,image_stim_n.png,0.6796608000295237,42
HSS,32,4.5,-2.7461996000492945,235.8982466000598,gasp,336,1,Wednesday,231.48447370005306,232.46681210002862,24,0.6975948000326753,180,22,1,1.3014161644429498,12,235.2130117000779,neg,female,y,22,faceWord_exp,233.18178049998824,232.18206850008573,image_stim_n.png,0.6852348999818787,42
HSS,32,3.05,-2.3212604000000283,245.89765120006632,envy,336,0,Wednesday,241.5000091000693,242.89763750007842,25,0.6976396000245586,180,22,1,3.3697994362845387,12,245.21889790007845,neg,female,b,22,faceWord_exp,243.19803030008916,242.19764870009385,image_stim_n.png,0.6787532999878749,42
HSS,41,5.81,-1.5110863000154495,255.92880170000717,whale,336,1,Wednesday,251.49990060005803,253.72839519998524,26,0.6950561000267044,180,22,1,-0.8455595735963974,13,255.2394815000007,neu,female,b,21,faceWord_exp,253.1990188000491,252.19495670008473,image_stim_p.png,0.6893202000064775,42
HSS,42,5.88,-3.0173317999579012,265.9280033999821,hamster,336,0,Wednesday,261.53385840007104,262.23068180005066,27,0.6953353999415413,180,22,1,-1.1856791528275217,13,265.24801360000856,neu,female,b,22,faceWord_exp,263.2300338000059,262.2291938000126,image_stim_n.png,0.6799897999735549,42
HSS,31,7.78,-5.453193900058977,278.6262417000253,kiss,180,1,Wednesday,271.52850120002404,272.4806277999887,28,0.6980416000587866,336,22,1,-2.8785481086132907,11,277.9338217000477,pos,female,b,21,faceWord_exp,273.2274025999941,272.2265428000828,image_stim_p.png,0.6924199999775738,42
HSS,31,7.09,-5.202990900026634,288.65791120007634,woman,180,1,Wednesday,281.6340857000323,282.7781915999949,29,0.6913743000477552,336,22,1,-1.7483058493195842,11,287.98118250002153,pos,female,b,21,faceWord_exp,283.3277372000739,282.32546000008006,image_stim_p.png,0.6767287000548095,42
HSS,31,6.37,-5.071812000009231,298.6729292999953,wealthy,180,1,Wednesday,291.66220730007626,292.925705700065,30,0.6951763000106439,336,22,1,-1.8465637543339983,11,297.99751770007424,pos,female,b,21,faceWord_exp,293.3588612000458,292.3573836000869,image_stim_p.png,0.6754115999210626,42
HSS,32,4.55,-2.386169100063853,308.68853040004615,meeting,180,1,Wednesday,301.67703210003674,305.6243112999946,31,0.6949778000125661,336,22,1,0.7573178762670367,12,308.01048040005844,neg,female,y,22,faceWord_exp,303.37541590002365,302.3720099000493,image_stim_n.png,0.6780499999877065,42
HSS,31,6.47,-2.8890281999483705,316.1058867999818,oak,336,1,Wednesday,311.69305190001614,312.52370720007457,32,0.6938059000531211,180,22,1,-1.0543324261381863,11,315.41273540002294,pos,female,b,21,faceWord_exp,313.39148250001017,312.38685780006927,image_stim_p.png,0.6931513999588788,42
HSS,32,3.32,-5.264598499983549,328.7356869999785,bribe,180,1,Wednesday,321.70687310001813,322.78785160009284,33,0.696340800030157,336,22,1,2.3815246085651838,12,328.0524501000764,neg,female,y,22,faceWord_exp,323.4034958999837,322.4032139000483,image_stim_n.png,0.6832368999021128,42
HSS,32,3.63,-5.320219999994151,338.73532730003353,tornado,180,1,Wednesday,331.7416634000838,332.73667500005104,34,0.6936219999333844,336,22,1,3.6605330306018913,12,338.0568950000452,neg,female,y,22,faceWord_exp,333.4368504000595,332.43528540001716,image_stim_n.png,0.6784322999883443,42
HSS,32,3.52,-1.8887135999975726,346.1331716000568,hospital,336,1,Wednesday,341.73840090003796,343.56836909998674,35,0.696403400041163,180,22,1,2.561630339716405,12,345.4570826999843,neg,female,y,22,faceWord_exp,343.4356243000366,342.4348043000791,image_stim_n.png,0.6760889000725001,42
HSS,41,5.89,-2.690705499961041,356.1823658000212,famous,336,1,Wednesday,351.7367656000424,352.81598130008206,36,0.6955773000372574,180,22,1,-0.8050043475134195,13,355.5066868000431,neu,female,b,21,faceWord_exp,353.4321381000336,352.4323429000797,image_stim_p.png,0.6756789999781176,42
HSS,32,2.89,-2.754507999983616,366.1816339000361,deceit,336,1,Wednesday,361.78640340000857,362.74952000007033,37,0.6942617000313476,180,22,1,4.314775126713813,12,365.50402800005395,neg,female,y,22,faceWord_exp,363.483267200063,362.4806651000399,image_stim_n.png,0.6776058999821544,42
HSS,31,7.21,-5.602122400072403,378.8628294999944,beach,180,1,Wednesday,371.784470200073,372.5816732000094,38,0.6959918999345973,336,22,1,-2.8031613090757777,11,378.1837956000818,pos,female,b,21,faceWord_exp,373.48112010001205,372.48046210000757,image_stim_p.png,0.6790338999126107,42
HSS,32,4.0,-2.8228681000182405,386.27820649999194,avalanche,336,1,Wednesday,381.86689350008965,382.76368440000806,39,0.696997599909082,180,22,1,3.2148840110758776,12,385.5865525000263,neg,female,y,22,faceWord_exp,383.5651201000437,382.5638910999987,image_stim_n.png,0.6916539999656379,42
HSS,31,7.0,-5.3839326000306755,398.9267075000098,zoo,180,1,Wednesday,391.88344160001725,392.8650634000078,40,0.6949528000550345,336,22,1,-2.1296901000704778,11,398.24899600003846,pos,female,b,21,faceWord_exp,393.57882320007775,392.5783944000723,image_stim_p.png,0.6777114999713376,42
HSS,41,5.3,-2.2891002000542358,406.3261577000376,embassy,336,0,Wednesday,401.92951350007206,403.35916480002925,41,0.6962053999304771,180,22,1,-0.05916451699915906,13,405.6482650000835,neu,female,y,21,faceWord_exp,403.62716849998105,402.62571890000254,image_stim_p.png,0.6778926999541,42
HSS,32,4.95,-1.8992299999808893,416.39146810001694,sandpaper,336,1,Wednesday,411.92949830007274,413.80929090001155,42,0.6961801999714226,180,22,1,0.5814463879932942,12,415.70852089999244,neg,female,y,22,faceWord_exp,413.62519450008404,412.62567850004416,image_stim_n.png,0.6829472000245005,42
HSS,31,8.0,-2.890892699942924,426.4395533000352,love,336,1,Wednesday,421.99598940007854,422.85886000003666,43,0.6942884000018239,180,22,1,-2.40140153221556,11,425.7497526999796,pos,female,b,21,faceWord_exp,423.6907310000388,422.69027780008037,image_stim_p.png,0.6898006000556052,42
HSS,32,3.16,-2.757379399961792,436.45607800001744,hurricane,336,1,Wednesday,432.04755330004264,433.0062330000801,44,0.6916026000399143,180,22,1,3.648586845460279,12,435.7636124000419,neg,female,y,22,faceWord_exp,433.7418763000751,432.73915590008255,image_stim_n.png,0.6924655999755487,42
