pause_trigger,duration_measured_img,age,response,pause_trigger_t,ID,img,offset_word,word_score_pc,scan day,rt,correct_resp,duration_frames,session,delay_frames_after,onset_img,word_score_warriner,gender,offset_img,no,delay_frames_before,word_trigger,onset_word,img_trigger,word_label,word,condition,duration_measured_word,key_t
42,0.6842708999756724,24,y,202.8440638000029,clem,image_stim_n.png,201.8439347000094,-0.123291752025302,Monday,0.4514578999951482,1,42,3,180,207.50815830001375,5.55,male,208.19242919998942,21,336,13,201.1460549000185,22,neu,faucet,faceWord_exp,0.6978797999909148,207.9596162000089
32,0.679738599981647,24,y,212.89162349997787,clem,image_stim_n.png,211.89154559996678,-0.3331872788781821,Monday,0.39691900002071634,1,42,3,336,214.92756109999027,4.85,male,215.60729969997192,22,180,12,211.19355149997864,22,neg,voter,faceWord_exp,0.6979940999881364,215.324480100011
31,0.6702480999520048,24,y,222.9058552000206,clem,image_stim_p.png,221.90573940001195,-1.9498998207384868,Monday,0.3703070999472402,0,42,3,180,227.5339969000197,7.15,male,228.2042449999717,23,336,11,221.20790450001368,21,pos,symphony,faceWord_exp,0.69783489999827,227.90430399996694
42,0.6859069000347517,24,y,232.90340229996946,clem,image_stim_n.png,231.90331510000397,-1.5026706526379858,Monday,0.5031585000106134,1,42,3,180,237.53251519997139,5.82,male,238.21842210000614,24,336,13,231.20564000000013,22,neu,spiritual,faceWord_exp,0.6976751000038348,238.035673699982
31,0.681123899994418,24,b,242.9178021000116,clem,image_stim_p.png,241.91754310001852,-3.230607919269787,Monday,0.4817843000055291,1,42,3,180,247.53493339999113,8.21,male,248.21605729998555,25,336,11,241.2192853000015,21,pos,joy,faceWord_exp,0.6982578000170179,248.01671769999666
42,0.6877104999730363,24,y,252.91513330000453,clem,image_stim_n.png,251.9150771999848,0.5990623206044929,Monday,0.3882926999940537,1,42,3,180,257.5258150000009,5.61,male,258.2135254999739,26,336,13,251.2185049999971,22,neu,witness,faceWord_exp,0.6965721999877132,257.91410769999493
31,0.6867339999880642,24,b,262.91274990001693,clem,image_stim_p.png,261.9125893000164,-1.4106928476010352,Monday,0.4872728999471292,1,42,3,336,264.9250271000201,6.63,male,265.61176110000815,27,180,11,261.2142186000128,21,pos,car,faceWord_exp,0.6983707000035793,265.4122999999672
31,0.687748999975156,24,b,272.9102677999763,clem,image_stim_p.png,271.9102319999947,-1.0930411682114536,Monday,0.9049387999693863,1,42,3,336,274.92155510000885,6.62,male,275.609304099984,28,180,11,271.21239970001625,21,pos,goldfish,faceWord_exp,0.6978322999784723,275.82649389997823
31,0.686211199965328,24,b,282.90785189997405,clem,image_stim_p.png,281.90771659999155,-1.100912149643323,Monday,0.4699972000089474,1,42,3,180,287.5201048000017,6.32,male,288.20631599996705,29,336,11,281.21029309998266,21,pos,saxophone,faceWord_exp,0.6974235000088811,287.99010200001067
32,0.683736199978739,24,b,292.9054798000143,clem,image_stim_n.png,291.90534170001047,1.8802224749820768,Monday,0.41759149997960776,0,42,3,180,297.5200614000205,3.95,male,298.20379759999923,30,336,12,291.207619599998,22,neg,dusty,faceWord_exp,0.69772210001247,297.9376529000001
32,0.6813654999714345,24,y,302.9029949000105,clem,image_stim_n.png,301.9028739000205,3.6129749181587063,Monday,0.49853530002292246,1,42,3,336,304.92065159999765,2.11,male,305.6020170999691,31,180,12,301.2053521000198,22,neg,criminal,faceWord_exp,0.6975218000006862,305.4191869000206
42,0.6857901999610476,24,y,312.9005010999972,clem,image_stim_n.png,311.9004175000009,-0.1793860699809707,Monday,0.4528143999632448,1,42,3,180,317.51318850001553,5.34,male,318.1989786999766,32,336,13,311.2026683000149,22,neu,patent,faceWord_exp,0.6977491999859922,317.9660028999788
31,0.6849754999857396,24,b,322.89810849999776,clem,image_stim_p.png,321.89809269999387,-1.9002611819546853,Monday,0.5021733999601565,1,42,3,180,327.54479630000424,7.11,male,328.22977179999,33,336,11,321.2001804999891,21,pos,couple,faceWord_exp,0.6979122000047937,328.0469696999644
32,0.6864824999938719,24,y,332.9287298999843,clem,image_stim_n.png,331.9288277999731,2.411295736651624,Monday,0.47034980001626536,1,42,3,336,334.94154039997375,3.37,male,335.6280228999676,34,180,12,331.2308490999858,22,neg,tobacco,faceWord_exp,0.6979786999872886,335.41189019999
41,0.6831017999793403,24,b,342.9267072000075,clem,image_stim_p.png,341.9264107000199,-0.23071750329615884,Monday,0.4836061999667436,1,42,3,336,344.9424846000038,5.63,male,345.62558639998315,35,180,13,341.2281422999804,21,neu,pen,faceWord_exp,0.6982684000395238,345.42609079997055
32,0.6862053999793716,24,y,352.92415859998437,clem,image_stim_n.png,351.9240132999839,3.9847946241932393,Monday,0.5034175000037067,1,42,3,336,354.93692649999866,3.23,male,355.62313189997803,36,180,12,351.22587339999154,22,neg,snub,faceWord_exp,0.698139899992384,355.44034400000237
