pause_trigger_t,ID,response,scan day,word_trigger,correct_resp,word_score_warriner,no,onset_word,img_trigger,session,gender,onset_img,condition,word,delay_frames_after,word_label,pause_trigger,rt,img,duration_measured_word,key_t,age,offset_img,duration_frames,delay_frames_before,duration_measured_img,offset_word,word_score_pc
102.89432050002506,4,b,Monday,11,1,6.71,11,101.20671580004273,21,4,female,104.97233870002674,faceWord_exp,bicycle,336,pos,31,-2.9091551000019535,image_stim_p.png,0.687778499966953,102.06318360002479,22,105.66045850003138,42,180,0.6881198000046425,101.89449430000968,-1.301667818567906
112.96130950003862,4,b,Monday,11,1,6.26,12,111.27318960003322,21,4,female,114.97912680002628,faceWord_exp,lust,336,pos,31,-2.5843532999861054,image_stim_p.png,0.6873712000087835,112.39477350004017,22,115.65935210004682,42,180,0.6802253000205383,111.960560800042,-1.426145970237633
122.96039230003953,4,b,Monday,13,0,5.59,13,121.26014360005502,22,4,female,127.61135140003171,faceWord_exp,mouth,180,neu,42,-5.317457899975125,image_stim_n.png,0.6984388999990188,122.29389350005658,22,128.2896762000164,42,336,0.6783247999846935,121.95858250005404,-0.05436507667908295
132.99165380001068,4,b,Monday,13,0,5.38,14,131.30255420005415,22,4,female,137.6297290000366,faceWord_exp,businessman,180,neu,42,-5.287503100000322,image_stim_n.png,0.6880310999695212,132.34222590003628,22,138.3051589000388,42,336,0.6754299000022002,131.99058530002367,0.6669259665908855
143.00688950001495,4,b,Monday,11,1,7.23,15,141.31204780004919,21,4,female,147.64278090000153,faceWord_exp,bay,180,pos,31,-5.368593099992722,image_stim_p.png,0.6924671999877319,142.2741878000088,22,148.32093870005338,42,336,0.6781578000518493,142.00451500003692,-1.17416436554964
153.02040950005176,4,y,Monday,12,1,3.52,16,151.33217210002476,22,4,female,155.04668110003695,faceWord_exp,battle,336,neg,32,-2.9070922000100836,image_stim_n.png,0.6882178999949247,152.13958890002687,22,155.73732410004595,42,180,0.690643000009004,152.0203900000197,3.668156535681199
163.03777850000188,4,b,Monday,11,1,6.53,17,161.3534468000289,21,4,female,165.09584220004035,faceWord_exp,bonfire,336,pos,31,-2.626573499990627,image_stim_p.png,0.6830690000206232,162.46926870004972,22,165.78456100000767,42,180,0.6887187999673188,162.03651580004953,-1.7974288604529352
173.0863000000245,4,b,Monday,13,1,5.85,18,171.391656300053,21,4,female,175.11869180004578,faceWord_exp,circus,336,neu,41,-2.91551389999222,image_stim_p.png,0.6938803999801166,172.20317790005356,22,175.80043290002504,42,180,0.6817410999792628,172.08553670003312,-2.547043884761341
183.10215120000066,4,y,Monday,12,1,3.4,19,181.41296870005317,22,4,female,187.75664650002727,faceWord_exp,animosity,180,neg,32,-5.221190900017973,image_stim_n.png,0.6876926999539137,182.5354556000093,22,188.43188840005314,42,336,0.6752419000258669,182.10066140000708,3.4698173961771306
193.13424090004992,4,b,Monday,11,1,6.42,20,191.44383510004263,21,4,female,195.1546208000509,faceWord_exp,truce,336,pos,31,-2.851392400043551,image_stim_p.png,0.6887730999733321,192.30322840000736,22,195.8322297000559,42,180,0.6776089000049978,192.13260820001597,-1.6859102219357711
203.13218060001964,4,y,Monday,12,1,4.75,21,201.4399157000007,22,4,female,207.78359700000146,faceWord_exp,zone,180,neg,32,-3.8810156999970786,image_stim_n.png,0.6916143000125885,203.90258130000439,22,208.46281890000682,42,336,0.6792219000053592,202.1315300000133,0.42679466080263373
213.1643823000486,4,y,Monday,12,1,3.57,22,211.47433700005058,22,4,female,217.78089440002805,faceWord_exp,denial,180,neg,32,-5.065918700012844,image_stim_n.png,0.6879517000052147,212.7149757000152,22,218.46127510000952,42,336,0.6803806999814697,212.1622887000558,2.8314410724962364
223.1610491000465,4,b,Monday,11,1,6.35,23,221.48012520000339,21,4,female,227.79137800005265,faceWord_exp,banjo,180,pos,31,-4.211238600022625,image_stim_p.png,0.6827174000209197,223.58013940003002,22,228.47645160002867,42,336,0.6850735999760218,222.1628426000243,-1.2316584124512135
233.17835780000314,4,y,Monday,12,1,3.52,24,231.48348020005506,22,4,female,237.8068318000296,faceWord_exp,court,180,neg,32,-5.142672999994829,image_stim_n.png,0.6940410999814048,232.66415880003478,22,238.4922227000352,42,336,0.6853909000055864,232.17752130003646,2.0765857872261098
243.19424260000233,4,y,Monday,12,1,4.0,25,241.50387870002305,22,4,female,245.22696060000453,faceWord_exp,fallacy,336,neg,32,-2.5186404999694787,image_stim_n.png,0.6889900999958627,242.70832010003505,22,245.9083858000231,42,180,0.6814252000185661,242.1928688000189,2.7422742606943906
253.20927380002104,4,b,Monday,13,0,5.68,26,251.52193149999948,22,4,female,255.26344900002005,faceWord_exp,chestnut,336,neu,42,-2.720211300009396,image_stim_n.png,0.6866778000257909,252.54323770001065,22,255.9416308000218,42,180,0.6781818000017665,252.20860930002527,-0.4880378396985329
263.2416253000265,4,y,Monday,12,1,4.19,27,261.5522343000048,22,4,female,267.88068050000584,faceWord_exp,loan,180,neg,32,-5.172092299966607,image_stim_n.png,0.6878560000332072,262.70858820003923,22,268.55578200001037,42,336,0.67510150000453,262.240090300038,0.7532200949518182
273.2564712000312,4,b,Monday,11,1,7.05,28,271.5629556000349,21,4,female,275.27474860002985,faceWord_exp,heroism,336,pos,31,-2.8338763000210747,image_stim_p.png,0.6926634999690577,272.4408723000088,22,275.9562905000057,42,180,0.6815418999758549,272.25561910000397,-2.30162279277581
283.25544010003796,4,b,Monday,13,1,5.91,29,281.5646643000073,21,4,female,285.29041470005177,faceWord_exp,team,336,neu,41,-2.783854400040582,image_stim_p.png,0.689488900010474,282.5065603000112,22,285.9705146000488,42,180,0.6800998999970034,282.25415320001775,-0.9453395472380092
