offset_img,pause_trigger_t,word_score_warriner,age,onset_word,key_t,ID,session,word_score_pc,condition,word_trigger,onset_img,offset_word,gender,duration_measured_img,pause_trigger,duration_frames,delay_frames_after,word,scan day,rt,word_label,correct_resp,no,delay_frames_before,response,duration_measured_word,img,img_trigger
115.54657246102579,112.82018356199842,5.59,23,111.12713447399437,115.61831747600809,1,4,-0.05436507667908295,faceWord_exp,13,114.84423087997129,111.82213369599776,female,0.7023415810544975,41,42,336,mouth,Monday,0.7740865960367955,neu,1,12,180,b,0.6949992220033891,image_stim_p.png,21
125.5563664889778,122.8301122150151,4.03,23,121.14058659697184,125.65862380701583,1,4,1.95458394600482,faceWord_exp,12,124.85558513301658,121.83198082697345,female,0.7007813559612259,32,42,336,snake,Monday,0.8030386739992537,neg,1,13,180,y,0.691394230001606,image_stim_n.png,22
138.1598195839906,132.83987618802348,5.95,23,131.14675645099487,138.04858080198755,1,4,0.0196438746392397,faceWord_exp,13,137.457037871005,131.84163269901183,female,0.7027817129855976,42,42,180,worker,Monday,0.5915429309825413,neu,1,14,336,y,0.6948762480169535,image_stim_n.png,22
145.55915930797346,142.84968256601132,3.02,23,141.1567248569918,145.42894136102404,1,4,2.6978270877422883,faceWord_exp,12,144.8700761499931,141.85123070998816,female,0.6890831579803489,32,42,336,scream,Monday,0.558865211030934,neg,1,15,180,y,0.6945058529963717,image_stim_n.png,22
158.1628106100252,152.84270076901885,7.05,23,151.15000563598005,158.11574475298403,1,4,-2.30162279277581,faceWord_exp,11,157.46012037800392,151.84437686298043,female,0.7026902320212685,31,42,180,heroism,Monday,0.655624374980107,pos,1,16,336,b,0.6943712270003743,image_stim_p.png,21
165.5786024730187,162.8523493729881,4.19,23,161.1590585290105,165.4651540420018,1,4,0.7532200949518182,faceWord_exp,12,164.87818929500645,161.85422174999258,female,0.7004131780122407,32,42,336,loan,Monday,0.5869647469953634,neg,1,17,180,y,0.6951632209820673,image_stim_n.png,22
175.5717766529997,172.8620645040064,4.95,23,171.1687611080124,175.40990006702486,1,4,0.19555716741692625,faceWord_exp,12,174.8849872520077,171.86406843201257,female,0.6867894009919837,32,42,336,majority,Monday,0.52491281501716,neg,1,18,180,y,0.6953073240001686,image_stim_n.png,22
185.5649065169855,182.85531117598293,5.67,23,181.16128269402543,185.5180792119936,1,4,-0.6996261236875504,faceWord_exp,13,184.87833776598563,181.85708830098156,female,0.6865687509998679,41,42,336,bell,Monday,0.6397414460079744,neu,1,19,180,b,0.695805606956128,image_stim_p.png,21
195.55804403900402,192.84844637900824,7.75,23,191.15543267701287,195.51347090501804,1,4,-3.0311112754680245,faceWord_exp,11,194.8706805779948,191.8502503039781,female,0.6873634610092267,31,42,336,peace,Monday,0.6427903270232491,pos,1,20,180,b,0.6948176269652322,image_stim_p.png,21
208.14533850399312,202.84146640700055,5.3,23,201.14873204100877,208.04832550598076,1,4,0.18094025084207666,faceWord_exp,13,207.45813249901403,201.84342432301491,female,0.6872060049790889,42,42,180,journalist,Monday,0.5901930069667287,neu,1,21,336,y,0.6946922820061445,image_stim_n.png,22
218.15473246201873,212.83472466701642,5.79,23,211.1445443549892,218.12631020898698,1,4,-0.4066038871991289,faceWord_exp,13,217.45492653897963,211.83627387002343,female,0.6998059230390936,42,42,180,baseball,Monday,0.6713836700073443,neu,1,22,336,y,0.6917295150342397,image_stim_n.png,22
