word_trigger,delay_frames_before,duration_measured_word,response,duration_frames,gender,onset_word,scan day,delay_frames_after,age,no,img,word_score_pc,duration_measured_img,pause_trigger,ID,session,offset_img,key_t,word,rt,correct_resp,onset_img,offset_word,img_trigger,word_label,word_score_warriner,pause_trigger_t,condition
13,336,0.6968874550002511,k,42,female,101.45213329499529,Wednesday,180,20,11,image_stim_p.png,0.29188517290671034,0.7048622709990013,41,jules,4,108.4853161669962,108.18814418699912,guard,0.4076902910019271,0,107.7804538959972,102.14902074999554,21,neu,5.89,103.14998719999858,faceWord_exp
11,336,0.6958528879986261,k,42,female,111.49125361399638,Wednesday,180,20,12,image_stim_p.png,-1.2316584124512135,0.7046578820009017,31,jules,4,118.52348572600022,118.42560060299729,banjo,0.6067727589979768,0,117.81882784399932,112.187106501995,21,pos,6.35,113.18817584699718,faceWord_exp
12,180,0.6939420050039189,k,42,female,121.53034220999689,Wednesday,336,20,13,image_stim_n.png,2.0765857872261098,0.7023990410016268,32,jules,4,125.96028561099956,125.7469235019962,court,0.48903693199827103,1,125.25788656999794,122.22428421500081,22,neg,3.52,123.22621102300036,faceWord_exp
13,336,0.6966971700021531,k,42,female,131.5665450029992,Wednesday,180,20,14,image_stim_p.png,-0.4880378396985329,0.7048783320060465,41,jules,4,138.5996271740005,138.43435672600026,chestnut,0.539607884005818,0,137.89474884199444,132.26324217300134,21,neu,5.68,133.2643775969991,faceWord_exp
13,180,0.6968830119949416,l,42,female,141.6045464400013,Wednesday,336,20,15,image_stim_n.png,-0.7774272008663468,0.7053306840025471,42,jules,4,146.03646883300098,145.822039957995,theme,0.49090180899656843,0,145.33113814899843,142.30142945199623,22,neu,5.43,143.3023363760003,faceWord_exp
11,336,0.6970877400017343,k,42,female,151.64249691299483,Wednesday,180,20,16,image_stim_p.png,-1.6859102219357711,0.70509367500199,31,jules,4,158.67579647000093,158.4789818249992,truce,0.5082790300002671,0,157.97070279499894,152.33958465299656,21,pos,6.42,153.34029985799862,faceWord_exp
13,336,0.6969501489948016,l,42,female,161.68070103799982,Wednesday,180,20,17,image_stim_n.png,0.12602488928311428,0.7052362949980306,42,jules,4,168.7138695609974,168.5147517459991,shoulder,0.5061184799997136,0,168.00863326599938,162.37765118699463,22,neu,5.1,163.37848953199864,faceWord_exp
11,180,0.6960610759997508,l,42,female,171.7187700009963,Wednesday,336,20,18,image_stim_p.png,-1.5215329943370883,0.7054504940024344,31,jules,4,176.150762295998,175.9185670969964,bread,0.47325529500085395,1,175.44531180199556,172.41483107699605,21,pos,6.52,173.4168070960004,faceWord_exp
11,336,0.6967643450043397,k,42,female,181.75698978299624,Wednesday,180,20,19,image_stim_p.png,-1.3206920491180312,0.7048904900002526,31,jules,4,188.7900806319958,188.49215923399606,harmonica,0.4069690920005087,0,188.08519014199555,182.45375412800058,21,pos,6.32,183.45476857999893,faceWord_exp
12,336,0.6968680499994662,l,42,female,191.79500901699794,Wednesday,180,20,20,image_stim_n.png,2.8314410724962364,0.7052253840010962,32,jules,4,198.82813870899554,198.5290489389954,denial,0.4061356140009593,0,198.12291332499444,192.4918770669974,22,neg,3.57,193.49295182700007,faceWord_exp
