img,duration_measured_word,word_label,response,ID,delay_frames_before,age,no,gender,offset_img,scan day,word_score_warriner,onset_img,duration_measured_img,duration_frames,pause_trigger,rt,pause_trigger_t,condition,session,key_t,delay_frames_after,word_score_pc,offset_word,onset_word,img_trigger,word_trigger,correct_resp,word
image_stim_n.png,0.6939203320071101,neg,y,5,336,22,22,female,231.52252510003746,Monday,4.8,230.8203418829944,0.7021832170430571,42,32,0.6072649579728022,226.18929179897532,faceWord_exp,1,231.4276068409672,180,1.5906822936049958,225.1894760930445,224.4955557610374,22,12,1,mouse
image_stim_p.png,0.6941647729836404,neu,y,5,336,22,23,female,241.55558878497686,Monday,5.16,240.85347917396575,0.7021096110111102,42,41,0.8758306499803439,236.2232847249834,faceWord_exp,1,241.7293098239461,180,-0.5907285556577869,235.22281593899243,234.52865116600879,21,13,0,truck
image_stim_p.png,0.8775454240385443,pos,b,5,336,22,24,female,252.4222891839454,Monday,6.9,251.72274852602277,0.6995406579226255,42,31,0.4867163070011884,247.08978485304397,faceWord_exp,1,252.20946483302396,180,-1.6708771386143015,245.9393611770356,245.06181575299706,21,11,1,pineapple
image_stim_n.png,0.693241341970861,neg,y,5,336,22,25,female,264.13995360198896,Monday,2.89,263.32173713098746,0.8182164710015059,42,32,0.7715025449870154,257.12297643593047,faceWord_exp,1,264.0932396759745,180,4.314775126713813,256.12244249193463,255.42920114996377,22,12,1,deceit
image_stim_n.png,0.6919373519485816,neg,y,5,336,22,26,female,275.68874245195184,Monday,3.08,274.7706419349415,0.9181005170103163,42,32,1.1541675220942125,268.85621301294304,faceWord_exp,1,275.92480945703574,180,2.166851165767892,267.8556659689639,267.1637286170153,22,12,1,aggressive
image_stim_n.png,0.7142817000858486,neu,y,5,180,22,27,female,284.27188506594393,Monday,5.71,283.58058475900907,0.6913003069348633,42,42,1.1455843480071053,280.97371005802415,faceWord_exp,1,284.7261691070162,336,-0.31568469709749714,279.59025685302913,278.8759751529433,22,13,1,tourist
image_stim_n.png,0.8267201170092449,neg,y,5,180,22,28,female,295.4523007669486,Monday,4.95,294.5181913150009,0.9341094519477338,42,32,0.8916105959797278,292.44071598001756,faceWord_exp,1,295.4098019109806,336,0.5814463879932942,291.3884655169677,290.56174539995845,22,12,1,sandpaper
image_stim_p.png,0.693398347008042,pos,b,5,180,22,29,female,306.3060690299608,Monday,6.14,305.6009168799501,0.7051521500106901,42,31,0.9911912609823048,303.4390445399331,faceWord_exp,1,306.5921081409324,336,-1.4783411251765788,302.43848710297607,301.745088755968,21,11,1,limousine
image_stim_n.png,0.6913032690063119,neu,y,5,180,22,30,female,316.4547132779844,Monday,5.14,315.75376789295115,0.7009453850332648,42,42,1.1204774390207604,313.7233217860339,faceWord_exp,1,316.8742453319719,336,-0.18281188470513854,312.7217407239368,312.0304374549305,22,13,1,spatula
image_stim_n.png,0.8959299289854243,neu,y,5,180,22,31,female,328.1879655299708,Monday,5.42,327.495602070936,0.6923634590348229,42,42,0.7304805730236694,325.0409367210232,faceWord_exp,1,328.22608264395967,336,-0.277657621999038,323.57168116397224,322.6757512349868,22,13,1,man
