no,ID,condition,img,word_score_pc,onset_img,duration_frames,pause_trigger,session,word_label,gender,pause_trigger_t,duration_measured_img,correct_resp,word_score_warriner,img_trigger,delay_frames_before,onset_word,offset_img,response,delay_frames_after,duration_measured_word,scan day,word_trigger,rt,offset_word,key_t,word,age
11,KKF,faceWord_exp,image_stim_n.png,2.7437052692255306,107.6848761049987,42,32,4,neg,female,103.05857355099943,0.6898218930000439,1,4.48,22,336,101.3626549189994,108.37469799799874,y,180,0.6954302400008601,Monday,12,0.41063203900012013,102.05808515900026,108.09550814399881,stampede,21
12,KKF,faceWord_exp,image_stim_p.png,-1.17416436554964,115.10958860299979,42,31,4,pos,female,113.07533416600018,0.698386224999922,1,7.23,21,180,111.37946309699873,115.80797482799971,b,336,0.6951350859999366,Monday,11,0.4517522949990962,112.07459818299867,115.56134089799889,bay,21
13,KKF,faceWord_exp,image_stim_p.png,-1.5082836116280287,125.13570761799929,42,31,4,pos,female,123.10853502999998,0.6890486829997826,0,6.17,21,180,121.41210038200006,125.82475630099907,y,336,0.695821764998982,Monday,11,0.5580859920009971,122.10792214699904,125.69379361000028,kitchen,21
14,KKF,faceWord_exp,image_stim_n.png,3.803034067475641,135.14983204399869,42,32,4,neg,female,133.1241950549993,0.691307062001215,1,2.76,22,180,131.42960877199948,135.8411391059999,y,336,0.6944349479999801,Monday,12,0.477123926000786,132.12404371999946,135.62695596999947,flood,21
15,KKF,faceWord_exp,image_stim_p.png,0.6669259665908855,147.76738941700023,42,41,4,neu,female,143.1410775530003,0.6898536589997093,1,5.38,21,336,141.44610644400018,148.45724307599994,b,180,0.6941891739988932,Monday,13,0.592942638999375,142.14029561799907,148.3603320559996,businessman,21
16,KKF,faceWord_exp,image_stim_p.png,0.37753019343780747,155.18624893199922,42,41,4,neu,female,153.15803602699998,0.7042150329998549,1,5.43,21,180,151.46387627900003,155.89046396499907,b,336,0.6938999989997683,Monday,13,0.5237273130005633,152.1577762779998,155.70997624499978,door,21
17,KKF,faceWord_exp,image_stim_n.png,0.19555716741692625,167.8246611100003,42,32,4,neg,female,163.1910676970001,0.6990176290000818,1,4.95,22,336,161.49625697299962,168.5236787390004,y,180,0.6944290550000005,Monday,12,0.6360252710001078,162.19068602799962,168.46068638100041,majority,21
18,KKF,faceWord_exp,image_stim_p.png,0.12602488928311428,175.2501960720001,42,41,4,neu,female,173.22425465800006,0.6900417269989703,1,5.1,21,180,171.52828782100005,175.94023779899908,b,336,0.6961563219992968,Monday,13,0.5094042210002954,172.22444414299935,175.7596002930004,shoulder,21
19,KKF,faceWord_exp,image_stim_n.png,0.42679466080263373,187.8665315879989,42,32,4,neg,female,183.24062100300034,0.6906741490001878,1,4.75,22,336,181.5456138569989,188.5572057369991,y,180,0.6947751520001475,Monday,12,0.542806848001419,182.24038900899905,188.40933843600033,zone,21
20,KKF,faceWord_exp,image_stim_p.png,-1.5215329943370883,195.28339791899998,42,31,4,pos,female,193.2574627590002,0.6903853149997303,1,6.52,21,180,191.56107302999953,195.9737832339997,b,336,0.6959485539991874,Monday,11,0.5443966210004874,192.25702158399872,195.82779454000047,bread,21
21,KKF,faceWord_exp,image_stim_n.png,-0.4066038871991289,207.9077957949994,42,42,4,neu,female,203.2735990729998,0.6991134060008335,1,5.79,22,336,201.57780237000043,208.60690920100024,y,180,0.6956293959992763,Monday,13,0.5013183040009608,202.2734317659997,208.40911409900036,baseball,21
22,KKF,faceWord_exp,image_stim_n.png,2.6978270877422883,215.3372966679999,42,32,4,neg,female,213.30740917599906,0.7023053619996062,1,3.02,22,180,211.61110105099942,216.03960202999951,y,336,0.695787876000395,Monday,12,0.7053965960003552,212.30688892699982,216.04269326400026,scream,21
23,KKF,faceWord_exp,image_stim_p.png,-1.7294291477603156,227.97573025400015,42,31,4,pos,female,223.3404001050003,0.6975485919992934,1,7.0,21,336,221.6462538479991,228.67327884599945,b,180,0.6937401060004049,Monday,11,0.5325404750001326,222.3399939539995,228.5082707290003,dog,21
