word_score_pc,duration_measured_word,offset_img,pause_trigger,response,key_t,delay_frames_before,ID,onset_word,age,delay_frames_after,gender,duration_measured_img,onset_img,session,scan day,word_trigger,no,word_label,condition,duration_frames,pause_trigger_t,img,img_trigger,rt,word_score_warriner,correct_resp,offset_word,word
-1.426145970237633,0.6985429999767803,187.6939895999967,31,b,188.84555690002162,180,B12,181.58906590001425,22,336,male,0.6062641000025906,187.08772549999412,4,Monday,11,13,pos,faceWord_exp,24,183.93771470000502,image_stim_p.png,21,1.7578314000274986,6.26,1,182.28760889999103,lust
-2.30162279277581,0.6615211999742314,202.81327520002378,31,b,204.45141139999032,180,B12,196.67519360000733,22,336,male,0.6227102000266314,202.19056499999715,4,Monday,11,14,pos,faceWord_exp,24,198.93034379999153,image_stim_p.png,21,2.26084639999317,7.05,1,197.33671479998156,heroism
-1.6859102219357711,0.8072411000030115,221.6948807000299,31,b,223.29546190000838,336,B12,211.67199070000788,22,180,male,0.6148819000227377,221.07999880000716,4,Monday,11,15,pos,faceWord_exp,24,214.0366604999872,image_stim_p.png,21,2.215463100001216,6.42,1,212.4792318000109,truce
2.8496222967354625,0.6476906999596395,232.1451653999975,32,y,234.3132821000181,180,B12,226.2381480000331,22,336,male,0.6166320000193082,231.5285333999782,4,Monday,12,16,neg,faceWord_exp,24,228.4627212000196,image_stim_n.png,22,2.784748700039927,3.78,1,226.88583869999275,empty
0.4398740830446768,0.5932416000287049,250.4313665999798,41,b,251.7946978000109,336,B12,240.69144229998346,22,180,male,0.6304776999750175,249.8008889000048,4,Monday,13,17,neu,faceWord_exp,24,242.80272550001973,image_stim_p.png,21,1.9938089000061154,5.89,1,241.28468390001217,hall
3.668156535681199,0.761777300038375,261.4215761999949,32,y,263.1463602000149,180,B12,254.98500829999102,22,336,male,0.6601129999617115,260.7614632000332,4,Monday,12,18,neg,faceWord_exp,24,257.2430508999969,image_stim_n.png,22,2.38489699998172,3.52,1,255.7467856000294,battle
0.0196438746392397,0.5939784999936819,280.2772063000011,42,y,284.31530060002115,336,B12,270.27243579999777,22,180,male,0.6155762000125833,279.66163009998854,4,Monday,13,19,neu,faceWord_exp,24,272.45995320001384,image_stim_n.png,22,4.653670500032604,5.95,1,270.86641429999145,worker
2.7437052692255306,0.6258621999877505,295.1596641999786,32,y,296.04143099999055,336,B12,284.9706424000324,22,180,male,0.6137678999803029,294.5458962999983,4,Monday,12,20,neg,faceWord_exp,24,287.0919665999827,image_stim_n.png,22,1.4955346999922767,4.48,1,285.5965046000201,stampede
-1.17416436554964,0.6798726000124589,305.7090596000198,31,b,306.5142257999978,180,B12,299.8399051000015,22,336,male,0.6216671000001952,305.08739250001963,4,Monday,11,21,pos,faceWord_exp,24,302.01646990003064,image_stim_p.png,21,1.4268332999781705,7.23,1,300.51977770001395,bay
2.8314410724962364,0.858241599984467,324.9976372999954,32,y,325.591098600009,336,B12,314.6692955000326,22,180,male,0.6644855999620631,324.33315170003334,4,Monday,12,22,neg,faceWord_exp,24,317.01535140001215,image_stim_n.png,22,1.25794689997565,3.57,1,315.52753710001707,denial
-1.883093263099396,0.6463835000176914,335.90839569998207,31,b,336.3596816000063,180,B12,329.75273770000786,22,336,male,0.7356316999648698,335.1727640000172,4,Monday,11,23,pos,faceWord_exp,24,331.9002405999927,image_stim_p.png,21,1.1869175999891013,6.15,1,330.39912120002555,choir
-2.303583541830637,0.5899718999862671,350.69142420002026,31,b,351.44226330000674,180,B12,344.5095566000091,22,336,male,0.6185275000170805,350.0728967000032,4,Monday,11,24,pos,faceWord_exp,24,346.7502116999822,image_stim_p.png,21,1.3693666000035591,6.68,1,345.09952849999536,wonder
-2.8305869761860607,0.6980724000022747,365.21394759998657,31,b,365.88757969997823,180,B12,359.0991536999936,22,336,male,0.6365522999549285,364.57739530003164,4,Monday,11,25,pos,faceWord_exp,24,361.39861299999757,image_stim_p.png,21,1.3101843999465927,6.67,1,359.7972260999959,gratitude
-0.5273916336755435,0.7682519999798387,380.40260159998434,41,b,380.8749015000067,180,B12,374.05626199999824,22,336,male,0.6515187000040896,379.75108289998025,4,Monday,13,26,neu,faceWord_exp,24,376.63363769999705,image_stim_p.png,21,1.123818600026425,5.83,1,374.8245139999781,scientist
-0.05436507667908295,0.7948944999952801,395.6035709999851,41,b,396.9553676000214,180,B12,389.4825870000059,22,336,male,0.6077530999900773,394.995817899995,4,Monday,13,27,neu,faceWord_exp,24,391.7975252000033,image_stim_p.png,21,1.9595497000264004,5.59,1,390.27748150000116,mouth
