gender,pause_trigger,duration_frames,duration_measured_img,session,word_score_warriner,key_t,img,word_score_pc,delay_frames_before,scan day,pause_trigger_t,onset_img,rt,word,delay_frames_after,offset_word,response,correct_resp,condition,age,offset_img,onset_word,word_label,duration_measured_word,ID,no,img_trigger,word_trigger
female,31,42,0.7034714999972493,2,6.95,258.67524579999736,image_stim_p.png,-2.0702836690965865,336,Monday,253.50922619999983,258.1370956999999,0.5381500999974378,restaurant,180,252.50858239999798,b,1,faceWord_exp,20,258.84056719999717,251.81597079999847,pos,0.692611599999509,T1572,26,21,11
female,31,42,0.7026310000001104,2,6.73,268.7729858999992,image_stim_p.png,-2.2291915044129413,336,Monday,263.54076390000046,268.1693443999975,0.6036415000016859,luck,180,262.5398183999969,b,1,faceWord_exp,20,268.8719753999976,261.8454692999985,pos,0.6943490999983624,T1572,27,21,11
female,42,42,0.7029173000009905,2,5.8,278.8042413000003,image_stim_n.png,-0.5451009915059291,336,Monday,273.57170659999974,278.200237699999,0.604003600001306,toaster,180,272.5711921000002,y,1,faceWord_exp,20,278.90315499999997,271.8774111999992,neu,0.693780900001002,T1572,28,22,13
female,41,42,0.7016145999987202,2,5.94,288.9022815999997,image_stim_p.png,-0.8400509032218062,336,Monday,283.6031659,288.23280689999956,0.6694747000001371,store,180,282.60235349999857,b,1,faceWord_exp,20,288.9344214999983,281.9087873999997,neu,0.6935660999988613,T1572,29,21,13
female,31,42,0.7022668999998132,2,6.48,296.30088909999904,image_stim_p.png,-2.4114282062334524,180,Monday,293.63434570000027,295.6640394999995,0.6368495999995503,carnival,336,292.6337018999984,b,1,faceWord_exp,20,296.3663063999993,291.9434086000001,pos,0.6902932999983022,T1572,30,21,11
female,31,42,0.7026115999979083,2,8.53,308.8979889999973,image_stim_p.png,-3.1565376907491283,336,Monday,303.6656366999996,308.2943825000002,0.6036064999971131,vacation,180,302.664912799999,b,1,faceWord_exp,20,308.9969940999981,301.9715462999993,pos,0.6933664999996836,T1572,31,21,11
female,32,42,0.7027202999997826,2,4.29,318.91274839999824,image_stim_n.png,2.351878020671037,336,Monday,313.69704569999885,318.3255673999993,0.5871809999989637,tired,180,312.69631639999716,y,1,faceWord_exp,20,319.02828769999905,312.00211409999974,neg,0.6942022999974142,T1572,32,22,12
female,31,42,0.7025662000014563,2,6.17,326.344658799997,image_stim_p.png,-1.3205598447631597,180,Monday,323.7281879999973,325.7575001999976,0.587158599999384,chicken,336,322.72760149999885,b,1,faceWord_exp,20,326.46006639999905,322.0343929999981,pos,0.6932085000007646,T1572,33,21,11
female,31,42,0.7022188000009919,2,6.91,338.92519999999786,image_stim_p.png,-1.7539828459428422,336,Monday,333.75947819999783,338.38866439999765,0.5365356000002066,spaghetti,180,332.75885339999877,b,1,faceWord_exp,20,339.09088319999864,332.0656261999975,pos,0.6932272000012745,T1572,34,21,11
female,31,42,0.7027526999991096,2,7.68,349.02340919999915,image_stim_p.png,-1.3503642789447028,336,Monday,343.7907441999996,348.41933309999877,0.604076100000384,musical,180,342.7900711999973,b,1,faceWord_exp,20,349.1220857999979,342.09640509999736,pos,0.6936660999999731,T1572,35,21,11
female,32,42,0.7026196000006166,2,4.52,359.05443359999845,image_stim_n.png,2.373388118792564,336,Monday,353.8221206999988,358.4507236999998,0.6037098999986483,excuse,180,352.82136999999784,y,1,faceWord_exp,20,359.1533433000004,352.1276684000004,neg,0.6937015999974392,T1572,36,22,12
female,32,42,0.7022413999984565,2,4.35,369.0525256000001,image_stim_n.png,2.166481281776448,336,Monday,363.85325720000037,368.4824630000003,0.570062599999801,plea,180,362.8526512999997,y,1,faceWord_exp,20,369.18470439999874,362.15816300000006,neg,0.694488299999648,T1572,37,22,12
