pause_trigger,correct_resp,offset_word,word,word_score_warriner,img,word_trigger,duration_measured_img,onset_img,delay_frames_before,duration_frames,gender,rt,session,ID,delay_frames_after,scan day,word_score_pc,no,duration_measured_word,img_trigger,response,key_t,word_label,age,onset_word,offset_img,pause_trigger_t,condition
31,1,262.58425409998745,peace,7.75,image_stim_p.png,11,0.6827419999754056,265.6213107999647,180,42,female,0.5504830999998376,4,Dolly,336,Monday,-3.0311112754680245,27,0.6918111999984831,21,b,266.17179389996454,pos,23,261.89244289998896,266.3040527999401,263.5861270999303,faceWord_exp
31,1,272.6092308999505,kitchen,6.17,image_stim_p.png,11,0.6977421999908984,275.6464307999704,180,42,female,0.5488046000245959,4,Dolly,336,Monday,-1.5082836116280287,28,0.6887058999855071,21,b,276.195235399995,pos,23,271.920524999965,276.3441729999613,273.6098794999998,faceWord_exp
42,1,282.64821349992417,guard,5.89,image_stim_n.png,13,0.6969645000062883,285.6875061999308,180,42,female,0.5982263999758288,4,Dolly,336,Monday,0.29188517290671034,29,0.6901767000090331,22,y,286.2857325999066,neu,23,281.95803679991513,286.3844706999371,283.6499897999456,faceWord_exp
31,1,292.68748429999687,dog,7.0,image_stim_p.png,11,0.6942646000534296,295.72968599991873,180,42,female,0.5622032000683248,4,Dolly,336,Monday,-1.7294291477603156,30,0.6879790000384673,21,b,296.29188919998705,pos,23,291.9995052999584,296.42395059997216,293.68982859991957,faceWord_exp
32,1,302.72823739994783,insult,2.62,image_stim_n.png,12,0.7003514000680298,305.7666235999204,180,42,female,0.735328400041908,4,Dolly,336,Monday,4.2176174504439885,31,0.6916118999943137,22,y,306.50195199996233,neg,23,302.0366254999535,306.46697499998845,303.7302626000019,faceWord_exp
32,1,312.7687492999248,snake,4.03,image_stim_n.png,12,0.6824662999715656,318.40768169995863,336,42,female,0.3834587000310421,4,Dolly,180,Monday,1.95458394600482,32,0.6970571000128984,22,y,318.7911403999897,neg,23,312.0716921999119,319.0901479999302,313.77083870000206,faceWord_exp
31,1,322.79250340000726,choir,6.15,image_stim_p.png,11,0.6992105999961495,325.82913239998743,180,42,female,0.5504069000016898,4,Dolly,336,Monday,-1.883093263099396,33,0.6910912999883294,21,b,326.3795392999891,pos,23,322.10141210001893,326.5283429999836,323.7942966999253,faceWord_exp
31,1,332.83284839999396,festival,6.84,image_stim_p.png,11,0.6935971999773756,335.87595919996966,180,42,female,0.5783947999589145,4,Dolly,336,Monday,-2.93465986085152,34,0.6897456999868155,21,b,336.45435399992857,pos,23,332.14310270000715,336.56955639994703,333.834554299945,faceWord_exp
32,1,342.87147189991083,explosion,3.17,image_stim_n.png,12,0.6985665999818593,345.91107479995117,180,42,female,0.6000839000334963,4,Dolly,336,Monday,3.1835494020570807,35,0.6868035999359563,22,y,346.51115869998466,neg,23,342.1846682999749,346.609641399933,343.8744420999428,faceWord_exp
41,1,352.9132616999559,worker,5.95,image_stim_p.png,13,0.6965818000026047,355.9525626999093,180,42,female,0.71329510002397,4,Dolly,336,Monday,0.0196438746392397,36,0.6918759000254795,21,b,356.6658577999333,neu,23,352.22138579993043,356.6491444999119,353.9147710999241,faceWord_exp
41,1,362.9534255999606,put,5.09,image_stim_p.png,13,0.6954491999931633,368.595538900001,336,42,female,0.8656230999622494,4,Dolly,180,Monday,0.3545861367636661,37,0.6938188000349328,21,b,369.4611619999632,neu,23,362.2596067999257,369.29098809999414,363.9551476999186,faceWord_exp
32,1,372.9938769999426,loan,4.19,image_stim_n.png,12,0.695745800039731,378.63519439997617,336,42,female,0.4810365999583155,4,Dolly,180,Monday,0.7532200949518182,38,0.6939331999747083,22,y,379.1162309999345,neg,23,372.2999437999679,379.3309402000159,373.99755929992534,faceWord_exp
