word,condition,age,word_trigger,pause_trigger_t,onset_img,duration_frames,img,duration_measured_img,word_label,response,img_trigger,gender,pause_trigger,duration_measured_word,scan day,offset_word,session,key_t,delay_frames_before,onset_word,correct_resp,no,offset_img,word_score_pc,rt,word_score_warriner,delay_frames_after,ID
clang,faceWord_exp,21,12,103.3510170339141,105.38924392289482,42,image_stim_n.png,0.7020098930224776,neg,b,22,female,32,0.6948063138406724,Monday,102.34774727094918,2,102.28517389693297,180,101.65294095710851,0,11,106.0912538159173,1.472290472628449,-3.104070025961846,4.1,336,SSK22
problem,faceWord_exp,21,12,113.41154492809437,115.44882330391556,42,image_stim_n.png,0.7025653230957687,neg,y,22,female,32,0.694198721088469,Monday,112.40800055908039,2,112.34639109298587,180,111.71380183799192,1,12,116.15138862701133,4.02985566434138,-3.102432210929692,3.52,336,SSK22
tired,faceWord_exp,21,12,123.4717968069017,125.50795790995471,42,image_stim_n.png,0.703749808948487,neg,y,22,female,32,0.6964271089527756,Monday,122.46763070905581,2,122.47076872806065,180,121.77120360010304,1,13,126.2117077189032,2.351878020671037,-3.037189181894064,4.29,336,SSK22
winter,faceWord_exp,21,13,133.53199199703522,138.17516799108125,42,image_stim_n.png,0.703850831836462,neu,y,22,female,42,0.6943753049708903,Monday,132.5284468140453,2,132.7330742829945,336,131.83407150907442,1,14,138.87901882291771,0.3495373155897487,-5.442093708086759,5.5,180,SSK22
piano,faceWord_exp,21,11,143.59214510698803,148.23498047399335,42,image_stim_p.png,0.7041784250177443,pos,y,21,female,31,0.6938192171510309,Monday,142.58770907204598,2,142.57327698497102,336,141.89388985489495,0,15,148.9391588990111,-1.7947555393350414,-5.6617034890223294,6.4,180,SSK22
luck,faceWord_exp,21,11,153.65219624503516,155.69066674704663,42,image_stim_p.png,0.7014737878926098,pos,b,21,female,31,0.6979230211582035,Monday,152.64891188009642,2,152.83734807395376,180,151.95098885893822,1,16,156.39214053493924,-2.2291915044129413,-2.853318673092872,6.73,336,SSK22
joke,faceWord_exp,21,11,163.71240143291652,165.74899070803076,42,image_stim_p.png,0.7033744829241186,pos,b,21,female,31,0.69405438285321,Monday,162.70929737295955,2,162.73031591111794,180,162.01524299010634,1,17,166.45236519095488,-1.8879163634684628,-3.018674796912819,7.88,336,SSK22
angry,faceWord_exp,21,12,173.7728232620284,175.8052600340452,42,image_stim_n.png,0.69088074285537,neg,y,22,female,32,0.6945903380401433,Monday,172.76909273699857,2,172.80478949612007,180,172.07450239895843,1,18,176.49614077690057,3.4296451702105397,-3.000470537925139,2.53,336,SSK22
plea,faceWord_exp,21,12,183.81607644702308,185.85249456809834,42,image_stim_n.png,0.7036615679971874,neg,y,22,female,32,0.6952807728666812,Monday,182.81265897792764,2,182.76554873306304,180,182.11737820506096,1,19,186.55615613609552,2.166481281776448,-3.0869458350352943,4.35,336,SSK22
tree,faceWord_exp,21,11,193.87620737892576,198.5231529949233,42,image_stim_p.png,0.7000168170779943,pos,b,21,female,31,0.6954600168392062,Monday,192.87322362093255,2,192.9913407289423,336,192.17776360409334,1,20,199.2231698120013,-1.3695211950901562,-5.531812265980989,7.59,180,SSK22
barbecue,faceWord_exp,21,11,203.93638046691194,208.57986395200714,42,image_stim_p.png,0.7036873560864478,pos,b,21,female,31,0.6941524760331959,Monday,202.9328746991232,2,202.9364792399574,336,202.23872222309,1,21,209.2835513080936,-2.5746228757417584,-5.643384712049738,7.1,180,SSK22
jaw,faceWord_exp,21,12,213.99673981009983,216.03267420106567,42,image_stim_n.png,0.7042793398723006,neg,b,22,female,32,0.6953483030665666,Monday,212.99328699312173,2,212.9642023409251,180,212.29793869005516,0,22,216.73695354093798,0.16339675594021513,-3.068471860140562,4.41,336,SSK22
musical,faceWord_exp,21,11,224.05718634300865,226.09549769712612,42,image_stim_p.png,0.7013130369596183,pos,b,21,female,31,0.6945202159695327,Monday,223.05374329397455,2,223.22615724499337,180,222.35922307800502,1,23,226.79681073408574,-1.3503642789447028,-2.8693404521327466,7.68,336,SSK22
store,faceWord_exp,21,13,234.11707244999707,236.15651656291448,42,image_stim_p.png,0.7008376261219382,neu,b,21,female,41,0.6958179089706391,Monday,233.11382335796952,2,233.10148398508318,180,232.41800544899888,1,24,236.8573541890364,-0.8400509032218062,-3.055032577831298,5.94,336,SSK22
spaghetti,faceWord_exp,21,11,244.1772387730889,248.8213599671144,42,image_stim_p.png,0.7032844049390405,pos,b,21,female,31,0.6938662088941783,Monday,243.17385818599723,2,243.3109052220825,336,242.47999197710305,1,25,249.52464437205344,-1.7539828459428422,-5.510454745031893,6.91,180,SSK22
power,faceWord_exp,21,13,254.23781840899028,258.88093058601953,42,image_stim_p.png,0.7034934700932354,neu,b,21,female,41,0.694792415946722,Monday,253.23411417100579,2,253.03971254406497,336,252.53932175505906,1,26,259.58442405611277,-0.02119054453060663,-5.841218041954562,5.97,180,SSK22
sailboat,faceWord_exp,21,11,264.29689657199197,266.3339329950977,42,image_stim_p.png,0.7039397498592734,pos,b,21,female,31,0.6940230729524046,Monday,263.2943076149095,2,263.13154633692466,180,262.6002845419571,1,27,267.037872744957,-1.5621536719325724,-3.2023866581730545,6.81,336,SSK22
office,faceWord_exp,21,12,274.3579665219877,279.00133216008544,42,image_stim_n.png,0.703735789982602,neg,b,22,female,32,0.6946014929562807,Monday,273.3545218768995,2,273.291528636124,336,272.65992038394324,0,28,279.70506795006804,0.6502198887451732,-5.709803523961455,4.54,180,SSK22
mercy,faceWord_exp,21,11,284.418254771037,286.45504431892186,42,image_stim_p.png,0.7031209501437843,pos,b,21,female,31,0.6944586029276252,Monday,283.41480724303983,2,283.30195760307834,180,282.7203486401122,1,29,287.15816526906565,-1.0752281295040744,-3.1530867158435285,6.4,336,SSK22
nose,faceWord_exp,21,13,294.47854992211796,296.5150682989042,42,image_stim_n.png,0.7032095270697027,neu,b,22,female,42,0.6952550369314849,Monday,293.47487345989794,2,293.39561304589733,180,292.77961842296645,0,30,297.2182778259739,-0.049892793833906636,-3.1194552530068904,5.5,336,SSK22
heavy,faceWord_exp,21,12,304.5384434470907,309.18433920294046,42,image_stim_n.png,0.7007158859632909,neg,b,22,female,32,0.6935669907834381,Monday,303.5352162919007,2,303.73941255989484,336,302.8416493011173,0,31,309.88505508890375,1.3393636650983416,-5.444926643045619,4.78,180,SSK22
theory,faceWord_exp,21,13,314.5988365269732,319.2420604180079,42,image_stim_p.png,0.7036727739032358,neu,b,21,female,41,0.6944831560831517,Monday,313.5955598370638,2,313.69970476604067,336,312.9010766809806,1,32,319.94573319191113,0.1106807997481866,-5.5423556519672275,5.65,180,SSK22
toaster,faceWord_exp,21,13,324.6590926460922,329.30556491506286,42,image_stim_p.png,0.7002205660101026,neu,b,21,female,41,0.693334509152919,Monday,323.65469643310644,2,323.72638488095254,336,322.9613619239535,1,33,330.00578548107296,-0.5451009915059291,-5.579180034110323,5.8,180,SSK22
landslide,faceWord_exp,21,12,334.71812919108197,336.75579445110634,42,image_stim_n.png,0.7036066087894142,neg,b,22,female,32,0.6930739209055901,Monday,333.71505565196276,2,333.8843948240392,180,333.02198173105717,0,34,337.45940105989575,3.561717315569441,-2.8713996270671487,4.76,336,SSK22
scissors,faceWord_exp,21,13,344.7790855190251,349.4231265380513,42,image_stim_p.png,0.7032868110109121,neu,y,21,female,41,0.6933402619324625,Monday,343.775268136058,2,344.2147468079347,336,343.08192787412554,0,35,350.1264133490622,0.4272037094573085,-5.208379730116576,5.03,180,SSK22
optimism,faceWord_exp,21,11,354.8395528139081,356.8932429580018,42,image_stim_p.png,0.7027004929259419,pos,b,21,female,31,0.6940208971500397,Monday,353.83623143308796,2,354.05746846902184,180,353.1422105359379,1,36,357.59594345092773,-2.7563434535584275,-2.8357744889799505,7.21,336,SSK22
artist,faceWord_exp,21,11,364.9163994579576,366.9550348930061,42,image_stim_p.png,0.7015529989730567,pos,b,21,female,31,0.6922526368871331,Monday,363.9131243629381,2,364.0026346279774,180,363.220871726051,1,37,367.65658789197914,-1.2978987804410356,-2.9524002650287002,6.76,336,SSK22
speech,faceWord_exp,21,13,374.97656770795584,377.0095584259834,42,image_stim_p.png,0.7070279601030052,neu,b,21,female,41,0.6963803190737963,Monday,373.9725053580478,2,374.0083590319846,180,373.276125038974,1,38,377.7165863860864,-0.18776275500974607,-3.0011993939988315,5.62,336,SSK22
street,faceWord_exp,21,13,385.03682845598087,387.07320111989975,42,image_stim_p.png,0.7035869851242751,neu,b,21,female,41,0.6984724958892912,Monday,384.0334403619636,2,384.0365466629155,180,383.3349678660743,1,39,387.776788105024,0.3228926581020319,-3.0366544569842517,5.07,336,SSK22
verb,faceWord_exp,21,13,395.0966757880524,399.74052286404185,42,image_stim_p.png,0.7031023108866066,neu,b,21,female,41,0.695670393994078,Monday,394.09395104902796,2,394.3142952769995,336,393.3982806550339,1,40,400.44362517492846,0.17918122123944408,-5.426227587042376,5.27,180,SSK22
pan,faceWord_exp,21,13,405.15738294506446,407.1938451959286,42,image_stim_p.png,0.7035878750029951,neu,b,21,female,41,0.6948510750662535,Monday,404.1534080700949,2,404.45885108294897,180,403.45855699502863,1,41,407.8974330709316,0.3296196251321362,-2.7349941129796207,5.15,336,SSK22
camel,faceWord_exp,21,13,415.21748544601724,419.8609931860119,42,image_stim_n.png,0.7030055930372328,neu,b,22,female,42,0.6945416070520878,Monday,414.2140932281036,2,414.18493105005473,336,413.5195516210515,0,42,420.56399877904914,0.0657349158769076,-5.6760621359571815,5.29,180,SSK22
restaurant,faceWord_exp,21,11,425.27776621608064,429.9212714629248,42,image_stim_p.png,0.7033154461532831,pos,b,21,female,31,0.6936376688536257,Monday,424.27423090394586,2,424.32839656993747,336,423.58059323509224,1,43,430.62458690907806,-2.0702836690965865,-5.592874892987311,6.95,180,SSK22
embrace,faceWord_exp,21,11,435.33779805595987,439.984723045025,42,image_stim_p.png,0.7000066910404712,pos,b,21,female,31,0.6921619598288089,Monday,434.3344887609128,2,434.5240216429811,336,433.642326801084,1,44,440.6847297360655,-2.461915733068042,-5.460701402043924,7.0,180,SSK22
axe,faceWord_exp,21,12,445.39828361500986,450.0411542530637,42,image_stim_n.png,0.7040934818796813,neg,b,22,female,32,0.6941335678566247,Monday,444.39466760493815,2,444.58177819103,336,443.7005340370815,0,45,450.7452477349434,0.7321109855355353,-5.459376062033698,3.48,180,SSK22
sick,faceWord_exp,21,12,455.45827308599837,460.102417929098,42,image_stim_n.png,0.7020654219668359,neg,y,22,female,32,0.6952785600442439,Monday,454.4549090000801,2,454.64288961701095,336,453.75963044003583,1,46,460.80448335106485,3.4738609063027237,-5.459528312087059,2.29,180,SSK22
business,faceWord_exp,21,13,465.51867509796284,470.15571695310064,42,image_stim_n.png,0.6929244748316705,neu,b,22,female,42,0.6939377419184893,Monday,464.51507291197777,2,464.8031857199967,336,463.8211351700593,0,47,470.8486414279323,-0.06058349899147484,-5.352531233103946,5.48,180,SSK22
highway,faceWord_exp,21,13,475.56194490008056,477.60096891690046,42,image_stim_p.png,0.701003345195204,neu,b,21,female,41,0.6944099920801818,Monday,474.5588253780734,2,474.62936891498975,180,473.8644153859932,1,48,478.30197226209566,0.650019808676411,-2.9716000019107014,5.19,336,SSK22
monkey,faceWord_exp,21,13,485.62194404401816,487.6586954970844,42,image_stim_n.png,0.7028136469889432,neu,b,22,female,42,0.6946711121127009,Monday,484.618937951047,2,484.63962604198605,180,483.9242668389343,0,49,488.36150914407335,-0.6680004122251881,-3.0190694550983608,5.82,336,SSK22
perjury,faceWord_exp,21,12,495.682304027956,500.3261989071034,42,image_stim_n.png,0.7024105649907142,neg,y,22,female,32,0.6941119011025876,Monday,494.67896441812627,2,494.83359489100985,336,493.9848525170237,1,50,501.0286094720941,3.222893544100452,-5.492604016093537,2.95,180,SSK22
stone,faceWord_exp,21,12,505.7425669480581,507.78090251004323,42,image_stim_n.png,0.7018350739963353,neg,b,22,female,32,0.6912283620331436,Monday,504.73853878094815,2,505.21122962608933,180,504.047310418915,0,51,508.48273758403957,0.5494484707734639,-2.569672883953899,4.81,336,SSK22
hoe,faceWord_exp,21,12,515.8026990171056,517.8394056560937,42,image_stim_n.png,0.7034243929665536,neg,y,22,female,32,0.6994975148700178,Monday,514.7994788659271,2,514.8870515050367,180,514.0999813510571,1,52,518.5428300490603,0.2623575316864496,-2.9523541510570794,4.8,336,SSK22
van,faceWord_exp,21,12,525.8634045999497,527.8993271500804,42,image_stim_n.png,0.7036065328866243,neg,y,22,female,32,0.6962366160005331,Monday,524.8596731040161,2,524.8809654500801,180,524.1634364880156,1,53,528.602933682967,-0.14866519221167074,-3.0183617000002414,4.43,336,SSK22
cough,faceWord_exp,21,12,535.9232065610122,537.9595400860999,42,image_stim_n.png,0.7037906558252871,neg,b,22,female,32,0.6947019160725176,Monday,534.9198047621176,2,534.9087883150205,180,534.225102846045,0,54,538.6633307419252,2.483224745184551,-3.0507517710793763,3.57,336,SSK22
ricochet,faceWord_exp,21,12,545.9835747859906,550.6274245949462,42,image_stim_n.png,0.7029317519627512,neg,b,22,female,32,0.6939091011881828,Monday,544.9799702120945,2,545.5188956649508,336,544.2860611109063,0,55,551.330356346909,1.0482300490198866,-5.108528929995373,4.75,180,SSK22
carnival,faceWord_exp,21,11,556.0435260559898,558.0810566749424,42,image_stim_p.png,0.70244021108374,pos,y,21,female,31,0.6940782810561359,Monday,555.0402317249682,2,555.411948037101,180,554.346153443912,0,56,558.7834968860261,-2.4114282062334524,-2.6691086378414184,6.48,336,SSK22
excuse,faceWord_exp,21,12,566.1037199830171,570.7472557830624,42,image_stim_n.png,0.7036630699876696,neg,y,22,female,32,0.6951257588807493,Monday,565.1007426979486,2,565.7725810881238,336,564.4056169390678,1,57,571.4509188530501,2.373388118792564,-4.974674694938585,4.52,180,SSK22
lab,faceWord_exp,21,12,576.1806473019533,580.8266634410247,42,image_stim_n.png,0.7009985640179366,neg,b,22,female,32,0.7066947179846466,Monday,575.1768136960454,2,575.3468359520193,336,574.4701189780608,0,58,581.5276620050427,0.2032181950076048,-5.479827489005402,4.57,180,SSK22
vacation,faceWord_exp,21,11,586.2409437049646,590.8846857990138,42,image_stim_p.png,0.7033158070407808,pos,b,21,female,31,0.6946936380118132,Monday,585.237532699015,2,585.6578869470395,336,584.5428390610032,1,59,591.5880016060546,-3.1565376907491283,-5.2267988519743085,8.53,180,SSK22
apartment,faceWord_exp,21,13,596.3014158369042,598.3375681880862,42,image_stim_p.png,0.7036832338199019,neu,b,21,female,41,0.6939096199348569,Monday,595.2977725700475,2,595.487486503087,180,594.6038629501127,1,60,599.041251421906,-0.5485436049411244,-2.850081684999168,5.72,336,SSK22
