offset_word,onset_img,rt,word_label,onset_word,duration_frames,response,scan day,word_trigger,duration_measured_word,img_trigger,pause_trigger_t,word_score_warriner,word_score_pc,age,session,duration_measured_img,gender,offset_img,condition,pause_trigger,delay_frames_before,word,key_t,no,correct_resp,delay_frames_after,ID,img
101.99441476499851,105.01906824400066,0.5453999050005223,neg,101.29950308700063,42,y,Monday,12,0.6949116779978795,22,102.99529870599872,3.47,3.583082910341294,20,3,0.6930518949993711,female,105.71212013900004,faceWord_exp,32,180,cyclone,105.56446814900119,11,1,336,001,image_stim_n.png
112.01253105299838,115.03627567000149,0.5464214799976617,neu,111.31599111299874,42,y,Monday,13,0.6965399399996386,22,113.0135553020009,5.72,0.20373950943912453,20,3,0.6941145819982921,female,115.73039025199978,faceWord_exp,42,180,plane,115.58269714999915,12,1,336,001,image_stim_n.png
122.03081803600071,127.65747091700177,0.545011098998657,neu,121.33494375499868,42,y,Monday,13,0.695874281002034,22,123.03170884599967,5.63,-0.23071750329615884,20,3,0.6915273579979839,female,128.34899827499976,faceWord_exp,42,336,pen,128.20248201600043,13,1,180,001,image_stim_n.png
132.04904678200182,137.67202101899966,0.3980038740010059,neg,131.35429111900157,42,b,Monday,12,0.6947556630002509,22,133.049946834999,4.6,0.041184453360586966,20,3,0.6951880320011696,female,138.36720905100083,faceWord_exp,32,336,cabbage,138.07002489300066,14,0,180,001,image_stim_n.png
142.0671660320004,145.09343256500142,0.6943632939983218,pos,141.37192608699843,42,b,Monday,11,0.6952399450019584,21,143.0681563629987,7.18,-1.7760144816699572,20,3,0.6914103989984142,female,145.78484296399984,faceWord_exp,31,180,island,145.78779585899974,15,1,336,001,image_stim_p.png
152.0855083360002,155.1108932499992,0.695934433999355,pos,151.39189598200028,42,b,Monday,11,0.6936123539999244,21,153.08635984899956,6.71,-1.2474567486001964,20,3,0.6923624379996909,female,155.8032556879989,faceWord_exp,31,180,advantage,155.80682768399856,16,1,336,001,image_stim_p.png
162.1036606250018,165.12908188599977,0.5615060150012141,neg,161.41033476899975,42,y,Monday,12,0.6933258560020477,22,163.10470288999932,4.95,1.239138220826116,20,3,0.6921700150014658,female,165.82125190100123,faceWord_exp,32,180,debate,165.69058790100098,17,1,336,001,image_stim_n.png
172.12190170800022,177.74879826799952,0.3773804160009604,pos,171.42594117399858,42,b,Monday,11,0.6959605340016424,21,173.12252459999945,7.48,-2.2287379941341,20,3,0.6912331810017349,female,178.44003144900125,faceWord_exp,31,336,hope,178.12617868400048,18,1,180,001,image_stim_p.png
182.14008126000044,185.16595844200128,0.6110316399972362,neg,181.44528193600127,42,y,Monday,12,0.6947993239991774,22,183.1419207709987,4.57,0.7962654471128737,20,3,0.6919478269992396,female,185.85790626900052,faceWord_exp,32,180,reporter,185.77699008199852,19,1,336,001,image_stim_n.png
192.15833140999894,197.78469458600011,0.5109078159985074,pos,191.4633444559986,42,b,Monday,11,0.6949869540003419,21,193.1590779420003,7.25,-1.6019047514101912,20,3,0.6919205269987287,female,198.47661511299884,faceWord_exp,31,336,family,198.29560240199862,20,1,180,001,image_stim_p.png
202.1764648419994,205.20281969999996,0.4777327830015565,neu,201.48291038699972,42,b,Monday,13,0.6935544549996848,21,203.17745757100056,5.7,0.07332602516344529,20,3,0.6915618329985591,female,205.89438153299852,faceWord_exp,41,180,jungle,205.68055248300152,21,1,336,001,image_stim_p.png
212.19477730500148,217.82127871199918,0.428433370001585,neu,211.49953468899912,42,b,Monday,13,0.6952426160023606,22,213.19568136599992,5.65,0.13339963708933658,20,3,0.6916935330009437,female,218.51297224500013,faceWord_exp,42,336,pencil,218.24971208200077,22,0,180,001,image_stim_n.png
222.21298798800126,225.23759290599992,0.6959701710002264,pos,221.51911052200012,42,b,Monday,11,0.6938774660011404,21,223.2138991009997,7.0,-1.8894778219780863,20,3,0.6932035190002352,female,225.93079642500015,faceWord_exp,31,180,coffee,225.93356307700014,23,1,336,001,image_stim_p.png
232.2310145170013,237.85711714499848,0.3953353249999054,neg,231.53512059499917,42,y,Monday,12,0.6958939220021421,22,233.2320810050005,3.37,2.411295736651624,20,3,0.6923316520005756,female,238.54944879699906,faceWord_exp,32,336,tobacco,238.2524524699984,24,1,180,001,image_stim_n.png
242.2494209840006,245.27524456500032,0.5120998889979091,pos,241.55490056399867,42,b,Monday,11,0.6945204200019361,21,243.25030642600177,7.23,-2.484088237918995,20,3,0.6919398300015018,female,245.96718439500182,faceWord_exp,31,180,butterfly,245.78734445399823,25,1,336,001,image_stim_p.png
252.26763483499963,257.89163917300175,0.5460087599967665,pos,251.57293115100038,42,b,Monday,11,0.6947036839992506,21,253.26852627900007,7.0,-1.9950971558262764,20,3,0.6937348399987968,female,258.58537401300055,faceWord_exp,31,336,park,258.4376479329985,26,1,180,001,image_stim_p.png
262.2853884510005,265.31138176600143,0.5441243829991436,neg,261.58864571600134,42,y,Monday,12,0.696742734999134,22,263.2858872399993,3.95,1.8802224749820768,20,3,0.692140950999601,female,266.00352271700103,faceWord_exp,32,180,dusty,265.8555061490006,27,1,336,001,image_stim_n.png
272.3039690299993,275.32988017800017,0.4282093959991471,neg,271.6097199899996,42,y,Monday,12,0.6942490399997041,22,273.30479492299855,3.45,3.6017940902369654,20,3,0.6919691609982692,female,276.02184933899844,faceWord_exp,32,180,grievance,275.7580895739993,28,1,336,001,image_stim_n.png
282.3223234049983,285.3451390049995,0.6140029150010378,pos,281.6282543359994,42,b,Monday,11,0.6940690689989424,21,283.3231163909986,6.29,-1.6804307003665144,20,3,0.694935848001478,female,286.040074853001,faceWord_exp,31,180,flute,285.95914192000055,29,1,336,001,image_stim_p.png
292.34046927300005,295.3681406270007,0.5937430630001472,neu,291.64500334200056,42,y,Monday,13,0.6954659309994895,22,293.3413886900016,5.48,0.2046331385026182,20,3,0.7068108579987893,female,296.0749514849995,faceWord_exp,42,180,glass,295.96188369000083,30,1,336,001,image_stim_n.png
302.37535617899994,308.00091290899945,0.4119065970007796,neu,301.6798726599991,42,b,Monday,13,0.6954835190008453,21,303.3762949820011,5.58,-0.945340141786388,20,3,0.6926908640016336,female,308.6936037730011,faceWord_exp,41,336,tuba,308.41281950600023,31,1,180,001,image_stim_p.png
