response,word_label,word_score_pc,pause_trigger,onset_word,delay_frames_before,word,img_trigger,scan day,offset_word,no,condition,duration_measured_img,gender,ID,offset_img,img,session,onset_img,rt,word_score_warriner,correct_resp,pause_trigger_t,word_trigger,duration_measured_word,key_t,delay_frames_after,duration_frames,age
y,neg,4.494524106175375,32,372.5512266269652,180,funeral,22,Monday,373.2461949759745,38,faceWord_exp,0.7015449960017577,male,km,376.981279701984,image_stim_n.png,6,376.27973470598226,0.5699822229798883,2.07,1,374.24726902798284,12,0.6949683490092866,376.84971692896215,336,42,21
b,pos,-1.283661754694624,31,382.5921948889736,180,handshake,21,Monday,383.2842268429813,39,faceWord_exp,0.6977552090538666,male,km,387.01937238901155,image_stim_p.png,6,386.3216171799577,0.6338444110006094,6.21,1,384.28531475999625,11,0.6920319540076889,386.9554615909583,336,42,21
b,neg,3.1728286127179004,32,392.62571668997407,180,rumor,22,Monday,393.3223577539902,40,faceWord_exp,0.7009451659978367,male,km,397.0574617519742,image_stim_n.png,6,396.35651658597635,0.8219739540363662,3.14,0,394.3234860560042,12,0.6966410640161484,397.1784905400127,336,42,21
y,neg,1.421533554407035,32,402.6680819519679,336,judge,22,Monday,403.36011202295776,41,faceWord_exp,0.701649380964227,male,km,409.69684945297195,image_stim_n.png,6,408.9952000720077,0.6216679479693994,3.89,1,404.36144995497307,12,0.6920300709898584,409.6168680199771,180,42,21
y,neg,2.6698720582687456,32,412.7029777409625,180,fee,22,Monday,413.3985327659757,42,faceWord_exp,0.7023489410057664,male,km,417.1335744499811,image_stim_n.png,6,416.43122550897533,0.7745658479980193,2.86,1,414.39963051496306,12,0.6955550250131637,417.20579135697335,336,42,21
y,neg,1.346131993343653,32,422.7415794089902,180,protest,22,Monday,423.4366108449758,43,faceWord_exp,0.7010747289750725,male,km,427.17160992196295,image_stim_n.png,6,426.4705351929879,0.70388358598575,4.42,1,424.4377477969974,12,0.6950314359855838,427.17441877897363,336,42,21
b,neu,-0.3659926056186196,41,432.7795212719939,336,finger,21,Monday,433.4748028210015,44,faceWord_exp,0.7012268499820493,male,km,439.81076496397145,image_stim_p.png,6,439.1095381139894,0.5373364759725519,5.8,1,434.47574006801005,13,0.6952815490076318,439.64687458996195,180,42,21
y,neu,-0.441124933220443,42,442.81757899798686,336,bugle,22,Monday,443.51267349300906,45,faceWord_exp,0.7010436890413985,male,km,449.8490854499978,image_stim_n.png,6,449.1480417609564,0.6699332560529001,5.05,1,444.5138673299807,13,0.6950944950222038,449.8179750170093,180,42,21
b,neg,1.4290259416609457,32,452.85835347598186,336,lawyer,22,Monday,453.5509976790054,46,faceWord_exp,0.6982152099953964,male,km,459.8873363689636,image_stim_n.png,6,459.1891211589682,0.6675917910179123,3.94,0,454.55200193601195,12,0.6926442030235194,459.8567129499861,180,42,21
b,pos,-1.0219663684796234,31,462.89384041400626,180,camera,21,Monday,463.58894480299205,47,faceWord_exp,0.6994750429876149,male,km,467.32412798097357,image_stim_p.png,6,466.62465293798596,0.5554635869921185,6.61,1,464.5899380199844,11,0.6951043889857829,467.1801165249781,336,42,21
y,neg,0.8985553834191027,32,472.9315783169586,180,crow,22,Monday,473.6271750740125,48,faceWord_exp,0.7010789620107971,male,km,477.36206515697995,image_stim_n.png,6,476.66098619496915,0.7038848050287925,4.32,1,474.6280282110092,12,0.6955967570538633,477.36487099999795,336,42,21
b,pos,-1.1380831950062478,31,482.97018815000774,336,pumpkin,21,Monday,483.66504540800815,49,faceWord_exp,0.7016780099947937,male,km,490.00143491796916,image_stim_p.png,6,489.29975690797437,0.5704419789835811,7.0,1,484.6662192619988,11,0.6948572580004111,489.87019888695795,180,42,21
y,neg,1.7380634654586231,32,493.00874242396094,336,politician,22,Monday,493.7032569790026,50,faceWord_exp,0.7017214969964698,male,km,500.03960558900144,image_stim_n.png,6,499.33788409200497,0.5548637299798429,3.25,1,494.7042563339928,12,0.6945145550416782,499.8927478219848,180,42,21
y,neu,0.07641955756997082,42,503.0457756239921,336,role,22,Monday,503.74137079698266,51,faceWord_exp,0.7015305900131352,male,km,510.07777189300396,image_stim_n.png,6,509.3762413029908,0.6563808160135522,5.1,1,504.74232215300435,13,0.6955951729905792,510.0326221190044,180,42,21
b,pos,-1.313583728320736,31,513.0839422279969,336,girl,21,Monday,513.7793928589672,52,faceWord_exp,0.7012908409815282,male,km,520.1157306769746,image_stim_p.png,6,519.4144398359931,0.7042518659727648,7.15,1,514.7805844889954,11,0.6954506309702992,520.1186917019659,180,42,21
b,pos,-1.87678309604286,31,523.1239648030023,180,read,21,Monday,523.8175851749838,53,faceWord_exp,0.6975995340035297,male,km,527.5524343709694,image_stim_p.png,6,526.8548348369659,0.7021971929934807,6.73,1,524.8184982250095,11,0.6936203719815239,527.5570320299594,336,42,21
y,neu,-0.1293625696653618,42,533.1608956839773,336,escalator,22,Monday,533.8556404709816,54,faceWord_exp,0.7012711520073935,male,km,540.1919631320052,image_stim_n.png,6,539.4906919799978,0.6697504369658418,5.95,1,534.8566765189753,13,0.6947447870043106,540.1604424169636,180,42,21
y,neu,-0.1985745460766808,42,543.2002831569989,336,quantity,22,Monday,543.8937116799643,55,faceWord_exp,0.7017363850027323,male,km,550.2300920449779,image_stim_n.png,6,549.5283556599752,0.6229325060267001,5.33,1,544.8948430519667,13,0.6934285229654051,550.1512881660019,180,42,21
y,neu,-0.7656585604551551,42,553.2371105600032,336,audience,22,Monday,553.9317783259903,56,faceWord_exp,0.7009184830239974,male,km,560.2680525470059,image_stim_n.png,6,559.5671340639819,0.6200379449874163,5.89,1,554.9328664459754,13,0.6946677659871057,560.1871720089694,180,42,21
y,neg,1.5556418242275696,32,563.2742302959668,336,old,22,Monday,563.969925739977,57,faceWord_exp,0.6981757990433834,male,km,570.3228263380006,image_stim_n.png,6,569.6246505389572,0.5866079960251227,3.19,1,564.9710257769912,12,0.6956954440101981,570.2112585349823,180,42,21
b,pos,-2.2232275900644445,31,573.3289275239804,336,home,21,Monday,574.0246318689897,58,faceWord_exp,0.7007858550059609,male,km,580.3609627619735,image_stim_p.png,6,579.6601769069675,0.6031176680116914,7.48,1,575.0257644139929,11,0.6957043450092897,580.2632945749792,180,42,21
b,pos,-2.539279812815429,31,583.3678772139829,180,chocolate,21,Monday,584.0626515849726,59,faceWord_exp,0.7017088329885155,male,km,587.7979181759874,image_stim_p.png,6,587.0962093429989,0.6563278309768066,7.63,1,585.0637423669687,11,0.6947743709897622,587.7525371739757,336,42,21
b,pos,-1.071197614358652,31,593.4086955129751,180,chipmunk,21,Monday,594.1008614239981,60,faceWord_exp,0.6979359780088998,male,km,597.8360237379675,image_stim_p.png,6,597.1380877599586,0.582888275035657,7.33,1,595.1018532160087,11,0.6921659110230394,597.7209760349942,336,42,21
