response,word,scan day,duration_measured_img,onset_word,offset_img,age,delay_frames_before,pause_trigger_t,offset_word,word_trigger,word_score_warriner,session,ID,condition,pause_trigger,key_t,img,correct_resp,duration_measured_word,rt,no,gender,duration_frames,delay_frames_after,onset_img,word_label,word_score_pc,img_trigger
b,table,Monday,0.7024928890168667,288.27523473103065,295.6855263860198,22,336,290.3530223130947,289.2018869740423,13,5.49,6,5,faceWord_exp,41,295.8728510120418,image_stim_p.png,1,0.9266522430116311,0.8898175150388852,29,female,42,180,294.9830334970029,neu,0.1576901893660491,21
b,blueberry,Monday,0.7047282190760598,298.6923607630888,303.11943514610175,22,180,300.38622103701346,299.38567558606155,11,7.11,6,5,faceWord_exp,31,303.20588968205266,image_stim_p.png,1,0.6933148229727522,0.7911827550269663,30,female,42,336,302.4147069270257,pos,-1.4048581699918157,21
y,gunshot,Monday,0.7003957340493798,308.72955225710757,313.16875707008876,22,180,310.4361353140557,309.43527437001467,12,2.79,6,5,faceWord_exp,32,313.27233604202047,image_stim_n.png,1,0.7057221129070967,0.8039747059810907,31,female,42,336,312.4683613360394,neg,3.2726955917764444,22
b,era,Monday,0.7034826569724828,318.77437722100876,325.80190986103844,22,336,320.469298500102,319.46886570809875,13,5.29,6,5,faceWord_exp,41,325.8905565470923,image_stim_p.png,1,0.6944884870899841,0.7921293430263177,32,female,42,180,325.09842720406596,neu,0.38949539348709145,21
y,big,Monday,0.7037631439743564,328.8075329560088,335.8351428040769,22,336,330.5025063820649,329.50192125106696,13,5.64,6,5,faceWord_exp,42,335.8234299420146,image_stim_n.png,1,0.694388295058161,0.6920502819120884,33,female,42,180,335.13137966010254,neu,0.6345811289687322,22
y,law,Monday,0.7031702190870419,338.8407907891087,345.86790987709537,22,336,340.5355589300161,339.5350675950758,12,4.55,6,5,faceWord_exp,32,345.82263810909353,image_stim_n.png,1,0.6942768059670925,0.6578984510852024,34,female,42,180,345.16473965800833,neg,0.7240429444440241,22
y,medicine,Monday,0.7045331069966778,348.8757795210695,355.9522204620298,22,336,350.56890249811113,349.56819451600313,13,5.9,6,5,faceWord_exp,42,355.9893785290187,image_stim_n.png,1,0.6924149949336424,0.7416911739856005,35,female,42,180,355.2476873550331,neu,0.597486551423763,22
y,funeral,Monday,0.7043693410232663,358.9547526030801,365.98479765304364,22,336,360.65141182707157,359.650348561001,12,2.07,6,5,faceWord_exp,32,366.1235933980206,image_stim_n.png,1,0.6955959579208866,0.8431650860002264,36,female,42,180,365.2804283120204,neg,4.494524106175375,22
y,fee,Monday,0.70368478493765,368.99086237105075,373.41794515703805,22,180,370.6852607510518,369.68471041007433,12,2.86,6,5,faceWord_exp,32,373.47137009107973,image_stim_n.png,1,0.6938480390235782,0.7571097189793363,37,female,42,336,372.7142603721004,neg,2.6698720582687456,22
y,lawyer,Monday,0.6882923529483378,379.02483500610106,383.4333716960391,22,180,380.7180893070763,379.7178089170484,12,3.94,6,5,faceWord_exp,32,383.6378258400364,image_stim_n.png,1,0.6929739109473303,0.8927464969456196,38,female,42,336,382.74507934309077,neg,1.4290259416609457,22
y,prison,Monday,0.7033204740146175,389.0403865580447,393.4675131071126,22,180,390.73499326605815,389.7344472500263,12,1.94,6,5,faceWord_exp,32,393.6057082770858,image_stim_n.png,1,0.6940606919815764,0.8415156439878047,39,female,42,336,392.764192633098,neg,3.587794463102913,22
b,river,Monday,0.7016426459886134,399.0752814000007,403.50078273401596,22,180,400.76822116202675,399.7676412870642,11,6.72,6,5,faceWord_exp,31,403.73849406302907,image_stim_p.png,1,0.6923598870635033,0.9393539750017226,40,female,42,336,402.79914008802734,pos,-1.8284590275958619,21
b,accordion,Monday,0.7035774759715423,409.10688929702155,413.53395025001373,22,180,410.80140348605346,409.80084178305697,13,5.26,6,5,faceWord_exp,41,413.47101072303485,image_stim_p.png,1,0.693952486035414,0.6406379489926621,41,female,42,336,412.8303727740422,neu,-0.8574934623041074,21
b,camera,Monday,0.7041734469821677,419.14025779406074,423.56716651900206,22,180,420.8345971140079,419.83404815010726,11,6.61,6,5,faceWord_exp,31,423.4541051390115,image_stim_p.png,1,0.6937903560465202,0.5911120669916272,42,female,42,336,422.8629930720199,pos,-1.0219663684796234,21
b,party,Monday,0.7038398319855332,429.17332535400055,436.2003236510791,22,336,430.8678121040575,429.86721636808943,11,7.18,6,5,faceWord_exp,31,436.2369226200972,image_stim_p.png,1,0.6938910140888765,0.74043880100362,43,female,42,180,435.49648381909356,pos,-2.3202480308548075,21
y,hygiene,Monday,0.7034593280404806,439.205720619997,446.2334938601125,22,336,440.9010168610839,439.90043201111257,11,6.38,6,5,faceWord_exp,31,441.5531903291121,image_stim_p.png,0,0.6947113911155611,-3.97684420295991,44,female,42,180,445.530034532072,pos,-1.613773182399739,21
b,dolphin,Monday,0.6996672119712457,449.2428030160954,453.6662756820442,22,180,450.93528329906985,449.9336564250989,11,6.67,6,5,faceWord_exp,31,453.60488552309107,image_stim_p.png,1,0.6908534090034664,0.6382770530181006,45,female,42,336,452.96660847007297,pos,-2.035068499528653,21
y,chair,Monday,0.7041857209987938,459.2706065090606,463.6999632510124,22,180,460.96737970400136,459.96692939905915,13,5.89,6,5,faceWord_exp,42,463.8879464910133,image_stim_n.png,1,0.6963228899985552,0.8921689609996974,46,female,42,336,462.9957775300136,neu,-0.4928774877246448,22
y,quantity,Monday,0.7040573220001534,469.3080558060901,476.33307670708746,22,336,471.0006838970585,469.99998006003443,13,5.33,6,5,faceWord_exp,42,476.3204678350594,image_stim_n.png,1,0.6919242539443076,0.6914484499720857,47,female,42,180,475.6290193850873,neu,-0.1985745460766808,22
b,cheese,Monday,0.7026350779924542,479.33944766700733,483.7661834860919,22,180,481.0334541470511,480.03322529105935,11,6.81,6,5,faceWord_exp,31,483.68656522606034,image_stim_p.png,1,0.6937776240520179,0.6230168179608881,48,female,42,336,483.06354840809945,pos,-1.5755240884938977,21
y,rumor,Monday,0.7033847860293463,489.37246799108107,494.6661606930429,22,180,491.51972168206703,490.06644126109313,12,3.14,6,5,faceWord_exp,32,494.8707685400732,image_stim_n.png,1,0.6939732700120658,0.9079926330596209,49,female,42,336,493.96277590701357,neg,3.1728286127179004,22
y,scooter,Monday,0.7032976719783619,500.27266819006763,504.69935593300033,22,180,501.9668904130813,500.96610566508025,13,5.42,6,5,faceWord_exp,42,504.9872263750294,image_stim_n.png,1,0.6934374750126153,0.9911681140074506,50,female,42,336,503.996058261022,neu,-0.9209473384247756,22
y,soccer,Monday,0.6906979529885575,510.3029688450042,517.3157572930213,22,336,512.0010403000051,510.99899191304576,13,5.84,6,5,faceWord_exp,42,517.469507485046,image_stim_n.png,1,0.6960230680415407,0.8444481450133026,51,female,42,180,516.6250593400327,neu,-0.6912617476649511,22
y,advice,Monday,0.7055148660438135,520.3253876140807,524.7493213741109,22,180,522.0153224600945,521.0156476900447,13,5.78,6,5,faceWord_exp,42,525.2861179260071,image_stim_n.png,1,0.6902600759640336,1.2423114179400727,52,female,42,336,524.0438065080671,neu,-0.30581232848456497,22
b,forest,Monday,0.7033231189707294,531.9209713460878,536.7155856880127,22,180,533.9831907600164,532.8492625490762,11,6.68,6,5,faceWord_exp,31,537.0369005480316,image_stim_p.png,1,0.9282912029884756,1.024637978989631,53,female,42,336,536.0122625690419,pos,-1.6320665929887423,21
y,sin,Monday,0.6903601980302483,542.3198292520829,549.3323370011058,22,336,544.0165814150823,543.0155098690884,12,3.08,6,5,faceWord_exp,32,547.6840283280471,image_stim_n.png,1,0.6956806170055643,-0.9579484750283882,54,female,42,180,548.6419768030755,neg,3.1738538072533196,22
y,prairie,Monday,0.8534932580078021,552.3367342050187,560.2486159660621,22,336,554.0327708940022,553.0315468810732,13,5.33,6,5,faceWord_exp,42,560.3370127310045,image_stim_n.png,1,0.6948126760544255,0.9418900229502469,55,female,42,180,559.3951227080543,neu,-1.1818642926883074,22
y,crow,Monday,0.7035678819520399,563.2870869640028,567.7154174000025,22,180,564.982641582028,563.9821486190194,12,4.32,6,5,faceWord_exp,32,567.6853879020782,image_stim_n.png,1,0.695061655016616,0.6735383840277791,56,female,42,336,567.0118495180504,neg,0.8985553834191027,22
b,comb,Monday,0.7032434809952974,573.3212140050018,580.3483849810436,22,336,575.0160669940524,574.0152951130876,13,5.65,6,5,faceWord_exp,41,580.3688344610855,image_stim_p.png,1,0.6940811080858111,0.723692961037159,57,female,42,180,579.6451415000483,neu,-0.15774590184623308,21
y,guilt,Monday,0.7015521249268204,583.3545769620687,587.7816021440085,22,180,585.049030966009,584.0480710940901,12,2.29,6,5,faceWord_exp,32,587.8350607820321,image_stim_n.png,1,0.6934941320214421,0.7550107629504055,58,female,42,336,587.0800500190817,neg,4.2219398121868315,22
b,chipmunk,Monday,0.700245279003866,593.3925532180583,597.8314722611103,22,180,595.0989293550374,594.0983764310367,11,7.33,6,5,faceWord_exp,31,597.7854049029993,image_stim_p.png,1,0.7058232129784301,0.6541779208928347,59,female,42,336,597.1312269821065,pos,-1.071197614358652,21
y,rake,Monday,0.7024238040903583,603.4373435981106,607.8646262791008,22,180,605.1321216280339,604.131515536108,12,4.75,6,5,faceWord_exp,32,608.4855164861074,image_stim_n.png,1,0.6941719379974529,1.3233140110969543,60,female,42,336,607.1622024750104,neg,0.5993691927879942,22
