word_label,offset_img,img,pause_trigger,ID,session,word_score_pc,word,key_t,duration_measured_img,rt,correct_resp,gender,no,word_score_warriner,onset_img,age,duration_measured_word,condition,duration_frames,onset_word,pause_trigger_t,word_trigger,delay_frames_after,scan day,response,img_trigger,offset_word,delay_frames_before
pos,458.9485265,image_stim_p.png,31,x,3,-1.084194317,bird,458.7347565,0.698297376,0.484527404,0,male,46,6.75,458.2502291,21,0.695140875,faceWord_exp,42,454.4934364,456.191018,11,336,Wednesday,y,21,455.1885773,180
neg,469.0087037,image_stim_n.png,32,x,3,3.68876961,malice,468.8440168,0.692181665,0.527494731,1,male,47,2.81,468.316522,21,0.690796328,faceWord_exp,42,464.5740154,466.2684235,12,336,Wednesday,y,22,465.2648117,180
pos,481.6924115,image_stim_p.png,31,x,3,-2.098490136,rose,481.5457369,0.703839588,0.557164978,1,male,48,7.11,480.9885719,21,0.694747311,faceWord_exp,42,474.6303622,476.3286421,11,180,Wednesday,b,21,475.3251095,336
neg,489.1620699,image_stim_n.png,32,x,3,0.412314662,foot,489.1338493,0.698810701,0.670590036,1,male,49,4.68,488.4632592,21,0.695361949,faceWord_exp,42,484.7069319,486.4055163,12,336,Wednesday,y,22,485.4022938,180
pos,499.2382774,image_stim_p.png,31,x,3,-1.410692848,car,499.0419924,0.703065809,0.50678083,0,male,50,6.63,498.5352116,21,0.69547933,faceWord_exp,42,494.7838485,496.4821301,11,336,Wednesday,y,21,495.4793279,180
neu,509.3327984,image_stim_n.png,42,x,3,0.506269556,year,509.4539154,0.703191418,0.82430842,1,male,51,5.75,508.629607,21,0.698007776,faceWord_exp,42,504.8743832,506.5762911,13,336,Wednesday,y,22,505.572391,180
neg,519.3923306,image_stim_n.png,32,x,3,0.337369404,radish,519.0611803,0.692044136,0.360893848,1,male,52,4.7,518.7002864,21,0.693970223,faceWord_exp,42,514.9549431,516.6529098,12,336,Wednesday,y,22,515.6489134,180
pos,532.0769049,image_stim_p.png,31,x,3,-1.728066945,computer,529.0269196,0.700466586,-2.349518716,0,male,53,6.84,531.3764383,21,0.694036111,faceWord_exp,42,525.0150617,526.7133905,11,180,Wednesday,y,21,525.7090978,336
neg,542.1530946,image_stim_n.png,32,x,3,3.984794624,snub,541.9385736,0.698363391,0.483842448,1,male,54,3.23,541.4547312,21,0.694374633,faceWord_exp,42,535.0926579,536.7900824,12,180,Wednesday,y,22,535.7870326,336
neg,549.6237566,image_stim_n.png,32,x,3,2.30689799,trial,549.4612649,0.693895197,0.531403415,1,male,55,3.28,548.9298614,21,0.700641082,faceWord_exp,42,545.1795259,546.8827625,12,336,Wednesday,y,22,545.880167,180
neu,562.3064477,image_stim_p.png,41,x,3,-1.502670653,spiritual,562.0433955,0.701758239,0.438706101,0,male,56,5.82,561.6046894,21,0.695456749,faceWord_exp,42,555.2438241,556.9427945,13,180,Wednesday,y,21,555.9392809,336
neu,569.7601363,image_stim_n.png,42,x,3,-1.343270425,jam,569.4311489,0.694269598,0.365282155,1,male,57,5.81,569.0658667,21,0.695069532,faceWord_exp,42,565.3226267,567.0213181,13,336,Wednesday,y,22,566.0176962,180
pos,579.8211815,image_stim_p.png,31,x,3,-1.900261182,couple,579.6071131,0.695309043,0.481240625,0,male,58,7.11,579.1258725,21,0.694262403,faceWord_exp,42,575.3835615,577.0813719,11,336,Wednesday,y,21,576.0778239,180
neg,589.8812182,image_stim_n.png,32,x,3,1.880222475,dusty,589.8545135,0.695955475,0.669250796,1,male,59,3.95,589.1852627,21,0.694205811,faceWord_exp,42,585.4434301,587.1413607,12,336,Wednesday,y,22,586.1376359,180
neu,602.5479046,image_stim_p.png,41,x,3,-0.688417137,egg,602.238997,0.695703429,0.3867959,0,male,60,5.95,601.8522011,21,0.695083381,faceWord_exp,42,595.5031487,597.2013783,13,180,Wednesday,y,21,596.198232,336
