img,correct_resp,word_label,delay_frames_after,no,duration_measured_img,scan day,gender,response,word_score_pc,word_trigger,word_score_warriner,age,ID,offset_img,word,img_trigger,delay_frames_before,onset_img,pause_trigger_t,onset_word,pause_trigger,offset_word,duration_frames,session,condition,key_t,duration_measured_word,rt
image_stim_p.png,1,pos,180,25,0.6922079209980438,Monday,female,b,-3.2613064969771037,11,8.37,20,001,248.58989828199992,fun,21,336,247.89769036100188,243.27259707900157,241.57689494700026,31,242.27160547800304,42,1,faceWord_exp,248.24235219399998,0.6947105310027837,0.34466183299809927
image_stim_n.png,1,neg,180,26,0.6919790639985877,Monday,female,y,2.166851165767892,12,3.08,20,001,258.6078947220012,aggressive,22,336,257.91591565800263,253.29033965300187,251.59483435800212,32,252.28992180500063,42,1,faceWord_exp,258.24371105200044,0.6950874469985138,0.32779539399780333
image_stim_p.png,1,pos,336,27,0.6916002149991982,Monday,female,b,-3.1501939707833047,11,8.47,20,001,266.0259334850016,happy,21,180,265.3343332700024,263.3090059540009,261.61313129500195,31,262.30814852500043,42,1,faceWord_exp,265.97852161000264,0.6950172299984843,0.6441883400002553
image_stim_p.png,1,pos,336,28,0.691891439997562,Monday,female,b,-2.2727319315779937,11,6.45,20,001,276.04387478100034,pie,21,180,275.3519833410028,273.32726300300055,271.63080114900004,31,272.3263546220005,42,1,faceWord_exp,275.880181247001,0.6955534730004729,0.5281979059982405
image_stim_p.png,1,pos,180,29,0.6951763960023527,Monday,female,b,-2.3673221107876317,11,7.25,20,001,288.66269860300235,garden,21,336,287.967522207,283.345207518003,281.64921473600043,31,282.344458147003,42,1,faceWord_exp,288.41552918600064,0.6952434110025933,0.44800697900063824
image_stim_n.png,1,neg,336,30,0.6923266039993905,Monday,female,y,3.457530661450998,12,2.05,20,001,296.08054796299984,victim,22,180,295.38822135900045,293.3636933810012,291.667835182001,32,292.36276615500174,42,1,faceWord_exp,295.8830769010019,0.6949309730007371,0.49485554200146
image_stim_n.png,0,neg,336,31,0.7071271340028034,Monday,female,b,0.98843671158419,12,4.73,20,001,306.11550933500257,commander,22,180,305.40838220099977,303.38189727600184,301.68788953400144,32,302.38102973900095,42,1,faceWord_exp,305.96887704500114,0.6931402049995086,0.5604948440013686
image_stim_p.png,1,neu,336,32,0.6931035529996734,Monday,female,b,-0.5907285556577869,13,5.16,20,001,316.13364070100215,truck,21,180,315.4405371480025,313.41667230500025,311.72092847500244,41,312.4158101640023,42,1,faceWord_exp,316.0024921100012,0.6948816889998852,0.5619549619987083
image_stim_n.png,1,neg,180,33,0.6920590349982376,Monday,female,y,0.2016963621838916,12,4.9,20,001,328.75231820200133,plot,22,336,328.0602591670031,323.43494367400126,321.7386369600026,32,322.43411141400065,42,1,faceWord_exp,328.65521084600186,0.6954744539980311,0.5949516789987683
image_stim_n.png,1,neg,336,34,0.6920401139977912,Monday,female,y,1.7036686386059527,12,4.23,20,001,336.1701595459999,jury,22,180,335.47811943200213,333.45322422200115,331.7581166710006,32,332.45230295500005,42,1,faceWord_exp,336.04016476400284,0.6941862839994428,0.5620453320007073
image_stim_n.png,1,neu,180,35,0.6950776919984492,Monday,female,y,-0.7213913907893977,13,5.42,20,001,348.78865304099963,treaty,22,336,348.0935753490012,343.4709553690009,341.77402078399973,42,342.47047906300213,42,1,faceWord_exp,348.69105351100006,0.6964582790023996,0.5974781619988789
image_stim_n.png,1,neu,336,36,0.6924486410025565,Monday,female,y,-1.1856791528275217,13,5.88,20,001,356.20655924800303,hamster,22,180,355.5141106070005,353.4896595470018,351.7940761860009,42,352.48877168200124,42,1,faceWord_exp,356.07671408900205,0.6946954960003495,0.5626034820015775
image_stim_p.png,0,pos,180,37,0.6921720220016141,Monday,female,y,-1.2313279950095668,11,7.68,20,001,368.8251724280017,new,21,336,368.13300040600006,363.5078855920001,361.8110575000028,31,362.50693863700144,42,1,faceWord_exp,368.6118623950024,0.6958811369986506,0.47886198900232557
image_stim_n.png,1,neu,180,38,0.6925934390019393,Monday,female,y,0.3759356543037889,13,5.05,20,001,378.8431536570024,fence,22,336,378.15056021800046,373.52594501600106,371.82939944900136,42,372.5249757240017,42,1,faceWord_exp,378.69577700599984,0.6955762750003487,0.5452167879993794
image_stim_p.png,1,pos,336,39,0.691970339998079,Monday,female,b,-1.5151286486205269,11,7.13,20,001,386.26126161700086,lake,21,180,385.5692912770028,383.54441583300286,381.8474334370003,31,382.54349814700254,42,1,faceWord_exp,386.18081631899986,0.696064710002247,0.6115250419970835
image_stim_n.png,1,neu,180,40,0.692722171999776,Monday,female,y,0.26215401176465297,13,5.41,20,001,398.8798211470021,school,22,336,398.1870989750023,393.5625380780002,391.8668838370031,42,392.56166171600125,42,1,faceWord_exp,398.7998058740013,0.6947778789981385,0.6127068989990221
image_stim_p.png,1,neu,336,41,0.6922776230021555,Monday,female,b,-0.31568469709749714,13,5.71,20,001,406.2975310060028,tourist,21,180,405.6052533830007,403.5806624240031,401.88518193500204,41,402.57975321100093,42,1,faceWord_exp,406.6836999010011,0.6945712759988965,1.078446518000419
