onset_img,duration_measured_word,delay_frames_after,word,word_label,onset_word,rt,key_t,img_trigger,pause_trigger,gender,word_score_pc,duration_frames,no,word_trigger,word_score_warriner,offset_img,response,offset_word,age,session,img,ID,delay_frames_before,condition,scan day,pause_trigger_t,correct_resp,duration_measured_img
107.8578534469707,0.695662803016603,180,curse,neg,101.54224575299304,0.5837239000247791,108.44157734699547,22,32,female,3.659937177091274,42,11,12,2.9,108.55556454299949,y,102.23790855600964,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,103.23596453899518,1,0.6977110960287973
115.26733563496964,0.6937660630210303,336,cherry,pos,111.55298385897186,0.7557055960060097,116.02304123097565,21,31,female,-1.7441234463665167,42,12,11,7.05,115.95488090597792,b,112.24674992199289,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,113.24502230901271,1,0.6875452710082754
125.26920272299321,0.6932201269664802,336,clue,neu,121.54749463801272,0.6319264299818315,125.90112915297505,22,42,female,0.07992973296861662,42,13,13,5.38,125.96547596598975,y,122.2407147649792,23,5,image_stim_n.png,1,180,faceWord_exp,Monday,123.23893240001053,1,0.6962732429965399
137.86331881699152,0.694575942994561,180,umbrella,neu,131.55479625600856,0.5927767570246942,138.45609557401622,22,42,female,0.002541127499528235,42,14,13,5.84,138.55134595098207,y,132.24937219900312,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,133.24742535100086,1,0.6880271339905448
147.85945460997755,0.6951383919804357,180,hierarchy,neg,141.54760152101517,0.6539206150337122,148.51337522501126,22,32,female,1.0236166268558873,42,15,12,4.95,148.5619778910186,y,142.2427399129956,23,5,image_stim_n.png,1,336,faceWord_exp,Monday,143.24095458799275,1,0.7025232810410671
155.2725972799817,0.6949514009756967,336,arm,neu,151.55754858301952,0.608006087015383,155.8806033669971,21,41,female,-0.2527650722021685,42,16,13,5.44,155.96136933000525,b,152.25249998399522,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,153.25039626000216,1,0.6887720500235446
165.2703281629947,0.6959849529666826,336,wit,pos,161.54971764300717,0.6713775569805875,165.9417057199753,21,31,female,-1.2397352233188434,42,17,11,7.25,165.9709580669878,b,162.24570259597385,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,163.2440312789986,1,0.7006299039931037
175.28186293097679,0.6925242699799128,336,television,pos,171.56251367600635,0.6177155710174702,175.89957850199426,21,31,female,-1.295378487470534,42,18,11,7.18,175.97990111797117,b,172.25503794598626,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,173.25359795696568,1,0.6980381869943812
187.88538568397053,0.6956449630088173,180,cash,pos,181.57037765998393,0.6037099880049936,188.48909567197552,21,31,female,-1.6872526925643307,42,19,11,7.51,188.583401107986,b,182.26602262299275,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,183.26389589498285,1,0.6980154240154661
197.89401377399918,0.6954019660479389,180,editor,neu,191.57946616696427,0.570049547997769,198.46406332199695,21,41,female,0.14106522732466809,42,20,13,5.43,198.5942103069974,b,192.2748681330122,23,5,image_stim_p.png,1,336,faceWord_exp,Monday,193.27371232199948,1,0.700196532998234
205.31782947899774,0.6906945680384524,336,ticket,neu,201.5939084959682,0.6141132990014739,205.9319427779992,21,41,female,-0.7502239645266248,42,21,13,5.28,206.00936139700934,b,202.28460306400666,23,5,image_stim_p.png,1,180,faceWord_exp,Monday,203.2828618719941,1,0.6915319180116057
