duration_frames,onset_img,word,duration_measured_word,img_trigger,word_trigger,age,pause_trigger,no,word_score_pc,word_score_warriner,word_label,img,response,pause_trigger_t,scan day,correct_resp,offset_word,ID,delay_frames_after,duration_measured_img,delay_frames_before,rt,session,key_t,gender,offset_img,condition,onset_word
24,283.4604546999908,friendly,0.6478629999910481,21,11,22,31,19,-2.9544920916265727,7.84,pos,image_stim_p.png,,275.6491404999979,Monday,,273.9712386999745,B12,180,0.6202202999847941,336,,5,,female,284.0806749999756,faceWord_exp,273.32337569998344
24,294.0521162999794,bus,0.6637980999657884,22,13,22,42,20,0.5156614996478043,5.12,neu,image_stim_n.png,y,290.94503399997484,Monday,1,289.4246226999676,B12,336,0.8790474000270478,180,1.795961800031364,5,295.84807810001075,female,294.93116370000644,faceWord_exp,288.7608246000018
24,313.3247566999635,hierarchy,0.6354901000158861,22,12,22,32,21,1.0236166268558873,4.95,neg,image_stim_n.png,y,305.9469107000041,Monday,1,304.3706591000082,B12,180,0.6778577000368387,336,1.8784338000114076,5,315.2031904999749,female,314.0026144000003,faceWord_exp,303.7351689999923
24,328.0669006999815,engineer,0.6079525999957696,22,13,22,42,22,-0.41434578466507305,5.79,neu,image_stim_n.png,y,320.72646609996445,Monday,1,319.21916739997687,B12,180,0.6119835000135936,336,1.1675304000382312,5,329.2344311000197,female,328.6788841999951,faceWord_exp,318.6112147999811
24,339.1071949999896,clue,0.7976288000354543,21,13,22,41,23,0.07992973296861662,5.38,neu,image_stim_p.png,b,335.9026073999703,Monday,1,334.28363690001424,B12,336,0.6046054000034928,180,4.808370099985041,5,343.91556509997463,female,339.7118003999931,faceWord_exp,333.4860080999788
24,357.9084290000028,stapler,0.6683545999694616,21,13,22,41,24,0.19443075193465506,5.25,neu,image_stim_p.png,b,350.7264869000064,Monday,1,349.2283090999699,B12,180,0.6583633999689482,336,1.2715637999936007,5,359.1799927999964,female,358.56679239997175,faceWord_exp,348.55995450000046
24,368.6489637999912,number,0.5924667000072077,22,13,22,42,25,0.2374341841762725,5.59,neu,image_stim_n.png,y,365.38339219999034,Monday,1,363.8839511999977,B12,336,0.6542254000087269,180,1.9466167999780737,5,370.59558059996925,female,369.3031891999999,faceWord_exp,363.2914844999905
24,387.8421404999681,television,0.5781035000109114,21,11,22,31,26,-1.295378487470534,7.18,pos,image_stim_p.png,b,380.5003489999799,Monday,1,378.88392749999184,B12,180,0.7011644000303932,336,3.1860492000123486,5,391.02818969998043,female,388.5433048999985,faceWord_exp,378.30582399998093
24,399.0307909999974,dread,0.7402075999998488,22,12,22,32,27,4.006417686109669,3.0,neg,image_stim_n.png,y,395.7940177000128,Monday,1,394.2932437999989,B12,336,0.612335100013297,180,1.7139422000036575,5,400.74473320000106,female,399.6431261000107,faceWord_exp,393.55303619999904
24,418.8999326999765,cherry,0.8566747999866493,21,11,22,31,28,-1.7441234463665167,7.05,pos,image_stim_p.png,b,411.3510525000165,Monday,1,409.80829580000136,B12,180,0.6653386999969371,336,1.7364544000010937,5,420.6363870999776,female,419.5652713999734,faceWord_exp,408.9516210000147
24,434.22551059996476,riot,0.7384968000114895,22,12,22,32,29,3.227422121163128,3.15,neg,image_stim_n.png,b,427.0044401999912,Monday,0,425.43213849997846,B12,180,0.5992778000072576,336,1.5703096000361256,5,435.7958202000009,female,434.824788399972,faceWord_exp,424.693641699967
24,445.1335272999713,mosquito,0.6525981999584474,22,12,22,32,30,2.9843905620469613,3.12,neg,image_stim_n.png,y,441.8476448999718,Monday,1,440.30693149997387,B12,336,0.7605998000362888,180,2.792353200027719,5,447.92588049999904,female,445.8941271000076,faceWord_exp,439.6543333000154
24,460.4562150000129,bed,0.5937766000279225,21,11,22,31,31,-1.962809513975644,7.16,pos,image_stim_p.png,b,457.1501020999858,Monday,1,455.6475672000088,B12,336,0.6573973000049591,180,2.150456999952439,5,462.60667199996533,female,461.11361230001785,faceWord_exp,455.05379059998086
24,475.18255670001963,applause,0.5906363999820314,21,11,22,31,32,-2.3591802685249372,7.12,pos,image_stim_p.png,b,471.79960259998916,Monday,1,470.296110700001,B12,336,0.6875761999981478,180,-3.0193061000318266,5,472.1632505999878,female,475.8701329000178,faceWord_exp,469.705474300019
24,490.7915744999773,company,0.6879916000179946,22,13,22,42,33,0.4587040848007746,5.64,neu,image_stim_n.png,y,487.29057329997886,Monday,1,485.6778076000046,B12,336,0.6150918999919668,180,0.9434185000136495,5,491.73499299999094,female,491.40666639996925,faceWord_exp,484.9898159999866
24,506.3079620000208,banker,0.5998392999754287,22,12,22,32,34,0.8708146708303101,4.89,neg,image_stim_n.png,y,502.9210033999989,Monday,1,501.33720589999575,B12,336,0.6373932999558747,180,5.07202869997127,5,511.37999069999205,female,506.94535529997665,faceWord_exp,500.7373666000203
24,525.534118200012,dead,0.6116846000077203,22,12,22,32,35,4.0294120701769724,2.02,neg,image_stim_n.png,y,518.1369330000016,Monday,1,516.6218286000076,B12,180,0.6874822999816388,336,2.2055011999909766,5,527.739619400003,female,526.2216004999937,faceWord_exp,516.0101439999999
24,540.2547560000094,tangerine,0.5879846999887377,21,11,22,31,36,-1.178487968131687,6.81,pos,image_stim_p.png,b,533.0306672999868,Monday,1,531.3949642999796,B12,180,0.6164713999605738,336,2.9507300999830477,5,543.2054860999924,female,540.8712273999699,faceWord_exp,530.8069795999909
24,551.1390862999833,penguin,0.5839839999680407,21,11,22,31,37,-1.2194148821621404,6.65,pos,image_stim_p.png,b,547.805743200006,Monday,1,546.1976017999696,B12,336,0.6147823000210337,180,1.1215571000357158,5,552.260643400019,female,551.7538686000044,faceWord_exp,545.6136178000015
