offset_word,ID,gender,condition,no,offset_img,word,correct_resp,onset_word,key_t,img_trigger,word_score_warriner,rt,duration_measured_img,word_trigger,response,pause_trigger,word_label,delay_frames_before,word_score_pc,session,pause_trigger_t,age,duration_frames,scan day,delay_frames_after,duration_measured_word,onset_img,img
102.24491037003463,km,male,faceWord_exp,11,105.98008238599868,chestnut,1,101.5514985070331,105.90111425699433,22,5.68,0.619533049990423,0.6985011789947748,13,y,42,neu,180,-0.4880378396985329,4,103.2460039970465,21,42,Monday,336,0.6934118630015291,105.28158120700391,image_stim_n.png
112.28303355403477,km,male,faceWord_exp,12,116.01815868902486,bonfire,1,111.58949563099304,115.77033204503823,21,6.53,0.4526119840447791,0.7004386280314066,11,b,31,pos,180,-1.7974288604529352,4,113.28406323504169,21,42,Monday,336,0.6935379230417311,115.31772006099345,image_stim_p.png
122.321142462024,km,male,faceWord_exp,13,126.05634407803882,gratitude,1,121.6274566409993,125.84788973099785,21,6.67,0.4930570449796505,0.7015113920206204,11,b,31,pos,180,-2.8305869761860607,4,123.32229567703325,21,42,Monday,336,0.693685821024701,125.3548326860182,image_stim_p.png
132.3591989960405,km,male,faceWord_exp,14,138.69552340800874,hand,1,131.6637102200184,138.64831117802532,22,5.9,0.6542098229983822,0.7014220529817976,13,y,42,neu,336,-0.29144085929118746,4,133.36027792299865,21,42,Monday,180,0.6954887760221027,137.99410135502694,image_stim_n.png
142.39743979199557,km,male,faceWord_exp,15,148.7336608400219,journalist,1,141.70403115201043,148.61869506404037,21,5.3,0.5860942240105942,0.7010599999921396,13,b,41,neu,336,0.18094025084207666,4,143.39837314904435,21,42,Monday,180,0.6934086399851367,148.03260084002977,image_stim_p.png
152.4353537360439,km,male,faceWord_exp,16,156.1705851770239,heroism,1,151.74042318103602,156.008478061005,21,7.05,0.539221870014444,0.7013289860333316,11,b,31,pos,180,-2.30162279277581,4,153.43648666300578,21,42,Monday,336,0.6949305550078861,155.46925619099056,image_stim_p.png
162.47342788503738,km,male,faceWord_exp,17,168.8098383450415,wonder,1,161.7806351010222,168.67879378603538,21,6.68,0.567784885992296,0.6988294449984096,11,b,31,pos,336,-2.303583541830637,4,163.4745942419977,21,42,Monday,180,0.6927927840151824,168.1110089000431,image_stim_p.png
172.51157903799322,km,male,faceWord_exp,18,178.84783258102834,shoulder,1,171.81673276500078,178.68578845600132,21,5.1,0.5386252029566094,0.7006693279836327,13,b,41,neu,336,0.12602488928311428,4,173.51240025600418,21,42,Monday,180,0.6948462729924358,178.1471632530447,image_stim_p.png
182.54982344503514,km,male,faceWord_exp,19,186.2847730310168,scream,1,181.85453253699234,186.31999101303518,22,3.02,0.7365471459925175,0.701329163974151,12,y,32,neg,180,2.6978270877422883,4,183.55022318603005,21,42,Monday,336,0.6952909080428071,185.58344386704266,image_stim_n.png
192.58787675300846,km,male,faceWord_exp,20,196.32300938502885,peace,1,191.8924690129934,196.15804306603968,21,7.75,0.5351464539999142,0.7001127729890868,11,b,31,pos,180,-3.0311112754680245,4,193.58888835302787,21,42,Monday,336,0.6954077400150709,195.62289661203977,image_stim_p.png
