onset_img,scan day,pause_trigger_t,key_t,rt,session,delay_frames_before,offset_img,gender,correct_resp,age,delay_frames_after,duration_measured_word,offset_word,img,condition,word_score_warriner,word_trigger,word,no,ID,duration_frames,response,word_score_pc,pause_trigger,img_trigger,duration_measured_img,word_label,onset_word
107.79842043499957,Wednesday,103.1681328880004,108.15552282900171,0.3571023940021405,2,336,108.50350724500458,female,0,20,180,0.6968315460035228,102.16712831600307,image_stim_p.png,faceWord_exp,5.55,13,eggplant,11,jules,42,k,-0.09980687036967174,41,21,0.7050868100050138,neu,101.47029676999955
115.2349191309986,Wednesday,113.20630721699854,115.74326515100256,0.5083460200039553,2,180,115.94034407000436,female,0,20,336,0.6966375240008347,112.20517987500352,image_stim_n.png,faceWord_exp,5.62,13,speech,12,jules,42,l,-0.18776275500974607,42,22,0.7054249390057521,neu,111.50854235100269
125.27793084800214,Wednesday,123.244353039001,125.74733110800298,0.4694002600008389,2,180,125.97838417900493,female,0,20,336,0.6948655130036059,122.24332884600153,image_stim_p.png,faceWord_exp,5.86,13,whole,13,jules,42,k,0.10630403813009667,41,21,0.700453331002791,neu,121.54846333299793
135.3116322450005,Wednesday,133.28241564500058,135.83667584000068,0.5250435950001702,2,180,136.0164294799979,female,0,20,336,0.6971023959995364,132.28140059100406,image_stim_p.png,faceWord_exp,7.5,11,summer,14,jules,42,k,-1.7608811602119443,31,21,0.7047972349973861,pos,131.58429819500452
145.35005269200337,Wednesday,143.32029515699833,146.00721917600458,0.657166484001209,2,180,146.0546291540013,female,0,20,336,0.6968040579959052,142.31954525000037,image_stim_p.png,faceWord_exp,6.76,11,artist,15,jules,42,k,-1.2978987804410356,31,21,0.7045764619979309,pos,141.62274119200447
155.38770730800024,Wednesday,153.35855483900377,155.8625614410048,0.4748541330045555,2,180,156.09273767600098,female,0,20,336,0.697009904004517,152.35802118800348,image_stim_p.png,faceWord_exp,6.91,11,spaghetti,16,jules,42,k,-1.7539828459428422,31,21,0.7050303680007346,pos,151.66101128399896
168.0270942089992,Wednesday,163.39662678800232,168.40107097400323,0.37397676500404486,2,336,168.73205012700055,female,0,20,180,0.6968448379993788,162.39571884799807,image_stim_n.png,faceWord_exp,4.81,12,stone,17,jules,42,l,0.5494484707734639,32,22,0.7049559180013603,neg,161.6988740099987
175.4635693750024,Wednesday,173.43485704700288,175.97230286400008,0.5087334889976773,2,180,176.16875052900286,female,0,20,336,0.6967992809950374,172.43377096499898,image_stim_n.png,faceWord_exp,4.29,12,tired,18,jules,42,l,2.351878020671037,32,22,0.7051811540004564,neg,171.73697168400395
188.1033565280013,Wednesday,183.4728551799999,188.65910342999996,0.5557469019986456,2,336,188.80822654499934,female,0,20,180,0.696818255004473,182.47186227600469,image_stim_p.png,faceWord_exp,5.5,13,nose,19,jules,42,k,-0.049892793833906636,41,21,0.7048700169980293,neu,181.7750440210002
195.54031786700216,Wednesday,193.51099734700256,196.02941075200215,0.48909288499999093,2,180,196.24505129200406,female,0,20,336,0.6969579290016554,192.5101871070001,image_stim_p.png,faceWord_exp,7.68,11,musical,20,jules,42,k,-1.3503642789447028,31,21,0.7047334250019048,pos,191.81322917799844
205.58110053800192,Wednesday,203.5490788620009,206.15180772400345,0.5707071860015276,2,180,206.28322274400125,female,0,20,336,0.6940157319986611,202.54802980800014,image_stim_n.png,faceWord_exp,3.48,12,axe,21,jules,42,l,0.7321109855355353,32,22,0.7021222059993306,neg,201.85401407600148
218.21769011300057,Wednesday,213.58717481700296,219.1071712339981,0.889481120997516,2,336,218.92258307999873,female,0,20,180,0.6958773200021824,212.58598947100108,image_stim_p.png,faceWord_exp,5.82,13,monkey,22,jules,42,k,-0.6680004122251881,41,21,0.704892966998159,neu,211.8901121509989
225.6546329490011,Wednesday,223.62529742200422,226.16105634700216,0.5064233980010613,2,180,226.35964873000194,female,0,20,336,0.6968887399998493,222.62424948999978,image_stim_p.png,faceWord_exp,5.03,13,scissors,23,jules,42,k,0.4272037094573085,41,21,0.7050157810008386,neu,221.92736074999993
235.692278429,Wednesday,233.66332812600012,236.18216944800224,0.4898910190022434,2,180,236.39745783300168,female,0,20,336,0.6956166800009669,232.66231506300392,image_stim_n.png,faceWord_exp,2.95,12,perjury,24,jules,42,l,3.222893544100452,32,22,0.705179404001683,neg,231.96669838300295
245.73028765399795,Wednesday,243.7014340300011,246.22140337299788,0.4911157189999358,2,180,246.4354154419998,female,0,20,336,0.6958291679984541,242.7004210130035,image_stim_n.png,faceWord_exp,4.43,12,van,25,jules,42,l,-0.14866519221167074,32,22,0.7051277880018461,neg,242.00459184500505
258.36973793200013,Wednesday,253.73953421899932,258.90906132999953,0.5393233979993965,2,336,259.0748630270027,female,0,20,180,0.6967280610042508,252.73857900900475,image_stim_p.png,faceWord_exp,7.21,11,optimism,26,jules,42,k,-2.7563434535584275,31,21,0.705125095002586,pos,252.0418509480005
265.8072795670014,Wednesday,263.7776463810005,266.3299558819999,0.5226763149985345,2,180,266.51170483999886,female,0,20,336,0.6963722569998936,262.77657533300226,image_stim_n.png,faceWord_exp,4.76,12,landslide,27,jules,42,l,3.561717315569441,32,22,0.7044252729974687,neg,262.08020307600236
278.4487966000015,Wednesday,273.81604214000254,278.93625494700245,0.4874583470009384,2,336,279.15101462099847,female,0,20,180,0.6943755090032937,272.81467644200166,image_stim_p.png,faceWord_exp,6.95,11,restaurant,28,jules,42,k,-2.0702836690965865,31,21,0.702218020996952,pos,272.12030093299836
288.4838526270032,Wednesday,283.85394228099904,289.00841369800037,0.5245610709971515,2,336,289.1891512240036,female,0,20,180,0.6964706689977902,282.8522538289981,image_stim_n.png,faceWord_exp,4.35,12,plea,29,jules,42,l,2.166481281776448,32,22,0.7052985970003647,neg,282.1557831600003
295.9208079989985,Wednesday,293.8919171460002,296.343886224,0.42307822500151815,2,180,296.6259800600019,female,0,20,336,0.697128725994844,292.8908678029984,image_stim_n.png,faceWord_exp,4.41,12,jaw,30,jules,42,l,0.16339675594021513,32,22,0.7051720610033954,neg,292.19373907700356
308.5597949820003,Wednesday,303.93003165700065,309.05170834100136,0.49191335900104605,2,336,309.2650624220041,female,0,20,180,0.6970935790013755,302.928982919002,image_stim_n.png,faceWord_exp,4.52,12,excuse,31,jules,42,l,2.373388118792564,32,22,0.7052674400038086,neg,302.23188934000063
318.5985929220042,Wednesday,313.9679751510048,319.07224871699873,0.47365579499455635,2,336,319.303398267999,female,0,20,180,0.6966735479945783,312.96708122199925,image_stim_p.png,faceWord_exp,6.81,11,sailboat,32,jules,42,k,-1.5621536719325724,31,21,0.7048053459948278,pos,312.2704076740047
326.03558168400195,Wednesday,324.0061575229993,326.575755924001,0.5401742399990326,2,180,326.740270195005,female,0,20,336,0.6966873650017078,323.0051489270045,image_stim_p.png,faceWord_exp,5.8,13,toaster,33,jules,42,k,-0.5451009915059291,41,21,0.7046885110030416,neu,322.3084615620028
336.07309034300124,Wednesday,334.0441895440017,336.58065566000005,0.5075653169988072,2,180,336.77832606900483,female,0,20,336,0.6970341960040969,333.04324564200215,image_stim_p.png,faceWord_exp,6.73,11,luck,34,jules,42,k,-2.2291915044129413,31,21,0.7052357260035933,pos,332.34621144599805
346.11166185299953,Wednesday,344.0823690690013,346.60041940800147,0.4887575550019392,2,180,346.8164560380028,female,0,20,336,0.6968882859946461,343.0813944449983,image_stim_p.png,faceWord_exp,7.28,11,knowledge,35,jules,42,k,-1.6425048482978826,31,21,0.7047941850032657,pos,342.38450615900365
356.14952742300375,Wednesday,354.1204687540012,356.6394681590027,0.4899407359989709,2,180,356.85459949700453,female,0,20,336,0.6966658110031858,353.11943435200374,image_stim_p.png,faceWord_exp,6.8,11,fireworks,36,jules,42,k,-1.926056195769395,31,21,0.7050720740007819,pos,352.42276854100055
368.79224262400385,Wednesday,364.1585893010051,369.2965216740049,0.5042790500010597,2,336,369.4937401310017,female,0,20,180,0.6945188300014706,363.1575124869996,image_stim_n.png,faceWord_exp,5.5,13,winter,37,jules,42,l,0.3495373155897487,42,22,0.7014975069978391,neu,362.46299365699815
378.82721556300385,Wednesday,374.19630470799893,379.35127436800394,0.5240588050000952,2,336,379.5304957890039,female,0,20,180,0.6972037840023404,373.19533277900337,image_stim_p.png,faceWord_exp,5.07,13,street,38,jules,42,k,0.3228926581020319,41,21,0.7032802260000608,neu,372.498128995001
388.8816910680034,Wednesday,384.23456231199816,389.3217281690013,0.44003710099786986,2,336,389.58649272200273,female,0,20,180,0.697006534996035,383.23375894199853,image_stim_p.png,faceWord_exp,6.17,11,chicken,39,jules,42,k,-1.3205598447631597,31,21,0.7048016539993114,pos,382.5367524070025
396.3220910270029,Wednesday,394.2889783120045,396.8269662870007,0.5048752599977888,2,180,397.02362118800374,female,0,20,336,0.6971441809946555,393.28778240799875,image_stim_p.png,faceWord_exp,7.1,11,barbecue,40,jules,42,k,-2.5746228757417584,31,21,0.7015301610008464,pos,392.5906382270041
408.9590417580039,Wednesday,404.3272047700011,409.4330562989999,0.47401454099599505,2,336,409.66214048500115,female,0,20,180,0.6965421269997023,403.3258580430047,image_stim_n.png,faceWord_exp,5.72,13,apartment,41,jules,42,l,-0.5485436049411244,42,22,0.7030987269972684,neu,402.629315916005
418.99660672499886,Wednesday,414.3656210440022,419.4527184079998,0.45611168300092686,2,336,419.7003118020002,female,0,20,180,0.6973139309993712,413.3642041819985,image_stim_n.png,faceWord_exp,2.53,12,angry,42,jules,42,l,3.4296451702105397,32,22,0.7037050770013593,neg,412.66689025099913
