correct_resp,session,age,word_score_warriner,onset_word,word_score_pc,delay_frames_before,offset_img,duration_measured_img,pause_trigger,key_t,rt,word_trigger,onset_img,duration_measured_word,img,word_label,ID,pause_trigger_t,img_trigger,duration_frames,word,offset_word,scan day,condition,no,response,delay_frames_after,gender
1,4,22,5.59,121.29453473999456,-0.05436507667908295,180,125.70688095199876,0.6908179349993588,41,122.29298844200093,-2.7230745749984635,13,125.0160630169994,0.6959202520083636,image_stim_p.png,neu,C,122.99079879499914,21,42,mouth,121.99045499200292,Monday,faceWord_exp,13,b,336,female
1,4,22,7.27,131.31213579999167,-2.066768843681998,180,135.72342705300252,0.6905206430092221,31,132.09318104299018,-2.9397253670031205,11,135.0329064099933,0.6945757799985586,image_stim_p.png,pos,C,133.007433701001,21,42,honey,132.00671157999022,Monday,faceWord_exp,14,b,336,female
1,4,22,6.52,141.32815116200072,-1.5215329943370883,180,145.74000068599707,0.6909291189949727,31,142.1935252760013,-2.855546291000792,11,145.0490715670021,0.6953393119911198,image_stim_p.png,pos,C,143.02401008199377,21,42,bread,142.02349047399184,Monday,faceWord_exp,15,b,336,female
1,4,22,2.62,151.34414383900003,4.2176174504439885,180,155.75660952199541,0.6909094190050382,32,152.29216441999597,-2.7735356829944067,12,155.06570010299038,0.6958328379987506,image_stim_n.png,neg,C,153.04033937999338,22,42,insult,152.03997667699878,Monday,faceWord_exp,16,y,336,female
0,4,22,5.67,161.36265789499157,-0.6996261236875504,336,168.38969557300152,0.7053185609984212,42,163.30862788599916,-4.375749126003939,13,167.6843770120031,0.6938716470031068,image_stim_n.png,neu,C,163.05698132999532,22,42,bell,162.05652954199468,Monday,faceWord_exp,17,b,180,female
1,4,22,3.02,171.39391863498895,2.6978270877422883,336,178.40621078999538,0.6913107029977255,32,172.40935083999648,-5.305549247001181,12,177.71490008699766,0.6957970990042668,image_stim_n.png,neg,C,173.08995013000094,22,42,scream,172.08971573399322,Monday,faceWord_exp,18,y,180,female
1,4,22,2.55,181.410920024995,3.9974740190684885,180,185.82283916899178,0.6909932229900733,32,182.3423762609891,-2.789469685012591,12,185.1318459460017,0.6951320100051817,image_stim_n.png,neg,C,183.10673545100144,22,42,accident,182.10605203500018,Monday,faceWord_exp,19,y,336,female
1,4,22,4.75,191.42793428699952,0.42679466080263373,180,195.8393749849929,0.6904041719972156,32,193.0259618830023,-2.123008929993375,12,195.14897081299569,0.694893519001198,image_stim_n.png,neg,C,193.12350293299824,22,42,zone,192.1228278060007,Monday,faceWord_exp,20,y,336,female
1,4,22,6.73,201.44370428699767,-1.2094761189992442,336,208.45578079498955,0.6904998339887243,31,202.75910670099256,-5.006174260008265,11,207.76528096100083,0.6956148570025107,image_stim_p.png,pos,C,203.1395591890032,21,42,parent,202.13931914400018,Monday,faceWord_exp,21,b,180,female
1,4,22,7.75,211.46002444799524,-3.0311112754680245,336,218.47240203300316,0.6904320720059332,31,212.2750537230022,-5.5069162379950285,11,217.78196996099723,0.695605176006211,image_stim_p.png,pos,C,213.15625075099524,21,42,peace,212.15562962400145,Monday,faceWord_exp,22,b,180,female
1,4,22,3.57,221.4767400619894,2.8314410724962364,180,225.88844186200004,0.6903782800072804,32,222.84178760799114,-2.356275974001619,12,225.19806358199276,0.6954554130061297,image_stim_n.png,neg,C,223.17262133100303,22,42,denial,222.17219547499553,Monday,faceWord_exp,23,y,336,female
0,4,22,5.43,231.49541249399772,-0.7774272008663468,180,235.92223355500028,0.7056024080084171,42,232.4918378029979,-2.7247933439939516,13,235.21663114699186,0.6935223219916224,image_stim_n.png,neu,C,233.18924596099532,22,42,theme,232.18893481598934,Monday,faceWord_exp,24,b,336,female
1,4,22,6.42,241.52639997199003,-1.6859102219357711,336,248.53866683300294,0.6913084230036475,31,243.05707560399605,-4.790282806003233,11,247.8473584099993,0.6955455480056116,image_stim_p.png,pos,C,243.22238974799984,21,42,truce,242.22194551999564,Monday,faceWord_exp,25,b,180,female
0,4,22,4.95,251.54434922400105,0.19555716741692625,336,258.5550986820017,0.6911340290098451,32,252.4913909809984,-5.37257367199345,12,257.86396465299185,0.6943209279997973,image_stim_n.png,neg,C,253.23886087599385,22,42,majority,252.23867015200085,Monday,faceWord_exp,26,b,180,female
1,4,22,3.36,261.56128655700013,-0.3663992490442602,180,265.97167292599624,0.6912059059977764,32,262.72426320299564,-2.5562038170028245,12,265.28046701999847,0.6938339909975184,image_stim_n.png,neg,C,263.25563775798946,22,42,expensive,262.25512054799765,Monday,faceWord_exp,27,y,336,female
0,4,22,3.52,271.5759961139993,2.0765857872261098,180,275.9882787550014,0.6909450630046194,32,273.08982177799044,-2.207511914006318,12,275.29733369199676,0.6948433149955235,image_stim_n.png,neg,C,273.27155802999914,22,42,court,272.2708394289948,Monday,faceWord_exp,28,b,336,female
1,4,22,5.3,281.59311049499956,0.18094025084207666,180,286.00470223400043,0.6904499710071832,41,282.4746074699942,-2.8396447929990245,13,285.31425226299325,0.6950862459925702,image_stim_p.png,neu,C,283.28868077899097,21,42,journalist,282.28819674099213,Monday,faceWord_exp,29,b,336,female
0,4,22,4.83,291.60852128198894,0.060511318752979076,180,296.02123621899227,0.690884316994925,32,293.53963143999863,-1.790720461998717,12,295.33035190199735,0.696051922001061,image_stim_n.png,neg,C,293.30529228100204,22,42,pig,292.30457320399,Monday,faceWord_exp,30,b,336,female
1,4,22,7.3,301.62881643199944,-2.411716547027706,180,306.03787935498985,0.6891734899982112,31,302.4239422620012,-2.9247636029904243,11,305.34870586499164,0.6922410589904757,image_stim_p.png,pos,C,303.3207277509937,21,42,flower,302.3210574909899,Monday,faceWord_exp,31,b,336,female
1,4,22,6.68,311.6419317230029,-2.303583541830637,180,316.054344225995,0.6904019920038991,31,312.4409063839994,-2.92303584999172,11,315.3639422339911,0.6956291179958498,image_stim_p.png,pos,C,313.33807801299554,21,42,wonder,312.3375608409988,Monday,faceWord_exp,32,b,336,female
0,4,22,5.95,321.6594662019925,0.0196438746392397,180,326.07074011699297,0.6903890690009575,42,322.6732935159962,-2.7070575319958152,13,325.380351047992,0.6947042270039674,image_stim_n.png,neu,C,323.3545953559951,22,42,worker,322.35417042899644,Monday,faceWord_exp,33,b,336,female
1,4,22,5.79,331.67548516899114,-0.4066038871991289,180,336.08696573499765,0.6901443620008649,41,332.706738805995,-2.6900825670018094,13,335.3968213729968,0.6948436280072201,image_stim_p.png,neu,C,333.3703405799897,21,42,baseball,332.37032879699836,Monday,faceWord_exp,34,b,336,female
