img_trigger,condition,ID,pause_trigger,offset_word,word_label,response,img,onset_img,duration_measured_word,duration_frames,rt,session,key_t,age,gender,onset_word,offset_img,delay_frames_before,correct_resp,duration_measured_img,no,pause_trigger_t,word_score_warriner,delay_frames_after,scan day,word_trigger,word,word_score_pc
22,faceWord_exp,12345,32,170.98896139999852,neg,y,image_stim_n.png,173.05261620000238,0.6865434999999707,42,0.5372466999979224,1,173.5898629000003,22,female,170.30241789999855,173.73888360000274,120,1,0.6862674000003608,39,171.99056569999811,4.9,60,Monday,12,plot,0.2016963621838916
22,faceWord_exp,12345,32,175.43689399999857,neg,y,image_stim_n.png,177.49550029999955,0.6888828999944963,42,0.239890100005141,1,177.7353904000047,22,female,174.74801110000408,178.1840607999984,120,1,0.6885604999988573,40,176.4355360000045,2.67,60,Monday,12,lonely,4.010420717126172
22,faceWord_exp,12345,32,179.88150529999984,neg,b,image_stim_n.png,180.94145420000132,0.6879895999954897,42,0.44185299999662675,1,181.38330719999794,22,female,179.19351570000435,181.63038419999793,60,0,0.688929999996617,41,176.4355360000045,4.55,120,Monday,12,meeting,0.7573178762670367
21,faceWord_exp,12345,41,184.32913060000283,neu,b,image_stim_p.png,186.388746800003,0.6834238000010373,42,0.45523379999940516,1,186.8439806000024,22,female,183.6457068000018,187.07634079999843,120,1,0.6875939999954426,42,185.33032210000238,5.42,60,Monday,13,treaty,-0.7213913907893977
22,faceWord_exp,12345,32,188.77629880000313,neg,y,image_stim_n.png,190.8385552000036,0.685383299998648,42,0.4686985999942408,1,191.30725379999785,22,female,188.09091550000448,191.5224898000015,120,1,0.6839345999978832,43,189.77593909999996,4.0,60,Monday,12,avalanche,3.2148840110758776
21,faceWord_exp,12345,41,193.22197340000275,neu,b,image_stim_p.png,194.28358229999867,0.6837786000032793,42,0.4731227000011131,1,194.75670499999978,22,female,192.53819479999947,194.96952210000018,60,1,0.6859398000015062,44,189.77593909999996,5.42,120,Monday,13,man,-0.277657621999038
21,faceWord_exp,12345,31,197.6673301999981,pos,b,image_stim_p.png,199.73054430000047,0.6818715999979759,42,0.43727840000065044,1,200.16782270000112,22,female,196.98545860000013,200.41628750000382,120,1,0.6857432000033441,45,198.66836760000297,7.09,60,Monday,11,woman,-1.7483058493195842
21,faceWord_exp,12345,31,202.11594210000476,pos,b,image_stim_p.png,204.17461159999948,0.6921123000065563,42,0.45505750000302214,1,204.6296691000025,22,female,201.4238297999982,204.86111589999928,120,1,0.6865042999997968,46,203.1136867000023,7.68,60,Monday,11,new,-1.2313279950095668
22,faceWord_exp,12345,32,206.56063240000367,neg,y,image_stim_n.png,208.6212908000016,0.6833575999989989,42,0.6048022999966634,1,209.22609309999825,22,female,205.87727480000467,209.30719830000453,120,1,0.6859075000029407,47,207.5601231000037,4.65,60,Monday,12,diplomat,0.13451130194660302
22,faceWord_exp,12345,32,211.00722200000018,neg,b,image_stim_n.png,213.0672440999988,0.6831893999988097,42,0.4381834000014351,1,213.50542750000022,22,female,210.32403260000137,213.75424110000313,120,0,0.6869970000043395,48,212.00727480000205,4.8,60,Monday,12,mouse,1.5906822936049958
22,faceWord_exp,12345,42,215.45374399999855,neu,y,image_stim_n.png,216.51434670000162,0.6877100999990944,42,0.4222137999968254,1,216.93656049999845,22,female,214.76603389999946,217.20304580000084,60,1,0.6886990999992122,49,212.00727480000205,5.16,120,Monday,13,truck,-0.5907285556577869
21,faceWord_exp,12345,41,219.89855410000018,neu,b,image_stim_p.png,221.96267420000368,0.688824899996689,42,0.43664580000040587,1,222.39932000000408,22,female,219.2097292000035,222.6496593000047,120,1,0.6869851000010385,50,220.90010720000282,5.73,60,Monday,13,field,-0.9990759838186469
21,faceWord_exp,12345,41,224.34686019999936,neu,b,image_stim_p.png,225.40564710000035,0.6852790999982972,42,0.6064657000024454,1,226.0121128000028,22,female,223.66158110000106,226.09458489999815,60,1,0.6889377999978024,51,220.90010720000282,5.26,120,Monday,13,corkscrew,-0.3369766028281135
21,faceWord_exp,12345,31,228.79138600000442,pos,b,image_stim_p.png,229.86035590000392,0.6891366000054404,42,0.3146564999988186,1,230.17501240000274,22,female,228.10224939999898,230.54001530000096,60,1,0.6796593999970355,52,220.90010720000282,8.37,120,Monday,11,fun,-3.2613064969771037
21,faceWord_exp,12345,41,233.23895600000105,neu,b,image_stim_p.png,234.30724700000428,0.6892975000009756,42,0.34946369999670424,1,234.65671070000099,22,female,232.54965850000008,234.9861344000019,60,1,0.6788873999976204,53,220.90010720000282,5.22,120,Monday,13,noun,0.11872473318936595
22,faceWord_exp,12345,32,237.68528869999864,neg,y,image_stim_n.png,238.7508689000024,0.6841738000002806,42,0.2835680999996839,1,239.03443700000207,22,female,237.00111489999836,239.43275050000375,60,1,0.6818816000013612,54,220.90010720000282,3.05,120,Monday,12,envy,3.3697994362845387
21,faceWord_exp,12345,41,242.1304020000025,neu,b,image_stim_p.png,243.19672079999873,0.6863954000000376,42,0.40193900000303984,1,243.59865980000177,22,female,241.44400660000247,243.87961799999903,60,1,0.6828972000002977,55,220.90010720000282,5.89,120,Monday,13,famous,-0.8050043475134195
22,faceWord_exp,12345,32,246.57744670000102,neg,y,image_stim_n.png,247.64753460000065,0.687148500001058,42,0.2812181999979657,1,247.92875279999862,22,female,245.89029819999996,248.3260139999984,60,1,0.678479399997741,56,220.90010720000282,2.89,120,Monday,12,deceit,4.314775126713813
22,faceWord_exp,12345,42,251.02447940000275,neu,y,image_stim_n.png,252.09000560000277,0.6861829000044963,42,0.666824899999483,1,252.75683050000225,22,female,250.33829649999825,252.77397300000302,60,1,0.683967400000256,57,220.90010720000282,5.3,120,Monday,13,embassy,-0.05916451699915906
22,faceWord_exp,12345,42,255.46941660000448,neu,b,image_stim_n.png,257.5355017000038,0.6882888000036473,42,0.2836239999960526,1,257.81912569999986,22,female,254.78112780000083,258.21714520000387,120,0,0.6816435000000638,58,256.4705904000002,5.8,60,Monday,13,rocket,-0.17528733847197087
22,faceWord_exp,12345,42,259.91708199999994,neu,y,image_stim_n.png,260.9808497000049,0.6845371999952476,42,0.5370992999960436,1,261.51794900000095,22,female,259.2325448000047,261.6660378000015,60,1,0.6851880999965942,59,256.4705904000002,5.17,120,Monday,13,keyboard,-0.08455950357770388
21,faceWord_exp,12345,31,264.38034390000394,pos,b,image_stim_p.png,265.4463633999985,0.6939383999997517,42,0.31808960000489606,1,265.7644530000034,22,female,263.6864055000042,266.12808470000164,60,1,0.6817213000031188,60,256.4705904000002,7.0,120,Monday,11,zoo,-2.1296901000704778
