pause_trigger_t,word_trigger,no,word_label,duration_measured_word,duration_measured_img,pause_trigger,session,img,word_score_pc,delay_frames_before,ID,word,response,img_trigger,gender,age,scan day,rt,onset_word,key_t,condition,word_score_warriner,correct_resp,offset_word,offset_img,delay_frames_after,onset_img,duration_frames
103.03773020000153,13,11,neu,0.693811100001767,0.70307959999991,42,5,image_stim_n.png,-1.2450836009557775,180,T1572,apricot,y,22,female,20,Monday,0.6875602000000072,101.34325280000121,105.75414230000024,faceWord_exp,5.95,1,102.03706390000298,105.76966170000014,336,105.06658210000023,42
113.06910190000053,12,12,neg,0.6963522000005469,0.7030443000003288,32,5,image_stim_n.png,1.5300907112092572,180,T1572,ant,y,22,female,20,Monday,0.4874367999982496,111.37429820000034,115.58529400000043,faceWord_exp,3.9,1,112.07065040000089,115.80090150000251,336,115.09785720000218,42
123.10032169999977,13,13,neu,0.6918135000014445,0.702457700001105,42,5,image_stim_n.png,-0.7502239645266248,180,T1572,ticket,y,22,female,20,Monday,0.4367571000002499,121.40777600000001,125.56668010000067,faceWord_exp,5.28,1,122.09958950000146,125.83238070000152,336,125.12992300000042,42
133.13158250000197,13,14,neu,0.6934919000013906,0.7026347999999416,41,5,image_stim_p.png,-0.41434578466507305,336,T1572,engineer,b,21,female,20,Monday,0.4370593000021472,131.43738450000092,138.19742990000304,faceWord_exp,5.79,1,132.1308764000023,138.46300540000084,180,137.7603706000009,42
143.16314800000328,12,15,neg,0.6931944000025396,0.7027361000000383,32,5,image_stim_n.png,2.490397821352158,180,T1572,mob,y,22,female,20,Monday,0.43719899999996414,141.46901799999978,145.62921760000245,faceWord_exp,3.7,1,142.16221240000232,145.89475470000252,336,145.19201860000248,42
153.1941697000002,11,16,pos,0.6946212999973795,0.7017796000000089,31,5,image_stim_p.png,-1.1429809241505904,180,T1572,book,b,21,female,20,Monday,0.6196767000001273,151.49887570000283,155.84397119999994,faceWord_exp,7.05,1,152.1934970000002,155.92607409999982,336,155.22429449999981,42
163.22541000000274,12,17,neg,0.6875154000008479,0.7022405000025174,32,5,image_stim_n.png,2.9843905620469613,336,T1572,mosquito,y,22,female,20,Monday,0.35330810000232304,161.53735779999988,168.20789060000243,faceWord_exp,3.12,1,162.22487320000073,168.55682300000262,180,167.8545825000001,42
173.25662900000316,11,18,pos,0.6941044999985024,0.7018721999993431,31,5,image_stim_p.png,-1.2320142343270626,180,T1572,water,b,21,female,20,Monday,0.519585799997003,171.56184580000263,175.80636159999995,faceWord_exp,7.0,1,172.25595030000113,175.98864800000229,336,175.28677580000294,42
183.28806650000115,11,19,pos,0.6929161000007298,0.7030572999974538,31,5,image_stim_p.png,-1.178487968131687,336,T1572,tangerine,b,21,female,20,Monday,0.5374009999977716,181.59446500000195,188.453759,faceWord_exp,6.81,1,182.28738110000268,188.61941529999967,180,187.91635800000222,42
193.31935050000175,12,20,neg,0.6947897999998531,0.7025947000001906,32,5,image_stim_n.png,0.1828236131989572,336,T1572,cab,y,22,female,20,Monday,0.6037106000003405,191.62384120000206,198.55175340000278,faceWord_exp,4.81,1,192.31863100000191,198.65063750000263,180,197.94804280000244,42
203.35044180000114,11,21,pos,0.6936905000002298,0.7016812000001664,31,5,image_stim_p.png,-1.8816288507581482,336,T1572,theater,b,21,female,20,Monday,0.586214499999187,201.65617550000024,208.56637730000148,faceWord_exp,6.14,1,202.34986600000047,208.68184400000246,180,207.9801628000023,42
213.3817952999998,12,22,neg,0.6947161000025517,0.7021697999989556,32,5,image_stim_n.png,1.399169263323496,180,T1572,army,b,22,female,20,Monday,0.6532299999998941,211.68670740000016,216.0646708000022,faceWord_exp,4.65,0,212.3814235000027,216.11361060000127,336,215.4114408000023,42
223.41305680000005,12,23,neg,0.6932329000010213,0.7026535999975749,32,5,image_stim_n.png,2.2468136409924253,180,T1572,ambulance,y,22,female,20,Monday,0.40391230000022915,221.71924360000048,225.8462587000031,faceWord_exp,3.71,1,222.4124765000015,226.14500000000044,336,225.44234640000286,42
233.44476670000222,13,24,neu,0.6940388000002713,0.7026867999993556,42,5,image_stim_n.png,-0.32385553549685003,180,T1572,carrot,y,22,female,20,Monday,0.5204865999985486,231.7496695000009,235.99405040000056,faceWord_exp,5.79,1,232.44370830000116,236.17625060000137,336,235.473563800002,42
243.4757512000033,11,25,pos,0.6936848999976064,0.6979596000019228,31,5,image_stim_p.png,-2.641671297166366,336,T1572,peaceful,b,21,female,20,Monday,0.38247450000199024,241.78134440000213,248.49152430000322,faceWord_exp,8.0,1,242.47502929999973,248.80700940000315,180,248.10904980000123,42
253.50686430000133,13,26,neu,0.6932898000013665,0.7022480999985419,42,5,image_stim_n.png,0.3309936143559913,336,T1572,newspaper,y,22,female,20,Monday,0.6533075999977882,251.8129512000014,258.7894758000002,faceWord_exp,5.11,1,252.50624100000277,258.838416300001,180,258.13616820000243,42
263.53822480000235,11,27,pos,0.6931527999986429,0.7028442000009818,31,5,image_stim_p.png,-2.249771083793789,180,T1572,intellect,b,21,female,20,Monday,0.553665400002501,261.8446116000014,266.1214056000026,faceWord_exp,6.62,1,262.5377644,266.2705844000011,336,265.5677402000001,42
273.56946820000303,12,28,neg,0.6947135000009439,0.7029382000000624,32,5,image_stim_n.png,4.0294120701769724,180,T1572,dead,y,22,female,20,Monday,0.42068490000019665,271.874072300001,276.01919720000296,faceWord_exp,2.02,1,272.56878580000193,276.30145050000283,336,275.59851230000277,42
283.6007664000026,13,29,neu,0.6944031999992148,0.7024071999985608,41,5,image_stim_p.png,0.5156614996478043,180,T1572,bus,b,21,female,20,Monday,0.570092999998451,281.9056378000023,286.20038790000035,faceWord_exp,5.12,1,282.6000410000015,286.33270210000046,336,285.6302949000019,42
293.63209570000254,12,30,neg,0.6940055999984907,0.7023230000013427,32,5,image_stim_n.png,0.8708146708303101,180,T1572,banker,b,22,female,20,Monday,0.4200961000024108,291.9374161000014,296.08174690000305,faceWord_exp,4.89,0,292.6314216999999,296.363973800002,336,295.66165080000064,42
303.6632673000022,13,31,neu,0.6932948000030592,0.7024019999989832,42,5,image_stim_n.png,-0.4963231956276321,336,T1572,hairbrush,y,22,female,20,Monday,0.5701478000009956,301.9693079999997,308.862459400003,faceWord_exp,5.95,1,302.6626028000028,308.994713600001,180,308.292311600002,42
313.6944938000015,12,32,neg,0.6948059999995166,0.7026111999985005,32,5,image_stim_n.png,3.227422121163128,336,T1572,riot,y,22,female,20,Monday,0.4045232999997097,311.9992450000027,318.72783020000134,faceWord_exp,3.15,1,312.6940510000022,319.0259181000001,180,318.3233069000016,42
323.72647190000134,13,33,neu,0.6934836999971594,0.7024227000001702,41,5,image_stim_p.png,0.002541127499528235,180,T1572,umbrella,b,21,female,20,Monday,0.503395100000489,322.0317578000031,326.2589254000013,faceWord_exp,5.84,1,322.72524150000027,326.457953000001,336,325.7555303000008,42
333.7570841000015,11,34,pos,0.6938159999990603,0.7017006999994919,31,5,image_stim_p.png,-2.625984580876632,336,T1572,spring,b,21,female,20,Monday,0.45289950000005774,332.06264010000086,338.8396601000022,faceWord_exp,7.64,1,332.7564560999999,339.08846130000165,180,338.38676060000216,42
343.78848930000095,11,35,pos,0.6946280000011029,0.7019240000008722,31,5,image_stim_p.png,-2.1428059827362134,180,T1572,awe,b,21,female,20,Monday,0.4031692999997176,342.09321900000214,346.2215466000016,faceWord_exp,6.85,1,342.78784700000324,346.52030130000276,336,345.8183773000019,42
353.8196906000012,11,36,pos,0.6949284000002081,0.7023251999999047,31,5,image_stim_p.png,-1.2397352233188434,180,T1572,wit,b,21,female,20,Monday,0.38670750000164844,352.12415239999973,356.2359634000022,faceWord_exp,7.25,1,352.81908079999994,356.5515811000005,336,355.84925590000057,42
363.8509887,12,37,neg,0.6941430000006221,0.7021660999998858,32,5,image_stim_n.png,4.735833249102137,336,T1572,grief,y,22,female,20,Monday,0.51991149999958,362.15621660000033,369.00010680000196,faceWord_exp,2.33,1,362.85035960000096,369.18236140000226,180,368.4801953000024,42
373.88223610000205,13,38,neu,0.6948703999987629,0.7023481000032916,42,5,image_stim_n.png,-0.2527650722021685,336,T1572,arm,y,22,female,20,Monday,0.5873683000027086,372.1867024000021,379.0986451000026,faceWord_exp,5.44,1,372.88157280000087,379.2136249000032,180,378.5112767999999,42
383.91350290000264,13,39,neu,0.6936423999977706,0.7028152999992017,41,5,image_stim_p.png,0.19443075193465506,180,T1572,stapler,b,21,female,20,Monday,0.5205595999977959,382.2191679000025,386.4632734000006,faceWord_exp,5.25,1,382.9128103000003,386.645529100002,336,385.9427138000028,42
393.9448865000013,13,40,neu,0.6938594000021112,0.7020407000018167,42,5,image_stim_n.png,0.2374341841762725,336,T1572,number,y,22,female,20,Monday,0.6031671999990067,392.25029429999995,399.17734070000006,faceWord_exp,5.59,1,392.94415370000206,399.27621420000287,180,398.57417350000105,42
403.97609569999986,13,41,neu,0.6933938000001945,0.7023401999977068,41,5,image_stim_p.png,-1.4097678477610591,336,T1572,mandolin,b,21,female,20,Monday,0.5533070999990741,402.2819487000015,409.1584498000011,faceWord_exp,5.7,1,402.9753425000017,409.30748289999974,180,408.60514270000203,42
414.00734900000316,13,42,neu,0.6947954000024765,0.7020431000019016,41,5,image_stim_p.png,-1.235914274808286,336,T1572,corn,b,21,female,20,Monday,0.48649810000279103,412.31199259999994,419.12321110000266,faceWord_exp,5.95,1,413.0067880000024,419.3387561000018,180,418.6367129999999,42
424.0386486000025,11,43,pos,0.6921289000019897,0.7025893999998516,31,5,image_stim_p.png,-1.295378487470534,336,T1572,television,b,21,female,20,Monday,0.520243599999958,422.3457997000005,429.18780680000054,faceWord_exp,7.18,1,423.0379286000025,429.37015260000044,180,428.6675632000006,42
434.069910000002,11,44,pos,0.6955183999998553,0.7023115000010876,31,5,image_stim_p.png,-1.7441234463665167,336,T1572,cherry,b,21,female,20,Monday,0.4036789999991015,432.3757977000023,439.1026431999999,faceWord_exp,7.05,1,433.07131610000215,439.40127570000186,180,438.6989642000008,42
444.1013942000027,12,45,neg,0.6930227000011655,0.7009546999979648,32,5,image_stim_n.png,1.0236166268558873,336,T1572,hierarchy,y,22,female,20,Monday,0.5519126999970467,442.40756840000176,449.2836822999998,faceWord_exp,4.95,1,443.10059110000293,449.4327243000007,180,448.73176960000274,42
454.13236190000316,13,46,neu,0.6958078000025125,0.7023810999999114,42,5,image_stim_n.png,0.16108323717668446,336,T1572,desk,y,22,female,20,Monday,0.5367724999996426,452.4372629999998,459.2982665000018,faceWord_exp,5.56,1,453.1330708000023,459.46387510000204,180,458.76149400000213,42
464.1637428000031,11,47,pos,0.6936949000009918,0.7024547000000894,31,5,image_stim_p.png,-2.3591802685249372,180,T1572,applause,b,21,female,20,Monday,0.5201530000013008,462.46953120000035,466.7133477000025,faceWord_exp,7.12,1,463.16322610000134,466.8956494000013,336,466.1931947000012,42
474.19506640000327,13,48,neu,0.6934191999971517,0.7030776999999944,42,5,image_stim_n.png,0.08756588783899029,180,T1572,mushroom,b,22,female,20,Monday,0.4207072999997763,472.50092960000256,476.6447504000025,faceWord_exp,5.61,0,473.1943487999997,476.92712080000274,336,476.22404310000275,42
484.2262649000004,13,49,neu,0.6948123000001942,0.7026552999996056,42,5,image_stim_n.png,-1.1343736111597311,336,T1572,rum,y,22,female,20,Monday,0.43717020000258344,482.53083470000274,489.292228600003,faceWord_exp,5.57,1,483.22564700000294,489.5577137,180,488.8550584000004,42
494.25779350000084,13,50,neu,0.6938134000010905,0.7036145000020042,41,5,image_stim_p.png,0.14106522732466809,336,T1572,editor,b,21,female,20,Monday,0.5378662000002805,492.5631125,499.42348330000095,faceWord_exp,5.43,1,493.2569259000011,499.5892316000027,180,498.8856171000007,42
504.2888875999997,13,51,neu,0.6931382000002486,0.7022431000004872,41,5,image_stim_p.png,0.4587040848007746,180,T1572,company,b,21,female,20,Monday,0.5366181999997934,502.5949901000022,506.8551281,faceWord_exp,5.64,1,503.2881283000024,507.0207530000007,336,506.3185099000002,42
514.3202106000026,12,52,neg,0.693661900000734,0.7023664000007557,32,5,image_stim_n.png,2.424733943851676,336,T1572,screech,y,22,female,20,Monday,0.3370476999989478,512.6259157000022,519.2861611000008,faceWord_exp,3.5,1,513.319577600003,519.6514798000026,180,518.9491134000018,42
524.3514985000002,11,53,pos,0.6947080999998434,0.7027047999981733,31,5,image_stim_p.png,-1.962809513975644,336,T1572,bed,b,21,female,20,Monday,0.4038933999981964,522.656001000003,529.3839485999997,faceWord_exp,7.16,1,523.3507091000029,529.6827599999997,180,528.9800552000015,42
534.3827590000001,13,54,neu,0.694670099997893,0.7026679999980843,42,5,image_stim_n.png,0.07992973296861662,180,T1572,clue,y,22,female,20,Monday,0.7539390999991156,532.6873403000027,537.1658930000012,faceWord_exp,5.38,1,533.3820104000006,537.1146219000002,336,536.4119539000021,42
544.4141825000006,11,55,pos,0.6936347999981081,0.7025448999993387,31,5,image_stim_p.png,-1.2194148821621404,336,T1572,penguin,b,21,female,20,Monday,0.37044220000097994,542.7196672000027,549.4133145000014,faceWord_exp,6.65,1,543.4133020000008,549.7454171999998,180,549.0428723000005,42
554.4452993000014,11,56,pos,0.6946656000000075,0.7027157000011357,31,5,image_stim_p.png,-1.4373817092238501,336,T1572,drum,b,21,female,20,Monday,0.3540013000019826,552.7499353000021,559.4278681000033,faceWord_exp,6.05,1,553.4446009000021,559.7765825000024,180,559.0738668000013,42
564.4765092000016,12,57,neg,0.6933718999971461,0.701982799997495,32,5,image_stim_n.png,0.7498341013103271,180,T1572,dictation,y,22,female,20,Monday,0.3528537999991386,562.7826875000028,566.8594292000016,faceWord_exp,4.26,1,563.4760593999999,567.2085582,336,566.5065754000025,42
574.5076666000023,12,58,neg,0.6937386999998125,0.7026923000012175,32,5,image_stim_n.png,4.006417686109669,336,T1572,dread,y,22,female,20,Monday,0.30385089999981574,572.8134193000005,579.4403758000008,faceWord_exp,3.0,1,573.5071580000003,579.8392172000022,180,579.136524900001,42
584.5391062000017,13,59,neu,0.694120500000281,0.702530200000183,41,5,image_stim_p.png,-0.8220066925000616,336,T1572,dime,b,21,female,20,Monday,0.5036720000025525,582.8444097000029,589.6715921000032,faceWord_exp,5.58,1,583.5385302000032,589.8704503000008,180,589.1679201000006,42
594.5704437000022,11,60,pos,0.6948188999995182,0.7026877999996941,31,5,image_stim_p.png,-1.410303556989907,180,T1572,tea,b,21,female,20,Monday,0.5369614999981422,592.8749168000031,597.1368010000006,faceWord_exp,6.56,1,593.5697357000026,597.3025273000021,336,596.5998395000024,42
