age,word_trigger,correct_resp,onset_word,response,session,ID,word_label,word,pause_trigger_t,gender,offset_word,word_score_warriner,no,img,offset_img,onset_img,condition,key_t,img_trigger,word_score_pc,duration_frames,rt,delay_frames_after,scan day,duration_measured_img,delay_frames_before,pause_trigger,duration_measured_word
22,13,1,271.7777055000188,b,2,AHJ,neu,speech,273.47160469996743,male,272.4714147999766,5.62,28,image_stim_p.png,278.8010728000081,278.09984829998575,faceWord_exp,278.50252219999675,21,-0.18776275500974607,42,0.40267390001099557,180,Monday,0.7012245000223629,336,41,0.6937092999578454
22,13,1,281.8065953999758,b,2,AHJ,neu,asparagus,283.4991997000179,male,282.499321100011,5.43,29,image_stim_p.png,288.828953899967,288.12717419996625,faceWord_exp,288.5134751999867,21,-0.34443889393116306,42,0.38630100002046674,180,Monday,0.7017797000007704,336,41,0.6927257000352256
22,13,1,291.8334467000095,b,2,AHJ,neu,camel,293.52712370001245,male,292.5268529999885,5.29,30,image_stim_p.png,296.2580441000173,295.55665290000616,faceWord_exp,296.0429400000139,21,0.0657349158769076,42,0.48628710000775754,336,Monday,0.7013912000111304,180,41,0.6934062999789603
22,13,1,301.86113909998676,b,2,AHJ,neu,theory,303.5548297999776,male,302.5546295999666,5.65,31,image_stim_p.png,308.88423849997343,308.18281789997127,faceWord_exp,308.6688933999976,21,0.1106807997481866,42,0.48607550002634525,180,Monday,0.7014206000021659,336,41,0.6934904999798164
22,12,1,311.88888210000005,y,2,AHJ,neg,problem,313.58284899999853,male,312.58220030000666,3.52,32,image_stim_n.png,318.9120860999683,318.20960880001076,faceWord_exp,318.5304517999757,22,4.02985566434138,42,0.32084299996495247,180,Monday,0.7024772999575362,336,32,0.6933182000066154
22,12,1,321.9153134999797,y,2,AHJ,neg,lab,323.6103187999688,male,322.6100185000105,4.57,33,image_stim_n.png,326.34126329998253,325.63878709997516,faceWord_exp,326.1597056000028,22,0.2032181950076048,42,0.5209185000276193,336,Monday,0.7024762000073679,180,32,0.6947050000308082
22,13,0,331.94406629999867,y,2,AHJ,neu,winter,333.63832919998094,male,332.6380157999811,5.5,34,image_stim_p.png,336.36906960001215,335.6656532000052,faceWord_exp,335.9535903999931,21,0.3495373155897487,42,0.28793719998793676,336,Monday,0.7034164000069723,180,41,0.6939494999824092
22,11,1,341.9723178999848,b,2,AHJ,pos,sailboat,343.6657705999678,male,342.6655105999671,6.81,35,image_stim_p.png,348.99525039998116,348.2943128999905,faceWord_exp,348.7634272999712,21,-1.5621536719325724,42,0.46911439998075366,180,Monday,0.7009374999906868,336,31,0.693192699982319
22,13,0,352.0007133000181,b,2,AHJ,neu,apartment,353.69348289998015,male,352.6932623999892,5.72,36,image_stim_n.png,356.4244583999971,355.7229336000164,faceWord_exp,356.19239549996564,22,-0.5485436049411244,42,0.4694618999492377,336,Monday,0.7015247999806888,180,42,0.6925490999710746
22,13,1,362.02665640000487,y,2,AHJ,neu,verb,363.7212040000013,male,362.7209833000088,5.27,37,image_stim_n.png,369.05079259997,368.34878469997784,faceWord_exp,368.8856738000177,22,0.17918122123944408,42,0.5368891000398435,180,Monday,0.702007899992168,336,42,0.6943269000039436
22,13,1,372.0558901000186,b,2,AHJ,neu,toaster,373.7492078000214,male,372.7487950999639,5.8,38,image_stim_p.png,376.4800779999932,375.7778568000067,faceWord_exp,376.26479460002156,21,-0.5451009915059291,42,0.4869378000148572,336,Monday,0.7022211999865249,180,41,0.6929049999453127
