no,scan day,word,word_score_pc,word_label,pause_trigger_t,img_trigger,rt,onset_img,age,offset_img,key_t,duration_measured_word,response,delay_frames_before,offset_word,ID,pause_trigger,word_score_warriner,gender,img,session,word_trigger,duration_measured_img,onset_word,correct_resp,delay_frames_after,condition,duration_frames
11,Monday,cyclone,3.583082910341294,neg,103.13330946699716,22,0.4214365749503486,105.16526389803039,22,105.86635162198218,105.58670047298074,0.6914894509827718,y,180,102.13251755700912,ELAS,32,3.47,female,image_stim_n.png,3,12,0.7010877239517868,101.44102810602635,1,336,faceWord_exp,42
12,Monday,witness,0.5990623206044929,neu,113.16735933203017,22,0.5227627570275217,117.79884654399939,22,118.50044288102072,118.32160930102691,0.6911246830131859,y,336,112.16657151799882,ELAS,42,5.61,female,image_stim_n.png,3,13,0.7015963370213285,111.47544683498563,1,180,faceWord_exp,42
13,Monday,gum,-1.0048841857254538,neu,123.20162258902565,22,0.6384578660363331,127.83315196499461,22,128.53433477901854,128.47160983103095,0.6938376150210388,y,336,122.20064957201248,ELAS,42,5.89,female,image_stim_n.png,3,13,0.7011828140239231,121.50681195699144,1,180,faceWord_exp,42
14,Monday,family,-1.6019047514101912,pos,133.2354148349841,21,0.6886567090405151,135.2668666599784,22,135.96818548999727,135.95552336901892,0.6912782549625263,b,180,132.23474144097418,ELAS,31,7.25,female,image_stim_p.png,3,11,0.7013188300188631,131.54346318601165,1,336,faceWord_exp,42
15,Monday,radish,0.33736940436804663,neg,143.26966617198195,22,0.4387298030196689,145.30112199799623,22,146.00256083603017,145.7398518010159,0.6912065030192025,y,180,142.26860903401393,ELAS,32,4.7,female,image_stim_n.png,3,12,0.7014388380339369,141.57740253099473,1,336,faceWord_exp,42
16,Monday,sum,0.1511721542964875,neu,153.3034334210097,21,0.5189643009798601,157.9380470890319,22,158.6365076979855,158.45701139001176,0.6906770929927006,b,336,152.3027111790143,ELAS,41,5.71,female,image_stim_p.png,3,13,0.6984606089536101,151.6120340860216,1,180,faceWord_exp,42
17,Monday,trial,2.3068979902815,neg,163.33748923498206,22,0.5375875880126841,165.37004685401917,22,166.07055879902327,165.90763444203185,0.6928971050074324,y,180,162.33672708802624,ELAS,32,3.28,female,image_stim_n.png,3,12,0.7005119450041093,161.6438299830188,1,336,faceWord_exp,42
18,Monday,toe,0.6016604903777263,neu,173.3714458909817,21,0.5714316630037501,175.40351629001088,22,176.10354747902602,175.97494795301463,0.6935035060159862,b,180,172.37075681699207,ELAS,41,5.24,female,image_stim_p.png,3,13,0.7000311890151352,171.67725331097608,1,336,faceWord_exp,42
19,Monday,malice,3.6887696102955196,neg,183.40556304401252,22,0.6701680149999447,185.43811447598273,22,186.1384103189921,186.10828249098267,0.6925170490285382,b,180,182.40473083901452,ELAS,32,2.81,female,image_stim_n.png,3,12,0.7002958430093713,181.71221378998598,0,336,faceWord_exp,42
20,Monday,hope,-2.2287379941341,pos,193.43960241798777,21,,195.47135338099906,22,196.17237205401761,,0.6931578979711048,,180,192.438797787996,ELAS,31,7.48,female,image_stim_p.png,3,11,0.7010186730185524,191.7456398900249,,336,faceWord_exp,42
21,Monday,glass,0.2046331385026182,neu,203.47358042700216,21,0.6386390310362913,205.50510873598978,22,206.20661246101372,206.14374776702607,0.6930023659951985,b,180,202.47277932899306,ELAS,41,5.48,female,image_stim_p.png,3,13,0.7015037250239402,201.77977696299786,1,336,faceWord_exp,42
22,Monday,delirium,3.4172209593162717,neg,213.50766130897682,22,0.4547617500065826,218.13915314199403,22,218.84080689802067,218.5939148920006,0.6923104629968293,y,336,212.5069177019759,ELAS,32,3.4,female,image_stim_n.png,3,12,0.7016537560266443,211.81460723897908,1,180,faceWord_exp,42
23,Monday,computer,-1.728066945394655,pos,223.54143484000815,21,0.4888636990217492,225.57315389299765,22,226.2744733460131,226.0620175920194,0.6929514089715667,b,180,222.54093138698954,ELAS,31,6.84,female,image_stim_p.png,3,11,0.7013194530154578,221.84797997801797,1,336,faceWord_exp,42
24,Monday,dusty,1.8802224749820768,neg,233.57566017302452,22,0.4849065679591149,235.6107940840302,22,236.30815028602956,236.09570065198932,0.6899556699790992,y,180,232.57519003399648,ELAS,32,3.95,female,image_stim_n.png,3,12,0.6973562019993551,231.88523436401738,1,336,faceWord_exp,42
25,Monday,reality,0.30770997164376424,neu,243.60976701800246,21,0.505614097986836,245.6407927480177,22,246.34251696203137,246.14640684600454,0.6928566040005535,b,180,242.60893153899815,ELAS,41,5.73,female,image_stim_p.png,3,13,0.7017242140136659,241.9160749349976,1,336,faceWord_exp,42
26,Monday,bird,-1.0841943171680315,pos,253.64401013200404,21,0.505223696003668,255.67469683202216,22,256.3766223419807,256.17992052802583,0.6930335750221275,b,180,252.6429204849992,ELAS,31,6.75,female,image_stim_p.png,3,11,0.701925509958528,251.94988690997707,1,336,faceWord_exp,42
27,Monday,cafeteria,-0.4971407339658378,neu,263.6776974949753,22,0.7209018899593502,265.71000576001825,22,266.410550458997,266.4309076499776,0.6923796019982547,y,180,262.6770004960126,ELAS,42,5.68,female,image_stim_n.png,3,13,0.7005446989787742,261.98462089401437,1,336,faceWord_exp,42
28,Monday,cabbage,0.041184453360586966,neg,273.71188467898173,22,0.5229773749597371,275.74255570501555,22,276.4445724859834,276.2655330799753,0.6925545649719425,y,180,272.7110145519837,ELAS,32,4.6,female,image_stim_n.png,3,12,0.7020167809678242,272.01845998701174,1,336,faceWord_exp,42
29,Monday,butterfly,-2.484088237918995,pos,283.7626885410282,21,0.48832098103594035,288.3944132979959,22,289.09575171303004,288.88273427903187,0.7049736210028641,b,336,282.7616447570035,ELAS,31,7.23,female,image_stim_p.png,3,11,0.7013384150341153,282.05667113600066,1,180,faceWord_exp,42
30,Monday,foot,0.41231466195915456,neg,293.79679796198616,22,0.620946915994864,295.82825017703,22,296.5293068810133,296.44919709302485,0.6933326889993623,y,180,292.79563568899175,ELAS,32,4.68,female,image_stim_n.png,3,12,0.7010567039833404,292.1023029999924,1,336,faceWord_exp,42
31,Monday,couple,-1.9002611819546853,pos,303.83066354697803,21,0.6029495800030418,305.8644429540145,22,306.56355564203113,306.46739253401756,0.6894829139928333,b,180,302.8297511439887,ELAS,31,7.11,female,image_stim_p.png,3,11,0.6991126880166121,302.14026822999585,1,336,faceWord_exp,42
32,Monday,tobacco,2.411295736651624,neg,313.8648092490039,22,0.6051151560386643,315.8955456879921,22,316.597555077984,316.5006608440308,0.6926531589706428,y,180,312.8637658209773,ELAS,32,3.37,female,image_stim_n.png,3,12,0.702009389991872,312.17111266200664,1,336,faceWord_exp,42
33,Monday,snub,3.9847946241932393,neg,323.89858721598284,22,0.38872154999990016,325.9303435679758,22,326.6315718240221,326.3190651179757,0.6938180110300891,y,180,322.8977468860103,ELAS,32,3.23,female,image_stim_n.png,3,12,0.7012282560463063,322.2039288749802,1,336,faceWord_exp,42
34,Monday,debate,1.239138220826116,neg,333.9325423830305,22,0.4887119610211812,338.5642274109996,22,339.2656805230072,339.0529393720208,0.6926258070161566,y,336,332.9318883829983,ELAS,32,4.95,female,image_stim_n.png,3,12,0.7014531120075844,332.23926257598214,1,180,faceWord_exp,42
35,Monday,year,0.5062695562835388,neu,343.96656128700124,21,0.722767889034003,348.5978220819961,22,349.2996028600028,349.32058997103013,0.6934226570301689,b,336,342.9658542370307,ELAS,41,5.75,female,image_stim_p.png,3,13,0.7017807780066505,342.27243158000056,1,180,faceWord_exp,42
36,Monday,flute,-1.6804307003665144,pos,354.0006006109761,21,0.5564731890335679,356.03213762299856,22,356.7337226039963,356.58861081203213,0.6926787960110232,b,180,352.99990633002017,ELAS,31,6.29,female,image_stim_p.png,3,11,0.7015849809977226,352.30722753400914,1,336,faceWord_exp,42
37,Monday,goldfish,-1.0930411682114536,pos,364.03469484398374,21,0.7216712210210972,366.06577426800504,22,366.7674537220155,366.78744548902614,0.6920269989641383,b,180,363.0338712169905,ELAS,31,6.62,female,image_stim_p.png,3,11,0.7016794540104456,362.3418442180264,1,336,faceWord_exp,42
38,Monday,joy,-3.230607919269787,pos,374.0687055650051,21,0.5215702769928612,378.70016688498436,22,379.4019592879922,379.2217371619772,0.6937011950067244,b,336,373.067939161032,ELAS,31,8.21,female,image_stim_p.png,3,11,0.7017924030078575,372.37423796602525,1,180,faceWord_exp,42
39,Monday,fountain,-2.0727743906520253,pos,384.10300901997834,21,0.6201243849936873,388.7364781079814,22,389.43502980301855,389.35660249297507,0.6890713250031695,b,336,383.1019298519823,ELAS,31,6.26,female,image_stim_p.png,3,11,0.6985516950371675,382.4128585269791,1,180,faceWord_exp,42
40,Monday,faucet,-0.123291752025302,neu,394.1367375649861,22,0.6051824889727868,396.1683680450078,22,396.8695653739851,396.7735505339806,0.6928008900140412,y,180,393.13596205599606,ELAS,42,5.55,female,image_stim_n.png,3,13,0.7011973289772868,392.443161165982,1,336,faceWord_exp,42
41,Monday,patent,-0.1793860699809707,neu,404.17071964702336,21,0.4878068880061619,406.2031403480214,22,406.9037087929901,406.69094723602757,0.6924782730056904,b,180,403.170012424991,ELAS,41,5.34,female,image_stim_p.png,3,13,0.7005684449686669,402.4775341519853,1,336,faceWord_exp,42
42,Monday,symphony,-1.9498998207384868,pos,414.2048622290022,21,0.7883828780031763,416.23665125400294,22,416.9377837210195,417.0250341320061,0.6922100830124691,b,180,413.2039994740044,ELAS,31,7.15,female,image_stim_p.png,3,11,0.7011324670165777,412.5117893909919,1,336,faceWord_exp,42
43,Monday,agreement,-1.2126784285084091,pos,424.23879170400323,21,0.5214218950131908,428.8707866059849,22,429.5718974000192,429.3922085009981,0.6921854839893058,b,336,423.2380513160024,ELAS,31,6.75,female,image_stim_p.png,3,11,0.7011107940343209,422.5458658320131,1,180,faceWord_exp,42
44,Monday,plane,0.20373950943912453,neu,434.2730183280073,21,0.6551758400164545,438.90458186599426,22,439.6061293029925,439.5597577060107,0.6926714329747483,b,336,433.2720668700058,ELAS,41,5.72,female,image_stim_p.png,3,13,0.7015474369982257,432.57939543703105,1,180,faceWord_exp,42
45,Monday,raspberry,-1.4443598905895143,pos,444.30685653397813,21,0.5885278409696184,446.3383397490252,22,447.0399466090021,446.9268675899948,0.6930580220068805,b,180,443.30613897700096,ELAS,31,7.3,female,image_stim_p.png,3,11,0.7016068599768914,442.6130809549941,1,336,faceWord_exp,42
46,Monday,reporter,0.7962654471128737,neg,454.3409270020202,22,0.4521333010052331,456.37488454702543,22,457.073711754987,456.82701784803066,0.689217988983728,b,180,453.33993105299305,ELAS,32,4.57,female,image_stim_n.png,3,12,0.6988272079615854,452.6507130640093,0,336,faceWord_exp,42
47,Monday,harp,-1.7878104403788575,neu,464.3750918019796,21,0.6391245650011115,466.40518599801,22,467.10801826399984,467.0443105630111,0.6929446260328405,b,180,463.3737696420285,ELAS,41,5.4,female,image_stim_p.png,3,13,0.7028322659898549,462.68082501599565,1,336,faceWord_exp,42
48,Monday,car,-1.4106928476010352,pos,474.40915673202835,21,0.5385879070381634,479.04062579898164,22,479.7418899619952,479.5792137060198,0.6940523540251888,b,336,473.4082041900256,ELAS,31,6.63,female,image_stim_p.png,3,11,0.7012641630135477,472.7141518360004,1,180,faceWord_exp,42
49,Monday,advantage,-1.2474567486001964,pos,484.44333254999947,21,0.571584946999792,489.0749708969961,22,489.7761738069821,489.6465558439959,0.6973980289767496,b,336,483.4421988989925,ELAS,31,6.71,female,image_stim_p.png,3,11,0.7012029099860229,482.74480087001575,1,180,faceWord_exp,42
50,Monday,park,-1.9950971558262764,pos,494.4770585169899,21,0.5719411009922624,499.1088657749933,22,499.8097675560275,499.6808068759856,0.6922752130194567,b,336,493.4762333719991,ELAS,31,7.0,female,image_stim_p.png,3,11,0.7009017810341902,492.78395815897966,1,180,faceWord_exp,42
51,Monday,saxophone,-1.100912149643323,pos,504.51099374197656,21,0.7386405440047383,506.5427907090052,22,507.2441473240033,507.28143125300994,0.6923671570257284,b,180,503.51023175701266,ELAS,31,6.32,female,image_stim_p.png,3,11,0.7013566149980761,502.81786459998693,1,336,faceWord_exp,42
52,Monday,belch,1.9197700017151131,neg,514.5449808739941,22,0.6394846600014716,516.5760455270065,22,517.2779686339782,517.215530187008,0.6925310979713686,y,180,513.5443038209924,ELAS,32,4.18,female,image_stim_n.png,3,12,0.7019231069716625,512.851772723021,1,336,faceWord_exp,42
53,Monday,grievance,3.6017940902369654,neg,524.5792338739848,22,0.351674453006126,529.2139212390175,22,529.9123590469826,529.5655956920236,0.6887711579911411,y,336,523.5783212269889,ELAS,32,3.45,female,image_stim_n.png,3,12,0.6984378079650924,522.8895500689978,1,180,faceWord_exp,42
54,Monday,shame,4.2618443246155895,neg,534.6132201059954,22,0.5054020580137148,539.2448185129906,22,539.9461125879898,539.7502205710043,0.6928273970261216,y,336,533.6122982000234,ELAS,32,2.62,female,image_stim_n.png,3,12,0.7012940749991685,532.9194708029972,1,180,faceWord_exp,42
55,Monday,criminal,3.6129749181587063,neg,544.6473186539952,22,0.5890459500369616,549.2790684659849,22,549.9801237020292,549.8681144160219,0.6918278530356474,y,336,543.6463097460219,ELAS,32,2.11,female,image_stim_n.png,3,12,0.7010552360443398,542.9544818929862,1,180,faceWord_exp,42
56,Monday,pencil,0.13339963708933658,neu,554.6812963639968,22,0.5875911280163564,559.3131486779894,22,560.0139538290096,559.9007398060057,0.6929471869952977,y,336,553.6803753229906,ELAS,42,5.65,female,image_stim_n.png,3,13,0.7008051510201767,552.9874281359953,1,180,faceWord_exp,42
57,Monday,coffee,-1.8894778219780863,pos,564.7152030169964,21,0.5058357209782116,566.7460234920145,22,567.4479774790234,567.2518592129927,0.6925340049783699,b,180,563.7144839059911,ELAS,31,7.0,female,image_stim_p.png,3,11,0.701953987008892,563.0219499010127,1,336,faceWord_exp,42
58,Monday,pen,-0.23071750329615884,neu,574.749059823982,22,0.5395665569812991,576.7800231720321,22,577.4820138200303,577.3195897290134,0.6932676279684529,y,180,573.7484444599831,ELAS,42,5.63,female,image_stim_n.png,3,13,0.7019906479981728,573.0551768320147,1,336,faceWord_exp,42
59,Monday,cold,1.7592404876513306,neg,584.7825388350175,22,0.4555722289951518,586.814907544991,22,587.5164216540288,587.2704797739862,0.6932349019916728,y,180,583.782399446005,ELAS,32,4.32,female,image_stim_n.png,3,12,0.7015141090378165,583.0891645440133,1,336,faceWord_exp,42
60,Monday,rose,-2.098490136277324,pos,594.8173890530015,21,0.387045820010826,599.4513073359849,22,600.1502508230042,599.8383531559957,0.690764594997745,b,336,593.8164784659748,ELAS,31,7.11,female,image_stim_p.png,3,11,0.6989434870192781,593.125713870977,1,180,faceWord_exp,42
