word_score_warriner,duration_measured_word,delay_frames_after,gender,age,delay_frames_before,word_label,correct_resp,word,duration_measured_img,key_t,no,response,pause_trigger_t,offset_img,ID,img,word_trigger,scan day,img_trigger,pause_trigger,onset_word,condition,duration_frames,rt,session,onset_img,offset_word,word_score_pc
5.8,0.6892816000618041,180,female,21,336,neu,,tomato,0.6843946999870241,,22,,213.68512429995462,219.03451480017975,sha,image_stim_p.png,13,Monday,21,41,211.99513400020078,faceWord_exp,42,,1,218.35012010019273,212.68441560026258,-1.3575770021145472
5.73,0.6883143000304699,180,female,21,336,neu,,field,0.6884079999290407,,23,,223.7340480000712,229.08340610004961,sha,image_stim_p.png,13,Monday,21,41,222.04592359997332,faceWord_exp,42,,1,228.39499810012057,222.7342379000038,-0.9990759838186469
7.68,0.6878432002849877,336,female,21,180,pos,,new,0.689941099844873,,24,,233.78244640026242,236.53219299996272,sha,image_stim_p.png,11,Monday,21,31,232.09370299987495,faceWord_exp,42,,1,235.84225190011784,232.78154620015994,-1.2313279950095668
6.9,0.6875458001159132,180,female,21,336,pos,,pineapple,0.6851925998926163,,25,,243.83128589997068,249.18057249998674,sha,image_stim_p.png,11,Monday,21,31,242.14278049999848,faceWord_exp,42,,1,248.49537990009412,242.8303263001144,-1.6708771386143015
2.05,0.6900047999806702,180,female,21,336,neg,1,victim,0.6877850000746548,258.9315634001978,26,y,253.88044690014794,259.2295853001997,sha,image_stim_n.png,12,Monday,22,32,252.1890918002464,faceWord_exp,42,0.3897631000727415,1,258.54180030012503,252.87909660022706,3.457530661450998
3.05,0.6899931002408266,336,female,21,180,neg,1,envy,0.6891947998665273,266.33022420015186,27,y,263.9289231002331,266.6784765999764,sha,image_stim_n.png,12,Monday,22,32,262.23828209983185,faceWord_exp,42,0.34094240004196763,1,265.9892818001099,262.9282752000727,3.3697994362845387
5.41,0.6864749998785555,336,female,21,180,neu,,school,0.6851580003276467,,28,,273.9777827002108,276.7281622001901,sha,image_stim_p.png,13,Monday,21,41,272.2900568000041,faceWord_exp,42,,1,276.0430041998625,272.97653179988265,0.26215401176465297
3.08,0.6945768999867141,336,female,21,180,neg,1,aggressive,0.6899740998633206,286.4623119002208,29,y,284.0446811001748,286.7932339999825,sha,image_stim_n.png,12,Monday,22,32,282.3444753000513,faceWord_exp,42,0.3590520001016557,1,286.10325990011916,283.039052200038,2.166851165767892
7.21,0.6834259000606835,180,female,21,336,pos,,beach,0.6908832998014987,,30,,294.0931167001836,299.4574277000502,sha,image_stim_p.png,11,Monday,21,31,292.40733570000157,faceWord_exp,42,,1,298.7665444002487,293.09076160006225,-2.8031613090757777
5.05,0.6903027999214828,180,female,21,336,neu,,fiddle,0.6911284001544118,,31,,304.15671510016546,309.5263625001535,sha,image_stim_p.png,13,Monday,21,41,302.46670320024714,faceWord_exp,42,,1,308.83523409999907,303.1570060001686,-1.0601571884744718
6.45,0.6898262999020517,336,female,21,180,pos,,pie,0.6815776000730693,,32,,314.22220459999517,316.9708193000406,sha,image_stim_p.png,11,Monday,21,31,312.5316318999976,faceWord_exp,42,,1,316.28924169996753,313.22145819989964,-2.2727319315779937
2.89,0.6888796002604067,336,female,21,180,neg,1,deceit,0.6895312997512519,326.68893649987876,33,y,324.27139159990475,327.0371747999452,sha,image_stim_n.png,12,Monday,22,32,322.5809654998593,faceWord_exp,42,0.34129299968481064,1,326.34764350019395,323.2698451001197,4.314775126713813
7.78,0.6897972002625465,336,female,21,180,pos,,kiss,0.6784550999291241,,34,,334.338107699994,337.0862182001583,sha,image_stim_p.png,11,Monday,21,31,332.6456941999495,faceWord_exp,42,,1,336.4077631002292,333.33549140021205,-2.8785481086132907
