scan day,condition,word_score_pc,ID,pause_trigger,duration_measured_word,img_trigger,offset_word,correct_resp,delay_frames_before,word_label,onset_img,gender,key_t,img,word_score_warriner,age,onset_word,delay_frames_after,pause_trigger_t,word,duration_frames,no,word_trigger,session,offset_img,response,duration_measured_img,rt
Monday,faceWord_exp,1.0236166268558873,ELAS,32,0.7048441889928654,22,162.32272731000558,1,336,neg,167.9569662330323,female,168.32725303602638,image_stim_n.png,4.95,22,161.6178831210127,180,163.3234207140049,hierarchy,42,17,12,5,168.65648407605477,y,0.6995178430224769,0.37028680299408734
Monday,faceWord_exp,-2.3591802685249372,ELAS,31,0.6922506309929304,21,172.35669468104606,1,180,pos,175.38915695500327,female,175.9441845480469,image_stim_p.png,7.12,22,171.66444405005313,336,173.35742150101578,applause,42,18,11,5,176.08954696403816,b,0.7003900090348907,0.5550275930436328
Monday,faceWord_exp,-2.249771083793789,ELAS,31,0.6919758450239897,21,182.3906702750246,1,180,pos,185.42326986801345,female,185.97820329701062,image_stim_p.png,6.62,22,181.69869443000061,336,183.39147528400645,intellect,42,19,11,5,186.12425309803803,b,0.7009832300245762,0.5549334289971739
Monday,faceWord_exp,3.693241029119933,ELAS,32,0.689780926972162,22,192.42471259401646,1,336,neg,198.05763312103227,female,198.61242684302852,image_stim_n.png,2.58,22,191.7349316670443,180,193.42542944400338,jealousy,42,20,12,5,198.75783964502625,y,0.7002065239939839,0.5547937219962478
Monday,faceWord_exp,0.8708146708303101,ELAS,32,0.6917803090182133,22,202.4587591580348,1,336,neg,208.09218014904764,female,208.56365317601012,image_stim_n.png,4.89,22,201.7669788490166,180,203.45976089703618,banker,42,21,12,5,208.79275589203462,y,0.7005757429869846,0.47147302696248516
Monday,faceWord_exp,-2.9544920916265727,ELAS,31,0.6907177680404857,21,212.49275263305753,1,180,pos,215.52548809500877,female,215.91316356603056,image_stim_p.png,7.84,22,211.80203486501705,336,213.49327496701153,friendly,42,22,11,5,216.2263495750376,b,0.7008614800288342,0.3876754710217938
Monday,faceWord_exp,4.006417686109669,ELAS,32,0.6926005790010095,22,222.52680362702813,1,180,neg,225.5595021060435,female,226.0810719090514,image_stim_n.png,3.0,22,221.83420304802712,336,223.52760460803984,dread,42,23,12,5,226.26056796405464,y,0.701065858011134,0.5215698030078784
Monday,faceWord_exp,-0.41434578466507305,ELAS,42,0.6894430590327829,22,232.56087041605497,1,336,neu,238.19608660403173,female,238.89884103904478,image_stim_n.png,5.79,22,231.87142735702218,180,233.56155260000378,engineer,42,24,13,5,238.8946672330494,y,0.6985806290176697,0.7027544350130484
Monday,faceWord_exp,-1.410303556989907,ELAS,31,0.693783846043516,21,242.5949343010434,1,180,pos,245.6272738390253,female,246.44981372903567,image_stim_p.png,6.56,22,241.90115045499988,336,243.5957394290017,tea,42,25,11,5,246.32844114501495,b,0.7011673059896566,0.8225398900103755
Monday,faceWord_exp,0.1828236131989572,ELAS,32,0.6933058089925908,22,252.62876464700093,1,180,neg,255.66231335501652,female,256.18282266601454,image_stim_n.png,4.81,22,251.93545883800834,336,253.62998600804713,cab,42,26,12,5,256.3625151750166,y,0.7002018200000748,0.5205093109980226
Monday,faceWord_exp,2.1399531488678094,ELAS,32,0.6934713619994,22,262.662953527004,1,180,neg,265.69592061504954,female,266.23366259102477,image_stim_n.png,3.81,22,261.9694821650046,336,263.6637387200026,vice,42,27,12,5,266.3965675480431,y,0.7006469329935499,0.5377419759752229
Monday,faceWord_exp,-2.547338598571031,ELAS,31,0.6929001480457373,21,272.6970050080563,1,336,pos,278.32936021802016,female,278.81840225402266,image_stim_p.png,7.25,22,272.00410486001056,180,273.6977542680106,tulip,42,28,11,5,279.03071704501053,b,0.7013568269903772,0.48904203600250185
Monday,faceWord_exp,-0.4963231956276321,ELAS,41,0.6917352669988759,21,282.7306865460123,1,336,neu,288.3631888050004,female,288.93537769903196,image_stim_p.png,5.95,22,282.0389512790134,180,283.7305074140313,hairbrush,42,29,13,5,289.06479304202367,b,0.7016042370232753,0.5721888940315694
Monday,faceWord_exp,3.227422121163128,ELAS,32,0.6928012949647382,22,292.7650455510011,1,336,neg,298.39761206205003,female,298.80279723904096,image_stim_n.png,3.15,22,292.07224425603636,180,293.7657716880203,riot,42,30,12,5,299.0990603220416,y,0.7014482599915937,0.40518517699092627
Monday,faceWord_exp,0.4587040848007746,ELAS,41,0.6923290130216628,21,302.79908818303375,1,336,neu,308.4320245910203,female,308.9200095140259,image_stim_p.png,5.64,22,302.1067591700121,180,303.7998499390087,company,42,31,13,5,309.13281206501415,b,0.7007874739938416,0.4879849230055697
Monday,faceWord_exp,2.490397821352158,ELAS,32,0.6899750040029176,22,312.83306107704993,1,180,neg,315.8698510470567,female,316.4215836110525,image_stim_n.png,3.7,22,312.143086073047,336,313.83417116705095,mob,42,32,12,5,316.56645501602907,y,0.6966039689723402,0.5517325639957562
Monday,faceWord_exp,0.07992973296861662,ELAS,41,0.6934361989842728,21,322.86704543203814,1,336,neu,328.49922485201387,female,329.13745252101216,image_stim_p.png,5.38,22,322.17360923305387,180,323.86783528805245,clue,42,33,13,5,329.2008109780145,b,0.7015861260006204,0.6382276689982973
Monday,faceWord_exp,-1.235914274808286,ELAS,42,0.6932471679756418,22,332.90112013102043,0,180,neu,335.93318628001725,female,336.2886326810112,image_stim_n.png,5.95,22,332.2078729630448,336,333.90188396302983,corn,42,34,13,5,336.6346755050472,b,0.7014892250299454,0.3554464009939693
