onset_word,duration_frames,duration_measured_img,offset_img,rt,pause_trigger,pause_trigger_t,word_label,word_score_pc,word_trigger,delay_frames_after,response,age,delay_frames_before,word_score_warriner,duration_measured_word,img_trigger,no,correct_resp,gender,img,ID,key_t,scan day,session,onset_img,condition,word,offset_word
252.40810879998025,42,1.0347767999919597,262.7347524999932,0.6026816999947187,31,254.83424329999252,pos,-1.3695211950901562,11,180,b,22,336,7.59,1.0445153000182472,21,19,1,male,image_stim_p.png,B12,262.30265739999595,Monday,2,261.69997570000123,faceWord_exp,tree,253.4526240999985
267.0873219999776,42,1.003454799996689,273.5184202999808,0.5381941999949049,42,269.598551699979,neu,-0.5485436049411244,13,336,b,22,180,5.72,1.0327018999960274,22,20,0,male,image_stim_n.png,B12,273.053159699979,Monday,2,272.5149654999841,faceWord_exp,apartment,268.1200238999736
281.88673589998507,42,1.0001284999889322,288.450313999987,0.6191812999895774,31,284.4368709999835,pos,-1.926056195769395,11,336,b,22,180,6.8,0.9978316999913659,21,21,1,male,image_stim_p.png,B12,288.0693667999876,Monday,2,287.45018549999804,faceWord_exp,fireworks,282.88456759997644
296.74570499997935,42,0.73281339998357,302.9993401999818,1.5176674999820534,31,299.2017586999864,pos,-1.3205598447631597,11,336,b,22,180,6.17,1.006038899999112,21,22,1,male,image_stim_p.png,B12,303.7841942999803,Monday,2,302.26652679999825,faceWord_exp,chicken,297.75174389997846
308.84482619998744,42,0.7070423999975901,316.1989446999796,0.9423010000027716,31,310.64994779997505,pos,-1.7947555393350414,11,180,b,22,336,6.4,0.7533328999998048,21,23,1,male,image_stim_p.png,B12,316.4342032999848,Monday,2,315.49190229998203,faceWord_exp,piano,309.59815909998724
319.3678216999979,42,0.7253032999869902,323.9978607999801,1.6270048999867868,31,321.1656437999918,pos,-2.5746228757417584,11,336,b,22,180,7.1,0.7471638999995776,21,24,1,male,image_stim_p.png,B12,324.8995623999799,Monday,2,323.2725574999931,faceWord_exp,barbecue,320.11498559999745
329.8115370000014,42,0.7575527000008151,334.4979673999769,2.5418649000057485,42,331.59881779999705,neu,0.3296196251321362,13,336,b,22,180,5.15,0.7535931999736931,22,25,0,male,image_stim_n.png,B12,336.28227959998185,Monday,2,333.7404146999761,faceWord_exp,pan,330.5651301999751
340.28228419998777,42,0.8714122999808751,347.76401709998026,1.2571887999947648,32,342.08133849999285,neg,3.4738609063027237,12,180,y,22,336,2.29,0.7648889000120107,22,26,1,male,image_stim_n.png,B12,348.14979359999415,Monday,2,346.8926047999994,faceWord_exp,sick,341.0471730999998
352.1674836999737,42,0.9854734000109602,358.59786179999355,0.9216787000186741,31,354.6624264999991,pos,-1.3503642789447028,11,336,b,22,180,7.68,1.0619153000006918,21,27,1,male,image_stim_p.png,B12,358.53406710000127,Monday,2,357.6123883999826,faceWord_exp,musical,353.22939899997436
366.6464967999782,42,1.000486799981445,373.0470599999826,0.9009819999919273,42,369.0670830999734,neu,-0.5451009915059291,13,336,b,22,180,5.8,1.0037783000152558,22,28,0,male,image_stim_n.png,B12,372.9475551999931,Monday,2,372.04657320000115,faceWord_exp,toaster,367.65027509999345
380.00656739997794,42,0.9289743999834172,384.87930899998173,0.7778686999808997,41,381.7967388999823,neu,0.1106807997481866,13,336,b,22,180,5.65,0.7408777000091504,21,29,1,male,image_stim_p.png,B12,384.7282032999792,Monday,2,383.9503345999983,faceWord_exp,theory,380.7474450999871
390.9763180000009,42,0.9710379000171088,398.878695899999,1.4925984000146855,42,392.84816889997455,neu,0.17918122123944408,13,180,b,22,336,5.27,0.8026453999918886,22,30,0,male,image_stim_n.png,B12,399.4002563999966,Monday,2,397.9076579999819,faceWord_exp,verb,391.7789633999928
403.3111204999732,42,1.0085949999920558,413.49767799998517,1.3405514000041876,31,405.8106782999821,pos,-1.0752281295040744,11,180,b,22,336,6.4,1.0015306000132114,21,31,1,male,image_stim_p.png,B12,413.8296343999973,Monday,2,412.4890829999931,faceWord_exp,mercy,404.3126510999864
