word_score_warriner,key_t,delay_frames_before,pause_trigger_t,onset_img,rt,word_score_pc,word_label,ID,random_timepoint,correct_resp,session,scan day,duration_frames,no,offset_word,offset_img,condition,duration_measured_word,onset_word,duration_measured_img,word,delay_frames_after,img,gender,age,response
5.81,135.54188349598553,137,133.54040341699147,134.87484097498236,0.6670425210031681,-0.9476055713690849,neu,1,149.26680626499,1,6,Monday,48,24,132.53994498300017,135.67322711998713,faceWord_exp,0.78978736299905,131.75015762000112,0.7983861450047698,satire,135,image_stim_n.png,male,22,left
7.11,141.9753304689948,141,139.72317971399752,141.12487048198818,0.8504599870066158,-1.4048581699918157,pos,1,155.51683606900042,1,6,Monday,48,25,138.72322969898232,141.92354317600257,faceWord_exp,0.7951959769998211,137.9280337219825,0.7986726940143853,blueberry,90,image_stim_p.png,male,22,right
6.92,148.34130134497536,198,145.22363439097535,147.575670582999,0.7656307619763538,-1.2017878999114775,pos,1,161.9676358900033,0,6,Monday,48,26,144.22315221998724,148.37307835099637,faceWord_exp,0.7961573000065982,143.42699491998064,0.7974077679973561,sun,40,image_stim_p.png,male,22,left
6.67,151.95866197298164,69,150.84022215899313,151.042041202978,0.9166207700036466,-2.035068499528653,pos,1,165.43400666301022,1,6,Monday,48,27,149.83944686799077,151.83962846398936,faceWord_exp,0.7952656740089878,149.04418119398179,0.7975872610113584,dolphin,150,image_stim_p.png,male,22,right
7.15,158.07524502198794,136,156.14010827598395,157.45619652199093,0.6190484999970067,-1.313583728320736,pos,1,171.8481612970063,1,6,Monday,48,28,155.13990573099,158.25635071398574,faceWord_exp,0.7960101430071518,154.34389558798284,0.8001541919948068,girl,184,image_stim_p.png,male,22,right
5.78,165.47491199398064,164,163.12335570098367,164.911935954995,0.5629760389856528,-0.30581232848456497,neu,1,179.30390148601145,1,6,Monday,48,29,162.12289854997653,165.70617100500385,faceWord_exp,0.7947738109796774,161.32812473899685,0.7942350500088651,advice,110,image_stim_n.png,male,22,left
6.38,171.6080254589906,162,169.33988742498332,171.0911570089811,0.5168684500094969,-1.613773182399739,pos,1,185.48312260000966,1,6,Monday,48,30,168.33939489797922,171.88950462298817,faceWord_exp,0.795420224982081,167.54397467299714,0.7983476140070707,hygiene,205,image_stim_p.png,male,22,right
5.21,176.90865288500208,9,169.33988742498332,176.30822952400194,0.6004233610001393,0.4070035035588155,neu,1,190.70019510900602,1,6,Monday,48,31,176.10603869199986,177.1060285929998,faceWord_exp,0.7904630450066179,175.31557564699324,0.7977990689978469,church,194,image_stim_n.png,male,22,left
5.26,185.0909671279951,197,182.13970852497732,184.47555213599117,0.6154149920039345,-0.8574934623041074,neu,1,198.8675175929966,1,6,Monday,48,32,181.13934564599185,185.27237950798008,faceWord_exp,0.7949626510089729,180.34438299498288,0.7968273719889112,accordion,142,image_stim_n.png,male,22,left
5.95,190.00739248999162,51,182.13970852497732,189.34445281297667,0.6629396770149469,-0.1293625696653618,neu,1,203.73641815999872,1,6,Monday,48,33,188.4394258649845,190.13917912199395,faceWord_exp,0.795501273998525,187.643924590986,0.7947263090172783,escalator,181,image_stim_n.png,male,22,left
5.89,196.52418751898222,122,194.95624202597537,196.041640757001,0.4825467619812116,-0.4928774877246448,neu,1,210.43360591301462,1,6,Monday,48,34,193.95599698097794,196.8390905339911,faceWord_exp,0.7959111069794744,193.16008587399847,0.7974497769901063,chair,114,image_stim_n.png,male,22,left
5.24,202.44021368099493,133,200.5398069199873,201.8045961309981,0.6356175499968231,0.06851316647377265,neu,1,216.19656150101218,1,6,Monday,48,35,199.53927559798467,202.6056077760004,faceWord_exp,0.7962813889898825,198.7429942089948,0.8010116450022906,analogy,134,image_stim_p.png,male,22,right
6.73,206.40766787697794,-11,200.5398069199873,205.6913063910033,0.7163614859746303,-1.87678309604286,pos,1,220.08327186401584,1,6,Monday,48,36,205.6388707649894,206.48841424199054,faceWord_exp,0.795706094999332,204.84316466999007,0.7971078509872314,read,137,image_stim_p.png,male,22,right
7.48,211.19124334398657,56,200.5398069199873,210.55716177698923,0.6340815669973381,-2.2232275900644445,pos,1,224.94912679001573,1,6,Monday,48,37,209.57268566900166,211.3556796659832,faceWord_exp,0.7963073100254405,208.77637835897622,0.7985178889939561,home,111,image_stim_p.png,male,22,right
7.0,217.27390801199363,160,215.00601048697717,216.72434516600333,0.5495628459902946,-1.1380831950062478,pos,1,231.11631036299514,1,6,Monday,48,38,214.00587648898363,217.52183348499238,faceWord_exp,0.7969059149909299,213.2089705739927,0.7974883189890534,pumpkin,59,image_stim_p.png,male,22,right
5.64,220.5074120319914,26,215.00601048697717,219.80041100998642,0.707001022004988,0.6345811289687322,neu,1,234.19237596399034,1,6,Monday,48,39,219.30574019998312,220.588425266993,faceWord_exp,0.7910992229881231,218.514640976995,0.78801425700658,big,220,image_stim_n.png,male,22,left
6.4,226.14048961599474,-16,215.00601048697717,225.10727217898238,1.033217437012354,-2.2453726125286497,pos,1,239.49923557700822,0,6,Monday,48,40,225.0555863849877,225.90538773097796,faceWord_exp,0.7958571439958178,224.25972924099187,0.7981155519955792,dinner,206,image_stim_p.png,male,22,left
3.14,232.1392894820019,85,231.13923801700003,231.60698439797852,0.5323050840233918,3.1728286127179004,neg,1,245.99894955399213,1,6,Monday,48,41,230.13878627098165,232.40529315097956,faceWord_exp,0.7975514690042473,229.3412348019774,0.798308753001038,rumor,81,image_stim_n.png,male,22,left
2.86,237.23987231098,125,235.5558639279916,236.6913636069803,0.548508703999687,2.6698720582687456,neg,1,251.08332874599728,1,6,Monday,48,42,234.5552501049824,237.48885098399478,faceWord_exp,0.7961312299885321,233.75911887499387,0.7974873770144768,fee,90,image_stim_n.png,male,22,left
6.21,243.4407705779886,177,240.78852215298684,242.80194652697537,0.6388240510132164,-1.283661754694624,pos,1,257.1939116519934,1,6,Monday,48,43,239.78851047498756,243.60521870999946,faceWord_exp,0.7948778109857813,238.99363266400178,0.8032721830240916,handshake,172,image_stim_p.png,male,22,right
4.32,250.22301079597673,141,248.27221797799575,249.67313963797642,0.5498711580003146,0.8985553834191027,neg,1,264.06510504399193,1,6,Monday,48,44,247.27176161800162,250.4719723140006,faceWord_exp,0.7960841370222624,246.47567748097936,0.7988326760241762,crow,157,image_stim_n.png,male,22,left
