correct_resp,img,no,condition,word_label,session,pause_trigger,response,gender,duration_measured_img,word_score_warriner,duration_measured_word,onset_img,key_t,pause_trigger_t,rt,duration_frames,onset_word,scan day,ID,word,age,delay_frames_after,img_trigger,offset_word,delay_frames_before,offset_img,word_score_pc,word_trigger
1,image_stim_n.png,11,faceWord_exp,neu,3,42,y,female,0.7032735149841756,5.48,0.6950529200257733,107.44452367402846,108.21713302005082,102.82760706800036,0.7726093460223638,42,101.13430392701412,Monday,1,glass,23,180,22,101.82935684703989,336,108.14779718901264,0.2046331385026182,13
1,image_stim_n.png,12,faceWord_exp,neg,3,32,y,female,0.6880054560024291,2.62,0.6935209169751033,117.45291429205099,117.99676101602381,112.8374108140124,0.5438467239728197,42,111.14562269404996,Monday,1,shame,23,180,22,111.83914361102507,336,118.14091974805342,4.2618443246155895,12
1,image_stim_n.png,13,faceWord_exp,neg,3,32,y,female,0.7021577009581961,4.68,0.6953494240297005,127.44846776704071,128.0041203580331,122.83039391000057,0.5556525909923948,42,121.1368723490159,Monday,1,foot,23,180,22,121.8322217730456,336,128.1506254679989,0.41231466195915456,12
1,image_stim_n.png,14,faceWord_exp,neg,3,32,y,female,0.7003531170194037,2.11,0.6929726710077375,137.46011816500686,137.99874673201703,132.84015235403785,0.5386285670101643,42,131.14906120102387,Monday,1,criminal,23,180,22,131.8420338720316,336,138.16047128202626,3.6129749181587063,12
1,image_stim_n.png,15,faceWord_exp,neg,3,32,y,female,0.6873505280236714,4.32,0.6951334130135365,144.8726433130214,145.44598702603253,142.8499070300022,0.573343713011127,42,141.15660364599898,Monday,1,cold,23,336,22,141.85173705901252,180,145.55999384104507,1.7592404876513306,12
1,image_stim_p.png,16,faceWord_exp,neu,3,41,b,female,0.6993535110377707,5.65,0.6950474889599718,154.87026713200612,155.68872376601212,152.842348212027,0.8184566340059973,42,151.14978606405202,Monday,1,pencil,23,336,21,151.844833553012,180,155.5696206430439,0.13339963708933658,13
1,image_stim_n.png,17,faceWord_exp,neu,3,42,y,female,0.697402541001793,5.34,0.6946113600279205,164.88181433902355,165.48172842303757,162.85278838605154,0.5999140840140171,42,161.1599504110054,Monday,1,patent,23,336,22,161.85456177103333,180,165.57921688002534,-0.1793860699809707,13
1,image_stim_p.png,18,faceWord_exp,pos,3,31,b,female,0.6875584310037084,6.71,0.6935515770455822,174.88474913302343,175.75759447499877,172.8625419360469,0.872845341975335,42,171.17084625799907,Monday,1,advantage,23,336,21,171.86439783504466,180,175.57230756402714,-1.2474567486001964,11
1,image_stim_n.png,19,faceWord_exp,neu,3,42,y,female,0.7010938160237856,5.81,0.6954345100093633,184.88101330201607,185.43511368904728,182.85560388700105,0.5541003870312124,42,181.1620045620366,Monday,1,jam,23,336,22,181.85743907204596,180,185.58210711803986,-1.343270424679961,13
1,image_stim_p.png,20,faceWord_exp,pos,3,31,b,female,0.698068011959549,7.25,0.695183216012083,197.48742888704874,198.07203600602224,192.86519902700093,0.5846071189735085,42,191.17209075699793,Monday,1,family,23,180,21,191.86727397301001,336,198.18549689900829,-1.6019047514101912,11
1,image_stim_p.png,21,faceWord_exp,pos,3,31,b,female,0.7020913329906762,7.0,0.6940174489864148,204.8994385820115,205.52353190403664,202.87512970902026,0.6240933220251463,42,201.18290486303158,Monday,1,park,23,336,21,201.876922312018,180,205.60152991500217,-1.9950971558262764,11
1,image_stim_p.png,22,faceWord_exp,pos,3,31,b,female,0.699536113999784,6.84,0.6918710410245694,214.9120137800346,215.64779674302554,212.88488357601454,0.7357829629909247,42,211.1947346900124,Monday,1,computer,23,336,21,211.88660573103698,180,215.6115498940344,-1.728066945394655,11
1,image_stim_p.png,23,faceWord_exp,pos,3,31,b,female,0.687308452965226,7.0,0.6949602100066841,227.51059308304684,228.07022296602372,222.89453656901605,0.5596298829768784,42,221.20136376202572,Monday,1,coffee,23,180,21,221.8963239720324,336,228.19790153601207,-1.8894778219780863,11
1,image_stim_n.png,24,faceWord_exp,neu,3,42,y,female,0.6953190469648689,5.7,0.6950128930038773,234.91875787405297,235.71894244500436,232.8876572950394,0.8001845709513873,42,231.1945170360268,Monday,1,jungle,23,336,22,231.8895299290307,180,235.61407692101784,0.07332602516344529,13
1,image_stim_p.png,25,faceWord_exp,pos,3,31,b,female,0.702019045013003,6.29,0.6948771750321612,244.92149681702722,245.5764349020319,242.8973757729982,0.6549380850046873,42,241.20435845199972,Monday,1,flute,23,336,21,241.89923562703189,180,245.62351586204022,-1.6804307003665144,11
0,image_stim_p.png,26,faceWord_exp,neu,3,41,y,female,0.7030549540068023,5.73,0.6951327360002324,257.5244064970175,258.1137023860356,252.90722413302865,0.5892958890181035,42,251.21377052000025,Monday,1,reality,23,180,21,251.90890325600049,336,258.2274614510243,0.30770997164376424,13
1,image_stim_n.png,27,faceWord_exp,neg,3,32,y,female,0.6966837649815716,3.0,0.6945345909916796,267.54061962803826,268.1429303550394,262.91682255704654,0.6023107270011678,42,261.22417929500807,Monday,1,tax,23,180,22,261.91871388599975,336,268.23730339301983,3.4211910580769755,12
1,image_stim_p.png,28,faceWord_exp,pos,3,31,b,female,0.6870337669970468,7.48,0.6952344679739326,274.94968764903024,275.5231603800203,272.92668008303735,0.5734727309900336,42,271.2332534370362,Monday,1,hope,23,336,21,271.9284879050101,180,275.6367214160273,-2.2287379941341,11
