onset_word,word,ID,img_trigger,duration_measured_word,session,delay_frames_after,offset_img,scan day,correct_resp,gender,word_score_pc,pause_trigger_t,word_trigger,duration_measured_img,pause_trigger,duration_frames,no,key_t,onset_img,age,word_label,word_score_warriner,delay_frames_before,offset_word,img,rt,condition,response
81.71513679999771,hand,12345,22,0.6960268000038923,4,60,85.19163560000015,Monday,0,female,-0.29144085929118746,83.41291079999792,13,0.6921052999969106,42,42,19,84.91018959999928,84.49953030000324,22,neu,5.9,120,82.4111636000016,image_stim_n.png,0.4106592999960412,faceWord_exp,b
86.21120510000037,baseball,12345,21,0.6975726000018767,4,120,88.67034219999914,Monday,1,female,-0.4066038871991289,83.41291079999792,13,0.6860076000011759,41,42,20,88.38998919999722,87.98433459999796,22,neu,5.79,60,86.90877770000225,image_stim_p.png,0.40565459999925224,faceWord_exp,b
90.68036220000067,shoulder,12345,21,0.6888200000030338,4,60,94.11746319999656,Monday,1,female,0.12602488928311428,92.36810169999808,13,0.681555399998615,41,42,21,94.06910249999783,93.43590779999795,22,neu,5.1,120,91.3691822000037,image_stim_p.png,0.6331946999998763,faceWord_exp,b
95.1248581999971,bonfire,12345,21,0.6908112000019173,4,60,98.5629945000037,Monday,1,female,-1.7974288604529352,96.8143979000015,11,0.6900058000028366,31,42,22,98.36525450000045,97.87298870000086,22,pos,6.53,120,95.81566939999902,image_stim_p.png,0.4922657999995863,faceWord_exp,b
99.60883650000324,expensive,12345,22,0.6863745999944513,4,120,102.06049009999697,Monday,1,female,-0.3663992490442602,96.8143979000015,12,0.6857313000000431,32,42,23,101.84767419999844,101.37475879999693,22,neg,3.36,60,100.29521109999769,image_stim_n.png,0.47291540000151144,faceWord_exp,y
104.07501190000039,bell,12345,22,0.683953300002031,4,60,107.50573319999967,Monday,1,female,-0.6996261236875504,105.75917669999762,13,0.6804534999973839,42,42,24,107.44083030000183,106.82527970000228,22,neu,5.67,120,104.75896520000242,image_stim_n.png,0.6155505999995512,faceWord_exp,y
108.52513419999741,torment,12345,22,0.6965026000034413,4,120,110.9525255999979,Monday,1,female,4.5355840269859025,105.75917669999762,12,0.6874753000010969,32,42,25,110.65582089999953,110.2650502999968,22,neg,2.53,60,109.22163680000085,image_stim_n.png,0.3907706000027247,faceWord_exp,y
112.96236869999848,animosity,12345,22,0.6893012000000454,4,60,116.40034849999938,Monday,1,female,3.4698173961771306,114.65296820000367,12,0.6929612999956589,32,42,26,116.03318700000091,115.70738720000372,22,neg,3.4,120,113.65166989999852,image_stim_n.png,0.3257997999971849,faceWord_exp,y
117.41742410000006,boy,12345,22,0.6960204999995767,4,120,119.86329809999734,Monday,1,female,-0.9031069202434168,114.65296820000367,13,0.6847237999973004,42,42,27,119.7001803000021,119.17857430000004,22,neu,5.84,60,118.11344459999964,image_stim_n.png,0.5216060000020661,faceWord_exp,y
121.87767429999803,honey,12345,21,0.6842978999993647,4,120,124.32674029999907,Monday,1,female,-2.066768843681998,114.65296820000367,11,0.6885324999966542,31,42,28,124.22688039999775,123.63820780000242,22,pos,7.27,60,122.5619721999974,image_stim_p.png,0.5886725999953342,faceWord_exp,b
126.35030910000205,wonder,12345,21,0.6909563000008347,4,120,128.7741055000006,Monday,1,female,-2.303583541830637,114.65296820000367,11,0.6800273999979254,31,42,29,128.5904384000023,128.09407810000266,22,pos,6.68,60,127.04126540000289,image_stim_p.png,0.49636029999965103,faceWord_exp,b
130.7962641999984,businessman,12345,22,0.6895836000039708,4,60,134.25155369999993,Monday,1,female,0.6669259665908855,132.4861466000002,13,0.6865118999994593,42,42,30,134.00496250000288,133.56504180000047,22,neu,5.38,120,131.48584780000238,image_stim_n.png,0.43992070000240346,faceWord_exp,y
135.2792827000012,explosion,12345,22,0.6954906999962986,4,120,137.7305023000008,Monday,1,female,3.1835494020570807,132.4861466000002,12,0.6905079999996815,32,42,31,137.6176964999977,137.03999430000113,22,neg,3.17,60,135.9747733999975,image_stim_n.png,0.5777021999965655,faceWord_exp,y
139.7474813000008,dog,12345,21,0.6818196000021999,4,120,142.15909860000102,Monday,1,female,-1.7294291477603156,132.4861466000002,11,0.6846202000015182,31,42,32,141.93080069999996,141.4744783999995,22,pos,7.0,60,140.429300900003,image_stim_p.png,0.4563223000004655,faceWord_exp,b
144.16860029999953,loan,12345,22,0.6900046000009752,4,120,146.62381019999884,Monday,1,female,0.7532200949518182,132.4861466000002,12,0.6891801000019768,32,42,33,146.19579420000082,145.93463009999687,22,neg,4.19,60,144.8586049000005,image_stim_n.png,0.2611641000039526,faceWord_exp,y
148.63068159999966,peace,12345,21,0.6918241000021226,4,60,152.05391010000312,Monday,1,female,-3.0311112754680245,150.3204149000012,11,0.6931376000065939,31,42,34,151.70528580000246,151.36077249999653,22,pos,7.75,120,149.32250570000178,image_stim_p.png,0.3445133000059286,faceWord_exp,b
153.0718158000018,elevator,12345,21,0.6779880999965826,4,120,155.4830054999984,Monday,1,female,0.1872293205875,150.3204149000012,13,0.69114719999925,41,42,35,155.33659040000202,154.79185829999915,22,neu,5.95,60,153.74980389999837,image_stim_p.png,0.5447321000028751,faceWord_exp,b
157.49983980000252,guard,12345,21,0.6810490999996546,4,60,160.9469515000019,Monday,1,female,0.29188517290671034,159.18079209999996,13,0.6915272000042023,41,42,36,160.76280099999713,160.25542429999769,22,neu,5.89,120,158.18088890000217,image_stim_p.png,0.5073766999994405,faceWord_exp,b
