rt,onset_word,word,no,delay_frames_after,pause_trigger,img_trigger,duration_measured_word,gender,word_score_warriner,offset_img,response,ID,onset_img,duration_measured_img,delay_frames_before,scan day,key_t,duration_frames,condition,word_label,word_score_pc,correct_resp,pause_trigger_t,age,word_trigger,session,img,offset_word
0.538306925969664,101.48512581299292,school,11,180,41,21,0.6929542720317841,female,5.41,108.51189963601064,b,ELAS,107.81072123901686,0.7011783969937824,336,Monday,108.34902816498652,42,faceWord_exp,neu,0.26215401176465297,1,103.17905819398584,22,13,1,image_stim_p.png,102.1780800850247
0.4225863330066204,111.51941516599618,tourist,12,336,41,21,0.6921461949823424,female,5.71,115.94564965000609,b,ELAS,115.24372432002565,0.7019253299804404,180,Monday,115.66631065303227,42,faceWord_exp,neu,-0.31568469709749714,1,113.21283323899843,22,13,1,image_stim_p.png,112.21156136097852
0.2727783729787916,121.55583117797505,jury,13,336,32,22,0.6902440990088508,female,4.23,125.97971382999094,y,ELAS,125.27736588701373,0.7023479429772124,180,Monday,125.55014425999252,42,faceWord_exp,neg,1.7036686386059527,1,123.24717305798549,22,12,1,image_stim_n.png,122.2460752769839
0.6045218019862659,131.58793511101976,policeman,14,180,32,22,0.6922403249773197,female,4.21,138.61390005698195,y,ELAS,137.91265365900472,0.7012463979772292,336,Monday,138.51717546099098,42,faceWord_exp,neg,0.397042668763988,1,133.28112823999254,22,12,1,image_stim_n.png,132.28017543599708
0.5027749590226449,141.62489744799677,pineapple,15,336,31,21,0.6892203299794346,female,6.9,146.04783956997562,b,ELAS,145.3489026959869,0.6989368739887141,180,Monday,145.85167765500955,42,faceWord_exp,pos,-1.6708771386143015,1,143.31488244998036,22,11,1,image_stim_p.png,142.3141177779762
0.5551357750082389,151.65658181899926,bridge,16,336,41,21,0.691598839010112,female,5.44,156.08197578397812,b,ELAS,155.38077125197742,0.7012045320007019,180,Monday,155.93590702698566,42,faceWord_exp,neu,0.1935892361901769,1,153.34890659397934,22,13,1,image_stim_p.png,152.34818065800937
0.5720967199886218,161.689472344995,fence,17,336,42,22,0.6927677320200019,female,5.05,166.11580041400157,y,ELAS,165.41420995502267,0.7015904589788988,180,Monday,165.9863066750113,42,faceWord_exp,neu,0.3759356543037889,1,163.38300083501963,22,13,1,image_stim_n.png,162.382240077015
0.6226901360205375,171.72261342802085,envy,18,180,32,22,0.6936686189728789,female,3.05,178.75018423597794,y,ELAS,178.0485866399831,0.7015975959948264,336,Monday,178.67127677600365,42,faceWord_exp,neg,3.3697994362845387,1,173.4171767270309,22,12,1,image_stim_n.png,172.41628204699373
0.5548976499703713,181.7574423890328,treaty,19,336,41,21,0.6928382709738798,female,5.42,186.1841455519898,b,ELAS,185.48299465002492,0.7011509019648656,180,Monday,186.0378922999953,42,faceWord_exp,neu,-0.7213913907893977,1,183.4509915750241,22,13,1,image_stim_p.png,182.45028066000668
0.9233860010281205,191.79260012402665,whale,20,180,41,21,0.6916793650016189,female,5.81,198.81807688600384,b,ELAS,198.11610197997652,0.701974906027317,336,Monday,199.03948798100464,42,faceWord_exp,neu,-0.8455595735963974,1,193.48503663600422,22,13,1,image_stim_p.png,192.48427948902827
0.6718307369737886,201.82551857101498,garden,21,180,31,21,0.6927920960006304,female,7.25,208.85208487702766,b,ELAS,208.15081691503292,0.7012679619947448,336,Monday,208.8226476520067,42,faceWord_exp,pos,-2.3673221107876317,1,203.5190460520098,22,11,1,image_stim_p.png,202.5183106670156
0.43602443498093635,211.86184361902997,woman,22,336,31,21,0.6905042869620956,female,7.09,216.28589427901898,b,ELAS,215.58682071301155,0.6990735660074279,180,Monday,216.02284514799248,42,faceWord_exp,pos,-1.7483058493195842,1,213.55312324501574,22,11,1,image_stim_p.png,212.55234790599206
0.622703219007235,221.89276106102625,love,23,180,31,21,0.6935289489920251,female,8.0,228.92033177998383,b,ELAS,228.21815799700562,0.7021737829782069,336,Monday,228.84086121601285,42,faceWord_exp,pos,-2.40140153221556,1,223.5873275740305,22,11,1,image_stim_p.png,222.58629001001827
0.638456207991112,231.92834409303032,alligator,24,336,32,22,0.6920769219868816,female,4.23,236.3542359059793,y,ELAS,235.65263181901537,0.7016040869639255,180,Monday,236.29108802700648,42,faceWord_exp,neg,1.9014187675556817,1,233.6213380069821,22,12,1,image_stim_n.png,232.6204210150172
0.4383042670087889,241.9617580859922,hospital,25,336,32,22,0.6926775840111077,female,3.52,246.38801377202617,y,ELAS,245.68663857202046,0.7013752000057139,180,Monday,246.12494283902925,42,faceWord_exp,neg,2.561630339716405,1,243.6552142170258,22,12,1,image_stim_n.png,242.6544356700033
0.5556052119936794,251.99481106200255,plot,26,336,32,22,0.6935606420156546,female,4.9,256.42214412399335,y,ELAS,255.72047003399348,0.7016740899998695,180,Monday,256.27607524598716,42,faceWord_exp,neg,0.2016963621838916,1,253.68941369798267,22,12,1,image_stim_n.png,252.6883717040182
