duration_frames,key_t,delay_frames_before,response,onset_img,ID,word_score_warriner,word_score_pc,gender,condition,correct_resp,offset_word,duration_measured_img,word_trigger,duration_measured_word,scan day,rt,offset_img,pause_trigger_t,img_trigger,delay_frames_after,age,word,no,pause_trigger,img,word_label,onset_word,session
42,206.10810217499966,180,b,205.5372835159942,PK,5.84,-0.6912617476649511,female,faceWord_exp,1,202.5035741800093,0.6998667540028691,13,0.6927195950120222,Monday,0.5708186590054538,206.23715026999707,203.50439830098185,21,336,22,soccer,21,41,image_stim_p.png,neu,201.8108545849973,6
42,216.05778093100525,180,b,215.5709112949844,PK,5.1,0.07641955756997082,female,faceWord_exp,1,212.53743458999088,0.6995538060145918,13,0.6932950379850809,Monday,0.486869636020856,216.270465100999,213.53840061099618,21,336,22,role,22,41,image_stim_p.png,neu,211.8441395520058,6
42,228.75915010998142,336,y,228.2048898189969,PK,3.89,1.421533554407035,female,faceWord_exp,1,222.57152265799232,0.7005020760116167,12,0.6906694569915999,Monday,0.55426029098453,228.9053918950085,223.572255512001,22,180,22,judge,23,32,image_stim_n.png,neg,221.88085320100072,6
42,236.2265086940024,180,y,235.63928802899318,PK,5.49,0.1576901893660491,female,faceWord_exp,1,232.60544115598896,0.6998968140105717,13,0.6921783270081505,Monday,0.5872206650092266,236.33918484300375,233.60624282699428,22,336,22,table,24,42,image_stim_n.png,neu,231.9132628289808,6
42,246.22725485998672,180,b,245.68912864898448,PK,6.37,-2.3709211732995845,female,faceWord_exp,1,242.65629882298526,0.700724637019448,11,0.6923817420029081,Monday,0.5381262110022362,246.38985328600393,243.65700947199366,21,336,22,parade,25,31,image_stim_p.png,pos,241.96391708098236,6
42,258.6949557159969,336,b,258.322794785985,PK,7.48,-2.2232275900644445,female,faceWord_exp,1,252.69030970800668,0.7019120830227621,11,0.6906530520063825,Monday,0.3721609300118871,259.0247068690078,253.69117931000073,21,180,22,home,26,31,image_stim_p.png,pos,251.9996566560003,6
42,268.9621205010044,336,y,268.35448972598533,PK,2.07,4.494524106175375,female,faceWord_exp,1,262.7242976659909,0.7036448050057516,12,0.6914288690022659,Monday,0.6076307750190608,269.0581345309911,263.7249960140034,22,180,22,funeral,27,32,image_stim_n.png,neg,262.0328687969886,6
42,278.9462901960069,336,y,278.39164042900666,PK,5.33,-1.1818642926883074,female,faceWord_exp,1,272.7583244389971,0.7004132829897571,13,0.6921631970035378,Monday,0.5546497670002282,279.0920537119964,273.75924127199687,22,180,22,prairie,28,42,image_stim_n.png,neu,272.06616124199354,6
42,288.9307911040087,336,y,288.4256448469823,PK,5.29,0.38949539348709145,female,faceWord_exp,1,282.7924238879932,0.7005783170170616,13,0.6941371439897921,Monday,0.5051462570263539,289.1262231639994,283.7931349980063,22,180,22,era,29,42,image_stim_n.png,neu,282.0982867440034,6
42,298.9148144059873,336,y,298.46527806998347,PK,4.75,0.5993691927879942,female,faceWord_exp,1,292.8264316569839,0.6948656830063555,12,0.6923812449967954,Monday,0.4495363360038027,299.1601437529898,293.82712545400136,22,180,22,rake,30,32,image_stim_n.png,neg,292.1340504119871,6
42,306.4147134590021,180,y,305.89383208798245,PK,2.79,3.2726955917764444,female,faceWord_exp,1,302.86040978098754,0.7001977309992071,12,0.6916201809945051,Monday,0.5208813710196409,306.59402981898165,303.86137029499514,22,336,22,gunshot,31,32,image_stim_n.png,neg,302.16878959999303,6
42,318.9993052750069,336,y,318.5279096129816,PK,4.55,0.7240429444440241,female,faceWord_exp,1,312.8944877180038,0.7002018530038185,12,0.6933773130003829,Monday,0.4713956620253157,319.2281114659854,313.89537003298756,22,180,22,law,32,32,image_stim_n.png,neg,312.2011104050034,6
42,329.18257535100565,336,b,328.5621355889889,PK,6.73,-1.87678309604286,female,faceWord_exp,1,322.92850654400536,0.7002556569932494,11,0.6934968370187562,Monday,0.6204397620167583,329.26239124598214,323.9294437439821,21,180,22,read,33,31,image_stim_p.png,pos,322.2350097069866,6
42,336.6337466459954,180,b,335.99549648800166,PK,7.15,-1.313583728320736,female,faceWord_exp,1,332.96258334000595,0.7006142809987068,11,0.690510467014974,Monday,0.6382501579937525,336.69611076900037,333.9632521669846,21,336,22,girl,34,31,image_stim_p.png,pos,332.272072872991,6
42,349.0844419419882,336,b,348.6295993780077,PK,6.61,-1.0219663684796234,female,faceWord_exp,1,342.9965296520095,0.7006492179934867,11,0.692433724005241,Monday,0.45484256398049183,349.3302485960012,343.99727306500426,21,180,22,camera,35,31,image_stim_p.png,pos,342.30409592800424,6
42,359.18441055098083,336,b,358.6637550870073,PK,5.78,-0.30581232848456497,female,faceWord_exp,1,353.0307372380048,0.6997289189894218,13,0.6911967729975004,Monday,0.5206554639735259,359.3634840059967,354.03154707100475,21,180,22,advice,36,41,image_stim_p.png,neu,352.3395404650073,6
42,366.6015870029805,180,b,366.0976856329944,PK,7.33,-1.071197614358652,female,faceWord_exp,1,363.0645124760049,0.7006058669940103,11,0.6927377420070115,Monday,0.5039013699861243,366.7982914999884,364.06506852799794,21,336,22,chipmunk,37,31,image_stim_p.png,pos,362.3717747339979,6
42,379.2197297459934,336,b,378.73163917899365,PK,7.0,-1.1380831950062478,female,faceWord_exp,1,373.0986351539905,0.7009016220108606,11,0.6921977860038169,Monday,0.4880905669997446,379.4325408010045,374.0993497489835,21,180,22,pumpkin,38,31,image_stim_p.png,pos,372.40643736798665,6
42,389.33727762298076,336,y,388.7656533129921,PK,5.9,0.597486551423763,female,faceWord_exp,1,383.1326391939947,0.7009984900068957,13,0.6917921809945256,Monday,0.5716243099886924,389.46665180299897,384.1333603299863,22,180,22,medicine,39,42,image_stim_n.png,neu,382.44084701300017,6
42,396.73750954298885,180,b,396.2001206849818,PK,6.4,-2.2453726125286497,female,faceWord_exp,1,393.16660179698374,0.7001410920056514,11,0.6925888799887616,Monday,0.5373888580070343,396.90026177698746,394.1674582269916,21,336,22,dinner,40,31,image_stim_p.png,pos,392.474012916995,6
42,406.6891416629951,180,y,406.23936575098196,PK,3.19,1.5556418242275696,female,faceWord_exp,1,403.20076588800293,0.69512380802189,12,0.6907882960222196,Monday,0.4497759120131377,406.93448955900385,404.2015966690087,22,336,22,old,41,32,image_stim_n.png,neg,402.5099775919807,6
42,419.3389199989906,336,y,418.86230813598377,PK,5.8,-0.3659926056186196,female,faceWord_exp,1,413.23472065199167,0.6887034260143992,13,0.6924681789823808,Monday,0.47661186300683767,419.55101156199817,414.2356459629955,22,180,22,finger,42,42,image_stim_n.png,neu,412.5422524730093,6
42,429.3569848430052,336,y,428.88414646699675,PK,4.11,2.52891321026023,female,faceWord_exp,1,423.2519029539835,0.7019495420099702,12,0.6926777259795927,Monday,0.4728383760084398,429.5860960090067,424.25277363098576,22,180,22,folly,43,32,image_stim_n.png,neg,422.5592252280039,6
42,436.78890564199537,180,y,436.31915698200464,PK,2.86,2.6698720582687456,female,faceWord_exp,1,433.2860240179871,0.700560516997939,12,0.6932083749852609,Monday,0.4697486599907279,437.0197174990026,434.2868259240058,22,336,22,fee,44,32,image_stim_n.png,neg,432.5928156430018,6
42,449.3919943390065,336,b,448.9534704639809,PK,5.65,-0.15774590184623308,female,faceWord_exp,1,443.3201053990051,0.7000744079996366,13,0.69301115302369,Monday,0.43852387502556667,449.65354487198056,444.3209091669996,21,180,22,comb,45,41,image_stim_p.png,neu,442.6270942459814,6
42,456.8418234109995,180,y,456.3873609500006,PK,3.08,3.1738538072533196,female,faceWord_exp,1,453.3538927490008,0.7005651729996316,12,0.6933935669949278,Monday,0.4544624609989114,457.0879261230002,454.35490517900325,22,336,22,sin,46,32,image_stim_n.png,neg,452.6604991820059,6
42,466.8750802830036,180,y,466.42052819399396,PK,4.59,0.3271241198863318,female,faceWord_exp,1,463.38812456300366,0.7014667729963548,12,0.6926823469984811,Monday,0.4545520890096668,467.1219949669903,464.38872120398446,22,336,22,mayor,47,32,image_stim_n.png,neg,462.6954422160052,6
42,479.5600523430039,336,y,479.05567643098766,PK,3.94,1.4290259416609457,female,faceWord_exp,1,473.4221610289824,0.700371401006123,12,0.6891460709739476,Monday,0.5043759120162576,479.7560478319938,474.4228814409871,22,180,22,lawyer,48,32,image_stim_n.png,neg,472.7330149580084,6
42,487.0271868679847,180,y,486.4901349809952,PK,3.14,3.1728286127179004,female,faceWord_exp,1,483.45618254100555,0.6996217110136058,12,0.6927881239971612,Monday,0.5370518869895022,487.1897566920088,484.4569532159949,22,336,22,rumor,49,32,image_stim_n.png,neg,482.7633944170084,6
42,499.64543458700064,336,b,499.1235073659918,PK,6.72,-1.8284590275958619,female,faceWord_exp,1,493.49027613998624,0.7007881689933129,11,0.6929033619817346,Monday,0.5219272210088093,499.82429553498514,494.4912401610054,21,180,22,river,50,31,image_stim_p.png,pos,492.7973727780045,6
42,507.078833320993,180,b,506.55758054499165,PK,7.18,-2.3202480308548075,female,faceWord_exp,1,503.52427235399955,0.700223771011224,11,0.6924319789977744,Monday,0.5212527760013472,507.2578043160029,504.52502027800074,21,336,22,party,51,31,image_stim_p.png,pos,502.8318403750018,6
42,517.0960786429932,180,b,516.5914726159826,PK,6.21,-1.283661754694624,female,faceWord_exp,1,513.5583384829806,0.7004461540200282,11,0.6917216809815727,Monday,0.5046060270105954,517.2919187700027,514.559243302996,21,336,22,handshake,52,31,image_stim_p.png,pos,512.866616801999,6
42,529.6467722750094,336,b,529.2253906079859,PK,7.53,-3.0889019952949432,female,faceWord_exp,1,523.5922696350026,0.7008268090139609,11,0.6919800220057368,Monday,0.42138166702352464,529.9262174169999,524.5930483329867,21,180,22,honeymoon,53,31,image_stim_p.png,pos,522.9002896129969,6
42,537.3140531659883,180,y,536.6591610859905,PK,3.68,1.5036737146000605,female,faceWord_exp,1,533.6262940290035,0.7009273100120481,12,0.6937001229962334,Monday,0.6548920799978077,537.3600883960025,534.6270190459909,22,336,22,bee,54,32,image_stim_n.png,neg,532.9325939060072,6
42,547.2145640719973,180,b,546.6936416880053,PK,7.11,-1.4048581699918157,female,faceWord_exp,1,543.6603715340025,0.7002632569929119,11,0.6892077270022128,Monday,0.5209223839920014,547.3939049449982,544.6608496679983,21,336,22,blueberry,55,31,image_stim_p.png,pos,542.9711638070003,6
42,559.8823718469939,336,b,559.3278933539987,PK,6.68,-1.6320665929887423,female,faceWord_exp,1,553.6943298539845,0.7005503349937499,11,0.6925630439945962,Monday,0.5544784929952584,560.0284436889924,554.6951166619838,21,180,22,forest,56,31,image_stim_p.png,pos,553.0017668099899,6
42,569.7993184129882,336,b,569.3620305210061,PK,7.63,-2.539279812815429,female,faceWord_exp,1,563.7283609599981,0.7001939289912116,11,0.69159474800108,Monday,0.43728789198212326,570.0622244499973,564.7291956309928,21,180,22,chocolate,57,31,image_stim_p.png,pos,563.036766211997,6
42,579.9000939889811,336,b,579.3955675899924,PK,5.33,-0.1985745460766808,female,faceWord_exp,0,573.7624872309971,0.7007117689936422,13,0.69049234999693,Monday,0.5045263989886735,580.0962793589861,574.7634524120076,22,180,22,quantity,58,42,image_stim_n.png,neu,573.0719948810001,6
42,589.9343503709824,336,b,589.4296267470054,PK,5.26,-0.8574934623041074,female,faceWord_exp,1,583.7964420100034,0.7006559009896591,13,0.6918253860203549,Monday,0.5047236239770427,590.130282647995,584.7971604059858,21,180,22,accordion,59,41,image_stim_p.png,neu,583.104616623983,6
42,597.484404924995,180,y,596.8632672109816,PK,5.21,0.4070035035588155,female,faceWord_exp,1,593.8304712789832,0.7005948650185019,13,0.6923793219903018,Monday,0.6211377140134573,597.5638620760001,594.8315227669955,22,336,22,church,60,42,image_stim_n.png,neu,593.1380919569929,6
