offset_img,word_trigger,duration_frames,offset_word,duration_measured_word,img_trigger,img,scan day,pause_trigger_t,word_score_warriner,word_score_pc,onset_word,gender,response,age,condition,pause_trigger,key_t,session,word_label,onset_img,word,delay_frames_after,no,rt,duration_measured_img,correct_resp,ID,delay_frames_before
165.90182339999592,13,42,162.17058269999688,0.6940431999973953,22,image_stim_n.png,Monday,163.17086670000572,5.43,-0.7774272008663468,161.4765394999995,male,y,22,faceWord_exp,42,165.82031340000685,4,neu,165.19716559996596,theme,336,17,0.623147800040897,0.7046578000299633,1,AHJ,180
175.92958799999906,13,42,172.19836559996475,0.6933013999951072,22,image_stim_n.png,Monday,173.1986179999658,5.68,-0.4880378396985329,171.50506419996964,male,y,22,faceWord_exp,42,175.73106530000223,4,neu,175.22520380001515,chestnut,336,18,0.505861499987077,0.704384199983906,1,AHJ,180
185.95766660000663,11,42,182.22607340000104,0.6946468999958597,21,image_stim_p.png,Monday,183.22646249999525,7.23,-1.17416436554964,181.53142650000518,male,b,22,faceWord_exp,31,185.70856020000065,4,pos,185.25294279999798,bay,336,19,0.4556174000026658,0.7047238000086509,1,AHJ,180
195.9850812999648,12,42,192.25386389996856,0.6940447999513708,22,image_stim_n.png,Monday,193.25429650000297,3.52,2.0765857872261098,191.5598191000172,male,y,22,faceWord_exp,32,195.6362734999857,4,neg,195.28084650001256,court,336,20,0.3554269999731332,0.7042347999522462,1,AHJ,180
208.61137870000675,12,42,202.28172659996198,0.6939761999528855,22,image_stim_n.png,Monday,203.2818822999834,3.78,2.8496222967354625,201.5877504000091,male,y,22,faceWord_exp,32,208.34607969998615,4,neg,207.90828789997613,empty,180,21,0.43779180001001805,0.7030908000306226,1,AHJ,336
216.04059459996643,12,42,212.30932070000563,0.694200300029479,22,image_stim_n.png,Monday,213.30975329998182,4.16,-0.10198134801944247,211.61512039997615,male,b,22,faceWord_exp,32,215.75841720000608,4,neg,215.33618659997592,saw,336,22,0.42223060003016144,0.704407999990508,0,AHJ,180
228.66692280001007,13,42,222.33707130001858,0.6945467000477947,22,image_stim_n.png,Monday,223.3373053999967,5.89,0.4398740830446768,221.64252459997078,male,y,22,faceWord_exp,42,228.5181224999833,4,neu,227.9623821999994,hall,180,23,0.5557402999838814,0.7045406000106595,1,AHJ,336
238.69461890001548,11,42,232.36478930001613,0.6938233000109904,21,image_stim_p.png,Monday,233.3651688999962,6.35,-1.2316584124512135,231.67096600000514,male,b,22,faceWord_exp,31,238.31249599996954,4,pos,237.99062900000717,banjo,180,24,0.3218669999623671,0.7039899000083096,1,AHJ,336
248.72230269998545,12,42,242.39250730001368,0.693575800047256,22,image_stim_n.png,Monday,243.39287500001956,2.53,4.5355840269859025,241.69893149996642,male,y,22,faceWord_exp,32,248.30723430000944,4,neg,248.01938830001745,torment,180,25,0.2878459999919869,0.7029143999679945,1,AHJ,336
256.1515688999789,11,42,252.4203303999966,0.6939436999964528,21,image_stim_p.png,Monday,253.42062109999824,6.42,-1.6859102219357711,251.72638670000015,male,b,22,faceWord_exp,31,255.75296820001677,4,pos,255.4491520000156,truce,336,26,0.30381620000116527,0.702416899963282,1,AHJ,180
268.7778212999692,13,42,262.4480903999647,0.6947109999600798,21,image_stim_p.png,Monday,263.44836480001686,5.67,0.4395766978022416,261.75337940000463,male,b,22,faceWord_exp,41,268.47934189997613,4,neu,268.0741984999622,red,180,27,0.40514340001391247,0.7036228000069968,1,AHJ,336
278.80557640001643,12,42,272.475772899983,0.6945512999664061,22,image_stim_n.png,Monday,273.47604099998716,4.19,0.7532200949518182,271.7812216000166,male,y,22,faceWord_exp,32,278.62346039997647,4,neg,278.10324869997567,loan,180,28,0.5202117000008002,0.7023277000407688,1,AHJ,336
286.2347965000081,11,42,282.5035442999797,0.693354899995029,21,image_stim_p.png,Monday,283.50381139997626,6.68,-2.303583541830637,281.81018939998467,male,b,22,faceWord_exp,31,286.46927399997367,4,pos,285.5310436,wonder,336,29,0.9382303999736905,0.7037529000081122,1,AHJ,180
298.86116219998803,11,42,292.5313138999627,0.6931521999649704,21,image_stim_p.png,Monday,293.531520599965,6.73,-1.2094761189992442,291.8381616999977,male,b,22,faceWord_exp,31,298.37902069999836,4,pos,298.15712699998403,parent,180,30,0.22189370001433417,0.7040352000040002,1,AHJ,336
306.2902870000107,13,42,302.55896669998765,0.6936993999988772,21,image_stim_p.png,Monday,303.55943399999524,5.85,-2.547043884761341,301.8652672999888,male,b,22,faceWord_exp,41,305.9582122999709,4,neu,305.5857211999828,circus,336,31,0.37249109998811036,0.7045658000279218,1,AHJ,180
318.9165872000158,11,42,312.58709439996164,0.6948540999437682,21,image_stim_p.png,Monday,313.5868710000068,6.26,-1.426145970237633,311.8922403000179,male,b,22,faceWord_exp,31,318.5178932999843,4,pos,318.2133642999688,lust,180,32,0.3045290000154637,0.703222900046967,1,AHJ,336
326.34595909999916,13,42,322.6144773999695,0.6929880999960005,21,image_stim_p.png,Monday,323.6150034000166,5.83,-0.5273916336755435,321.9214892999735,male,b,22,faceWord_exp,41,326.08028629998444,4,neu,325.64170819998253,scientist,336,33,0.4385781000019051,0.7042509000166319,1,AHJ,180
336.37340280000353,12,42,332.6422164000105,0.6899505000328645,22,image_stim_n.png,Monday,333.64243599999463,3.36,-0.3663992490442602,331.95226589997765,male,y,22,faceWord_exp,32,333.2097849000129,4,neg,335.6697380999685,expensive,336,34,-2.4599531999556348,0.7036647000350058,1,AHJ,180
348.99975540000014,12,42,342.66998489998514,0.6937487999675795,22,image_stim_n.png,Monday,343.6703772000037,3.02,2.6978270877422883,341.97623610001756,male,y,22,faceWord_exp,32,348.58450900000753,4,neg,348.29959820001386,scream,180,35,0.28491079999366775,0.700157199986279,1,AHJ,336
359.0274594000075,11,42,352.69770969997626,0.6922805999638513,21,image_stim_p.png,Monday,353.6979958000011,6.17,-1.5082836116280287,352.0054291000124,male,b,22,faceWord_exp,31,358.61212509998586,4,pos,358.3253940999857,kitchen,180,36,0.2867310000001453,0.7020653000217862,1,AHJ,336
366.45686430000933,11,42,362.7254404000123,0.6939475000253879,21,image_stim_p.png,Monday,363.72578949999297,7.75,-3.0311112754680245,362.0314928999869,male,b,22,faceWord_exp,31,366.22455290000653,4,pos,365.75464140000986,peace,336,37,0.4699114999966696,0.7022228999994695,1,AHJ,180
379.0829929999891,12,42,372.7531944999937,0.690767300024163,22,image_stim_n.png,Monday,373.75350399996387,4.75,0.42679466080263373,372.06242719996953,male,y,22,faceWord_exp,32,378.93425599997863,4,neg,378.3814337999793,zone,180,38,0.5528221999993548,0.7015592000097968,1,AHJ,336
389.1107452000142,12,42,382.7810052999994,0.6937661999836564,22,image_stim_n.png,Monday,383.7811766999657,3.57,2.8314410724962364,382.0872391000157,male,y,22,faceWord_exp,32,388.6621701999684,4,neg,388.4083970999927,denial,180,39,0.25377309997566044,0.7023481000214815,1,AHJ,336
396.54022279998753,11,42,392.8086191000184,0.6930522000184283,21,image_stim_p.png,Monday,393.808955000015,6.84,-2.93465986085152,392.1155669,male,b,22,faceWord_exp,31,396.10819120000815,4,pos,395.83801179996226,festival,336,40,0.27017940004589036,0.7022110000252724,1,AHJ,180
409.1662578000105,13,42,402.8367922999896,0.693434500019066,21,image_stim_p.png,Monday,403.83675680001033,5.1,0.12602488928311428,402.14335779997054,male,b,22,faceWord_exp,41,408.7344572999864,4,neu,408.4640194000094,shoulder,180,41,0.27043789997696877,0.7022384000010788,1,AHJ,336
419.19421849999344,11,42,412.86450079997303,0.6934055999736302,21,image_stim_p.png,Monday,413.8646095999866,7.05,-2.30162279277581,412.1710951999994,male,b,22,faceWord_exp,31,419.7783669999917,4,pos,418.4922028000001,heroism,180,42,1.2861641999916174,0.7020156999933533,1,AHJ,336
429.2217010000022,13,42,422.89217409997946,0.6924676999915391,21,image_stim_p.png,Monday,423.8921809999738,5.38,0.6669259665908855,422.1997063999879,male,b,22,faceWord_exp,41,429.0400024999981,4,neu,428.5196944999625,businessman,180,43,0.520308000035584,0.7020065000397153,1,AHJ,336
439.24974890000885,13,42,432.91992670000764,0.6938510999898426,21,image_stim_p.png,Monday,433.92029999999795,5.89,0.29188517290671034,432.2260756000178,male,b,22,faceWord_exp,41,439.0176420999924,4,neu,438.54582629998913,guard,180,44,0.47181580000324175,0.7039226000197232,1,AHJ,336
446.67874090000987,13,42,442.9473384000012,0.6929366000113077,22,image_stim_n.png,Monday,443.94801110000117,5.59,-0.05436507667908295,442.25440179998986,male,y,22,faceWord_exp,42,446.4634879999794,4,neu,445.9752181000076,mouth,336,45,0.48826989997178316,0.7035228000022471,1,AHJ,180
459.30519809998805,13,42,452.97542859998066,0.6934606999857351,21,image_stim_p.png,Monday,453.975472799968,5.95,0.1872293205875,452.2819678999949,male,b,22,faceWord_exp,41,459.2393999999622,4,neu,458.60347309999634,elevator,180,46,0.6359268999658525,0.7017249999917112,1,AHJ,336
466.7340901999851,11,42,463.0029248999781,0.6931265000021085,21,image_stim_p.png,Monday,464.0034441999742,6.53,-1.7974288604529352,462.309798399976,male,b,22,faceWord_exp,31,466.5520883999998,4,pos,466.0325914999703,bonfire,336,47,0.5194969000294805,0.7014987000147812,1,AHJ,180
479.3607689999626,12,42,473.0307162000099,0.6931879000039771,22,image_stim_n.png,Monday,474.03095049998956,3.4,3.4698173961771306,472.33752830000594,male,b,22,faceWord_exp,32,479.09505619999254,4,neg,478.6579274999676,animosity,180,48,0.437128700024914,0.7028414999949746,0,AHJ,336
489.3882066999795,13,42,483.05862929997966,0.6948734999750741,22,image_stim_n.png,Monday,484.05894129996886,5.09,0.3545861367636661,482.3637558000046,male,y,22,faceWord_exp,42,489.1060684999684,4,neu,488.6859299999778,put,180,49,0.4201384999905713,0.7022767000016756,1,AHJ,336
499.4160235999734,12,42,493.08653219998814,0.6939452000078745,22,image_stim_n.png,Monday,494.0863509000046,4.0,2.7422742606943906,492.39258699998027,male,y,22,faceWord_exp,32,499.00082730001304,4,neg,498.7140114000067,fallacy,180,50,0.2868159000063315,0.7020121999667026,1,AHJ,336
