scan day,gender,word_trigger,img_trigger,img,session,age,word,onset_word,offset_img,response,pause_trigger_t,offset_word,key_t,ID,onset_img,delay_frames_before,correct_resp,no,condition,rt,duration_frames,delay_frames_after,duration_measured_word,duration_measured_img,pause_trigger,word_label,word_score_pc,word_score_warriner
Monday,male,12,22,image_stim_n.png,1,24,envy,391.3770369000267,398.3906903999741,y,393.07566259999294,392.0754976000171,397.97450890002074,clem,397.71024039998883,336,1,40,faceWord_exp,0.2642685000319034,42,180,0.6984606999903917,0.6804499999852851,32,neg,3.3697994362845387,3.05
Monday,male,13,22,image_stim_n.png,1,24,tomato,401.3919711000053,408.38818870001705,y,403.0898874999839,402.08976260002237,408.13910329999635,clem,407.7012001000112,336,1,41,faceWord_exp,0.4379031999851577,42,180,0.6977915000170469,0.6869886000058614,42,neu,-1.3575770021145472,5.8
Monday,male,12,22,image_stim_n.png,1,24,alligator,411.38970790000167,418.3857996999868,y,413.0874014000292,412.08732539997436,417.98646149999695,clem,417.7016443000175,336,1,42,faceWord_exp,0.2848171999794431,42,180,0.6976174999726936,0.6841553999693133,32,neg,1.9014187675556817,4.23
Monday,male,13,21,image_stim_p.png,1,24,noun,421.3867356000119,425.7840098000015,b,423.0850379000185,422.0848652999848,425.73459299997194,clem,425.10435139999026,180,1,43,faceWord_exp,0.6302415999816731,42,336,0.6981296999729238,0.6796584000112489,41,neu,0.11872473318936595,5.22
Monday,male,12,22,image_stim_n.png,1,24,bribe,431.3849085000111,435.79817449999973,y,433.0825255999807,432.0824540000176,435.64879080001265,clem,435.11389560002135,180,1,44,faceWord_exp,0.534895199991297,42,336,0.6975455000065267,0.6842788999783807,32,neg,2.3815246085651838,3.32
Monday,male,13,22,image_stim_n.png,1,24,fiddle,441.39910380000947,445.7957859999733,y,443.0967730000266,442.096653399989,445.5629817000008,clem,445.1163704000064,180,1,45,faceWord_exp,0.44661129999440163,42,336,0.6975495999795385,0.6794155999668874,42,neu,-1.0601571884744718,5.05
Monday,male,13,21,image_stim_p.png,1,24,tourist,451.39647049998166,455.7933289000066,b,453.0944207999855,452.09425259998534,455.5438908999786,clem,455.1063248999999,180,1,46,faceWord_exp,0.4375659999786876,42,336,0.6977821000036784,0.6870040000067092,41,neu,-0.31568469709749714,5.71
Monday,male,11,21,image_stim_p.png,1,24,new,461.39340150001226,465.8076077000005,b,463.09197469998617,462.0917686999892,465.57480519998353,clem,465.12853669998003,180,1,47,faceWord_exp,0.44626850000349805,42,336,0.6983671999769285,0.6790710000204854,31,pos,-1.2313279950095668,7.68
Monday,male,13,22,image_stim_n.png,1,24,keyboard,471.4085583999986,478.40443930000765,y,473.1061079999781,472.1060308999731,478.2217612999957,clem,477.72050090000266,336,1,48,faceWord_exp,0.5012603999930434,42,180,0.6974724999745376,0.6839384000049904,42,neu,-0.08455950357770388,5.17
Monday,male,11,21,image_stim_p.png,1,24,plum,481.4052994999802,485.80262329999823,b,483.10372660000576,482.1034092999762,485.63646479998715,clem,485.1202975999913,180,1,49,faceWord_exp,0.5161671999958344,42,336,0.6981097999960184,0.6823257000069134,31,pos,-1.1648995537800455,6.15
Monday,male,13,22,image_stim_n.png,1,24,hamster,491.40379200002644,495.8002004000009,y,493.1012831000262,492.1011219000211,495.6840783000225,clem,495.1236509999726,180,1,50,faceWord_exp,0.5604273000499234,42,336,0.6973298999946564,0.676549400028307,42,neu,-1.1856791528275217,5.88
Monday,male,12,22,image_stim_n.png,1,24,hospital,501.4008548000129,508.44715660001384,y,503.0987957000034,502.09870839997893,508.2976741999737,clem,507.7612566999742,336,1,51,faceWord_exp,0.5364174999995157,42,180,0.697853599966038,0.685899900039658,32,neg,2.561630339716405,3.52
Monday,male,12,22,image_stim_n.png,1,24,tornado,511.4488151000114,518.4447432999732,y,513.1463797999895,512.1462354999967,518.1454119000118,clem,517.7629601000226,336,1,52,faceWord_exp,0.3824517999892123,42,180,0.6974203999852762,0.681783199950587,32,neg,3.6605330306018913,3.63
Monday,male,12,22,image_stim_n.png,1,24,victim,521.4463042999851,528.4423014000058,y,523.1439388999715,522.1437893999973,528.2927697999985,clem,527.7599363999907,336,1,53,faceWord_exp,0.532833400007803,42,180,0.6974851000122726,0.6823650000151247,32,neg,3.457530661450998,2.05
Monday,male,11,21,image_stim_p.png,1,24,zoo,531.4452703000279,538.4398071999894,b,533.1415030999924,532.1412851000205,538.2902277000248,clem,537.7525476000155,336,1,54,faceWord_exp,0.537680100009311,42,180,0.6960147999925539,0.6872595999739133,31,pos,-2.1296901000704778,7.0
Monday,male,12,22,image_stim_n.png,1,24,sandpaper,541.4413061999949,548.4374225999927,y,543.1390578999999,542.1389180999831,548.1545696000103,clem,547.7611758999992,336,1,55,faceWord_exp,0.39339370001107454,42,180,0.6976118999882601,0.6762466999934986,32,neg,0.5814463879932942,4.95
Monday,male,11,21,image_stim_p.png,1,24,beach,551.439813999983,558.4349311999977,b,553.1366190999979,552.1364668000024,558.0188685000176,clem,557.7523667999776,336,1,56,faceWord_exp,0.266501700039953,42,180,0.6966528000193648,0.6825644000200555,31,pos,-2.8031613090757777,7.21
Monday,male,11,21,image_stim_p.png,1,24,pineapple,561.4361635000096,568.4325395000051,b,563.1342124000075,562.1340374000138,568.1665230999934,clem,567.7523379999911,336,1,57,faceWord_exp,0.4141851000022143,42,180,0.6978739000041969,0.6802015000139363,31,pos,-1.6708771386143015,6.9
Monday,male,12,22,image_stim_n.png,1,24,jury,571.435485999973,578.4300327000092,y,573.1317116999999,572.13157279999,578.2806504999753,clem,577.743606199976,336,1,58,faceWord_exp,0.537044299999252,42,180,0.6960868000169285,0.6864265000331216,32,neg,1.7036686386059527,4.23
Monday,male,11,21,image_stim_p.png,1,24,happy,581.431447800016,588.4276186000207,b,583.1292173999827,582.129119499994,588.0782316999976,clem,587.7456606000196,336,1,59,faceWord_exp,0.3325710999779403,42,180,0.6976716999779455,0.6819580000010319,31,pos,-3.1501939707833047,8.47
Monday,male,13,22,image_stim_n.png,1,24,spatula,591.4294012999744,595.8258399000042,y,593.1269123000093,592.1267514000065,595.6763041000231,clem,595.1490512000164,180,1,60,faceWord_exp,0.5272529000067152,42,336,0.6973501000320539,0.6767886999878101,42,neu,-0.18281188470513854,5.14
