correct_resp,session,word_trigger,word_score_warriner,offset_img,age,duration_frames,onset_word,delay_frames_before,word_score_pc,rt,img_trigger,scan day,response,ID,condition,duration_measured_word,key_t,word,pause_trigger,no,word_label,offset_word,img,gender,delay_frames_after,onset_img,pause_trigger_t,duration_measured_img
0,2,12,4.1,406.38068916799966,22,42,401.96832543899654,180,1.472290472628449,-2.655480739005725,22,Monday,b,C,faceWord_exp,0.6955506140075158,403.03395202099637,clang,32,41,neg,402.66387605300406,image_stim_n.png,female,336,405.6894327600021,403.66437602399674,0.6912564079975709
1,2,12,3.52,419.0302855170012,22,42,411.9845804969955,336,4.02985566434138,-5.139529965003021,22,Monday,y,C,faceWord_exp,0.6950033480097773,413.1666225520021,problem,32,42,neg,412.67958384500525,image_stim_n.png,female,180,418.3061525170051,413.6808429869998,0.7241329999960726
1,2,11,6.73,426.4470708260051,22,42,422.0344747449999,180,-2.2291915044129413,-2.272863121004775,21,Monday,b,C,faceWord_exp,0.6957325389957987,423.4830156840035,luck,31,43,pos,422.7302072839957,image_stim_p.png,female,336,425.75587880500825,423.7305102399987,0.691192020996823
1,2,11,6.4,436.4636340520083,22,42,432.05102504500246,180,-1.7947555393350414,-2.7401479389955057,21,Monday,b,C,faceWord_exp,0.695797209002194,433.032672885005,piano,31,44,pos,432.74682225400466,image_stim_p.png,female,336,435.7728208240005,433.7470968020061,0.6908132280077552
1,2,11,7.68,449.0967784960085,22,42,442.0698762170068,336,-1.3503642789447028,-5.525436405005166,21,Monday,b,C,faceWord_exp,0.6936162859929027,442.8657269440009,musical,31,45,pos,442.7634925029997,image_stim_p.png,female,180,448.3911633490061,443.76377616400714,0.7056151470023906
0,2,13,5.8,456.5131315500039,22,42,452.10141225199914,180,-0.5451009915059291,-0.5712714199908078,22,Monday,b,C,faceWord_exp,0.6946565690013813,455.250611594005,toaster,42,46,neu,452.7960688210005,image_stim_n.png,female,336,455.82188301399583,453.7967582690035,0.6912485360080609
0,2,13,5.55,466.5298708330083,22,42,462.1176760570088,180,-0.09980687036967174,-2.8216456869995454,22,Monday,b,C,faceWord_exp,0.6953849689889466,463.0169146039989,eggplant,42,47,neu,462.81306102599774,image_stim_n.png,female,336,465.83856029099843,463.813741157006,0.6913105420098873
1,2,11,8.53,479.1629691220005,22,42,472.13425891399675,336,-3.1565376907491283,-5.140100352000445,21,Monday,b,C,faceWord_exp,0.695505662006326,473.3157003689994,vacation,31,48,pos,472.8297645760031,image_stim_p.png,female,180,478.45580072099983,473.8302722090011,0.707168401000672
1,2,11,6.17,489.1795676430047,22,42,482.1676399440039,336,-1.3205598447631597,-5.1723344740021275,21,Monday,b,C,faceWord_exp,0.6953011049918132,483.3159733890061,chicken,31,49,pos,482.8629410489957,image_stim_p.png,female,180,488.48830786300823,483.8625922880019,0.6912597799964715
1,2,11,7.1,496.59602489799727,22,42,492.1838660689973,180,-2.5746228757417584,-2.823223550003604,21,Monday,b,C,faceWord_exp,0.695416518006823,493.08180251100566,barbecue,31,50,pos,492.8792825870041,image_stim_p.png,female,336,495.90502606100927,493.87984107399825,0.6909988369880011
1,2,11,7.88,509.2291140120069,22,42,502.20000322299893,336,-1.8879163634684628,-5.389621741996962,21,Monday,b,C,faceWord_exp,0.6954964320029831,503.13229383699945,joke,31,51,pos,502.8954996550019,image_stim_p.png,female,180,508.5219155789964,503.89640555799997,0.7071984330104897
1,2,11,6.91,516.6625265510083,22,42,512.2358337430051,180,-1.7539828459428422,-2.8237036909995368,21,Monday,b,C,faceWord_exp,0.6932158089912264,513.1327063380013,spaghetti,31,52,pos,512.9290495519963,image_stim_p.png,female,336,515.9564100290008,513.9294824950048,0.7061165220075054
1,2,13,5.27,529.2957088450057,22,42,522.2665951439994,336,0.17918122123944408,-4.923564056996838,21,Monday,b,C,faceWord_exp,0.695656035997672,523.664612314009,verb,41,53,neu,522.9622511799971,image_stim_p.png,female,180,528.5881763710058,523.9626717610081,0.7075324739998905
1,2,11,7.59,539.3289238130092,22,42,532.2995800430072,336,-1.3695211950901562,-5.2727996409958,21,Monday,b,C,faceWord_exp,0.6959941139939474,533.3484881600016,tree,31,54,pos,532.9955741570011,image_stim_p.png,female,180,538.6212878009974,533.9961226620071,0.7076360120117897
1,2,11,7.21,549.3453597939952,22,42,542.3334092620062,336,-2.7563434535584275,-5.556452143995557,21,Monday,b,C,faceWord_exp,0.6953919020015746,543.0977653360023,optimism,31,55,pos,543.0288011640077,image_stim_p.png,female,180,548.6542174799979,544.0291488719959,0.6911423139972612
1,2,13,5.82,556.7613326980063,22,42,552.3497813410067,180,-0.6680004122251881,-2.724679595005,21,Monday,b,C,faceWord_exp,0.6954853799979901,553.3470563199953,monkey,41,56,neu,553.0452667210047,image_stim_p.png,female,336,556.0717359150003,554.045842631007,0.6895967830059817
1,2,12,4.78,569.3784838569991,22,42,562.3659918199992,336,1.3393636650983416,-5.239988370012725,22,Monday,y,C,faceWord_exp,0.6957059260021197,563.4470175409951,heavy,32,57,neg,563.0616977460013,image_stim_n.png,female,180,568.6870059110079,564.062397998001,0.6914779459912097
0,2,12,4.41,576.7951422720071,22,42,572.3820890339994,180,0.16339675594021513,-2.67297973499808,22,Monday,b,C,faceWord_exp,0.6960681760101579,573.4308309690095,jaw,32,58,neg,573.0781572100095,image_stim_n.png,female,336,576.1038107040076,574.0788975680043,0.6913315679994412
0,2,13,5.86,586.8279922860092,22,42,582.4012750319962,180,0.10630403813009667,-2.508075503996224,22,Monday,b,C,faceWord_exp,0.6934377430006862,583.614090351999,whole,42,59,neu,583.0947127749969,image_stim_n.png,female,336,586.1221658559953,584.0954237889964,0.7058264300139854
1,2,11,6.81,596.8445938869991,22,42,592.4326909310039,180,-1.5621536719325724,-2.0065217490046052,21,Monday,b,C,faceWord_exp,0.6954573819966754,594.1469874489994,sailboat,31,60,pos,593.1281483130006,image_stim_p.png,female,336,596.153509198004,594.1283392409969,0.6910846889950335
