pause_trigger_t,ID,word_score_warriner,no,rt,gender,img_trigger,scan day,correct_resp,response,session,img,onset_word,word_label,delay_frames_after,offset_word,onset_img,word,pause_trigger,age,key_t,word_score_pc,duration_measured_word,duration_measured_img,duration_frames,offset_img,word_trigger,delay_frames_before,condition
110.59060344996396,5,7.68,11,0.892795913037844,female,21,Monday,1,b,2,image_stim_p.png,108.89709369500633,pos,180,109.59082911291625,115.2199944909662,musical,31,22,116.11279040400404,-1.3503642789447028,0.6937354179099202,0.7028961420292035,42,115.9228906329954,11,336,faceWord_exp
120.62358809192665,5,5.82,12,1.058479635976255,female,22,Monday,1,y,2,image_stim_n.png,118.92910246690735,neu,180,119.62316049600486,125.25232526101172,monkey,42,22,126.31080489698797,-0.6680004122251881,0.6940580290975049,0.7049129268852994,42,125.95723818789702,13,336,faceWord_exp
130.65681128692813,5,5.29,13,0.8387017749482766,female,21,Monday,1,b,2,image_stim_p.png,128.9589927669149,neu,336,129.65525409893598,132.68679373397026,camel,41,22,133.52549550891854,0.0657349158769076,0.6962613320210949,0.7021714029833674,42,133.38896513695363,13,180,faceWord_exp
140.6911566510098,5,5.48,14,-3.6558763190405443,female,21,Monday,0,y,2,image_stim_p.png,138.99510403699242,neu,180,139.688605556963,145.3167708349647,business,41,22,141.66089451592416,-0.06058349899147484,0.6935015199705958,0.6890777320368215,42,146.00584856700152,13,336,faceWord_exp
150.7059560449561,5,6.91,15,0.68078312498983,female,21,Monday,1,b,2,image_stim_p.png,149.01109117793385,pos,336,149.70486623700708,152.7295992609579,spaghetti,31,22,153.41038238594774,-1.7539828459428422,0.6937750590732321,0.6929404409602284,42,153.42253970191814,11,180,faceWord_exp
160.7232584420126,5,8.53,16,0.7585175840649754,female,21,Monday,1,b,2,image_stim_p.png,159.02930614794604,pos,180,159.72182798490394,165.35238488693722,vacation,31,22,166.1109024710022,-3.1565376907491283,0.6925218369578943,0.7032231320627034,42,166.05560801899992,11,336,faceWord_exp
170.75554737600032,5,4.35,17,0.8944953950121999,female,22,Monday,1,y,2,image_stim_n.png,169.06258641497698,neg,180,169.75467783689965,175.38215018296614,plea,32,22,176.27664557797834,2.166481281776448,0.6920914219226688,0.6893941930029541,42,176.0715443759691,12,336,faceWord_exp
180.77398567995988,5,5.72,18,0.8305438059614971,female,22,Monday,1,y,2,image_stim_n.png,179.07886886794586,neu,336,179.77180793497246,182.7941141029587,apartment,42,22,183.6246579089202,-0.5485436049411244,0.6929390670266002,0.6951975179836154,42,183.48931162094232,13,180,faceWord_exp
190.7904972989345,5,5.97,19,1.3231585909379646,female,21,Monday,1,b,2,image_stim_p.png,189.09415771090426,neu,180,189.7895801590057,195.42025774496142,power,41,22,196.74341633589938,-0.02119054453060663,0.6954224481014535,0.701592686935328,42,196.12185043189675,13,336,faceWord_exp
200.82229390798602,5,5.65,20,0.9419963019900024,female,21,Monday,1,b,2,image_stim_p.png,199.12789878691547,neu,336,199.8231645169435,202.85170967294835,theory,41,22,203.79370597493835,0.1106807997481866,0.6952657300280407,0.7033576130634174,42,203.55506728601176,13,180,faceWord_exp
210.85571746900678,5,5.07,21,0.8078809319995344,female,22,Monday,1,y,2,image_stim_n.png,209.16140869096853,neu,336,209.85518261999823,212.88506138091907,street,42,22,213.6929423129186,0.3228926581020319,0.6937739290297031,0.7032254800433293,42,213.5882868609624,13,180,faceWord_exp
220.8891274179332,5,4.81,22,0.9735507488949224,female,22,Monday,1,y,2,image_stim_n.png,219.1944662439637,neg,336,219.88850129698403,222.91777221800294,stone,32,22,223.89132296689786,0.5494484707734639,0.6940350530203432,0.7036865949630737,42,223.621458812966,12,180,faceWord_exp
230.92211412091274,5,4.52,23,0.6915750909829512,female,22,Monday,1,y,2,image_stim_n.png,229.23175832699053,neg,336,229.921187267988,232.95418242597952,excuse,32,22,233.64575751696248,2.373388118792564,0.689428940997459,0.8524563809623942,42,233.80663880694192,12,180,faceWord_exp
241.9052104529692,5,6.17,24,0.8418280220357701,female,21,Monday,1,b,2,image_stim_p.png,240.2111333529465,pos,336,240.90480043995194,243.93455559189897,chicken,31,22,244.77638361393474,-1.3205598447631597,0.6936670870054513,0.7042611250653863,42,244.63881671696436,11,180,faceWord_exp
251.93821965297684,5,7.5,25,0.7244158539688215,female,21,Monday,1,b,2,image_stim_p.png,250.24508324591443,pos,180,250.93845378095284,256.5654966100119,summer,31,22,257.2899124639807,-1.7608811602119443,0.6933705350384116,0.7055711149005219,42,257.2710677249124,11,336,faceWord_exp
261.9713572789915,5,6.95,26,0.7593748620711267,female,21,Monday,1,b,2,image_stim_p.png,260.27566110296175,pos,336,260.97210527490824,264.16743263893295,restaurant,31,22,264.9268075010041,-2.0702836690965865,0.6964441719464958,0.702907519065775,42,264.8703401579987,11,180,faceWord_exp
272.9540505289333,5,6.36,27,1.4224800899391994,female,21,Monday,1,b,2,image_stim_p.png,271.16244135191664,pos,336,271.95441187999677,274.9839037070051,day,31,22,276.4063837969443,-1.2502658664257256,0.7919705280801281,0.7035210799658671,42,275.68742478697095,11,180,faceWord_exp
282.98806562798563,5,6.81,28,0.8080980579834431,female,21,Monday,1,b,2,image_stim_p.png,281.29337704891805,pos,180,281.9876433738973,287.61714989098255,sailboat,31,22,288.425247948966,-1.5621536719325724,0.6942663249792531,0.7036424910183996,42,288.32079238200095,11,336,faceWord_exp
293.0379605019698,5,4.29,29,0.8876437040744349,female,22,Monday,1,y,2,image_stim_n.png,291.3335835529724,neg,336,292.0371639279183,295.0708490438992,tired,32,22,295.95849274797365,2.351878020671037,0.7035803749458864,0.6996614329982549,42,295.77051047689747,12,180,faceWord_exp
