age,delay_frames_before,correct_resp,offset_img,onset_img,rt,word_score_warriner,word_score_pc,word_label,word_trigger,img_trigger,onset_word,scan day,gender,condition,img,duration_measured_img,key_t,session,word,delay_frames_after,response,duration_measured_word,pause_trigger,pause_trigger_t,ID,no,offset_word,duration_frames
22,336,1,419.334644957009,418.64360190799925,0.4936863860057201,5.9,0.597486551423763,neu,13,22,412.32355048600584,Monday,male,faceWord_exp,image_stim_n.png,0.6910430490097497,419.137288294005,6,medicine,180,y,0.694625547999749,42,414.01870881801005,14,42,413.0181760340056,42
22,180,0,426.75116911900113,426.0600604759966,0.3767202540038852,5.8,-0.3659926056186196,neu,13,22,422.33969757400337,Monday,male,faceWord_exp,image_stim_n.png,0.6911086430045543,426.43678073000046,6,finger,336,b,0.6948593520064605,42,424.03524446800293,14,43,423.0345569260098,42
22,336,1,439.36733213100524,438.67443746300705,0.361688477001735,5.89,-0.4928774877246448,neu,13,21,432.35595519200433,Monday,male,faceWord_exp,image_stim_p.png,0.6928946679981891,439.0361259400088,6,chair,180,b,0.6950127640011488,41,434.0516248549975,14,44,433.0509679560055,42
22,336,1,449.38374463999935,448.6908795030031,0.3622903499926906,6.37,-2.3709211732995845,pos,11,21,442.3724325200019,Monday,male,faceWord_exp,image_stim_p.png,0.6928651369962608,449.0531698529958,6,parade,180,b,0.6948768330039456,31,444.06768010000815,14,45,443.06730935300584,42
22,336,1,459.40009923400066,458.70908747600333,0.3272550260007847,7.15,-1.313583728320736,pos,11,21,452.3899164040049,Monday,male,faceWord_exp,image_stim_p.png,0.6910117579973303,459.0363425020041,6,girl,180,b,0.693778051994741,31,454.0844311170076,14,46,453.08369445599965,42
22,180,1,466.81661747999897,466.12553569700685,0.40888625298975967,6.68,-1.6320665929887423,pos,11,21,462.40505046999897,Monday,male,faceWord_exp,image_stim_p.png,0.6910817829921143,466.5344219499966,6,forest,336,b,0.6950397589971544,31,464.10019012499833,14,47,463.1000902289961,42
22,336,1,479.4327806660003,478.7420294290059,0.6603889239922864,3.14,3.1728286127179004,neg,12,22,472.42145460200845,Monday,male,faceWord_exp,image_stim_n.png,0.6907512369944016,479.4024183529982,6,rumor,180,y,0.6949933009891538,32,474.1171915770101,14,48,473.1164479029976,42
22,180,1,486.8492059470009,486.1580809959996,0.5942880920047173,3.89,1.421533554407035,neg,12,22,482.4387260229996,Monday,male,faceWord_exp,image_stim_n.png,0.6911249510012567,486.75236908800434,6,judge,336,y,0.6939828120084712,32,484.13343823500327,14,49,483.1327088350081,42
22,180,1,496.8655665850092,496.1748544919974,0.3433071809995454,7.18,-2.3202480308548075,pos,11,21,492.45412846100226,Monday,male,faceWord_exp,image_stim_p.png,0.6907120930118253,496.51816167299694,6,party,336,b,0.6950647949997801,31,494.14988464000635,14,50,493.14919325600204,42
22,336,1,509.58200235900586,508.8904484070081,0.4270794149924768,5.1,0.07641955756997082,neu,13,22,502.5702912410052,Monday,male,faceWord_exp,image_stim_n.png,0.6915539519977756,509.31752782200056,6,role,180,y,0.6953000929934205,42,504.26579083901015,14,51,503.2655913339986,42
22,180,1,516.9985062850028,516.3076099190075,1.0938702080020448,5.26,-0.8574934623041074,neu,13,22,512.5874512620067,Monday,male,faceWord_exp,image_stim_n.png,0.690896365995286,517.4014801270096,6,accordion,336,y,0.6944948149903212,42,514.2827021060075,14,52,513.281946076997,42
22,336,1,529.6313294730062,528.9261972020031,0.4076622180000413,4.11,2.52891321026023,neg,12,22,522.6047189109959,Monday,male,faceWord_exp,image_stim_n.png,0.7051322710030945,529.3338594200031,6,folly,180,y,0.6935706080112141,32,524.2990078750008,14,53,523.2982895190071,42
22,180,1,537.0477249190008,536.3566608109977,0.35929130599834025,6.21,-1.283661754694624,pos,11,21,532.6368843539967,Monday,male,faceWord_exp,image_stim_p.png,0.6910641080030473,536.715952116996,6,handshake,336,b,0.6944800110068172,31,534.3321111950063,14,54,533.3313643650035,42
22,336,0,549.6639702149987,548.9728329790087,0.2770009309897432,5.05,-0.441124933220443,neu,13,21,542.6526995699969,Monday,male,faceWord_exp,image_stim_p.png,0.691137235990027,549.2498339099984,6,bugle,180,y,0.6950574410002446,41,544.348289697009,14,55,543.3477570109972,42
22,336,1,559.680748127008,558.9897580160032,0.22697565400449093,4.42,1.346131993343653,neg,12,22,552.6689278160047,Monday,male,faceWord_exp,image_stim_n.png,0.690990111004794,559.2167336700077,6,protest,180,y,0.6952187729912112,32,554.364799611998,14,56,553.3641465889959,42
22,180,1,567.0968259119982,566.4063122130028,0.5599188610067358,5.42,-0.9209473384247756,neu,13,21,562.6857247570006,Monday,male,faceWord_exp,image_stim_p.png,0.6905136989953462,566.9662310740096,6,scooter,336,b,0.6947630100039532,41,564.3811849120102,14,57,563.3804877670045,42
22,336,1,579.7133703730069,579.0201894260099,0.5787017159891548,3.19,1.5556418242275696,neg,12,22,572.7014064230025,Monday,male,faceWord_exp,image_stim_n.png,0.6931809469970176,579.598891141999,6,old,180,y,0.6954621570039308,32,574.3975643870072,14,58,573.3968685800064,42
22,180,1,587.129558561006,586.438644281996,0.8941083900135709,2.29,4.2219398121868315,neg,12,22,582.7181077249988,Monday,male,faceWord_exp,image_stim_n.png,0.6909142790100304,587.3327526720095,6,guilt,336,y,0.6951810220052721,32,584.4139647030097,14,59,583.4132887470041,42
22,336,1,599.7628000190016,599.0573965479998,0.457468203996541,2.07,4.494524106175375,neg,12,22,592.7364877600048,Monday,male,faceWord_exp,image_stim_n.png,0.7054034710017731,599.5148647519964,6,funeral,180,y,0.6931613539927639,32,594.4303311130061,14,60,593.4296491139976,42
