condition,word,word_trigger,response,delay_frames_after,scan day,gender,duration_measured_img,img,offset_img,pause_trigger,word_score_warriner,age,ID,no,img_trigger,duration_measured_word,word_label,duration_frames,onset_img,delay_frames_before,correct_resp,key_t,offset_word,onset_word,session,rt,word_score_pc,pause_trigger_t
faceWord_exp,foot,12,y,336,Monday,female,0.6899846119995345,image_stim_n.png,115.78515966399937,32,4.68,21,KKF,12,22,0.6962415990001318,neg,42,115.09517505199983,180,1,115.60531512099988,112.06845056299971,111.37220896399958,3,0.5101400690000446,0.41231466195915456,113.06886131700048
faceWord_exp,goldfish,11,b,180,Monday,female,0.6904264130007505,image_stim_p.png,128.40168582300066,31,6.62,21,KKF,13,21,0.6952740350006934,pos,42,127.71125940999991,336,1,128.204513648001,122.08489112700045,121.38961709199975,3,0.4932542380011,-1.0930411682114536,123.08545982800024
faceWord_exp,glass,13,b,336,Monday,female,0.6901254200001858,image_stim_p.png,135.81815468400055,41,5.48,21,KKF,14,21,0.6957734679999703,neu,42,135.12802926400036,180,1,135.771190630001,132.10124451900083,131.40547105100086,3,0.6431613660006406,0.2046331385026182,133.10185621399978
faceWord_exp,harp,13,b,180,Monday,female,0.6900191719996656,image_stim_p.png,148.43455744499988,41,5.4,21,KKF,15,21,0.695688894000341,neu,42,147.74453827300022,336,1,148.13799939300043,142.11806549500034,141.422376601,3,0.39346112000021094,-1.7878104403788575,143.11848986100085
faceWord_exp,plane,13,y,336,Monday,female,0.7040523209998355,image_stim_n.png,155.8675270929998,42,5.72,21,KKF,16,22,0.6941930880002474,neu,42,155.16347477199997,180,1,155.72144277900043,152.1346146320011,151.44042154400086,3,0.5579680070004542,0.20373950943912453,153.13484835300005
faceWord_exp,radish,12,y,336,Monday,female,0.6900973189985962,image_stim_n.png,165.88451249699938,32,4.7,21,KKF,17,22,0.6967863059999218,neg,42,165.19441517800078,180,1,165.78519605800102,162.1678114770002,161.4710251710003,3,0.5907808800002385,0.33736940436804663,163.1682518030011
faceWord_exp,malice,12,y,336,Monday,female,0.6903314789997239,image_stim_n.png,175.90098726500037,32,2.81,21,KKF,18,22,0.696079343000747,neg,42,175.21065578600064,180,1,175.6708000130002,172.1842942960011,171.48821495300035,3,0.46014422699954594,3.6887696102955196,173.1848021750011
faceWord_exp,year,13,y,336,Monday,female,0.6901067840008182,image_stim_n.png,185.91750122800113,42,5.75,21,KKF,19,22,0.6964281390010001,neu,42,185.2273944440003,180,1,185.80322237400105,182.20093661800092,181.50450847899992,3,0.5758279300007416,0.5062695562835388,183.2012989899995
faceWord_exp,grievance,12,y,180,Monday,female,0.6896613259996229,image_stim_n.png,198.53390698600015,32,3.45,21,KKF,20,22,0.6936346359998424,neg,42,197.84424566000052,336,1,198.30286359000092,192.2168486999999,191.52321406400006,3,0.4586179300004005,3.6017940902369654,193.21735726599945
faceWord_exp,agreement,11,b,180,Monday,female,0.6910636430002342,image_stim_p.png,208.55047874100092,31,6.75,21,KKF,21,21,0.6943312889998197,pos,42,207.85941509800068,336,1,208.38652172399998,202.23293943700082,201.538608148001,3,0.5271066259992949,-1.2126784285084091,203.23423266400096
faceWord_exp,debate,12,y,180,Monday,female,0.6888275540004543,image_stim_n.png,218.56577874200048,32,4.95,21,KKF,22,22,0.6959583870011556,neg,42,217.87695118800002,336,1,218.33614179399956,212.24977464100084,211.55381625399968,3,0.4591906059995381,1.239138220826116,213.2502440770004
faceWord_exp,couple,11,b,180,Monday,female,0.7043783929984784,image_stim_p.png,228.60033648699937,31,7.11,21,KKF,23,21,0.6924450639999122,pos,42,227.8959580940009,336,1,228.45298692600045,222.26596181900095,221.57351675500104,3,0.5570288319995598,-1.9002611819546853,223.26716302400018
