word_trigger,duration_measured_img,correct_resp,word,img,onset_img,ID,scan day,pause_trigger,condition,age,delay_frames_before,word_score_warriner,offset_img,offset_word,duration_frames,delay_frames_after,word_label,img_trigger,key_t,session,pause_trigger_t,gender,onset_word,duration_measured_word,word_score_pc,no,response,rt
11,0.7011707000201568,1,river,image_stim_p.png,105.0650794999674,AHJ,Monday,31,faceWord_exp,22,180,6.72,105.76625019998755,102.03449619997991,42,336,pos,21,106.0841364999651,6,103.03492149995873,male,101.34475939994445,0.6897368000354618,-1.8284590275958619,11,b,1.0190569999977015
12,0.7009266999666579,1,lost,image_stim_n.png,117.69162789999973,AHJ,Monday,32,faceWord_exp,22,336,2.53,118.39255459996639,112.06260999996448,42,180,neg,22,114.56274639995536,6,113.06266029999824,male,111.37167909997515,0.6909308999893256,3.7741942061665816,12,y,-3.128881500044372
12,0.7014834999572486,1,judge,image_stim_n.png,127.7187341999961,AHJ,Monday,32,faceWord_exp,22,336,3.89,128.42021769995335,122.08997999998974,42,180,neg,22,128.1382961999625,6,123.09035279997624,male,121.40010499994969,0.6898750000400469,1.421533554407035,13,y,0.41956199996639043
11,0.7022745999856852,1,parade,image_stim_p.png,137.74708609998925,AHJ,Monday,31,faceWord_exp,22,336,6.37,138.44936069997493,132.11826759995893,42,180,pos,21,138.11560939997435,6,133.1180968999979,male,131.4273454999784,0.6909220999805257,-2.3709211732995845,14,b,0.3685232999850996
13,0.7021599999861792,1,finger,image_stim_n.png,145.17502039996907,AHJ,Monday,42,faceWord_exp,22,180,5.8,145.87718039995525,142.14591029996518,42,336,neu,22,145.6618384999456,6,143.14595129998634,male,141.45222159998957,0.6936886999756098,-0.3659926056186196,15,y,0.48681809997651726
12,0.7009385999990627,1,bee,image_stim_n.png,157.80249049997656,AHJ,Monday,32,faceWord_exp,22,336,3.68,158.50342909997562,152.17379119998077,42,180,neg,22,155.1570157999522,6,153.17406239995034,male,151.47914439998567,0.6946467999950983,1.5036737146000605,16,y,-2.6454747000243515
13,0.7008619999978691,0,chair,image_stim_n.png,165.23176999995485,AHJ,Monday,42,faceWord_exp,22,180,5.89,165.93263199995272,162.20094319997588,42,336,neu,22,165.58367089997046,6,163.20146379998187,male,161.50809439999284,0.6928487999830395,-0.4928774877246448,17,b,0.3519009000156075
13,0.7011944999685511,1,medicine,image_stim_p.png,175.25916309998138,AHJ,Monday,41,faceWord_exp,22,180,5.9,175.96035759994993,172.22928759997012,42,336,neu,21,176.09513009997318,6,173.22953349997988,male,171.53573819994926,0.6935494000208564,0.597486551423763,18,b,0.8359669999917969
11,0.7013856000266969,1,chocolate,image_stim_p.png,185.28671599994414,AHJ,Monday,31,faceWord_exp,22,180,7.63,185.98810159997083,182.25685629999498,42,336,pos,21,185.7725166999735,6,183.2572859999491,male,181.56407319998834,0.6927831000066362,-2.539279812815429,19,b,0.48580070002935827
13,0.7015262999921106,0,bugle,image_stim_n.png,195.31433779996587,AHJ,Monday,42,faceWord_exp,22,180,5.05,196.01586409995798,192.28479929995956,42,336,neu,22,195.75059319997672,6,193.2851983999717,male,191.59147819998907,0.6933210999704897,-0.441124933220443,20,b,0.4362554000108503
11,0.6998597999918275,1,handshake,image_stim_p.png,205.34330899995985,AHJ,Monday,31,faceWord_exp,22,180,6.21,206.04316879995167,202.3123263999587,42,336,pos,21,205.69498809997458,6,203.31274849997135,male,201.62269609997747,0.6896302999812178,-1.283661754694624,21,b,0.351679100014735
13,0.6904779999749735,1,escalator,image_stim_p.png,217.96234249998815,AHJ,Monday,41,faceWord_exp,22,336,5.95,218.65282049996313,212.3397197999875,42,180,neu,21,218.38741399999708,6,213.34010339999804,male,211.6477681999677,0.69195160001982,-0.1293625696653618,22,b,0.4250715000089258
11,0.7002811999991536,1,girl,image_stim_p.png,227.9801646999549,AHJ,Monday,31,faceWord_exp,22,336,7.15,228.68044589995407,222.35082039999543,42,180,pos,21,228.43241219996708,6,223.35133129998576,male,221.65828959998908,0.6925308000063524,-1.313583728320736,23,b,0.4522475000121631
12,0.7009925000020303,1,guilt,image_stim_n.png,238.00782939995406,AHJ,Monday,32,faceWord_exp,22,336,2.29,238.7088218999561,232.37858869996853,42,180,neg,22,238.40969539998332,6,233.37923159997445,male,231.68490069999825,0.6936879999702796,4.2219398121868315,24,y,0.40186600002925843
