duration_measured_word,delay_frames_after,word_score_pc,condition,scan day,word_trigger,word_score_warriner,offset_img,onset_img,word,pause_trigger,ID,onset_word,session,gender,duration_measured_img,key_t,delay_frames_before,img,correct_resp,rt,pause_trigger_t,offset_word,word_label,img_trigger,response,duration_frames,no,age
0.694360064000648,180,2.166851165767892,faceWord_exp,Tuesday,12,3.08,128.58026339899516,127.8781817679992,aggressive,32,jules,121.5496059789948,1,female,0.7020816309959628,128.2988385790013,336,image_stim_n.png,0,0.42065681100211805,123.24494863199652,122.24396604299545,neg,22,l,42,13,20
0.6985951579990797,180,-2.8785481086132907,faceWord_exp,Tuesday,11,7.78,138.61834570099745,137.914066491001,kiss,31,jules,131.583446138,1,female,0.7042792099964572,138.3531947299998,336,image_stim_p.png,0,0.43912823899881914,133.2830515819951,132.28204129599908,pos,21,k,42,14,20
0.699108161003096,180,-2.40140153221556,faceWord_exp,Tuesday,11,8.0,148.65646248999838,147.95148903600057,love,31,jules,141.62094421399524,1,female,0.704973453997809,148.32621914899937,336,image_stim_p.png,0,0.37473011299880454,143.32118083300156,142.32005237499834,pos,21,k,42,15,20
0.6970898670042516,180,-0.9222259722889368,faceWord_exp,Tuesday,13,5.67,158.69454778399813,157.9893319979965,beer,41,jules,151.66110488699633,1,female,0.705215786001645,158.42924903299718,336,image_stim_p.png,0,0.4399170350006898,153.3592820519989,152.35819475400058,neu,21,k,42,16,20
0.6981919440004276,336,0.2016963621838916,faceWord_exp,Tuesday,12,4.9,166.1310422749957,165.4275051029981,plot,32,jules,161.69814710100036,1,female,0.7035371719975956,165.9836901460003,180,image_stim_n.png,0,0.5561850430021877,163.39624655799707,162.3963390450008,neg,22,l,42,17,20
0.6968703929960611,336,4.314775126713813,faceWord_exp,Tuesday,12,2.89,176.16956372999994,175.46435390199622,deceit,32,jules,171.73752130199864,1,female,0.7052098280037171,175.8224381809996,180,image_stim_n.png,0,0.35808427900337847,173.43549386199447,172.4343916949947,neg,22,l,42,18,20
0.6973396219982533,336,3.6605330306018913,faceWord_exp,Tuesday,12,3.63,186.20760649699514,185.50264994299505,tornado,32,jules,181.77523747699888,1,female,0.7049565540000913,185.8432317659972,180,image_stim_n.png,0,0.34058182300213957,183.47351615099615,182.47257709899714,neg,22,l,42,19,20
0.6966228820019751,180,3.648586845460279,faceWord_exp,Tuesday,12,3.16,198.84706598999765,198.14213381800073,hurricane,32,jules,191.8138230859986,1,female,0.7049321719969157,198.66585704099998,336,image_stim_n.png,0,0.5237232229992514,193.51166530799674,192.51044596800057,neg,22,l,42,20,20
0.6943648679953185,180,-0.08455950357770388,faceWord_exp,Tuesday,13,5.17,208.88521076699544,208.18391116600105,keyboard,42,jules,201.85441056700074,1,female,0.701299600994389,208.6869316709999,336,image_stim_n.png,0,0.5030205049988581,203.54979220699897,202.54877543499606,neu,22,l,42,21,20
0.6970199749994208,180,-2.146343780688921,faceWord_exp,Tuesday,11,7.05,218.92321089399775,218.2185768479976,lemonade,31,jules,211.88974961899658,1,female,0.7046340460001375,218.6085994169989,336,image_stim_p.png,0,0.39002256900130305,213.58776135899825,212.586769593996,pos,21,k,42,22,20
0.6968338859951473,180,-3.2613064969771037,faceWord_exp,Tuesday,11,8.37,228.96119559499493,228.25605505199928,fun,31,jules,221.92803619700135,1,female,0.7051405429956503,228.66332314600004,336,image_stim_p.png,0,0.4072680940007558,223.62592580799537,222.6248700829965,pos,21,k,42,23,20
0.6977692340005888,336,0.3759356543037889,faceWord_exp,Tuesday,13,5.05,236.39804332600033,235.69335613500152,fence,41,jules,231.96525318799831,1,female,0.7046871909988113,236.16616435600008,180,image_stim_p.png,0,0.4728082209985587,233.66407237199746,232.6630224219989,neu,21,k,42,24,20
0.6970452870009467,180,-1.5151286486205269,faceWord_exp,Tuesday,11,7.13,249.03742009699636,248.33180655499746,lake,31,jules,242.00395846099855,1,female,0.7056135419989005,248.7215862660014,336,image_stim_p.png,0,0.38977971100393916,243.70206404599594,242.7010037479995,pos,21,k,42,25,20
0.6970996050004032,336,-0.18281188470513854,faceWord_exp,Tuesday,13,5.14,256.4742511969962,255.76866223099933,spatula,42,jules,252.04189090499858,1,female,0.705588965996867,256.29308448699885,180,image_stim_n.png,0,0.5244222559995251,253.74019187699741,252.73899050999898,neu,22,l,42,26,20
0.6969166540002334,180,-0.7213913907893977,faceWord_exp,Tuesday,13,5.42,269.1135493690017,268.4086177559948,treaty,41,jules,262.0803066820008,1,female,0.7049316130069201,268.8979434380017,336,image_stim_p.png,1,0.48932568200689275,263.7782567239992,262.77722333600104,neu,21,l,42,27,20
0.6971414239960723,336,-0.5907285556577869,faceWord_exp,Tuesday,13,5.16,276.54909621000115,275.8449386649954,truck,42,jules,272.1181027970015,1,female,0.704157545005728,276.3867530829957,180,image_stim_n.png,0,0.5418144180002855,273.8164696359963,272.81524422099756,neu,22,l,42,28,20
0.69449828100187,336,-1.4783411251765788,faceWord_exp,Tuesday,11,6.14,286.588572953995,285.8858600109961,limousine,31,jules,282.1589209609956,1,female,0.7027129429989145,286.40829794199817,180,image_stim_p.png,0,0.5224379310020595,283.85444450799696,282.85341924199747,pos,21,k,42,29,20
0.6968111349997343,336,0.13451130194660302,faceWord_exp,Tuesday,12,4.65,296.6265929759975,295.92142819499713,diplomat,32,jules,292.1947231219965,1,female,0.7051647810003487,296.27906028099824,180,image_stim_n.png,1,0.35763208600110374,293.89243962099863,292.89153425699624,neg,22,k,42,30,20
0.6968847530006315,180,-0.8050043475134195,faceWord_exp,Tuesday,13,5.89,309.26592925699515,308.5601591609957,famous,42,jules,302.23272604299564,1,female,0.705770095999469,309.0341035169986,336,image_stim_n.png,0,0.4739443560029031,303.9306336419977,302.92961079599627,neu,22,l,42,31,20
0.6965753249969566,180,-1.0601571884744718,faceWord_exp,Tuesday,13,5.05,319.3041938210008,318.5988128600002,fiddle,41,jules,312.2703593699989,1,female,0.7053809610006283,319.35708640899975,336,image_stim_p.png,0,0.7582735489995684,313.96872515099676,312.96693469499587,neu,21,k,42,32,20
0.6975422249961412,336,0.98843671158419,faceWord_exp,Tuesday,12,4.73,326.74088892599684,326.0353215979994,commander,32,jules,322.3081474610008,1,female,0.7055673279974144,326.40846855499694,180,image_stim_n.png,0,0.3731469569975161,324.0067747139983,323.0056896859969,neg,22,l,42,33,20
0.6969996460029506,336,-1.9273821271493088,faceWord_exp,Tuesday,11,6.35,336.77899916299793,336.0733285489987,sled,31,jules,332.3468817089961,1,female,0.7056706139992457,336.5820820939989,180,image_stim_p.png,0,0.5087535450002179,334.04489871999976,333.04388135499903,pos,21,k,42,34,20
0.6971237669931725,336,-2.2727319315779937,faceWord_exp,Tuesday,11,6.45,346.81706036199466,346.1115429249985,pie,31,jules,342.3848791970013,1,female,0.7055174369961605,346.68486643899814,180,image_stim_p.png,0,0.5733235139996395,344.08292307199736,343.08200296399446,pos,21,k,42,35,20
0.6969380039954558,180,-2.8031613090757777,faceWord_exp,Tuesday,11,7.21,359.45643669499987,358.75090479700157,beach,31,jules,352.42315399200015,1,female,0.7055318979982985,359.25768270299886,336,image_stim_p.png,0,0.5067779059972963,354.12110428799497,353.1200919959956,pos,21,k,42,36,20
0.6978591250008321,180,-1.0543324261381863,faceWord_exp,Tuesday,11,6.47,369.4944972039957,368.78899047999585,oak,31,jules,362.4602547319955,1,female,0.7055067239998607,369.2474525009966,336,image_stim_p.png,0,0.4584620210007415,364.1594647999955,363.15811385699635,pos,21,k,42,37,20
0.6949937699973816,336,-3.1501939707833047,faceWord_exp,Tuesday,11,8.47,376.9313368709991,376.2281442800013,happy,31,jules,372.5013471359998,1,female,0.7031925909977872,376.7011807289964,180,image_stim_p.png,0,0.4730364489951171,374.1972796789996,373.1963409059972,pos,21,k,42,38,20
0.6965466910041869,180,3.3697994362845387,faceWord_exp,Tuesday,12,3.05,389.57094097799563,388.86569199399673,envy,32,jules,382.53719139899476,1,female,0.7052489839988993,389.45590717899904,336,image_stim_n.png,0,0.5902151850023074,384.2353227079948,383.23373808999895,neg,22,l,42,39,20
0.6959942809990025,180,-0.17528733847197087,faceWord_exp,Tuesday,13,5.8,399.6087630289985,398.90290075999656,rocket,41,jules,392.5764510529989,1,female,0.7058622690019547,399.4110841869988,336,image_stim_p.png,0,0.5081834270022227,394.27335811399826,393.2724453339979,neu,21,k,42,40,20
0.6967676130007021,336,3.457530661450998,faceWord_exp,Tuesday,12,2.05,407.0456223479996,406.3401099269977,victim,32,jules,402.6137698129969,1,female,0.705512421001913,406.7971164019982,180,image_stim_n.png,1,0.4570064750005258,404.31101631899946,403.3105374259976,neg,22,k,42,41,20
