correct_resp,onset_word,word_score_warriner,session,condition,scan day,rt,pause_trigger,word_trigger,age,offset_img,duration_measured_word,word_label,delay_frames_before,gender,pause_trigger_t,img,word_score_pc,duration_measured_img,key_t,word,onset_img,response,ID,delay_frames_after,offset_word,img_trigger,no,duration_frames
1,321.90617350999673,3.14,6,faceWord_exp,Monday,-4.039612029999262,32,12,22,328.9351351279911,0.695688286999939,neg,336,female,323.60208369499014,image_stim_n.png,3.1728286127179004,0.7074937909928849,324.18802930699894,rumor,328.2276413369982,y,C,180,322.6018617969967,22,33,42
1,331.93909885500034,7.15,6,faceWord_exp,Monday,-2.9057794109976385,31,11,22,336.3517318039958,0.6958514039870352,pos,180,female,333.63551796200045,image_stim_p.png,-1.313583728320736,0.6908892020001076,332.75506319099804,girl,335.6608426019957,b,C,336,332.6349502589874,21,34,42
1,341.9564889710018,7.53,6,faceWord_exp,Monday,-5.505823471001349,31,11,22,348.98484270699555,0.6950404479866847,pos,336,female,343.6520035269932,image_stim_p.png,-3.0889019952949432,0.7077907990023959,342.7712284369918,honeymoon,348.27705190799315,b,C,180,342.6515294189885,21,35,42
1,351.98919729499903,5.8,6,faceWord_exp,Monday,-2.872916134991101,41,13,22,356.40138287599257,0.6954282480000984,neu,180,female,353.68546930099546,image_stim_p.png,-0.3659926056186196,0.6908761020022212,352.83759063899925,finger,355.71050677399035,b,C,336,352.68462554299913,21,36,42
0,362.00545293898904,3.94,6,faceWord_exp,Monday,-2.6569326110038674,32,12,22,366.41786108299857,0.6956945050042123,neg,180,female,363.70166462399357,image_stim_n.png,1.4290259416609457,0.6909075739968102,363.0700208979979,lawyer,365.72695350900176,b,C,336,362.70114744399325,22,37,42
1,372.02447990998917,5.84,6,faceWord_exp,Monday,-2.8252329420065507,41,13,22,376.45111586598796,0.6933840540004894,neu,180,female,373.71816229198885,image_stim_p.png,-0.6912617476649511,0.7053195789922029,372.9205633449892,soccer,375.74579628699576,b,C,336,372.71786396398966,21,38,42
1,382.05559861399524,5.33,6,faceWord_exp,Monday,-2.0055671309964964,42,13,22,386.46772628699546,0.6954085229954217,neu,180,female,383.7517168179911,image_stim_n.png,-1.1818642926883074,0.691643516998738,383.7705156390002,prairie,385.7760827699967,y,C,336,382.75100713699067,22,39,42
0,392.0714814899984,5.29,6,faceWord_exp,Monday,-2.456323035992682,42,13,22,396.4847415689874,0.6958782319998136,neu,180,female,393.7681349399936,image_stim_n.png,0.38949539348709145,0.6915908369992394,393.33682769599545,era,395.79315073198813,b,C,336,392.7673597219982,22,40,42
1,402.0887702600012,5.9,6,faceWord_exp,Monday,-5.405587737011956,41,13,22,409.1174288089969,0.6951129029912408,neu,336,female,403.7834176280012,image_stim_p.png,0.597486551423763,0.7078410999965854,403.0039999719884,medicine,408.40958770900033,b,C,180,402.7838831629924,21,41,42
1,412.12130148398865,6.73,6,faceWord_exp,Monday,-5.405750677004107,31,11,22,419.1505830739916,0.6959457880002446,pos,336,female,413.8178378309967,image_stim_p.png,-1.87678309604286,0.7073640159942443,413.03746838099323,read,418.44321905799734,b,C,180,412.8172472719889,21,42,42
