img,scan day,onset_word,delay_frames_before,correct_resp,word_score_pc,condition,duration_frames,duration_measured_word,gender,no,offset_word,word_score_warriner,key_t,ID,word,delay_frames_after,duration_measured_img,response,session,age,onset_img,word_label,rt,offset_img
image_stim_n.png,Tuesday,64.77280772698577,130,,0.19555716741692625,faceWord_exp,42,0.6902446749154478,female,12,65.46305240190122,4.95,68.1497059589019,JV,majority,122,0.7019760410767049,j,4,22,67.6607850228902,neg,0.4889209360117093,68.3627610639669
image_stim_n.png,Tuesday,70.40338890289422,104,0,3.1835494020570807,faceWord_exp,42,0.6926856520585716,female,13,71.09607455495279,3.17,73.43291375390254,JV,explosion,161,0.7058708159020171,b,4,22,72.85788440098986,neg,0.5750293529126793,73.56375521689188
image_stim_p.png,Tuesday,76.25269464997109,99,1,-1.3206920491180312,faceWord_exp,42,0.6933078489964828,female,14,76.94600249896757,6.32,79.01619379094336,JV,harmonica,181,0.6906040599569678,b,4,22,78.62204608693719,pos,0.3941477040061727,79.31265014689416
image_stim_n.png,Tuesday,82.33515485096723,106,,0.4398740830446768,faceWord_exp,42,0.6940824480261654,female,15,83.0292372989934,5.89,85.2991299649002,JV,hall,118,0.7049891460919753,j,4,22,84.82429674488958,neu,0.47483322001062334,85.52928589098155
image_stim_n.png,Tuesday,87.50137218099553,151,,0.7532200949518182,faceWord_exp,42,0.6944782939972356,female,16,88.19585047499277,4.19,91.08268876699731,JV,loan,179,0.6892974429065362,j,4,22,90.73983729199972,neg,0.3428514749975875,91.42913473490626
image_stim_p.png,Tuesday,94.41862366197165,150,1,0.12602488928311428,faceWord_exp,42,0.6937766969203949,female,17,95.11240035889205,5.1,98.11575770599302,JV,shoulder,124,0.7046395180514082,b,4,22,97.64104521693662,neu,0.47471248905640095,98.34568473498803
image_stim_n.png,Tuesday,100.42171122296713,125,,0.060511318752979076,faceWord_exp,42,0.6905963059980422,female,18,101.11230752896518,4.83,103.78347149689216,JV,pig,181,0.7036614289972931,j,4,22,103.22533740894869,neg,0.558134087943472,103.92899883794598
image_stim_p.png,Tuesday,106.95144289697055,214,1,-2.066768843681998,faceWord_exp,42,0.6941563169239089,female,19,107.64559921389446,7.27,111.7822684549028,JV,honey,196,0.703413211973384,b,4,22,111.24202803091612,pos,0.5402404239866883,111.9454412428895
image_stim_n.png,Tuesday,115.2173886129167,127,,-0.10198134801944247,faceWord_exp,42,0.694773018010892,female,20,115.91216163092759,4.16,118.68230748397764,JV,saw,180,0.6891778539866209,j,4,22,118.05633368494455,neg,0.6259737990330905,118.74551153893117
image_stim_p.png,Tuesday,121.75096867489628,119,1,0.37753019343780747,faceWord_exp,42,0.6943684440338984,female,21,122.44533711893018,5.43,124.94879543199204,JV,door,164,0.7050857039866969,b,4,22,124.45695750589948,neu,0.4918379260925576,125.16204320988618
image_stim_n.png,Tuesday,127.90102268289775,196,0,-0.29144085929118746,faceWord_exp,42,0.6942840000847355,female,22,128.59530668298248,5.9,132.4487758598989,JV,hand,117,0.7053060040343553,b,4,22,131.89001817291137,neu,0.5587576869875193,132.59532417694572
image_stim_p.png,Tuesday,134.55192455998622,153,1,0.6669259665908855,faceWord_exp,42,0.6932878110092133,female,23,135.24521237099543,5.38,138.28186419291887,JV,businessman,124,0.7051370600238442,b,4,22,137.82334448792972,neu,0.4585197049891576,138.52848154795356
image_stim_n.png,Tuesday,140.60276799392886,156,,2.8314410724962364,faceWord_exp,42,0.6923708750400692,female,24,141.29513886896893,3.57,144.2818240339402,JV,denial,118,0.7035814620321617,j,4,22,143.9259634918999,neg,0.35586054204031825,144.62954495393205
image_stim_n.png,Tuesday,146.6013336329488,78,,2.7437052692255306,faceWord_exp,42,0.6937226270092651,female,25,147.29505625995807,4.48,149.13071542896796,JV,stampede,183,0.6890088429208845,j,4,22,148.62267623096704,neg,0.5080391980009153,149.31168507388793
image_stim_p.png,Tuesday,152.3676991109969,88,1,-2.1205664047688315,faceWord_exp,42,0.6939865479944274,female,26,153.06168565899134,7.24,155.01605254889,JV,trust,160,0.6889802470104769,b,4,22,154.5559662609594,pos,0.4600862879306078,155.24494650796987
image_stim_p.png,Tuesday,157.9190473119961,145,1,-2.93465986085152,faceWord_exp,42,0.6925157218938693,female,27,158.61156303388998,6.84,161.38164437294472,JV,festival,188,0.7050745449960232,b,4,22,161.0564272159245,pos,0.32521715702023357,161.7615017609205
image_stim_p.png,Tuesday,164.90112339193,148,1,-1.301667818567906,faceWord_exp,42,0.6936121439794078,female,28,165.59473553590942,6.71,168.51478927291464,JV,bicycle,157,0.706647646962665,b,4,22,168.0892830779776,pos,0.4255061949370429,168.79593072494026
image_stim_n.png,Tuesday,171.4174573519267,109,,2.0765857872261098,faceWord_exp,42,0.6939089120132849,female,29,172.11136626394,3.52,174.5313223019475,JV,court,106,0.70528412994463,j,4,22,173.95605966099538,neg,0.5752626409521326,174.66134379094
image_stim_n.png,Tuesday,176.43438883696217,125,,-0.4880378396985329,faceWord_exp,42,0.6935710649704561,female,30,177.12795990193263,5.68,179.74810639489442,JV,chestnut,143,0.7046918809646741,j,4,22,179.239910269971,neu,0.5081961249234155,179.94460215093568
image_stim_p.png,Tuesday,182.33582445199136,126,1,0.4395766978022416,faceWord_exp,42,0.692029025987722,female,31,183.02785347797908,5.67,185.74804148089606,JV,red,83,0.702286649029702,b,4,22,185.15895500790793,neu,0.5890864729881287,185.86124165693764
image_stim_n.png,Tuesday,187.25050379289314,138,,2.8496222967354625,faceWord_exp,42,0.6939947250066325,female,32,187.94449851789977,3.78,190.7472099988954,JV,empty,237,0.6892070641042665,j,4,22,190.27195319288876,neg,0.4752568060066551,190.96116025699303
image_stim_n.png,Tuesday,194.91716471291147,184,,2.7422742606943906,faceWord_exp,42,0.693914663977921,female,33,195.6110793768894,4.0,199.2311260579154,JV,fallacy,111,0.7060303890611976,j,4,22,198.70611774292774,neg,0.5250083149876446,199.41214813198894
image_stim_p.png,Tuesday,201.26701053895522,217,1,-0.7774272008663468,faceWord_exp,42,0.6940097570186481,female,34,201.96102029597387,5.43,206.16426849889103,JV,theme,151,0.7053600690560415,b,4,22,205.60547380393837,neu,0.5587946949526668,206.3108338729944
image_stim_p.png,Tuesday,208.83289386797696,227,1,-1.7294291477603156,faceWord_exp,42,0.694641146925278,female,35,209.52753501490224,7.0,213.8143122609472,JV,dog,158,0.7051629159832373,b,4,22,213.33897080097813,pos,0.47534145996905863,214.04413371696137
image_stim_n.png,Tuesday,216.68313279596623,108,,-0.9453395472380092,faceWord_exp,42,0.6943323529558256,female,36,217.37746514892206,5.91,219.7141861768905,JV,team,140,0.704283956089057,j,4,22,219.20643875189126,neu,0.507747424999252,219.9107227079803
image_stim_p.png,Tuesday,222.24981860094704,188,1,-3.0311112754680245,faceWord_exp,42,0.6941884909756482,female,37,222.94400709192269,7.75,226.5641630939208,JV,peace,144,0.7045016270130873,b,4,22,226.10626736993436,pos,0.4578957239864394,226.81076899694744
image_stim_p.png,Tuesday,229.2192896528868,171,1,-0.05436507667908295,faceWord_exp,42,0.6912435881095007,female,38,229.9105332409963,5.59,233.56358363793697,JV,mouth,151,0.7019297699443996,b,4,22,232.791942953947,neu,0.7716406839899719,233.4938727238914
image_stim_n.png,Tuesday,236.01675777789205,107,,4.2176174504439885,faceWord_exp,42,0.6941672021057457,female,39,236.7109249799978,2.62,238.89729630190413,JV,insult,181,0.6894196099601686,j,4,22,238.52105568896513,neg,0.37624061293900013,239.2104752989253
image_stim_n.png,Tuesday,242.23624105390627,130,,0.42679466080263373,faceWord_exp,42,0.6908489370252937,female,40,242.92708999093156,4.75,245.53070214798208,JV,zone,163,0.6891493309522048,j,4,22,245.12129383394495,neg,0.40940831403713673,245.81044316489715
image_stim_p.png,Tuesday,248.53313271293882,141,1,-2.547043884761341,faceWord_exp,42,0.6938656240236014,female,41,249.22699833696242,5.85,252.01363775797654,JV,circus,93,0.7045946390135214,b,4,22,251.60570238996297,neu,0.4079353680135682,252.3102970289765
image_stim_n.png,Tuesday,253.8663168469211,109,,1.95458394600482,faceWord_exp,42,0.6940252339700237,female,42,254.56034208089113,4.03,256.93150193593465,JV,snake,176,0.6930046129273251,j,4,22,256.41723509598523,neg,0.5142668399494141,257.11023970891256
image_stim_n.png,Tuesday,260.05014102498535,199,,0.18094025084207666,faceWord_exp,42,0.6934167859144509,female,43,260.7435578108998,5.3,264.5801250679651,JV,journalist,128,0.7048596480162814,j,4,22,264.0886080999626,neu,0.49151696800254285,264.79346774797887
image_stim_p.png,Tuesday,266.9333357398864,83,1,-2.8305869761860607,faceWord_exp,42,0.6934078800259158,female,44,267.6267436199123,6.67,269.5468809509184,JV,gratitude,120,0.6888738259440288,b,4,22,269.03786972898524,pos,0.5090112219331786,269.72674355492927
image_stim_p.png,Tuesday,271.7358314539306,175,1,-0.5273916336755435,faceWord_exp,42,0.6908512719674036,female,45,272.426682725898,5.83,275.8135438748868,JV,scientist,120,0.7024770010029897,b,4,22,275.3741392039228,neu,0.43940467096399516,276.0766162049258
image_stim_p.png,Tuesday,278.0825775929261,222,1,-2.30162279277581,faceWord_exp,42,0.6940244330326095,female,46,278.7766020259587,7.05,283.07975203497335,JV,heroism,190,0.7055941519793123,b,4,22,282.5042522639269,pos,0.5754997710464522,283.2098464159062
image_stim_p.png,Tuesday,286.38233373092953,194,1,-1.883093263099396,faceWord_exp,42,0.6948443420697004,female,47,287.07717807299923,6.15,290.86319858499337,JV,choir,130,0.7050010779639706,b,4,22,290.3380806259811,pos,0.5251179590122774,291.04308170394506
image_stim_p.png,Tuesday,293.2159314699238,98,1,-2.411716547027706,faceWord_exp,42,0.6937673049978912,female,48,293.9096987749217,7.3,296.0964807039127,JV,flower,137,0.6895538530079648,b,4,22,295.5702273179777,pos,0.5262533859349787,296.25978117098566
image_stim_n.png,Tuesday,298.549454756896,102,,0.1872293205875,faceWord_exp,42,0.6935520160477608,female,49,299.2430067729438,5.95,301.5466689429013,JV,elevator,77,0.6893712400924414,j,4,22,300.9703590188874,neu,0.5763099240139127,301.65973025897983
image_stim_p.png,Tuesday,302.9491737759672,154,1,0.0196438746392397,faceWord_exp,42,0.6937647419981658,female,50,303.6429385179654,5.95,306.7635519779287,JV,worker,145,0.6892725720535964,b,4,22,306.23693416290917,neu,0.5266178150195628,306.92620673496276
