gender,offset_word,no,img,pause_trigger,delay_frames_after,onset_img,duration_measured_word,condition,rt,response,word,delay_frames_before,pause_trigger_t,scan day,ID,session,key_t,word_score_warriner,onset_word,word_trigger,duration_frames,offset_img,word_score_pc,age,word_label,duration_measured_img,img_trigger,correct_resp
female,191.9701715959818,20,image_stim_p.png,31,336,194.9914582229685,0.6950200360151939,faceWord_exp,0.5413065070169978,b,dolphin,180,192.9658471449511,Monday,1,6,195.5327647299855,6.67,191.27515155996662,11,42,195.69443335896358,-2.035068499528653,23,pos,0.7029751359950751,21,1
female,201.97958499996457,21,image_stim_p.png,31,180,207.59711213299306,0.6918331260094419,faceWord_exp,0.6178545290022157,b,forest,336,202.97563368600095,Monday,1,6,208.21496666199528,6.68,201.28775187395513,11,42,208.2959159729653,-1.6320665929887423,23,pos,0.6988038399722427,21,1
female,211.98912068398204,22,image_stim_p.png,31,336,215.00988324196078,0.6959527339786291,faceWord_exp,0.576165757025592,b,parade,180,212.98559933697106,Monday,1,6,215.58604899898637,6.37,211.2931679500034,11,42,215.71420528297313,-2.3709211732995845,23,pos,0.7043220410123467,21,1
female,221.9990272509749,23,image_stim_n.png,32,180,227.61894141195808,0.6948115149862133,faceWord_exp,0.6991426839958876,y,rumor,336,222.99546478199773,Monday,1,6,228.31808409595396,3.14,221.3042157359887,12,42,228.31529007700738,3.1728286127179004,23,neg,0.6963486650492996,22,1
female,232.00890699698357,24,image_stim_n.png,32,180,237.6237179519958,0.6952713429927826,faceWord_exp,0.6590741639956832,y,politician,336,233.00503616099013,Monday,1,6,238.28279211599147,3.25,231.3136356539908,12,42,238.3255947669968,1.7380634654586231,23,neg,0.7018768150010146,22,1
female,242.01876574696507,25,image_stim_n.png,32,336,245.0438004739699,0.6955826379708014,faceWord_exp,0.6516974259866402,y,bee,180,243.01483227795688,Monday,1,6,245.69549789995654,3.68,241.32318310899427,12,42,245.74345364997862,1.5036737146000605,23,neg,0.6996531760087237,22,1
female,252.02861159096938,26,image_stim_n.png,42,180,257.6432518219808,0.6951936080004089,faceWord_exp,0.7225049959961325,y,big,336,253.02428606600733,Monday,1,6,258.36575681797694,5.64,251.33341798296897,13,42,258.3447514839936,0.6345811289687322,23,neu,0.7014996620127931,22,1
female,262.0359279719996,27,image_stim_p.png,31,180,267.6624691519537,0.6925331170205027,faceWord_exp,0.513470018049702,b,honeymoon,336,263.03417017898755,Monday,1,6,268.1759391700034,7.53,261.3433948549791,11,42,268.3545098530012,-3.0889019952949432,23,pos,0.6920407010475174,21,1
female,272.0457639209926,28,image_stim_n.png,32,336,275.07287074497435,0.6936440319987014,faceWord_exp,0.6000027030240744,y,folly,180,273.0439395419671,Monday,1,6,275.6728734479984,4.11,271.3521198889939,12,42,275.7725818049512,2.52891321026023,23,neg,0.6997110599768348,22,1
female,282.05551600299077,29,image_stim_p.png,31,180,287.6770694119623,0.6925249010091648,faceWord_exp,0.5500112510053441,b,dinner,336,283.0534960649675,Monday,1,6,288.22708066296764,6.4,281.3629911019816,11,42,288.373886847985,-2.2453726125286497,23,pos,0.696817436022684,21,1
female,292.0839415639639,30,image_stim_n.png,42,336,295.1118296950008,0.7030698549933732,faceWord_exp,0.6002927329973318,y,soccer,180,293.08236243895954,Monday,1,6,295.7121224279981,5.84,291.3808717089705,13,42,295.8065612829523,-0.6912617476649511,23,neu,0.6947315879515372,22,1
female,302.0939981249976,31,image_stim_p.png,31,180,307.7201022710069,0.6958593460149132,faceWord_exp,0.5782741029979661,b,pumpkin,336,303.09177830198314,Monday,1,6,308.2983763740049,7.0,301.3981387789827,11,42,308.41034863499226,-1.1380831950062478,23,pos,0.6902463639853522,21,1
female,312.10332076298073,32,image_stim_n.png,32,336,315.12890517897904,0.6965481020160951,faceWord_exp,0.5834105879766867,y,gunshot,180,313.1021254879888,Monday,1,6,315.7123157669557,2.79,311.40677266096463,12,42,315.8257427259814,3.2726955917764444,23,neg,0.6968375470023602,22,1
