no,delay_frames_before,word_score_pc,condition,delay_frames_after,response,offset_word,word_label,onset_word,key_t,pause_trigger_t,duration_frames,gender,scan day,img,correct_resp,ID,onset_img,offset_img,word,rt,word_score_warriner,duration_measured_img,random_timepoint,duration_measured_word,age,session
25,132,-1.3575770021145472,faceWord_exp,137,right,134.8657395420014,neu,134.06990552900243,137.65013446900412,135.8661284869886,48,male,Monday,image_stim_p.png,1,1,137.11847067199415,137.91563524398953,tomato,0.5316637970099691,5.8,0.7971645719953813,151.13668881499325,0.7958340129989665,22,1
26,117,0.1935892361901769,faceWord_exp,83,left,140.99888268098584,neu,140.2047701840056,143.5336006449943,141.99932860699482,48,male,Monday,image_stim_n.png,1,1,143.0011168140045,143.79900489500142,bridge,0.5324838309898041,5.44,0.7978880809969269,157.0193349479814,0.7941124969802331,22,1
27,117,0.98843671158419,faceWord_exp,212,left,145.98219013799098,neg,145.1866775160015,148.46696494499338,146.98268267299864,48,male,Monday,image_stim_n.png,1,1,147.98522002299433,148.78185007398133,commander,0.48174492199905217,4.73,0.7966300509870052,162.00343811998027,0.7955126219894737,22,1
28,141,-2.8785481086132907,faceWord_exp,111,right,153.1153294139949,pos,152.3192354500061,156.15173054498155,154.11586889598402,48,male,Monday,image_stim_p.png,1,1,155.5169391699892,156.3148304130009,kiss,0.6347913749923464,7.78,0.7978912430116907,169.5351569269842,0.7960939639888238,22,1
29,121,0.11872473318936595,faceWord_exp,58,right,158.96527391899144,neu,158.17137012298917,161.41683396400185,159.96538211998995,48,male,Monday,image_stim_p.png,1,1,161.03252338900347,161.83180109399837,noun,0.3843105749983806,5.22,0.7992777049948927,175.050741234998,0.7939037960022688,22,1
30,136,2.3815246085651838,faceWord_exp,105,left,163.59814367999206,neg,162.80260171799455,166.19999850800377,164.59873317199526,48,male,Monday,image_stim_n.png,1,1,165.91532752098283,166.71501786299632,bribe,0.2846709870209452,3.32,0.7996903420134913,179.93354552498204,0.7955419619975146,22,1
31,127,-1.6708771386143015,faceWord_exp,102,right,169.26517846100614,pos,168.46982047500205,171.9337291639822,170.26500600599684,48,male,Monday,image_stim_p.png,1,1,171.43381028200383,172.23190577098285,pineapple,0.499918881978374,6.9,0.7980954889790155,185.45202827997855,0.7953579860040918,22,1
32,178,0.2016963621838916,faceWord_exp,122,left,174.7317554699839,neg,173.9416239319835,178.3331602079852,175.7324538799876,48,male,Monday,image_stim_n.png,1,1,177.74999010999454,178.5485294359969,plot,0.58317009799066,4.9,0.7985393260023557,191.7682083499967,0.7901315380004235,22,1
33,175,-0.17528733847197087,faceWord_exp,137,right,181.38175836898154,neu,180.58611907900195,184.75027704497916,182.3822939939855,48,male,Monday,image_stim_p.png,1,1,184.34939687498263,185.14809520798735,rocket,0.4008801699965261,5.8,0.7986983330047224,198.36761496099643,0.7956392899795901,22,1
34,80,-1.8465637543339983,faceWord_exp,70,left,188.23133003199473,pos,187.43614766199607,190.16676616898621,189.23192316800123,48,male,Monday,image_stim_p.png,0,1,189.61689859599574,190.41504582599737,wealthy,0.549867572990479,6.37,0.7981472300016321,203.63511647100677,0.7951823699986562,22,1
35,92,1.5906822936049958,faceWord_exp,55,left,192.38160965999123,neg,191.58588387898635,194.41660822500126,193.3813306139782,48,male,Monday,image_stim_n.png,1,1,193.96670506798546,194.76429798899335,mouse,0.44990315701579675,4.8,0.7975929210078903,207.98492312798044,0.7957257810048759,22,1
36,173,-3.2613064969771037,faceWord_exp,210,right,196.4815598889836,pos,195.6860644579865,199.699489007995,197.48195903300075,48,male,Monday,image_stim_p.png,1,1,199.46677400398767,200.26423439898645,fun,0.23271500400733203,8.37,0.7974603949987795,213.48499186499976,0.7954954309971072,22,1
37,184,-1.2313279950095668,faceWord_exp,127,right,204.5649088289938,pos,203.76860822399613,208.03309912100667,205.5651698760048,48,male,Monday,image_stim_p.png,1,1,207.68303153497982,208.48126353998668,new,0.35006758602685295,7.68,0.7982320050068665,221.70124968799064,0.7963006049976684,22,1
