scan day,duration_frames,word_score_pc,duration_measured_word,word_score_warriner,img,duration_measured_img,img_trigger,gender,offset_word,onset_img,ID,pause_trigger,correct_resp,rt,delay_frames_before,word,age,onset_word,offset_img,session,key_t,condition,pause_trigger_t,word_label,word_trigger,response,no,delay_frames_after
Monday,42,-1.3205598447631597,0.6988225000095554,6.17,image_stim_p.png,0.6814454999985173,21,female,232.32827180001186,235.36318380001467,2,31,1,-2.66858769999817,180,chicken,22,231.6294493000023,236.04462930001318,2,232.6945961000165,faceWord_exp,233.32912250002846,pos,11,b,24,336
Monday,42,-0.5485436049411244,0.6954947999911383,5.72,image_stim_p.png,0.6850198000320233,21,female,242.34370530000888,247.97430010000244,2,41,1,-5.262333899969235,336,apartment,22,241.64821050001774,248.65931990003446,2,242.7119662000332,faceWord_exp,243.34257000003709,neu,13,b,25,180
Monday,42,4.537930167489568,0.6877657999866642,2.35,image_stim_n.png,0.6801404999569058,22,female,252.35813890001737,255.37848440004745,2,32,1,-2.870442899991758,180,terrorist,22,251.6703731000307,256.05862490000436,2,252.5080415000557,faceWord_exp,253.36020080000162,neg,12,y,26,336
Monday,42,2.351878020671037,0.6936895999824628,4.29,image_stim_n.png,0.6829356999951415,22,female,262.35725360002834,268.0074578000349,2,32,1,-4.430534699989948,336,tired,22,261.6635640000459,268.69039350003004,2,263.57692310004495,faceWord_exp,263.35664660000475,neg,12,y,27,180
Monday,42,-2.7563434535584275,0.6869210999575444,7.21,image_stim_p.png,0.683987199969124,21,female,272.3881725000101,275.42172900005244,2,31,1,-2.8973375000059605,180,optimism,22,271.70125140005257,276.10571620002156,2,272.5243915000465,faceWord_exp,273.3916134000174,pos,11,b,28,336
Monday,42,4.02985566434138,0.691310100024566,3.52,image_stim_n.png,0.6857993000303395,22,female,282.4063985000248,288.0533147000242,2,32,1,-5.362731800007168,336,problem,22,281.71508840000024,288.73911400005454,2,282.69058290001703,faceWord_exp,283.406272799999,neg,12,y,29,180
Monday,42,-2.461915733068042,0.6885142999817617,7.0,image_stim_p.png,0.6911079999990761,21,female,292.4375111000263,298.09624630003236,2,31,1,-5.074009699979797,336,embrace,22,291.74899680004455,298.78735430003144,2,293.02223660005257,faceWord_exp,293.4376426000381,pos,11,b,30,180
Monday,42,-1.7947555393350414,0.7003816000069492,6.4,image_stim_p.png,0.6776859000092372,21,female,302.4871591000119,308.10809960000915,2,31,1,-5.619445799966343,336,piano,22,301.786777500005,308.7857855000184,2,302.4886538000428,faceWord_exp,303.4865649000276,pos,11,b,31,180
Monday,42,0.10630403813009667,0.6889240000164136,5.86,image_stim_p.png,0.6807399999815971,21,female,312.4846495000529,315.51874100003624,2,41,1,-2.4664336999994703,180,whole,22,311.7957255000365,316.19948100001784,2,313.0523073000368,faceWord_exp,313.4853432000382,neu,13,b,32,336
Monday,42,0.650019808676411,0.6889878999791108,5.19,image_stim_p.png,0.6889937000232749,21,female,322.49872510001296,325.5424423000077,2,41,0,-1.6763591999770142,180,highway,22,321.80973720003385,326.23143600003095,2,323.86608310003066,faceWord_exp,323.50111470004776,neu,13,y,33,336
Monday,42,0.16339675594021513,0.6983080999925733,4.41,image_stim_n.png,0.6800069999881089,22,female,332.5307595000486,335.5847510000458,2,32,0,-2.317295200016815,180,jaw,22,331.832451400056,336.2647580000339,2,333.267455800029,faceWord_exp,333.53275200002827,neg,12,b,34,336
Monday,42,-1.3503642789447028,0.6970014000544325,7.68,image_stim_p.png,0.6791903999983333,21,female,342.5636232000543,348.2005535000353,2,31,1,-5.351685200002976,336,musical,22,341.86662179999985,348.87974390003365,2,342.84886830003234,faceWord_exp,343.56366860005073,pos,11,b,35,180
Monday,42,-2.5746228757417584,0.6977767999633215,7.1,image_stim_p.png,0.6801057999837212,21,female,352.5794869000092,355.61447210004553,2,31,1,-2.749548399995547,180,barbecue,22,351.8817101000459,356.29457790002925,2,352.86492370005,faceWord_exp,353.57807930000126,pos,11,b,36,336
Monday,42,0.3296196251321362,0.6969771000440232,5.15,image_stim_p.png,0.6761641000048257,21,female,362.59376510005677,365.6515040000086,2,41,1,-2.7216585999703966,180,pan,22,361.89678800001275,366.3276681000134,2,362.9298454000382,faceWord_exp,363.59586240001954,neu,13,b,37,336
Monday,42,0.3228926581020319,0.6982281000236981,5.07,image_stim_p.png,0.6864548000157811,21,female,372.62651250005,378.27280640002573,2,41,1,-5.444146000023466,336,street,22,371.9282844000263,378.9592612000415,2,372.82866040000226,faceWord_exp,373.6275027000229,neu,13,b,38,180
Monday,42,3.561717315569441,0.6899424999719486,4.76,image_stim_n.png,0.6920590999652632,22,female,382.65819190000184,388.28256270004204,2,32,0,-5.537022900010925,336,landslide,22,381.9682494000299,388.9746218000073,2,382.7455398000311,faceWord_exp,383.65960630000336,neg,12,b,39,180
Monday,42,-2.4114282062334524,0.6950695000123233,6.48,image_stim_p.png,0.685137799999211,21,female,392.67395630001556,395.70498410001164,2,31,1,-2.87898189999396,180,carnival,22,391.97888680000324,396.39012190001085,2,392.8260022000177,faceWord_exp,393.67483990004985,pos,11,b,40,336
Monday,42,1.472290472628449,0.6892223000177182,4.1,image_stim_n.png,0.6751924999989569,22,female,402.6890863000299,408.34519540000474,2,32,1,-4.570844799978659,336,clang,22,401.99986400001217,409.0203879000037,2,403.7743506000261,faceWord_exp,403.6904524000129,neg,12,y,41,180
Monday,42,0.3495373155897487,0.6939731999882497,5.5,image_stim_n.png,0.6819566999911331,22,female,412.7213055000175,415.7559794000117,2,42,0,-2.816019599966239,180,winter,22,412.02733230002923,416.43793610000284,2,412.9399598000455,faceWord_exp,413.7219675000524,neu,13,b,42,336
Monday,42,-0.8400509032218062,0.6990002999664284,5.94,image_stim_n.png,0.6913014000165276,22,female,422.7369382000179,425.7956259000348,2,42,0,-2.7905232000048272,180,store,22,422.0379379000515,426.4869273000513,2,423.00510270002997,faceWord_exp,423.73833310004557,neu,13,b,43,336
Monday,42,-1.7539828459428422,0.692847200029064,6.91,image_stim_p.png,0.6853915000101551,21,female,432.78412150003714,438.4159108000458,2,31,1,-5.130163000023458,336,spaghetti,22,432.0912743000081,439.101302300056,2,433.28574780002236,faceWord_exp,433.78440970001975,pos,11,b,44,180
Monday,42,-0.14866519221167074,0.6982294999761507,4.43,image_stim_n.png,0.6836804000195116,22,female,442.8010276000132,445.866825300036,2,32,0,-2.5157569000148214,180,van,22,442.10279810003703,446.5505057000555,2,443.3510684000212,faceWord_exp,443.8016358000459,neg,12,b,45,336
Monday,42,-1.3695211950901562,0.6942130000097677,7.59,image_stim_p.png,0.68275439995341,21,female,452.84946930001024,455.9170423000469,2,31,1,-2.94927350000944,180,tree,22,452.1552563000005,456.5997967000003,2,452.96776880003745,faceWord_exp,453.85186690004775,pos,11,b,46,336
Monday,42,-1.8879163634684628,0.6951000000117347,7.88,image_stim_p.png,0.6820090999826789,21,female,462.8974466000218,468.56402070005424,2,31,1,-5.345510500017554,336,joke,22,462.20234660001006,469.2460298000369,2,463.2185102000367,faceWord_exp,463.89980060001835,pos,11,b,47,180
