word_score_warriner,onset_img,condition,correct_resp,response,pause_trigger_t,word_score_pc,gender,duration_measured_word,delay_frames_before,onset_word,offset_word,word_trigger,duration_frames,word_label,key_t,word,duration_measured_img,offset_img,scan day,delay_frames_after,img_trigger,rt,session,age,pause_trigger,no,img,ID
5.63,105.24576542997966,faceWord_exp,1,y,103.20630574598908,-0.23071750329615884,male,0.6942416460369714,180,101.51103164599044,102.20527329202741,13,42,neu,106.05920308001805,pen,0.6948071870137937,105.94057261699345,Monday,336,22,0.8134376500383951,3,21,42,11,image_stim_n.png,km
8.21,115.2758501410135,faceWord_exp,1,b,113.24462951900205,-3.230607919269787,male,0.6953497819486074,180,111.54804752103519,112.2433973029838,11,42,pos,115.99773714499315,joy,0.7025697900098749,115.97841993102338,Monday,336,21,0.7218870039796457,3,21,31,12,image_stim_p.png,km
7.18,127.91577914002119,faceWord_exp,1,b,123.28231340501225,-1.7760144816699572,male,0.6949160730000585,336,121.586415141006,122.28133121400606,11,42,pos,128.50563536200207,island,0.7020792830153368,128.61785842303652,Monday,180,21,0.589856221980881,3,21,31,13,image_stim_p.png,km
5.55,137.95426804298768,faceWord_exp,1,b,133.32059229002334,-0.123291752025302,male,0.6962942910031416,336,131.6234931310173,132.31978742202045,13,42,neu,138.47489190398483,faucet,0.7018306530080736,138.65609869599575,Monday,180,21,0.5206238609971479,3,21,41,14,image_stim_p.png,km
7.11,147.99286020599538,faceWord_exp,1,b,143.35871834302088,-1.9002611819546853,male,0.6955618799547665,336,141.6620851100306,142.35764698998537,11,42,pos,148.53186993399868,couple,0.7015310130082071,148.6943912190036,Monday,180,21,0.5390097280032933,3,21,31,15,image_stim_p.png,km
5.58,158.02979904401582,faceWord_exp,1,y,153.39663400803693,-0.945340141786388,male,0.6967049049562775,336,151.69897468102863,152.3956795859849,13,42,neu,158.7509080210002,tuba,0.7020834349677898,158.7318824789836,Monday,180,22,0.7211089769843966,3,21,42,16,image_stim_n.png,km
3.95,165.46881903603207,faceWord_exp,1,y,163.43491539399838,1.8802224749820768,male,0.6949483240023255,180,161.73920403700322,162.43415236100554,12,42,neg,166.0901740870322,dusty,0.7002835769671947,166.16910261299927,Monday,336,22,0.6213550510001369,3,21,32,17,image_stim_n.png,km
6.75,178.10651522199623,faceWord_exp,1,b,173.47305140801473,-1.2126784285084091,male,0.6957659560139291,336,171.77605566300917,172.4718216190231,11,42,pos,178.61097189603606,agreement,0.7019468460348435,178.80846206803108,Monday,180,21,0.5044566740398295,3,21,31,18,image_stim_p.png,km
5.82,188.14460599201266,faceWord_exp,1,y,183.5111723309965,-1.5026706526379858,male,0.695168961014133,336,181.8149937390117,182.51016270002583,13,42,neu,188.6988170670229,spiritual,0.7019605989917181,188.84656659100438,Monday,180,22,0.5542110750102438,3,21,42,19,image_stim_n.png,km
7.0,195.5822543289978,faceWord_exp,1,b,193.5492272329866,-1.8894778219780863,male,0.6957922029541805,180,191.85247885802528,192.54827106097946,11,42,pos,196.25310188299045,coffee,0.7010650780284777,196.28331940702628,Monday,336,21,0.670847553992644,3,21,31,20,image_stim_p.png,km
7.3,205.61924094799906,faceWord_exp,1,b,203.58745719399303,-1.4443598905895143,male,0.6961574270389974,180,201.89028226397932,202.5864396910183,11,42,pos,206.1763015530305,raspberry,0.7019808680051938,206.32122181600425,Monday,336,21,0.5570606050314382,3,21,31,21,image_stim_p.png,km
3.23,215.65788687800523,faceWord_exp,1,y,213.62570006900933,3.9847946241932393,male,0.696903343021404,180,211.92781615600688,212.6247194990283,12,42,neg,216.1120623840252,snub,0.7017329829977825,216.359619861003,Monday,336,22,0.4541755060199648,3,21,32,22,image_stim_n.png,km
5.4,225.6954713659943,faceWord_exp,1,b,223.66333746403689,-1.7878104403788575,male,0.6969345069956034,180,221.96543366799597,222.66236817499157,13,42,neu,226.21633773803478,harp,0.701979212986771,226.39745057898108,Monday,336,21,0.5208663720404729,3,21,41,23,image_stim_p.png,km
7.11,238.33702053700108,faceWord_exp,1,b,233.70143117301632,-2.098490136277324,male,0.6921506369835697,336,232.00852586101973,232.7006764980033,11,42,pos,238.8260875790147,rose,0.6999094639904797,239.03693000099156,Monday,180,21,0.48906704201363027,3,21,31,24,image_stim_p.png,km
