age,key_t,no,gender,word,word_score_warriner,word_label,word_trigger,rt,pause_trigger,response,img_trigger,onset_img,delay_frames_after,delay_frames_before,duration_measured_word,scan day,correct_resp,duration_frames,duration_measured_img,offset_img,word_score_pc,onset_word,pause_trigger_t,img,ID,condition,offset_word,session
22,105.56155659101205,11,female,speech,5.62,neu,13,0.40569014800712466,42,y,22,105.15586644300492,336,180,0.6916385329677723,Monday,1,42,0.7009897920070216,105.85685623501195,-0.18776275500974607,101.43200749799144,103.12464787997305,image_stim_n.png,ELAS,faceWord_exp,102.12364603095921,2
22,115.66188395797508,12,female,nose,5.5,neu,13,0.4724810229963623,41,b,21,115.18940293497872,336,180,0.6929532480426133,Monday,1,42,0.7020146460272372,115.89141758100595,-0.049892793833906636,111.46476839395473,113.15868625696748,image_stim_p.png,ELAS,faceWord_exp,112.15772164199734,2
22,125.72963894798886,13,female,day,6.36,pos,11,0.5054556360119022,31,b,21,125.22418331197696,336,180,0.6936868829652667,Monday,1,42,0.7012963219895028,125.92547963396646,-1.2502658664257256,121.49796576600056,123.19253262499114,image_stim_p.png,ELAS,faceWord_exp,122.19165264896583,2
22,138.51343382097548,14,female,scissors,5.03,neu,13,0.6551430819672532,41,b,21,137.85829073900823,180,336,0.6925219910335727,Monday,1,42,0.7014385069487616,138.559729245957,0.4272037094573085,131.53315761795966,133.22674458596157,image_stim_p.png,ELAS,faceWord_exp,132.22567960899323,2
22,145.91353359998902,15,female,spaghetti,6.91,pos,11,0.6217283550067805,31,b,21,145.29180524498224,336,180,0.6898792390129529,Monday,1,42,0.7015177040011622,145.9933229489834,-1.7539828459428422,141.5698546069907,143.26080293901032,image_stim_p.png,ELAS,faceWord_exp,142.25973384600366,2
22,158.44819218397606,16,female,knowledge,7.28,pos,11,0.5023485510027967,31,b,21,157.94584363297326,180,336,0.7026888779946603,Monday,1,42,0.6983796400018036,158.64422327297507,-1.6425048482978826,151.6077418269706,153.311214997957,image_stim_p.png,ELAS,faceWord_exp,152.31043070496526,2
22,165.89863370900275,17,female,axe,3.48,neg,12,0.5222387140383944,32,b,22,165.37639499496436,336,180,0.6927810329943895,Monday,0,42,0.7016399280400947,166.07803492300445,0.7321109855355353,161.65174236800522,163.34516023600008,image_stim_n.png,ELAS,faceWord_exp,162.3445234009996,2
22,175.89947372098686,18,female,musical,7.68,pos,11,0.4883704840322025,31,b,21,175.41110323695466,336,180,0.6926927339518443,Monday,1,42,0.701039269042667,176.11214250599733,-1.3503642789447028,171.68587781500537,173.37933716201223,image_stim_p.png,ELAS,faceWord_exp,172.3785705489572,2
22,186.04986749897944,19,female,winter,5.5,neu,13,0.6045330130145885,41,b,21,185.44533448596485,336,180,0.6925951549783349,Monday,1,42,0.7007240840466693,186.14605857001152,0.3495373155897487,181.71994440897834,183.41326615598518,image_stim_p.png,ELAS,faceWord_exp,182.41253956395667,2
22,196.05087828700198,20,female,clang,4.1,neg,12,0.5715415599988773,32,y,22,195.4793367270031,336,180,0.6927014259854332,Monday,1,42,0.701021596963983,196.18035832396708,1.472290472628449,191.75378599297255,193.44753027398838,image_stim_n.png,ELAS,faceWord_exp,192.446487418958,2
22,208.78492094995454,21,female,joke,7.88,pos,11,0.6718662289786153,31,b,21,208.11305472097592,180,336,0.6912601169897243,Monday,1,42,0.7005172710050829,208.813571991981,-1.8879163634684628,201.78928432997782,203.48120592400664,image_stim_p.png,ELAS,faceWord_exp,202.48054444696754,2
22,218.65195438999217,22,female,eggplant,5.55,neu,13,0.504745993996039,41,b,21,218.14720839599613,180,336,0.692519555974286,Monday,1,42,0.7012529409839772,218.8484613369801,-0.09980687036967174,211.822147089988,213.51550694101024,image_stim_p.png,ELAS,faceWord_exp,212.51466664596228,2
22,228.73589336598525,23,female,pan,5.15,neu,13,0.5519717700080946,41,b,21,228.18392159597715,180,336,0.6906341380090453,Monday,1,42,0.6987238390138373,228.882645434991,0.3296196251321362,221.85807832796127,223.54966313100886,image_stim_p.png,ELAS,faceWord_exp,222.5487124659703,2
22,236.15351296699373,24,female,plea,4.35,neg,12,0.5391411809832789,32,y,22,235.61437178601045,336,180,0.6932292230194435,Monday,1,42,0.7021795219625346,236.316551307973,2.166481281776448,231.88943362998543,233.5834486130043,image_stim_n.png,ELAS,faceWord_exp,232.58266285300488,2
