X1,condition,word_label,word_score_pc,img,delay_frames_before,gender,duration_measured_img,key_t,ID,delay_frames_after,word_score_warriner,offset_img,duration_measured_word,rt,word,session,correct_resp,duration_frames,offset_word,response,no,scan.day,age,onset_word,onset_img
43,faceWord_exp,neg,2.16685117,image_stim_n.png,186,male,0.7048491,280093e21,EK,87,308,2804728e20,0.6933503,0.3251057,aggressive,1,NA,42,2766395e20,j,43,Tuesday,20,2759461e20,2797679e20
44,faceWord_exp,neg,0.20169636,image_stim_n.png,133,male,0.6900481,2853262e19,EK,95,49,2855561e20,0.69441,0.4601911,plot,1,NA,42,2826227e20,j,44,Tuesday,20,2819283e20,284866e21
45,faceWord_exp,pos,-1.05433243,image_stim_p.png,169,male,0.7035308,2911927e20,EK,196,647,2913893e20,0.6928233,0.5069317,oak,1,1,42,2878403e17,b,45,Tuesday,20,2871475e20,2906858e20
46,faceWord_exp,neu,-0.27765762,image_stim_n.png,104,male,0.7052296,2976428e20,EK,145,542,2978226e20,0.6946906,0.525517,man,1,NA,42,2953559e20,j,46,Tuesday,20,2946612e19,2971173e20
47,faceWord_exp,neu,-0.0845595,image_stim_n.png,41,male,0.690375,3021087e20,EK,223,517,3023392e20,0.6938094,0.4598912,keyboard,1,NA,42,3009392e20,j,47,Tuesday,20,3002454e19,3016488e20
48,faceWord_exp,neg,1.90141877,image_stim_n.png,130,male,0.7053333,3094427e20,EK,77,423,309656e21,0.6936689,0.4920102,alligator,1,NA,42,3067558e20,j,48,Tuesday,20,3060621e20,3089506e20
49,faceWord_exp,pos,-3.2613065,image_stim_p.png,109,male,0.6890956,3139925e20,EK,175,837,3141724e20,0.6945047,0.5092141,fun,1,1,42,3116391e20,b,49,Tuesday,20,3109446e20,3134833e20
50,faceWord_exp,neg,3.36979944,image_stim_n.png,139,male,0.7039676,320709e21,EK,169,305,3208889e20,0.6941376,0.5240104,envy,1,NA,42,3177889e20,j,50,Tuesday,20,3170948e20,320185e21
51,faceWord_exp,pos,-1.47834113,image_stim_p.png,87,male,0.6889265,3263756e20,EK,168,614,3265722e20,0.6935792,0.4923212,limousine,1,1,42,3244055e20,b,51,Tuesday,20,323712e21,3258833e20
52,faceWord_exp,neu,-0.3156847,image_stim_n.png,81,male,0.70321,3319091e20,EK,168,571,3321555e20,0.6914996,0.4568607,tourist,1,NA,42,3300721e20,j,52,Tuesday,20,3293806e20,3314522e20
53,faceWord_exp,neu,0.26215401,image_stim_n.png,203,male,0.7047061,3395923e20,EK,166,541,3397721e20,0.6938435,0.5248532,school,1,NA,42,3356554e20,j,53,Tuesday,20,3349615e20,3390674e20
54,faceWord_exp,pos,-1.92738213,image_stim_p.png,129,male,0.7048209,3459753e20,EK,226,635,346122e21,0.6944937,0.55813,sled,1,1,42,3.4323860000000003e+026,b,54,Tuesday,20,3425441e20,3454172e20
55,faceWord_exp,neu,-0.99907598,image_stim_p.png,166,male,0.7053441,3539085e20,EK,104,573,3540884e20,0.6943514,0.5253991,field,1,1,42,3505886e20,b,55,Tuesday,20,3498942e20,3533831e20
56,faceWord_exp,neg,1.70366864,image_stim_n.png,190,male,0.7052168,3601581e20,EK,183,423,3604217e20,0.6935401,0.4415482,jury,1,NA,42,3565217e20,j,56,Tuesday,20,3558282e20,3597165e20
57,faceWord_exp,neg,1.30141616,image_stim_n.png,196,male,0.7055325,3679086e20,EK,171,45,3681716e20,0.6943165,0.4424787,gasp,1,NA,42,3641717e20,j,57,Tuesday,20,3634774e20,3674661e20
58,faceWord_exp,pos,-3.15019397,image_stim_p.png,137,male,0.7061232,374625e21,EK,161,847,3747393e20,0.6952446,0.591872,happy,1,1,42,3717216e20,b,58,Tuesday,20,3710263e20,3740332e20
59,faceWord_exp,pos,-2.36732211,image_stim_p.png,177,male,0.7022416,3815085e20,EK,95,725,3818056e20,0.6913083,0.4050534,garden,1,1,42,3781215e20,b,59,Tuesday,20,3774302e20,3811034e20
60,faceWord_exp,pos,-2.87854811,image_stim_p.png,126,male,0.6895913,3867413e20,EK,174,778,3869047e20,0.6942638,0.5261762,kiss,1,1,42,3840881e20,b,60,Tuesday,20,3833938e20,3862151e20
