response,word_label,scan day,pause_trigger_t,offset_word,onset_img,age,delay_frames_before,word_score_warriner,word_score_pc,delay_frames_after,rt,word_trigger,word,img_trigger,key_t,gender,ID,duration_measured_word,img,onset_word,duration_frames,condition,correct_resp,no,session,offset_img,pause_trigger,duration_measured_img
b,pos,Monday,203.57305639999686,202.5719506000023,205.59537029999774,23,180,6.14,-1.4783411251765788,336,0.5759644999925513,11,limousine,21,206.1713347999903,male,74,0.692051400008495,image_stim_p.png,201.87989919999382,42,faceWord_exp,1,21,1,206.28644109999004,31,0.6910707999923034
y,neg,Monday,213.604496999993,212.60368429998925,218.2600814999896,23,336,4.23,1.7036686386059527,180,0.5281766000116477,12,jury,22,218.78825810000126,male,74,0.6916692999948282,image_stim_n.png,211.91201499999443,42,faceWord_exp,1,22,1,218.95317500000237,32,0.6930935000127647
y,neg,Monday,223.65383060000022,222.65260229998967,228.31111149999197,23,336,2.05,3.457530661450998,180,0.9423217000003206,12,victim,22,229.2534331999923,male,74,0.6819300999923144,image_stim_n.png,221.97067219999735,42,faceWord_exp,1,23,1,229.00185479999345,32,0.6907433000014862
y,neg,Monday,233.70252939999045,232.70131499999843,235.72611589998996,23,180,3.52,2.561630339716405,336,0.4902036000130465,12,hospital,22,236.216319500003,male,74,0.6920419000089169,image_stim_n.png,232.0092730999895,42,faceWord_exp,1,24,1,236.41586239999742,32,0.689746500007459
y,neg,Monday,243.71625649998896,242.71691689999716,248.37490509999043,23,336,4.73,0.98843671158419,180,0.4755996000021696,12,commander,22,248.8505046999926,male,74,0.6921426000044448,image_stim_n.png,242.0247742999927,42,faceWord_exp,1,25,1,249.06543509999756,32,0.6905300000071293
b,neu,Monday,253.76670939999167,252.76569319999544,258.42027009998856,23,336,5.81,-0.8455595735963974,180,0.512011300001177,13,whale,21,258.93228139998973,male,74,0.6927412999939406,image_stim_p.png,252.0729519000015,42,faceWord_exp,1,26,1,259.0974023000017,41,0.6771322000131477
y,neg,Monday,263.79861909999454,262.79759560000093,265.81966389999434,23,180,4.23,1.9014187675556817,336,0.7594347999984166,12,alligator,22,266.57909869999276,male,74,0.6918357000104152,image_stim_n.png,262.1057598999905,42,faceWord_exp,1,27,1,266.49567489999754,32,0.6760110000032
y,neg,Monday,273.79740909999236,272.79629829998885,278.45334219999495,23,336,2.89,4.314775126713813,180,0.4109376999986125,12,deceit,22,278.86427989999356,male,74,0.6921723999985261,image_stim_n.png,272.1041258999903,42,faceWord_exp,1,28,1,279.1451546999888,32,0.69181249999383
b,neu,Monday,283.8461141000007,282.84509360000084,288.50229659999604,23,336,5.41,0.26215401176465297,180,0.7098815000063041,13,school,21,289.21217810000235,male,74,0.6916063000098802,image_stim_p.png,282.15348729999096,42,faceWord_exp,1,29,1,289.1938579999987,41,0.6915614000026835
y,neg,Monday,293.8948112999933,292.8934663999971,295.9474573999905,23,180,4.8,1.5906822936049958,336,0.530268900009105,12,mouse,22,296.47772629999963,male,74,0.6920959999988554,image_stim_n.png,292.20137039999827,42,faceWord_exp,1,30,1,296.62599669999327,32,0.6785393000027398
y,neu,Monday,303.92628179999883,302.9253311999928,308.5818094999995,23,336,5.3,-0.05916451699915906,180,0.5105421999905957,13,embassy,22,309.0923516999901,male,74,0.6925977999926545,image_stim_n.png,302.23273340000014,42,faceWord_exp,1,31,1,309.27427599999646,42,0.6924664999969536
y,neu,Monday,313.97547530000156,312.97447219998867,316.0280102999968,23,180,5.88,-1.1856791528275217,336,0.6642027000052622,13,hamster,22,316.6922130000021,male,74,0.6795962999894982,image_stim_n.png,312.29487589999917,42,faceWord_exp,1,32,1,316.70730179999373,42,0.6792914999969071
