word_trigger,delay_frames_before,ID,offset_img,age,condition,word_score_pc,session,onset_word,scan day,response,no,word_label,pause_trigger_t,key_t,img_trigger,correct_resp,word_score_warriner,duration_measured_img,rt,duration_frames,gender,img,duration_measured_word,onset_img,delay_frames_after,offset_word,pause_trigger,word
12,336,2019102101,147.98583209339995,25,faceWord_exp,0.041184453360586966,3,140.98810529755428,Monday,y,15,neg,142.68586667592172,147.83617147011682,22,1,4.6,0.6859452723292634,0.5362846490461379,42,male,image_stim_n.png,0.6974254985107109,147.2998868210707,180,141.685530796065,32,cabbage
12,336,2019102101,157.98629340692423,25,faceWord_exp,1.239138220826116,3,150.98865707730874,Monday,y,16,neg,152.6863764305599,157.88669331895653,22,1,4.95,0.6857848713407293,0.586184783373028,42,male,image_stim_n.png,0.6973263706313446,157.3005085355835,180,151.6859834479401,32,debate
12,336,2019102101,167.98673515149858,25,faceWord_exp,1.9197700017151131,3,160.98905102233402,Monday,y,17,neg,162.6868306864053,167.88723836175632,22,1,4.18,0.6858204803429544,0.5863236906006932,42,male,image_stim_n.png,0.6973716036882252,167.30091467115562,180,161.68642262602225,32,belch
11,180,2019102101,175.38708052714355,25,faceWord_exp,-2.2287379941341,3,170.98928777431138,Monday,b,18,pos,172.6871601502644,175.25413754582405,21,1,7.48,0.6852465653792024,0.5523035840597004,42,male,image_stim_p.png,0.6976003356976435,174.70183396176435,336,171.68688811000902,31,hope
11,336,2019102101,187.98767381859943,25,faceWord_exp,-1.4106928476010352,3,180.99000476719812,Monday,y,19,pos,182.68777416553348,187.78802419872954,21,0,6.63,0.685579557903111,0.48592993803322315,42,male,image_stim_p.png,0.6973648668499663,187.30209426069632,180,181.68736963404808,31,car
12,180,2019102101,195.3879928884562,25,faceWord_exp,-0.3331872788781821,3,190.9903444966767,Monday,y,20,neg,192.68818062194623,195.32166960847098,22,1,4.85,0.6857909666141495,0.6194676866289228,42,male,image_stim_n.png,0.6974758644355461,194.70220192184206,336,191.68782036111224,32,voter
11,180,2019102101,205.38843591627665,25,faceWord_exp,-1.4443598905895143,3,200.9909893089207,Monday,b,21,pos,202.68865765468217,205.27212011092342,21,1,7.3,0.6861675883410498,0.5698517829878256,42,male,image_stim_p.png,0.6972846663556993,204.7022683279356,336,201.6882739752764,31,raspberry
12,180,2019102101,215.38891840272117,25,faceWord_exp,2.3068979902815,3,210.99128573015332,Monday,y,22,neg,212.68924055225216,215.3059522274416,22,1,3.28,0.6862702450016513,0.6033040697220713,42,male,image_stim_n.png,0.6974469922715798,214.70264815771952,336,211.6887327224249,32,trial
11,180,2019102101,225.38937554578297,25,faceWord_exp,-1.2474567486001964,3,220.99188819667324,Monday,b,23,pos,222.68957322405186,225.38992764626164,21,1,6.71,0.6858066859422252,0.6863587864208966,42,male,image_stim_p.png,0.6973138593602926,224.70356885984074,336,221.68920205603354,31,advantage
12,180,2019102101,235.38983974652365,25,faceWord_exp,3.6887696102955196,3,230.99227508401964,Monday,y,24,neg,232.69003004638944,235.1735164343845,22,1,2.81,0.6858009115094319,0.4694775993702933,42,male,image_stim_n.png,0.6974203656427562,234.70403883501422,336,231.6896954496624,32,malice
