word_score_warriner,img_trigger,rt,age,duration_measured_img,condition,duration_measured_word,response,onset_img,key_t,gender,duration_frames,img,session,word_label,word_trigger,pause_trigger_t,offset_img,word,ID,word_score_pc,no,delay_frames_after,correct_resp,onset_word,scan day,offset_word,delay_frames_before,pause_trigger
6.52,21,0.5257069670042256,25,0.6907903000101214,faceWord_exp,0.6975067169987597,b,248.3851529139938,248.91085988099803,female,42,image_stim_p.png,4,pos,11,243.75612798999646,249.07594321400393,bread,77,-1.5215329943370883,25,180,1,242.05912426300347,Monday,242.75663098000223,336,31
5.43,21,0.47498389799147844,25,0.7048480559897143,faceWord_exp,0.6977197070082184,b,258.4093512020045,258.88433509999595,female,42,image_stim_p.png,4,neu,13,253.7788882629975,259.1141992579942,door,77,0.37753019343780747,26,180,1,252.0799629569956,Monday,252.7776826640038,336,41
5.59,21,0.5258496559981722,25,0.7048801079945406,faceWord_exp,0.6965347910008859,b,265.87963652100007,266.40548617699824,female,42,image_stim_p.png,4,neu,13,263.85051089800254,266.5845166289946,mouth,77,-0.05436507667908295,27,336,1,262.15277379000327,Monday,262.84930858100415,180,41
3.02,22,0.5784628770052223,25,0.7104974170069909,faceWord_exp,0.6972474759968463,y,275.91553579499305,276.49399867199827,female,42,image_stim_n.png,4,neg,12,273.88797534299374,276.62603321200004,scream,77,2.6978270877422883,28,336,1,272.1905378859956,Monday,272.8877853619924,180,32
2.53,22,0.4947612279938767,25,0.7074115639989031,faceWord_exp,0.7144056659890339,y,285.97087706699676,286.46563829499064,female,42,image_stim_n.png,4,neg,12,283.94424855899706,286.67828863099567,torment,77,4.5355840269859025,29,336,1,282.2287840210047,Monday,282.9431896869937,180,32
5.89,21,0.5125750440056436,25,0.6916390270052943,faceWord_exp,0.6956245519977529,b,296.00811512299697,296.5206901670026,female,42,image_stim_p.png,4,neu,13,293.9823616799986,296.69975415000226,guard,77,0.29188517290671034,30,336,1,292.28587898099795,Monday,292.9815035329957,180,41
5.95,22,0.3743979019927792,25,0.7050529639964225,faceWord_exp,0.6927578540053219,y,308.63343257999804,309.0078304819908,female,42,image_stim_n.png,4,neu,13,304.0038583949936,309.33848554399447,elevator,77,0.1872293205875,31,180,1,302.310004450992,Monday,303.0027623049973,336,42
5.9,22,0.524331897002412,25,0.7055495940003311,faceWord_exp,0.6961540420015808,y,316.0704061889992,316.5947380860016,female,42,image_stim_n.png,4,neu,13,314.04180472799635,316.7759557829995,hand,77,-0.29144085929118746,32,336,1,312.3448588559986,Monday,313.0410128980002,180,42
2.62,22,0.324015853999299,25,0.7056435919948854,faceWord_exp,0.6957053579972126,y,328.7095426379965,329.0335584919958,female,42,image_stim_n.png,4,neg,12,324.0802346349956,329.4151862299914,insult,77,4.2176174504439885,33,180,1,322.38352034499985,Monday,323.07922570299706,336,32
6.35,21,0.5099100080115022,25,0.7063458080083365,faceWord_exp,0.6945992029941408,b,336.145777393991,336.6556874020025,female,42,image_stim_p.png,4,pos,11,334.11810638400493,336.85212320199935,banjo,77,-1.2316584124512135,34,336,1,332.4225303830026,Monday,333.11712958599674,180,31
5.79,22,0.558865461993264,25,0.7062357199902181,faceWord_exp,0.6956922819954343,y,346.18428335800127,346.74314881999453,female,42,image_stim_n.png,4,neu,13,344.1561339609907,346.8905190779915,baseball,77,-0.4066038871991289,35,336,1,342.45963534299517,Monday,343.1553276249906,180,42
6.32,21,0.6113921270007268,25,0.7063751120003872,faceWord_exp,0.6949332509975648,b,356.22070665199135,356.8320987789921,female,42,image_stim_p.png,4,pos,11,354.1941709439998,356.92708176399174,harmonica,77,-1.3206920491180312,36,336,1,352.4982701330009,Monday,353.1932033839985,180,31
