session,key_t,pause_trigger_t,word,ID,age,correct_resp,condition,offset_img,word_label,img,word_trigger,onset_img,gender,rt,onset_word,offset_word,word_score_warriner,scan day,duration_frames,img_trigger,delay_frames_after,duration_measured_img,pause_trigger,delay_frames_before,duration_measured_word,response,no,word_score_pc
3,437.75091252173297,432.7006097806152,tax,2019102206,25,1,faceWord_exp,438.0004173635971,neg,image_stim_n.png,12,437.3148220863659,male,0.4360904353670776,431.0034072396811,431.70019883313216,3.0,Tuesday,42,22,180,0.6855952772311866,32,336,0.6967915934510529,y,44,3.4211910580769755
3,445.4013703383971,442.70102682337165,witness,2019102206,25,1,faceWord_exp,445.4007675512694,neu,image_stim_p.png,13,444.7154991712887,male,0.6858711671084166,441.0042881623376,441.70064699370414,5.61,Tuesday,42,21,336,0.6852683799806982,41,180,0.6963588313665241,b,45,0.5990623206044929
3,455.4018435215112,452.70144418696873,island,2019102206,25,1,faceWord_exp,455.4012519624084,pos,image_stim_p.png,11,454.7153442238923,male,0.686499297618866,451.0036504077725,451.70105312927626,7.18,Tuesday,42,21,336,0.6859077385161072,31,180,0.6974027215037495,b,46,-1.7760144816699572
3,468.0357742526103,462.701952337753,malice,2019102206,25,1,faceWord_exp,468.00184846203774,neg,image_stim_n.png,12,467.31556570576504,male,0.7202085468452424,461.0041973753832,461.70155839272775,2.81,Tuesday,42,22,180,0.6862827562727034,32,336,0.6973610173445195,y,47,3.6887696102955196
3,478.00294624688104,472.7024091600906,toe,2019102206,25,1,faceWord_exp,478.00232677790336,neu,image_stim_n.png,13,477.31603054795414,male,0.6869156989268959,471.0044068591669,471.702054673573,5.24,Tuesday,42,22,180,0.686296229949221,42,336,0.697647814406082,y,48,0.6016604903777263
3,487.93645775387995,482.7028339020908,harp,2019102206,25,1,faceWord_exp,488.00278680818155,neu,image_stim_p.png,13,487.3168546888046,male,0.6196030650753528,481.0049371451605,481.70251791202463,5.4,Tuesday,42,21,180,0.6859321193769574,41,336,0.697580766864121,b,49,-1.7878104403788575
3,495.35359102720395,492.70330676436424,delirium,2019102206,25,1,faceWord_exp,495.40313635440543,neg,image_stim_n.png,12,494.7171747209504,male,0.6364163062535226,491.0058841530699,491.7029561277013,3.4,Tuesday,42,22,336,0.6859616334550083,32,180,0.6970719746313989,y,50,3.4172209593162717
3,505.40411095134914,502.70378475962207,sum,2019102206,25,1,faceWord_exp,505.4035511515103,neu,image_stim_p.png,13,504.71844413504004,male,0.6856668163090944,501.0058206343092,501.7033423734829,5.71,Tuesday,42,21,336,0.6851070164702833,41,180,0.6975217391736805,b,51,0.1511721542964875
3,518.0214908574708,512.7042858526111,park,2019102206,25,1,faceWord_exp,518.0041072298773,pos,image_stim_p.png,11,517.3188863287214,male,0.7026045287493616,511.00710352207534,511.7038938323967,7.0,Tuesday,42,21,180,0.6852209011558443,31,336,0.6967903103213757,b,52,-1.9950971558262764
3,527.8216545307077,522.7047028953675,saxophone,2019102206,25,1,faceWord_exp,528.0046747289598,pos,image_stim_p.png,11,527.3187859177124,male,0.5028686129953712,521.0072170861531,521.7043333314359,6.32,Tuesday,42,21,180,0.6858888112474233,31,336,0.6971162452828139,b,53,-1.100912149643323
3,537.9221178973094,532.7051914772019,egg,2019102206,25,1,faceWord_exp,538.00509658386,neu,image_stim_p.png,13,537.3205593121238,male,0.6015585851855576,531.0072109908797,531.7047827751376,5.95,Tuesday,42,21,180,0.6845372717361897,41,336,0.6975717842578888,b,54,-0.6884171372613734
3,548.039550735848,542.7056171814911,dusty,2019102206,25,1,faceWord_exp,548.0055636717007,neg,image_stim_n.png,12,547.3204505601898,male,0.7191001756582409,541.0079677631147,541.7052716775797,3.95,Tuesday,42,22,180,0.6851131115108728,32,336,0.6973039144650102,y,55,1.8802224749820768
3,557.9898873534985,552.7061243697535,glass,2019102206,25,1,faceWord_exp,558.0060692559928,neu,image_stim_p.png,13,557.320664214436,male,0.6692231390625238,551.0082378785592,551.7057166302111,5.48,Tuesday,42,21,180,0.6854050415568054,41,336,0.6974787516519427,b,56,0.2046331385026182
3,565.506913286401,562.7065157485195,radish,2019102206,25,1,faceWord_exp,565.406321919756,neg,image_stim_n.png,12,564.7202810482122,male,0.7866322381887585,561.0087659189012,561.7061150665395,4.7,Tuesday,42,22,336,0.6860408715438098,32,180,0.697349147638306,y,57,0.33736940436804663
3,577.9407401417848,572.7070197286084,symphony,2019102206,25,1,faceWord_exp,578.0068914717995,pos,image_stim_p.png,11,577.3211511920672,male,0.6195889497175813,571.0096792427357,571.706546866335,7.15,Tuesday,42,21,180,0.685740279732272,31,336,0.6968676235992461,b,58,-1.9498998207384868
3,585.440966628259,582.7074473579414,tobacco,2019102206,25,1,faceWord_exp,585.4072272235062,neg,image_stim_n.png,12,584.7214814899489,male,0.7194851383101195,581.0097639344167,581.7070742649958,3.37,Tuesday,42,22,336,0.685745733557269,32,180,0.6973103305790573,y,59,2.411295736651624
3,595.4416217061225,592.7079497340601,faucet,2019102206,25,1,faceWord_exp,595.4077077850234,neu,image_stim_n.png,13,594.7216024324298,male,0.720019273692742,591.0098906513304,591.7075134431943,5.55,Tuesday,42,22,336,0.6861053525935858,42,180,0.6976227918639779,y,60,-0.123291752025302
