condition,duration_measured_img,age,pause_trigger,img_trigger,offset_word,word_score_warriner,correct_resp,scan day,offset_img,no,duration_frames,word_score_pc,pause_trigger_t,onset_word,rt,duration_measured_word,onset_img,delay_frames_after,word_label,img,word,response,word_trigger,delay_frames_before,session,ID,gender,key_t
faceWord_exp,0.6861130518373102,25,32,22,101.67751362919807,4.41,1,Tuesday,105.37768006138504,11,42,0.16339675594021513,102.67798007559031,100.98109320388176,0.6364076444879174,0.6964204253163189,104.69156700954773,336,neg,image_stim_n.png,jaw,y,12,180,2,2019102206,male,105.32797465403564
faceWord_exp,0.685839407844469,25,42,22,111.67794125853106,5.65,1,Tuesday,117.97821977897547,12,42,0.1106807997481866,112.67837947420776,110.98094531404786,0.7198980106040835,0.6969959444832057,117.292380371131,180,neu,image_stim_n.png,theory,y,13,336,2,2019102206,male,118.01227838173509
faceWord_exp,0.6858102148398757,25,31,21,121.67842695303261,7.59,1,Tuesday,125.37858344032429,13,42,-1.3695211950901562,122.67887415131554,120.98090745951049,0.6529231814201921,0.6975194935221225,124.69277322548442,336,pos,image_stim_p.png,tree,b,11,180,2,2019102206,male,125.34569640690461
faceWord_exp,0.685714294668287,25,32,22,131.6788603567984,4.29,1,Tuesday,135.37900561583228,14,42,2.351878020671037,132.6792751539033,130.9814101564698,0.43619341286830604,0.6974502003286034,134.693291321164,336,neg,image_stim_n.png,tired,y,12,180,2,2019102206,male,135.1294847340323
faceWord_exp,0.6855725003406405,25,31,21,141.67936337459832,6.76,1,Tuesday,145.37950478401035,15,42,-1.2978987804410356,142.67969925445504,140.98160039214417,0.6527066400740296,0.6977629824541509,144.6939322836697,336,pos,image_stim_p.png,artist,b,11,180,2,2019102206,male,145.34663892374374
faceWord_exp,0.6859555379487574,25,41,21,151.67978907888755,5.94,1,Tuesday,155.3799962529447,16,42,-0.8400509032218062,152.68028407660313,150.98243383620866,0.7198486069682986,0.6973552426788956,154.69404071499594,336,neu,image_stim_p.png,store,b,13,180,2,2019102206,male,155.41388932196423
faceWord_exp,0.6855112272314727,25,32,22,161.68026707414538,4.8,1,Tuesday,167.98057157965377,17,42,0.2623575316864496,162.6807274252642,160.98270523478277,0.7693361898418516,0.6975618393626064,167.2950603524223,180,neg,image_stim_n.png,hoe,y,12,336,2,2019102206,male,168.06439654226415
faceWord_exp,0.6858939439989626,25,42,22,171.68068700423464,5.55,0,Tuesday,177.98099920875393,18,42,-0.09980687036967174,172.681070683524,170.9834806136787,0.4196089035831392,0.697206390555948,177.29510526475497,180,neu,image_stim_n.png,eggplant,b,13,336,2,2019102206,male,177.7147141683381
faceWord_exp,0.685724881477654,25,31,21,181.68120157090016,7.28,1,Tuesday,185.38131410838105,19,42,-1.6425048482978826,182.68158268393017,180.98434581700712,1.0862335453275591,0.6968557538930327,184.6955892269034,336,pos,image_stim_p.png,knowledge,b,11,180,2,2019102206,male,185.78182277223095
faceWord_exp,0.6853992671240121,25,31,21,191.68157370132394,6.17,1,Tuesday,195.38178151706234,20,42,-1.3205598447631597,192.68187525542453,190.98426882456988,0.7526111691258848,0.6973048767540604,194.69638224993832,336,pos,image_stim_p.png,chicken,b,11,180,2,2019102206,male,195.4489934190642
faceWord_exp,0.6860097537282854,25,42,22,201.6820901928004,5.07,1,Tuesday,207.9823671092745,21,42,0.3228926581020319,202.6824138823431,200.98481065942906,0.8533064757939428,0.6972795333713293,207.2963573555462,180,neu,image_stim_n.png,street,y,13,336,2,2019102206,male,208.14966383134015
faceWord_exp,0.6862086511682719,25,42,22,211.6825765289832,5.27,1,Tuesday,215.3826999736484,22,42,0.17918122123944408,212.682945772307,210.98639478045516,0.8366857159417123,0.6961817485280335,214.69649132248014,336,neu,image_stim_n.png,verb,y,13,180,2,2019102206,male,215.53317703842185
faceWord_exp,0.6857306559104472,25,31,21,221.6830234064255,7.88,1,Tuesday,227.98335550073534,23,42,-1.8879163634684628,222.68340548174456,220.98534575733356,0.8362147784791887,0.6976776490919292,227.2976248448249,180,pos,image_stim_p.png,joke,b,11,336,2,2019102206,male,228.13383962330408
faceWord_exp,0.6858326708897948,25,31,21,231.68348471983336,6.73,1,Tuesday,237.9838004533667,24,42,-2.2291915044129413,232.68370992294513,230.98598062479869,0.7364202842582017,0.6975040950346738,237.29796778247692,180,pos,image_stim_p.png,luck,b,11,336,2,2019102206,male,238.03438806673512
faceWord_exp,0.6858015530742705,25,31,21,241.6838632663712,7.0,1,Tuesday,247.98431405751035,25,42,-2.461915733068042,242.6842969909776,240.9868426201865,0.7029124987311661,0.6970206461846828,247.29851250443608,180,pos,image_stim_p.png,embrace,b,11,336,2,2019102206,male,248.00142500316724
faceWord_exp,0.6861454530153424,25,42,22,251.6843675673008,5.67,1,Tuesday,257.98464255896397,26,42,-0.32263149533554664,252.68481925688684,250.98730650008656,0.7368511215317994,0.6970610672142357,257.2984971059486,180,neu,image_stim_n.png,attribute,y,13,336,2,2019102206,male,258.0353482274804
faceWord_exp,0.6860476082656533,25,41,21,261.68482663528994,5.72,1,Tuesday,265.38498504739255,27,42,-0.5485436049411244,262.6852164098527,260.9878040642943,0.7031948044896126,0.6970225709956139,264.6989374391269,336,neu,image_stim_p.png,apartment,b,13,180,2,2019102206,male,265.4021322436165
faceWord_exp,0.6859443099237978,25,32,22,271.68525939737447,3.52,1,Tuesday,277.9855571659282,28,42,4.02985566434138,272.68561965832487,270.9879490667954,0.41985816694796085,0.6973103305790573,277.2996128560044,180,neg,image_stim_n.png,problem,y,12,336,2,2019102206,male,277.71947102295235
faceWord_exp,0.685790004208684,25,31,21,281.6857053122949,6.91,1,Tuesday,287.9860483140219,29,42,-1.7539828459428422,282.6861685507465,280.9884511223063,0.7195810580160469,0.6972541899885982,287.3002583098132,180,pos,image_stim_p.png,spaghetti,b,11,336,2,2019102206,male,288.01983936782926
faceWord_exp,0.6855991268530488,25,31,21,291.68623623996973,6.4,1,Tuesday,295.386304827407,30,42,-1.7947555393350414,292.68658078159206,290.9889422704,0.7195602059364319,0.6972939695697278,294.70070570055395,336,pos,image_stim_p.png,piano,b,11,180,2,2019102206,male,295.4202659064904
faceWord_exp,0.6857508663088083,25,42,22,301.6867504857946,5.97,1,Tuesday,305.3868104116991,31,42,-0.02119054453060663,302.68701899726875,300.98918383428827,0.5527604063972831,0.6975666515063494,304.7010595453903,336,neu,image_stim_n.png,power,y,13,180,2,2019102206,male,305.2538199517876
faceWord_exp,0.6861406408715993,25,32,22,311.6871399397496,4.76,1,Tuesday,317.9873745101504,32,42,3.561717315569441,312.68756436090916,310.9899925766513,0.5701270313002169,0.6971473630983382,317.3012338692788,180,neg,image_stim_n.png,landslide,y,12,336,2,2019102206,male,317.871360900579
faceWord_exp,0.6861983854323626,25,32,22,321.68753933836706,2.95,1,Tuesday,325.38771186582744,33,42,3.222893544100452,322.6879592684563,320.99028258165345,0.5865614050999284,0.6972567567136139,324.7015134803951,336,neg,image_stim_n.png,perjury,y,12,180,2,2019102206,male,325.288074885495
faceWord_exp,0.6862208414822817,25,32,22,331.6881629778072,4.35,1,Tuesday,335.388224507682,34,42,2.166481281776448,332.68842571461573,330.99030439625494,0.5366349648684263,0.697858581552282,334.70200366619974,336,neg,image_stim_n.png,plea,y,12,180,2,2019102206,male,335.23863863106817
