delay_frames_before,gender,delay_frames_after,word_score_warriner,ID,no,onset_img,word_trigger,offset_img,pause_trigger,duration_frames,key_t,correct_resp,pause_trigger_t,word_label,session,img,offset_word,scan day,response,rt,duration_measured_img,duration_measured_word,age,word,word_score_pc,img_trigger,condition,onset_word
180,male,336,4.8,2019102101,13,124.69858070707414,12,125.38451314740814,32,42,125.26824738713913,1,122.68476985325105,neg,1,image_stim_n.png,121.68437270016875,Monday,y,0.5696666800649837,0.6859324403339997,0.6975730675039813,25,mouse,1.5906822936049958,22,faceWord_exp,120.98679963266477
336,male,180,3.16,2019102101,14,137.299114970956,12,137.98508077475708,32,42,137.6187907939311,1,132.6851795176044,neg,1,image_stim_n.png,131.68479583819862,Monday,y,0.319675822975114,0.6859658038010821,0.69644576869905,25,hurricane,3.648586845460279,22,faceWord_exp,130.98835006949957
180,male,336,5.16,2019102101,15,144.69957968499511,13,145.38543352880515,42,42,145.23584733146708,1,142.6856421143748,neu,1,image_stim_n.png,141.6852481693495,Monday,y,0.5362676464719698,0.6858538438100368,0.6974303106544539,25,truck,-0.5907285556577869,22,faceWord_exp,140.98781785869505
180,male,336,4.9,2019102101,16,154.70000314386562,12,155.3858768773498,32,42,155.1862153877737,1,152.68609572865535,neg,1,image_stim_n.png,151.68573225976434,Monday,y,0.48621224390808493,0.6858737334841862,0.6975518945837393,25,plot,0.2016963621838916,22,faceWord_exp,150.9881803651806
180,male,336,7.13,2019102101,17,164.70072943984997,11,165.3863250380382,31,42,165.47021961468272,1,162.6865525508765,pos,1,image_stim_p.png,161.68615764344577,Monday,b,0.7694901748327538,0.6855955981882289,0.6974899797933176,25,lake,-1.5151286486205269,21,faceWord_exp,160.98866766365245
180,male,336,3.05,2019102101,18,174.70105762046296,12,175.38680175004993,32,42,175.2371853973018,1,172.68696349847596,neg,1,image_stim_n.png,171.68663275137078,Monday,y,0.536127776838839,0.6857441295869648,0.6975618393626064,25,envy,3.3697994362845387,22,faceWord_exp,170.98907091200817
180,male,336,3.63,2019102101,19,184.70146022725385,12,185.38726627151482,32,42,185.08760497439653,1,182.68741005507763,neg,1,image_stim_n.png,181.68715950858314,Monday,y,0.38614474714268,0.6858060442609712,0.6972403957042843,25,tornado,3.6605330306018913,22,faceWord_exp,180.98991911287885
180,male,336,6.85,2019102101,20,194.70145445282105,11,195.38769422157202,31,42,195.12137453455944,1,192.6879166016588,pos,1,image_stim_p.png,191.68753516790457,Monday,b,0.4199200817383826,0.6862397687509656,0.6974745813058689,25,moral,-1.1443669013398097,21,faceWord_exp,190.9900605865987
336,male,180,4.0,2019102101,21,207.3021994837327,12,207.98826666094828,32,42,207.72202107927296,1,202.6884148074314,neg,1,image_stim_n.png,201.68798749893904,Monday,y,0.4198215955402702,0.6860671772155911,0.6971704608295113,25,avalanche,3.2148840110758776,22,faceWord_exp,200.99081703810953
180,male,336,4.95,2019102101,22,214.70298179180827,12,215.38857225712854,32,42,215.2222620015964,1,212.6887901459122,neg,1,image_stim_n.png,211.68845811567735,Monday,y,0.5192802097881213,0.6855904653202742,0.6970995635492727,25,sandpaper,0.5814463879932942,22,faceWord_exp,210.99135855212808
180,male,336,5.88,2019102101,23,224.703147967346,13,225.3890961270081,42,42,225.33936505543534,1,222.68927166995127,neu,1,image_stim_n.png,221.68894894304685,Monday,y,0.6362170880893245,0.6859481596620753,0.6972984608728439,25,hamster,-1.1856791528275217,22,faceWord_exp,220.991650482174
180,male,336,5.05,2019102101,24,234.7038922284264,13,235.3895343428012,41,42,235.08992918604054,1,232.6897673093481,neu,1,image_stim_p.png,231.6893746474525,Monday,b,0.3860369576141238,0.6856421143747866,0.6967069016536698,25,fiddle,-1.0601571884744718,21,faceWord_exp,230.99266774579883
180,male,336,6.47,2019102101,25,244.70417421346065,11,245.38999212742783,31,42,245.14033169660252,1,242.6901484222617,pos,1,image_stim_p.png,241.68982248730026,Monday,b,0.4361574831418693,0.6858179139671847,0.6977171077160165,25,oak,-1.0543324261381863,21,faceWord_exp,240.99210537958425
336,male,180,5.89,2019102101,26,257.3048137004953,13,257.9905658500502,41,42,257.75767952238675,1,252.69062288862187,neu,1,image_stim_p.png,251.69025172060356,Monday,b,0.4528658218914643,0.6857521495549008,0.6974094584584236,25,famous,-0.8050043475134195,21,faceWord_exp,250.99284226214513
180,male,336,2.67,2019102101,27,264.7046499630669,12,265.39091700012796,32,42,265.17458085587714,1,262.69108388142195,neg,1,image_stim_n.png,261.6907079012599,Monday,y,0.4699308928102255,0.6862670370610431,0.6971313229296356,25,lonely,4.010420717126172,22,faceWord_exp,260.99357657833025
336,male,180,7.78,2019102101,28,277.3052737307735,11,277.99145479279105,31,42,277.6584656802006,1,272.69159652327653,pos,1,image_stim_p.png,271.6912035405403,Monday,b,0.35319194942712784,0.6861810620175675,0.6974075335310772,25,kiss,-2.8785481086132907,21,faceWord_exp,270.9937960070092
336,male,180,2.05,2019102101,29,287.3059586434392,12,287.99197641713545,32,42,287.6923010047758,1,282.6919760322198,neg,1,image_stim_n.png,281.69161577138584,Monday,y,0.38634236133657396,0.6860177736962214,0.6970402151346207,25,victim,3.457530661450998,22,faceWord_exp,280.9945755562512
180,male,336,4.23,2019102101,30,294.7060223547742,12,295.39225634909235,32,42,295.2093121808721,1,292.6924784083385,neg,1,image_stim_n.png,291.6921203931561,Monday,y,0.5032898260978982,0.6862339943181723,0.6971233028452843,25,alligator,1.9014187675556817,22,faceWord_exp,290.9949970903108
