no,word,ID,condition,img_trigger,delay_frames_after,onset_img,onset_word,pause_trigger_t,gender,duration_frames,pause_trigger,scan day,response,offset_img,img,delay_frames_before,age,duration_measured_img,key_t,word_label,duration_measured_word,word_score_warriner,rt,session,word_trigger,correct_resp,word_score_pc,offset_word
30,sum,2019102204,faceWord_exp,22,180,297.38137858966365,291.05838984274305,292.7566436524503,female,42,42,Tuesday,y,298.05658148089424,image_stim_n.png,336,23,0.6752028912305832,298.19039062806405,neu,0.6978896991349757,5.71,0.8090120384003967,3,13,1,0.1511721542964875,291.75627954187803
31,symphony,2019102204,faceWord_exp,21,336,304.7816241956316,301.0594693419989,302.75708988821134,female,42,31,Tuesday,b,305.45690857083537,image_stim_p.png,180,23,0.6752843752037734,305.274001294747,pos,0.6972808167338371,7.15,0.4923770991154015,3,11,1,-1.9498998207384868,301.75675015873276
32,toe,2019102204,faceWord_exp,21,180,317.3767093140632,311.0596316677984,312.75773951248266,female,42,41,Tuesday,b,318.0575111655053,image_stim_p.png,336,23,0.6808018514420837,317.99117056210525,neu,0.697598731610924,5.24,0.6144612480420619,3,13,1,0.6016604903777263,311.7572303994093
33,butterfly,2019102204,faceWord_exp,21,180,327.3768700361252,321.06055686133914,322.7580259889364,female,42,31,Tuesday,b,328.05794456927106,image_stim_p.png,336,23,0.6810745331458747,328.07513218652457,pos,0.6971046961843967,7.23,0.6982621503993869,3,11,1,-2.484088237918995,321.75766155752353
34,faucet,2019102204,faceWord_exp,22,336,334.78175540384836,331.0607817436103,332.75848505669273,female,42,42,Tuesday,y,335.4583098345902,image_stim_n.png,180,23,0.6765544307418168,335.4922173395753,neu,0.6973427315242589,5.55,0.7104619357269257,3,13,1,-0.123291752025302,331.75812447513454
35,tax,2019102204,faceWord_exp,22,336,344.77668993757106,341.06118050054647,342.75891781877726,female,42,32,Tuesday,y,345.45873136864975,image_stim_n.png,180,23,0.6820414310786873,345.259242470609,neg,0.6974210073240101,3.0,0.48255253303796053,3,12,1,3.4211910580769755,341.7586015078705
36,bird,2019102204,faceWord_exp,21,336,354.78455408173613,351.0613915885333,352.7594660697505,female,42,31,Tuesday,b,355.4592026269529,image_stim_p.png,180,23,0.674648545216769,355.39297719160095,pos,0.6976677039638162,6.75,0.6084231098648161,3,11,1,-1.0841943171680315,351.7590592924971
37,plane,2019102204,faceWord_exp,22,336,364.7856412802357,361.06211243080907,362.75993925286457,female,42,42,Tuesday,y,365.4596629780717,image_stim_n.png,180,23,0.6740216978359967,365.49350183154456,neu,0.6973991929553449,5.72,0.7078605513088405,3,13,1,0.20373950943912453,361.7595116237644
38,belch,2019102204,faceWord_exp,22,180,377.37969822785817,371.06256347871386,372.7603104209993,female,42,32,Tuesday,y,378.06023670057766,image_stim_n.png,336,23,0.6805384727194905,378.2274987762794,neg,0.697393739130348,4.18,0.847800548421219,3,12,1,1.9197700017151131,371.7599572178442
39,coffee,2019102204,faceWord_exp,21,336,384.7854722174816,381.0630356995389,382.7607589024119,female,42,31,Tuesday,b,385.4605884924531,image_stim_p.png,180,23,0.6751162749715149,385.3610503191594,pos,0.6973773781210184,7.0,0.5755781016778201,3,11,1,-1.8894778219780863,381.7604130776599
40,flute,2019102204,faceWord_exp,21,336,394.78004360338673,391.0634992585983,392.7612516544759,female,42,31,Tuesday,b,395.46105878823437,image_stim_p.png,180,23,0.681015184847638,395.3114591173362,pos,0.6973847567569464,6.29,0.5314155139494687,3,11,1,-1.6804307003665144,391.76088401535526
41,fountain,2019102204,faceWord_exp,21,180,407.38036293000914,401.06405200087465,402.7616991735995,female,42,31,Tuesday,b,408.06163988937624,image_stim_p.png,336,23,0.6812769593670964,408.1288322224282,pos,0.6972901199478656,6.26,0.7484692924190313,3,11,1,-2.0727743906520253,401.7613421208225
42,glass,2019102204,faceWord_exp,21,336,414.78003333788365,411.0643150585238,412.7621409180574,female,42,41,Tuesday,b,415.46197435772046,image_stim_p.png,180,23,0.6819410198368132,415.4457035928499,neu,0.6974829221144319,5.48,0.6656702549662441,3,13,1,0.2046331385026182,411.7617979806382
43,delirium,2019102204,faceWord_exp,22,336,424.78794784797356,421.0651709586382,422.7626959059853,female,42,32,Tuesday,y,425.4624353502877,image_stim_n.png,180,23,0.6744875023141503,425.4295098206494,neg,0.6971037338953465,3.4,0.641561972675845,3,12,1,3.4172209593162717,421.76227469253354
