pause_trigger_t,word_trigger,no,delay_frames_after,word_label,age,duration_measured_img,onset_word,session,pause_trigger,delay_frames_before,offset_word,gender,condition,key_t,duration_measured_word,word_score_pc,response,word_score_warriner,scan day,duration_frames,rt,ID,offset_img,onset_img,img_trigger,img,word,correct_resp
102.68698082165793,13,11,336,neu,23,0.684932499891147,100.9889602351468,3,42,180,101.68666771892458,female,faceWord_exp,105.32056893617846,0.6977074837777764,0.5062695562835388,y,5.75,Wednesday,42,0.6186765884049237,2019102308,105.38682484766468,104.70189234777354,22,image_stim_n.png,year,1
112.68755088723265,12,12,336,neg,23,0.684981903526932,110.98987933341414,3,32,180,111.68724644579925,female,faceWord_exp,115.20450688526034,0.6973671123851091,1.239138220826116,y,4.95,Wednesday,42,0.5021891538053751,2019102308,115.3872996349819,114.70231773145497,22,image_stim_n.png,debate,1
122.68787201005034,12,13,180,neg,23,0.6851038082968444,120.99022964923643,3,32,336,121.6875784760341,female,faceWord_exp,127.97156217158772,0.6973488267976791,0.041184453360586966,y,4.6,Wednesday,42,0.6687836400233209,2019102308,127.98788233986124,127.3027785315644,22,image_stim_n.png,cabbage,1
132.6883711782284,11,14,180,pos,23,0.6852318085730076,130.9912344017066,3,31,336,131.68805775465444,female,faceWord_exp,137.98889479157515,0.6968233529478312,-2.2287379941341,b,7.48,Wednesday,42,0.6857765305321664,2019102308,137.988350069616,137.30311826104298,21,image_stim_p.png,hope,1
142.68889312329702,13,15,336,neu,23,0.6848753972444683,140.99098834651522,3,41,180,141.6884988574311,female,faceWord_exp,145.33897688472643,0.6975105109158903,-0.945340141786388,b,5.58,Wednesday,42,0.6351221902295947,2019102308,145.3887300917413,144.70385469449684,21,image_stim_p.png,tuba,1
152.68914751941338,12,16,180,neg,23,0.6856911971699446,150.99216087837704,3,32,336,151.68897043680772,female,faceWord_exp,157.9229901584331,0.6968095584306866,3.4211910580769755,y,3.0,Wednesday,42,0.6193823532667011,2019102308,157.98929900233634,157.3036078051664,22,image_stim_n.png,tax,1
162.68981895851903,13,17,180,neu,23,0.6850691617000848,160.99178104870953,3,42,336,161.68941667256877,female,faceWord_exp,168.00692291045561,0.6976356238592416,-1.0048841857254538,y,5.89,Wednesday,42,0.7022494005504996,2019102308,167.9897426716052,167.30467350990511,22,image_stim_n.png,gum,1
172.69022316904739,11,18,180,pos,23,0.6851548159029335,170.99241334968247,3,31,336,171.68987060757354,female,faceWord_exp,177.95718959346414,0.6974572578910738,-1.6804307003665144,b,6.29,Wednesday,42,0.6521291960962117,2019102308,177.99021521327086,177.30506039736792,21,image_stim_p.png,flute,1
182.69075730466284,12,19,336,neg,23,0.6848378633148968,180.9927424925845,3,32,180,181.6903319209814,female,faceWord_exp,185.29097365378402,0.6975894283968955,3.9847946241932393,y,3.23,Wednesday,42,0.5853032190352678,2019102308,185.39050829806365,184.70567043474875,22,image_stim_n.png,snub,1
192.69115862832405,13,20,336,neu,23,0.684932820731774,190.99353711958975,3,41,180,191.69079965073615,female,faceWord_exp,195.35809701425023,0.6972625311464071,-0.123291752025302,b,5.55,Wednesday,42,0.6520541282370687,2019102308,195.39097570674494,194.70604288601317,21,image_stim_p.png,faucet,1
202.69161994173191,13,21,180,neu,23,0.6846681591123343,200.9935467436444,3,42,336,201.69124492397532,female,faceWord_exp,207.97521803318523,0.6976981803309172,0.1511721542964875,y,5.71,Wednesday,42,0.6682896048296243,2019102308,207.99159658746794,207.3069284283556,22,image_stim_n.png,sum,1
212.692136754049,12,22,336,neg,23,0.6850252118892968,210.99618502054363,3,32,180,211.69174312986434,female,faceWord_exp,215.3588804132305,0.6955581093207002,3.6017940902369654,y,3.45,Wednesday,42,0.6519951007794589,2019102308,215.39191052434035,214.70688531245105,22,image_stim_n.png,grievance,1
222.69253486953676,11,23,180,pos,23,0.684566143900156,220.99500960158184,3,31,336,221.69219225272536,female,faceWord_exp,228.02635967172682,0.6971826511435211,-1.4443598905895143,b,7.3,Wednesday,42,0.7184656288009137,2019102308,227.99246018682607,227.3078940429259,21,image_stim_p.png,raspberry,1
232.69300195737742,12,24,180,neg,23,0.6851227355655283,230.99527362175286,3,32,336,231.69262758130208,female,faceWord_exp,238.026901506586,0.6973539595492184,2.1987551193617842,y,4.59,Wednesday,42,0.7191008171066642,2019102308,237.99292342504486,237.30780068947934,22,image_stim_n.png,volcano,1
242.69351844885387,12,25,336,neg,23,0.6852119185496122,240.99566307547502,3,32,180,241.69309723563492,female,faceWord_exp,245.31047200900503,0.6974341601599008,0.7962654471128737,y,4.57,Wednesday,42,0.602422826224938,2019102308,245.3932611013297,244.7080491827801,22,image_stim_n.png,reporter,1
