word,key_t,word_score_pc,onset_word,condition,onset_img,no,img,scan day,correct_resp,response,word_trigger,duration_frames,duration_measured_word,rt,age,delay_frames_before,offset_img,img_trigger,ID,gender,word_score_warriner,pause_trigger_t,session,offset_word,delay_frames_after,pause_trigger,duration_measured_img,word_label
mushroom,205.383465086692,0.08756588783899029,200.985492684762,faceWord_exp,204.69779698736966,21,image_stim_n.png,Monday,1,y,13,42,0.6972654181299731,0.6856680993223563,25,180,205.38292293110862,22,2019102101,male,5.61,202.68320722598583,5,201.68275810289197,336,42,0.6851259437389672,neu
army,215.31712127535138,1.399169263323496,210.985703772516,faceWord_exp,214.6986884966027,22,image_stim_n.png,Monday,1,y,12,42,0.697541949688457,0.6184327787486836,25,180,215.38350454543252,22,2019102101,male,4.65,212.68367976753507,5,211.68324572220445,336,32,0.6848160488298163,neg
dictation,228.0180871464545,0.7498341013103271,220.98649775783997,faceWord_exp,227.29916854493786,23,image_stim_n.png,Monday,1,y,12,42,0.6971909921849146,0.7189186015166342,25,336,227.98398908495437,22,2019102101,male,4.26,222.6840759582119,5,221.68368875002488,180,32,0.684820540016517,neg
corn,237.78489894408267,-1.235914274808286,230.98659303609747,faceWord_exp,237.29982394375838,24,image_stim_p.png,Monday,1,b,13,42,0.6975791627774015,0.4850750003242865,25,336,237.98444045358337,21,2019102101,male,5.95,232.68453951738775,5,231.68417219887488,180,41,0.6846165098249912,neu
cash,245.43540841003414,-1.6872526925643307,240.98711145238485,faceWord_exp,244.69996272271965,25,image_stim_p.png,Monday,1,b,11,42,0.6975021702237427,0.7354456873144954,25,180,245.38481021020561,21,2019102101,male,7.51,242.6849681090098,5,241.6846136226086,336,31,0.6848474874859676,pos
stapler,255.28565507475287,0.19443075193465506,250.987822991563,faceWord_exp,254.7001173493918,26,image_stim_n.png,Monday,1,y,13,42,0.6972824208205566,0.5855377253610641,25,180,255.3852497091284,22,2019102101,male,5.25,252.68542621447705,5,251.68510541238356,336,42,0.685132359736599,neu
cab,267.8361374649685,0.1828236131989572,260.9881700995611,faceWord_exp,267.3005938689457,27,image_stim_n.png,Monday,1,y,12,42,0.6974790724925697,0.5355435960227624,25,336,267.9859106899239,22,2019102101,male,4.81,262.6859164001653,5,261.6856491720537,180,32,0.685316820978187,neg
number,277.77006601460744,0.2374341841762725,270.9885701398598,faceWord_exp,277.30153766891453,28,image_stim_p.png,Monday,0,y,13,42,0.6974566163262352,0.4685283456929028,25,336,277.98628923646174,21,2019102101,male,5.59,272.68638316739816,5,271.68602675618604,180,41,0.6847515675472096,neu
ticket,287.9037776378682,-0.7502239645266248,280.9894343808992,faceWord_exp,287.30163455114234,29,image_stim_n.png,Monday,1,y,13,42,0.6970270621823147,0.6021430867258459,25,336,287.98673194344155,22,2019102101,male,5.28,282.68676428031176,5,281.6864614430815,180,42,0.6850973922992125,neu
book,295.1544412171934,-1.1429809241505904,290.9894087166758,faceWord_exp,294.7016122874338,30,image_stim_p.png,Monday,1,b,11,42,0.6975137190893292,0.452828929759562,25,180,295.38708790554665,21,2019102101,male,7.05,292.68731381441467,5,291.68692243576515,336,31,0.6854756181128323,pos
wit,305.2713062358089,-1.2397352233188434,300.98970064660534,faceWord_exp,304.7017479867209,31,image_stim_p.png,Monday,1,b,11,42,0.6976863107411191,0.5695582490880042,25,180,305.3876143419184,21,2019102101,male,7.25,302.68788933346514,5,301.68738695734646,336,31,0.6858663551975042,pos
clue,317.7886260235682,0.07992973296861662,310.99027969455346,faceWord_exp,317.30209169420414,32,image_stim_n.png,Monday,1,y,13,42,0.697658080025576,0.48653432936407626,25,336,317.9881364152534,22,2019102101,male,5.38,312.688165544183,5,311.68793777457904,180,42,0.6860447210492566,neu
morning,327.9892322755186,-1.211925852261804,320.9911362363491,faceWord_exp,327.3028856795281,33,image_stim_p.png,Monday,1,b,11,42,0.6971916336333379,0.6863465959904715,25,336,327.988616976887,21,2019102101,male,6.41,322.6888738753041,5,321.68832786998246,180,31,0.6857312973588705,pos
desk,335.3227394835558,0.16108323717668446,330.9912401762558,faceWord_exp,334.70330355642363,34,image_stim_n.png,Monday,1,y,13,42,0.6975499696563929,0.6194359271321446,25,180,335.3889411796117,22,2019102101,male,5.56,332.68924825137947,5,331.6887901459122,336,42,0.6856376231880859,neu
mandolin,348.0235045325244,-1.4097678477610591,340.99218173057307,faceWord_exp,347.30408900848124,35,image_stim_p.png,Monday,1,b,13,42,0.6971447966061532,0.7194155240431428,25,336,347.98951586463954,21,2019102101,male,5.7,342.6896235899767,5,341.6893265271792,180,41,0.6854268561583012,neu
screech,355.173667532159,2.424733943851676,350.99255386099685,faceWord_exp,354.70406578236725,36,image_stim_n.png,Monday,1,y,12,42,0.6971698192646727,0.4696017497917637,25,180,355.3898666938767,22,2019102101,male,3.5,352.69012275815476,5,351.6897236802615,336,32,0.6858009115094319,neg
jealousy,367.70745088672265,3.693241029119933,360.9945855011465,faceWord_exp,367.30569783132523,37,image_stim_n.png,Monday,1,y,12,42,0.6955853772815317,0.4017530553974211,25,336,367.99045421089977,22,2019102101,male,2.58,362.69053146010265,5,361.69017087842803,180,32,0.6847563795745373,neg
water,377.7579926253529,-1.2320142343270626,370.9932490392821,faceWord_exp,377.30481755011715,38,image_stim_p.png,Monday,1,b,11,42,0.6973680749069899,0.4531750752357766,25,336,377.9909970081644,21,2019102101,male,7.0,372.69109575101174,5,371.6906171141891,180,31,0.6861794580472633,pos
carrot,387.9084084170172,-0.32385553549685003,380.99366159085184,faceWord_exp,387.3055172197055,39,image_stim_p.png,Monday,1,b,13,42,0.6974694484379143,0.6028911973116919,25,336,387.9913701011101,21,2019102101,male,5.79,382.6915291547775,5,381.69113103928976,180,41,0.6858528814045712,neu
umbrella,397.9255196833983,0.002541127499528235,390.9944536514813,faceWord_exp,397.30620822752826,40,image_stim_n.png,Monday,1,y,13,42,0.6970822401344776,0.6193114558700472,25,336,397.99190936947707,22,2019102101,male,5.84,392.6919789194362,5,391.6915358916158,180,42,0.6857011419488117,neu
ant,407.9427188496338,1.5300907112092572,400.9943509947043,faceWord_exp,407.30642958101816,41,image_stim_n.png,Monday,1,y,12,42,0.6976462104357779,0.6362892686156556,25,336,407.9922744423384,22,2019102101,male,3.9,402.6923760725185,5,401.69199720514007,180,32,0.6858448613202199,neg
spring,417.9932464729063,-2.625984580876632,410.995032699313,faceWord_exp,417.3071071151644,42,image_stim_p.png,Monday,1,b,11,42,0.6974283857271075,0.6861393577419221,25,336,417.9927710441407,21,2019102101,male,7.64,412.6928399524186,5,411.6924610850401,180,31,0.6856639289762825,pos
bus,425.3601482233498,0.5156614996478043,420.99534804781433,faceWord_exp,424.7079879095545,43,image_stim_n.png,Monday,1,y,13,42,0.697559273103252,0.6521603137953207,25,180,425.39310743729584,22,2019102101,male,5.12,422.69337120081764,5,421.6929073209176,336,42,0.6851195277413353,neu
editor,435.29385477793403,0.14106522732466809,430.99593158694915,faceWord_exp,434.7084732832154,44,image_stim_n.png,Monday,1,y,13,42,0.6974572580074891,0.5853814947186038,25,180,435.39358703652397,22,2019102101,male,5.43,432.6937648250023,5,431.69338884495664,336,42,0.6851137533085421,neu
election,445.261070722132,0.5712560851538326,440.99662195320707,faceWord_exp,444.70856278704014,45,image_stim_n.png,Monday,0,b,12,42,0.6972224307246506,0.5525079350918531,25,180,445.3940143448999,22,2019102101,male,4.5,442.6941606949549,5,441.6938443839317,336,32,0.6854515578597784,neg
grief,455.2781178280711,4.735833249102137,450.99688821902964,faceWord_exp,454.70966955448966,46,image_stim_n.png,Monday,1,y,12,42,0.6974319145083427,0.5684482735814527,25,180,455.39446892158594,22,2019102101,male,2.33,452.69465665507596,5,451.694320133538,336,32,0.6847993670962751,neg
vice,465.27866062533576,2.1399531488678094,460.9972099835286,faceWord_exp,464.7092845919542,47,image_stim_n.png,Monday,1,y,12,42,0.6975544610759243,0.569376033381559,25,180,465.3949491624953,22,2019102101,male,3.81,462.69513849983923,5,461.6947644446045,336,32,0.6856645705411211,neg
hierarchy,475.3292033262551,1.0236166268558873,470.99822628486436,faceWord_exp,474.710594747914,48,image_stim_n.png,Monday,1,y,12,42,0.6970601048087701,0.6186085783410817,25,180,475.3954306865344,22,2019102101,male,4.95,472.6955994926393,5,471.69528638967313,336,32,0.6848359386203811,neg
