delay_frames_after,onset_word,duration_frames,offset_img,key_t,rt,no,onset_img,ID,age,word_label,word,img,condition,session,pause_trigger_t,correct_resp,gender,pause_trigger,delay_frames_before,img_trigger,response,scan day,word_trigger,offset_word,duration_measured_word,word_score_pc,word_score_warriner,duration_measured_img
336,100.98681952245533,42,105.38458821526729,105.25185279292054,0.5440063569694757,11,104.70784643595107,2019102204,23,neg,hierarchy,image_stim_n.png,faceWord_exp,5,102.68496714672074,1,female,32,180,22,y,Tuesday,12,101.68440638459288,0.6975868621375412,1.0236166268558873,4.95,0.6767417793162167
180,110.9874842246063,42,117.98515808815137,117.71888523828238,0.410406693816185,12,117.3084785444662,2019102204,23,neg,riot,image_stim_n.png,faceWord_exp,5,112.68513877573423,1,female,32,336,22,y,Tuesday,12,111.684824710479,0.6973404858727008,3.227422121163128,3.15,0.676679543685168
336,120.98779668589123,42,125.38548614038154,125.35253687133081,0.6490607233718038,13,124.70347614795901,2019102204,23,neu,dime,image_stim_n.png,faceWord_exp,5,122.68571782368235,1,female,42,180,22,y,Tuesday,13,121.68529404397123,0.6974973580799997,-0.8220066925000616,5.58,0.682009992422536
180,130.98837990430184,42,137.98606242937967,137.95312214293517,0.6404937016777694,14,137.3126284412574,2019102204,23,neu,carrot,image_stim_p.png,faceWord_exp,5,132.68616919242777,1,female,41,336,21,b,Tuesday,13,131.6857402799651,0.6973603756632656,-0.32385553549685003,5.79,0.6734339881222695
180,140.98897948348895,42,147.98652695096098,147.95360527094454,0.6489227784331888,15,147.30468249251135,2019102204,23,neu,umbrella,image_stim_p.png,faceWord_exp,5,142.6865493429359,1,female,41,336,21,b,Tuesday,13,141.68621314223856,0.6972336587496102,0.002541127499528235,5.84,0.6818444584496319
180,150.9894347016234,42,157.9869847355876,157.73741156281903,0.43032947019673884,16,157.3070820926223,2019102204,23,pos,spring,image_stim_p.png,faceWord_exp,5,152.68711459636688,1,female,31,336,21,b,Tuesday,11,151.6866680397652,0.6972333381418139,-2.625984580876632,7.64,0.6799026429653168
180,160.98986361408606,42,167.9873873423785,168.15456183883362,0.8423629517201334,17,167.31219888711348,2019102204,23,neu,company,image_stim_n.png,faceWord_exp,5,162.68753773439676,1,female,42,336,22,y,Tuesday,13,161.68715341342613,0.6972897993400693,0.4587040848007746,5.64,0.6751884552650154
336,170.9901366168633,42,175.38779206643812,175.53836023900658,0.8265496508684009,18,174.71181058813818,2019102204,23,neu,desk,image_stim_p.png,faceWord_exp,5,172.68798846146092,1,female,41,180,21,b,Tuesday,13,171.68759900750592,0.6974623906426132,0.16108323717668446,5.56,0.6759814782999456
180,180.9901699803304,42,187.98829809972085,187.78868312644772,0.47661833465099335,19,187.31206479179673,2019102204,23,pos,book,image_stim_p.png,faceWord_exp,5,182.688496932853,1,female,31,336,21,b,Tuesday,11,181.68812191509642,0.6979519347660244,-1.1429809241505904,7.05,0.6762333079241216
336,190.9912956750486,42,195.3886858210899,195.23917982447892,0.5334481163881719,20,194.70573170809075,2019102204,23,pos,cherry,image_stim_p.png,faceWord_exp,5,192.6890605823137,1,female,31,180,21,b,Tuesday,11,191.68857649178244,0.6972808167338371,-1.7441234463665167,7.05,0.6829541129991412
180,200.99161615641788,42,207.98930156882852,207.75637385784648,0.43959519919008017,21,207.3167786586564,2019102204,23,neu,apricot,image_stim_n.png,faceWord_exp,5,202.6893714396283,0,female,42,336,22,b,Tuesday,13,201.68904839176685,0.6974322353489697,-1.2450836009557775,5.95,0.6725229101721197
180,210.99175763013773,42,217.9897189324256,217.9401671893429,0.6264027876313776,22,217.31376440171152,2019102204,23,pos,tulip,image_stim_p.png,faceWord_exp,5,212.6897644221317,1,female,31,336,21,b,Tuesday,11,211.6894782667514,0.697720636613667,-2.547338598571031,7.25,0.6759545307140797
180,220.9927331896033,42,227.99022291251458,227.7405483664479,0.4258080846630037,23,227.3147402817849,2019102204,23,neg,dictation,image_stim_n.png,faceWord_exp,5,222.69038004148751,1,female,32,336,22,y,Tuesday,12,221.68988664774224,0.6971534581389278,0.7498341013103271,4.26,0.6754826307296753
180,230.99323235778138,42,237.9906976998318,238.1745728359092,0.859147320734337,24,237.31542551517487,2019102204,23,neu,hairbrush,image_stim_p.png,faceWord_exp,5,232.6907842522487,1,female,41,336,21,b,Tuesday,13,231.69033673312515,0.6971043753437698,-0.4963231956276321,5.95,0.675272184656933
