duration_measured_img,correct_resp,pause_trigger_t,word_score_pc,word,age,key_t,word_trigger,word_label,session,scan day,offset_word,img,no,offset_img,gender,img_trigger,duration_measured_word,delay_frames_after,pause_trigger,duration_frames,condition,rt,word_score_warriner,ID,onset_img,delay_frames_before,response,onset_word
0.6908959790016524,0,184.44827415399777,-0.4066038871991289,baseball,23,189.63325560100202,13,neu,4,Monday,183.44780211598845,image_stim_p.png,19,189.76437318799435,female,21,0.6954003049904713,180,41,42,faceWord_exp,0.5597783920093207,5.79,K,189.0734772089927,336,y,182.75240181099798
0.6910171610070392,1,194.4649309939996,0.3545861367636661,put,23,199.5831416939909,13,neu,4,Monday,193.46431509799731,image_stim_p.png,20,199.78093160099525,female,21,0.6961320389964385,180,41,42,faceWord_exp,0.4932272540027043,5.09,K,199.0899144399882,336,b,192.76818305900088
0.69044458999997,1,204.4813722379913,0.0196438746392397,worker,23,209.6995833510009,13,neu,4,Monday,203.48090070699982,image_stim_n.png,21,209.79725056799361,female,22,0.6956582900020294,180,42,42,faceWord_exp,0.5927773730072659,5.95,K,209.10680597799364,336,y,202.7852424169978
0.6908402569970349,1,214.497879483999,0.7532200949518182,loan,23,216.832755964002,12,neg,4,Monday,213.49741980899125,image_stim_n.png,22,217.21397499999148,female,22,0.6961730030016042,336,32,42,faceWord_exp,0.3096212210075464,4.19,K,216.52313474299444,180,y,212.80124680598965
0.6911120759905316,1,224.5144103729981,-0.3663992490442602,expensive,23,229.48273904199596,12,neg,4,Monday,223.513934039991,image_stim_n.png,23,229.83050253299007,female,22,0.6935993059887551,180,32,42,faceWord_exp,0.34334858499641996,3.36,K,229.13939045699954,336,y,222.82033473400224
0.6906309949990828,1,234.5309044769965,-0.10198134801944247,saw,23,237.13277041599213,12,neg,4,Monday,233.53048889098864,image_stim_n.png,24,237.24709226199775,female,22,0.6962238489941228,336,32,42,faceWord_exp,0.5763091489934595,4.16,K,236.55646126699867,180,y,232.8342650419945
0.6886674260022119,1,244.54744827499962,0.1872293205875,elevator,23,247.09889465899323,13,neu,4,Monday,243.54700491699623,image_stim_p.png,25,247.26362207399507,female,21,0.6931242370046675,336,41,42,faceWord_exp,0.5239400110003771,5.95,K,246.57495464799285,180,b,242.85388067999156
0.6907125370053109,1,254.56398434999574,-0.4880378396985329,chestnut,23,257.26543402898824,13,neu,4,Monday,253.56351584100048,image_stim_n.png,26,257.28016624700103,female,22,0.6953683410101803,336,42,42,faceWord_exp,0.6759803189925151,5.68,K,256.5894537099957,180,y,252.8681474999903
0.6910735790006584,1,264.58051282599627,3.803034067475641,flood,23,267.19929673700244,12,neg,4,Monday,263.5800891120016,image_stim_n.png,27,267.2966847429925,female,22,0.6958031780086458,336,32,42,faceWord_exp,0.593685573010589,2.76,K,266.60561116399185,180,y,262.88428593399294
0.6905606540094595,1,274.5970624460024,-1.7974288604529352,bonfire,23,279.71530755399726,11,pos,4,Monday,273.59659208200173,image_stim_p.png,28,279.9131509959989,female,21,0.6955145150132012,180,31,42,faceWord_exp,0.4927172120078467,6.53,K,279.2225903419894,336,b,272.90107756698853
0.6908477569959359,1,284.61358658000245,-1.2094761189992442,parent,23,287.06534962999285,11,pos,4,Monday,283.61310909000167,image_stim_p.png,29,287.32976470199355,female,21,0.6955074800061993,336,31,42,faceWord_exp,0.426432684995234,6.73,K,286.6389169449976,180,b,282.9176016099955
0.6907002160005504,1,294.6301169159997,-2.8305869761860607,gratitude,23,297.0651316079893,11,pos,4,Monday,293.62962363999395,image_stim_p.png,30,297.34625945199514,female,21,0.6952883000049042,336,31,42,faceWord_exp,0.4095723719947273,6.67,K,296.6555592359946,180,b,292.93433533998905
