duration_measured_img,duration_frames,age,condition,scan day,offset_img,key_t,ID,session,word_score_warriner,img,delay_frames_before,correct_resp,no,word,onset_word,word_score_pc,onset_img,pause_trigger_t,duration_measured_word,img_trigger,offset_word,delay_frames_after,response,pause_trigger,rt,gender,word_label,word_trigger
0.6854775429237634,42,25,faceWord_exp,Wednesday,107.98150062258355,108.04873754712753,2019102307,4,5.3,image_stim_p.png,336,1,11,journalist,100.98554978752509,0.18094025084207666,107.29602307965979,102.6817254407797,0.6956691066734493,21,101.68121889419854,180,b,41,0.7527144674677402,female,neu,13
0.6858233674429357,42,25,faceWord_exp,Wednesday,117.98198920418508,117.94899855181575,2019102307,4,5.84,image_stim_p.png,336,1,12,boy,110.98415911011398,-0.9031069202434168,117.29616583674215,112.68202667403966,0.6975345711689442,21,111.68169368128292,180,b,41,0.6528327150736004,female,neu,13
0.6849475777707994,42,25,faceWord_exp,Wednesday,127.98243126971647,127.93277558661066,2019102307,4,5.9,image_stim_p.png,336,1,13,hand,120.98452931572683,-0.29144085929118746,127.29748369194567,122.68262176192366,0.697606110246852,21,121.68213542597368,180,b,41,0.6352918946649879,female,neu,13
0.6855631971266121,42,25,faceWord_exp,Wednesday,135.3828565250151,135.38342402409762,2019102307,4,5.89,image_stim_p.png,180,1,14,hall,130.98498260928318,0.4398740830446768,134.69729332788847,132.68301153671928,0.6976086765062064,21,131.68259128578939,336,b,41,0.6861306962091476,female,neu,13
0.6849928107112646,42,25,faceWord_exp,Wednesday,147.9833330444526,147.85056040924974,2019102307,4,6.42,image_stim_p.png,336,1,15,truce,140.98555780760944,-1.6859102219357711,147.29834023374133,142.6834016321227,0.6974745811894536,21,141.6830323887989,180,b,31,0.5522201755084097,female,pos,11
0.6853501843288541,42,25,faceWord_exp,Wednesday,157.98378377151676,158.034459926188,2019102307,4,4.16,image_stim_n.png,336,1,16,saw,150.98646920640022,-0.10198134801944247,157.2984335871879,152.68392678513192,0.6970289871096611,22,151.68349819350988,180,y,32,0.736026339000091,female,neg,12
0.6850826353766024,42,25,faceWord_exp,Wednesday,165.3841477537062,165.43473215890117,2019102307,4,2.53,image_stim_n.png,180,1,17,torment,160.98675568285398,4.5355840269859025,164.6990651183296,162.68444167263806,0.6972166562918574,22,161.68397233914584,336,y,32,0.7356670405715704,female,neg,12
0.6845071162097156,42,25,faceWord_exp,Wednesday,177.98470800253563,177.9184126323089,2019102307,4,6.71,image_stim_p.png,336,1,18,bicycle,170.9871371164918,-1.301667818567906,177.3002008863259,172.68484331690706,0.697278891922906,21,171.6844160084147,180,b,31,0.6182117459829897,female,pos,11
0.6846287003718317,42,25,faceWord_exp,Wednesday,185.38506781426258,185.36885158601217,2019102307,4,6.35,image_stim_p.png,180,1,19,banjo,180.98762473580427,-1.2316584124512135,184.70043911389075,182.68526164302602,0.697255473351106,21,181.68488020915538,336,b,31,0.6684124721214175,female,pos,11
0.6850624249782413,42,25,faceWord_exp,Wednesday,195.38556569931097,195.3193149205763,2019102307,4,6.67,image_stim_p.png,180,1,20,gratitude,190.98936701240018,-2.8305869761860607,194.70050327433273,192.6856555880513,0.6959071417804807,21,191.68527415418066,336,b,31,0.6188116462435573,female,pos,11
