pause_trigger_t,word_score_warriner,scan day,pause_trigger,age,delay_frames_before,response,word_label,key_t,onset_img,word_score_pc,gender,duration_frames,rt,img_trigger,onset_word,no,duration_measured_word,word,session,word_trigger,correct_resp,offset_img,img,condition,delay_frames_after,duration_measured_img,ID,offset_word
102.67496742261574,5.03,Wednesday,42,23,336,y,neu,107.99193054251373,107.2896663849242,0.4272037094573085,female,42,0.702264157589525,22,100.97717364318669,11,0.6973173881415278,scissors,2,13,1,107.97475319099613,image_stim_n.png,faceWord_exp,180,0.6850868060719222,2019102308,101.67449103132822
112.67537323734723,4.78,Wednesday,32,23,180,y,neg,115.2754769846797,114.68948115385137,1.3393636650983416,female,42,0.585995830828324,22,110.97916742856614,12,0.695801277179271,heavy,2,12,1,115.37508156406693,image_stim_n.png,faceWord_exp,336,0.6856004102155566,2019102308,111.67496870574541
122.6759064104408,2.95,Wednesday,32,23,180,y,neg,125.24259604653344,124.68981735454872,3.222893544100452,female,42,0.5527786919847131,22,120.9795931330882,13,0.6958048059605062,perjury,2,12,1,125.37556822085753,image_stim_n.png,faceWord_exp,336,0.6857508663088083,2019102308,121.67539793904871
132.6762063605711,2.53,Wednesday,32,23,336,y,neg,137.72648696624674,137.29082319769077,3.4296451702105397,female,42,0.435663768555969,22,130.97832179418765,14,0.6975063406862319,angry,2,12,1,137.9761788356118,image_stim_n.png,faceWord_exp,180,0.6853556379210204,2019102308,131.67582813487388
142.67673664656468,6.48,Wednesday,31,23,336,b,pos,147.9772002696991,147.29193188995123,-2.4114282062334524,female,42,0.6852683797478676,21,140.9794542256277,15,0.6968759645242244,carnival,2,11,1,147.97658208408393,image_stim_p.png,faceWord_exp,180,0.6846501941327006,2019102308,141.67633019015193
152.67710781446658,5.8,Wednesday,42,23,336,y,neu,157.92744353413582,157.2919476092793,-0.5451009915059291,female,42,0.6354959248565137,22,150.97947379457764,16,0.6972901201806962,toaster,2,13,1,157.9770401895512,image_stim_n.png,faceWord_exp,180,0.6850925802718848,2019102308,151.67676391475834
162.6775870930869,5.48,Wednesday,42,23,180,y,neu,165.26111691771075,164.69167159101926,-0.06058349899147484,female,42,0.5694453266914934,22,160.98004514328204,17,0.6971932377200574,business,2,13,1,165.37739262264222,image_stim_n.png,faceWord_exp,336,0.6857210316229612,2019102308,161.6772383810021
172.67801600554958,5.07,Wednesday,41,23,336,b,neu,177.94499044981785,177.2924608925823,0.3228926581020319,female,42,0.652529557235539,21,170.98035760456696,18,0.6973263707477599,street,2,13,1,177.97800131281838,image_stim_p.png,faceWord_exp,180,0.685540420236066,2019102308,171.67768397531472
182.6784118753858,4.41,Wednesday,32,23,336,y,neg,188.01252956991084,187.2930646422319,0.16339675594021513,female,42,0.7194649276789278,22,180.98150447243825,19,0.6966420996468514,jaw,2,12,1,187.97849951847456,image_stim_n.png,faceWord_exp,180,0.6854348762426525,2019102308,181.6781465720851
192.67906310386024,6.73,Wednesday,31,23,180,b,pos,195.27924641012214,194.69377669482492,-2.2291915044129413,female,42,0.5854697152972221,21,190.9808150685858,20,0.6977626613806933,luck,2,11,1,195.37877014721744,image_stim_p.png,faceWord_exp,336,0.6849934523925185,2019102308,191.6785777299665
202.67940924922004,8.53,Wednesday,31,23,336,b,pos,207.99651801330037,207.29459968069568,-3.1565376907491283,female,42,0.7019183326046914,21,200.98180153523572,21,0.6972371875308454,vacation,2,11,1,207.97932558413595,image_stim_p.png,faceWord_exp,180,0.6847259034402668,2019102308,201.67903872276656
212.67996295378543,5.72,Wednesday,42,23,336,y,neu,217.8634797539562,217.29401774541475,-0.5485436049411244,female,42,0.5694620085414499,22,210.98232797137462,22,0.6972336589824408,apartment,2,13,1,217.97979652159847,image_stim_n.png,faceWord_exp,180,0.6857787761837244,2019102308,211.67956163035706
222.6802908135578,7.59,Wednesday,31,23,336,b,pos,227.96390077471733,227.29519701423123,-1.3695211950901562,female,42,0.6687037604860961,21,220.9822618861217,23,0.6976866316981614,tree,2,11,1,227.98024404072203,image_stim_p.png,faceWord_exp,180,0.6850470264907926,2019102308,221.67994851781987
232.68096385663375,6.91,Wednesday,31,23,336,b,pos,237.91442826972343,237.29507510946132,-1.7539828459428422,female,42,0.6193531602621078,21,230.9832024781499,24,0.6972387917339802,spaghetti,2,11,1,237.98071497818455,image_stim_p.png,faceWord_exp,180,0.6856398687232286,2019102308,231.6804412698839
242.68125546560623,7.1,Wednesday,31,23,180,b,pos,245.26481320010498,244.69635658571497,-2.5746228757417584,female,42,0.5684566143900156,21,240.98360283928923,25,0.6972756839822978,barbecue,2,11,1,245.38104752171785,image_stim_p.png,faceWord_exp,336,0.6846909360028803,2019102308,241.68087852327153
252.68170940084383,2.35,Wednesday,32,23,180,y,neg,255.4320387041662,254.6963424703572,4.537930167489568,female,42,0.7356962338089943,22,250.9840769849252,26,0.6973350322805345,terrorist,2,12,1,255.3815008152742,image_stim_n.png,faceWord_exp,336,0.6851583449169993,2019102308,251.68141201720573
262.682254122803,5.19,Wednesday,41,23,336,b,neu,267.94913906324655,267.29711252404377,0.650019808676411,female,42,0.6520265392027795,21,260.98474329104647,27,0.6970437439158559,highway,2,13,1,267.98208897397853,image_stim_p.png,faceWord_exp,180,0.6849764499347657,2019102308,261.6817870349623
272.68259641877376,5.5,Wednesday,41,23,180,b,neu,275.4329533111304,274.6970078141894,0.3495373155897487,female,42,0.7359454969409853,21,270.98519048909657,28,0.697048235218972,winter,2,13,1,275.38239970291033,image_stim_p.png,faceWord_exp,336,0.6853918887209147,2019102308,271.68223872431554
282.68304040888324,6.8,Wednesday,31,23,180,b,pos,285.34988191281445,284.6979092680849,-1.926056195769395,female,42,0.6519726447295398,21,280.9855205945205,29,0.6971865009982139,fireworks,2,11,1,285.3828767356463,image_stim_p.png,faceWord_exp,336,0.6849674675613642,2019102308,281.6827070955187
292.6835440683644,7.28,Wednesday,31,23,180,b,pos,295.21701816958375,294.6979644461535,-1.6425048482978826,female,42,0.519053723430261,21,290.9860316324048,30,0.6971297189593315,knowledge,2,11,1,295.38333804905415,image_stim_p.png,faceWord_exp,336,0.6853736029006541,2019102308,291.6831613513641
302.6839672063943,3.48,Wednesday,32,23,336,y,neg,307.9009215363767,307.2977698475588,0.7321109855355353,female,42,0.6031516888178885,22,300.9867540788837,31,0.6968666610773653,axe,2,12,1,307.9838973355945,image_stim_n.png,faceWord_exp,180,0.6861274880357087,2019102308,301.68362073996104
312.68447375297546,7.21,Wednesday,31,23,336,b,pos,317.91814059228636,317.29826709092595,-2.7563434535584275,female,42,0.6198735013604164,21,310.986899723066,32,0.69722756347619,optimism,2,11,1,317.98437693482265,image_stim_p.png,faceWord_exp,180,0.6861098438967019,2019102308,311.6841272865422
322.68501398386434,5.67,Wednesday,42,23,180,y,neu,325.46861399989575,324.69974874774925,-0.32263149533554664,female,42,0.7688652521464974,22,320.98725805897266,33,0.697395663941279,attribute,2,13,1,325.38470530789346,image_stim_n.png,faceWord_exp,336,0.6849565601442009,2019102308,321.68465372291394
