onset_word,img,duration_measured_img,gender,duration_frames,rt,word_score_pc,img_trigger,age,word,word_label,word_trigger,scan day,pause_trigger,ID,pause_trigger_t,duration_measured_word,onset_img,delay_frames_after,delay_frames_before,correct_resp,condition,session,no,response,key_t,word_score_warriner,offset_img,offset_word
183.669298644003,image_stim_n.png,0.7245192030095495,male,42,0.5942033680039458,0.13451130194660302,22,24,diplomat,neg,12,Monday,32,24,185.36533441601205,0.6954128899960779,189.98963003599783,180,336,1,faceWord_exp,1,19,y,190.58383340400178,4.65,190.71414923900738,184.36471153399907
193.71886267399532,image_stim_p.png,0.7071420309948735,male,42,0.47806928798672743,0.11872473318936595,21,24,noun,neu,13,Monday,41,24,195.41395742000896,0.6944028620200697,200.05595627901494,180,336,1,faceWord_exp,1,20,b,200.53402556700166,5.22,200.7630983100098,194.4132655360154
203.76852702599717,image_stim_p.png,0.6918103259813506,male,42,0.34591905199340545,-1.6708771386143015,21,24,pineapple,pos,11,Monday,31,24,205.46352496001055,0.6944280310126487,207.48833352600923,336,180,1,faceWord_exp,1,21,b,207.83425257800263,6.9,208.18014385199058,204.46295505700982
213.7841785950004,image_stim_n.png,0.7084511969878804,male,42,0.4125165799923707,0.2016963621838916,22,24,plot,neg,12,Monday,32,24,215.49668011101312,0.711731409013737,220.12067930400372,180,336,1,faceWord_exp,1,22,y,220.5331958839961,4.9,220.8291305009916,214.49591000401415
223.83519934301148,image_stim_p.png,0.6922249380149879,male,42,0.41179964700131677,-0.9990759838186469,21,24,field,neu,13,Monday,41,24,225.5297309489979,0.6945589279930573,230.15399900698685,180,336,1,faceWord_exp,1,23,b,230.56579865398817,5.73,230.84622394500184,224.52975827100454
233.85166122199735,image_stim_n.png,0.6927171569841448,male,42,0.36407531099393964,0.397042668763988,22,24,policeman,neg,12,Monday,32,24,235.54690225201193,0.6949829340155702,237.58593009601464,336,180,0,faceWord_exp,1,24,b,237.95000540700858,4.21,238.27864725299878,234.54664415601292
243.90036159200827,image_stim_p.png,0.6931058839836624,male,42,0.4621694419765845,-2.146343780688921,21,24,lemonade,pos,11,Monday,31,24,245.59588196099503,0.6947407109837513,247.61985206601094,336,180,1,faceWord_exp,1,25,b,248.08202150798752,7.05,248.3129579499946,244.59510230299202
253.91930303099798,image_stim_n.png,0.7077656770125031,male,42,-0.08801737500471063,2.166851165767892,22,24,aggressive,neg,12,Monday,32,24,255.61186775899841,0.6929438330116682,257.6377121139958,336,180,1,faceWord_exp,1,26,y,257.5496947389911,3.08,258.3454777910083,254.61224686400965
264.1038541980088,image_stim_p.png,0.7075006919912994,male,42,0.44450814099400304,-2.40140153221556,21,24,love,pos,11,Monday,31,24,265.9290990899899,0.7750633299874607,270.72061758101336,180,336,1,faceWord_exp,1,27,b,271.16512572200736,8.0,271.42811827300466,264.87891752799624
274.43291256800876,image_stim_n.png,0.6913118840020616,male,42,0.445401599019533,3.6605330306018913,22,24,tornado,neg,12,Monday,32,24,276.12891297601163,0.6954365809797309,278.152519433992,336,180,1,faceWord_exp,1,28,y,278.5979210330115,3.63,278.84383131799405,275.1283491489885
284.45091744398815,image_stim_n.png,0.7051210229983553,male,42,0.4086961289867759,1.7036686386059527,22,24,jury,neg,12,Monday,32,24,286.14473246899433,0.6940451700065751,288.1731193920132,336,180,1,faceWord_exp,1,29,y,288.58181552099995,4.23,288.87824041501153,285.1449626139947
294.4836236750125,image_stim_n.png,0.6926295110024512,male,42,0.5457993229792919,-0.05916451699915906,22,24,embassy,neu,13,Monday,42,24,296.17771382900537,0.69450345999212,298.20170339901233,336,180,1,faceWord_exp,1,30,y,298.7475027219916,5.3,298.8943329100148,295.1781271350046
304.4989696480043,image_stim_n.png,0.7044968800037168,male,42,0.34132603800389916,3.2148840110758776,22,24,avalanche,neg,12,Monday,32,24,306.19406141500804,0.6955611709854566,310.82281268699444,180,336,1,faceWord_exp,1,31,y,311.16413872499834,4.0,311.52730956699816,305.19453081898973
314.5354392300069,image_stim_n.png,0.7070184909971431,male,42,0.46128441399196163,3.457530661450998,22,24,victim,neg,12,Monday,32,24,316.2270763280103,0.6909834109828807,320.85260788101004,180,336,1,faceWord_exp,1,32,y,321.313892295002,2.05,321.5596263720072,315.22642264098977
324.56478528800653,image_stim_p.png,0.6910017410118598,male,42,0.4614353530050721,-1.0543324261381863,21,24,oak,pos,11,Monday,31,24,326.2609202710155,0.6958935119910166,328.284735697991,336,180,1,faceWord_exp,1,33,b,328.74617105099605,6.47,328.97573743900284,325.26067879999755
334.58200559101533,image_stim_n.png,0.6922501160006505,male,42,0.42847784800687805,1.5906822936049958,22,24,mouse,neg,12,Monday,32,24,336.27658369299024,0.6948410839831922,340.90088022899,180,336,1,faceWord_exp,1,34,y,341.32935807699687,4.8,341.59313034499064,335.2768466749985
344.59727495201514,image_stim_p.png,0.7080653409939259,male,42,0.6950795369921252,-1.7483058493195842,21,24,woman,pos,11,Monday,31,24,346.2939935380127,0.695588874979876,348.31817972799763,336,180,1,faceWord_exp,1,35,b,349.01325926498976,7.09,349.02624506899156,345.292863826995
354.6316913769988,image_stim_n.png,0.6923529109917581,male,42,0.8788685180188622,4.314775126713813,22,24,deceit,neg,12,Monday,32,24,356.3259446079901,0.6940836650028359,358.35016132099554,336,180,1,faceWord_exp,1,36,y,359.2290298390144,2.89,359.0425142319873,355.3257750420016
364.64723125100136,image_stim_p.png,0.6937571110029239,male,42,,-1.1648995537800455,21,24,plum,pos,11,Monday,31,24,366.3428262099915,0.6956807769893203,368.3645060489944,336,180,,faceWord_exp,1,37,,,6.15,369.0582631599973,365.3429120279907
374.6632119110145,image_stim_p.png,0.6916442539950367,male,42,0.3119958520110231,-3.1501939707833047,21,24,happy,pos,11,Monday,31,24,376.35948262299644,0.6951521229930222,378.38377169999876,336,180,1,faceWord_exp,1,38,b,378.6957675520098,8.47,379.0754159539938,375.35836403400754
384.68340804599575,image_stim_p.png,0.7081397419970017,male,42,0.627678165998077,-2.2727319315779937,21,24,pie,pos,11,Monday,31,24,386.3751501470106,0.6921379450068343,388.4007357720111,336,180,1,faceWord_exp,1,39,b,389.0284139380092,6.45,389.1088755140081,385.3755459910026
394.7138368629967,image_stim_n.png,0.70695058000274,male,42,0.6281967910181265,-0.17528733847197087,22,24,rocket,neu,13,Monday,42,24,396.4092478250095,0.694130876014242,401.03348092199303,180,336,1,faceWord_exp,1,40,y,401.66167771301116,5.8,401.7404315019958,395.4079677390109
404.74713957699714,image_stim_n.png,0.7071735700010322,male,42,0.5780757050088141,-0.3369766028281135,22,24,corkscrew,neu,13,Monday,42,24,406.44124170500436,0.6941496370127425,411.06634901900543,180,336,1,faceWord_exp,1,41,y,411.64442472401424,5.26,411.77352258900646,405.4412892140099
414.77868737099925,image_stim_n.png,0.6917523849988356,male,42,0.4121141330106184,2.3815246085651838,22,24,bribe,neg,12,Monday,32,24,416.4742449109908,0.6957019740075339,421.09904269699473,180,336,1,faceWord_exp,1,42,y,421.51115683000535,3.32,421.79079508199356,415.4743893450068
424.79455977500766,image_stim_n.png,0.6919970930030104,male,42,0.4296655149955768,-1.0601571884744718,22,24,fiddle,neu,13,Monday,42,24,426.49066586699337,0.6953213929955382,431.1144788209931,180,336,1,faceWord_exp,1,43,y,431.5441443359887,5.05,431.8064759139961,425.4898811680032
434.82896277398686,image_stim_n.png,0.6927597070171032,male,42,0.5625126819941215,3.3697994362845387,22,24,envy,neg,12,Monday,32,24,436.52366127999267,0.6951371380127966,438.54741836199537,336,180,1,faceWord_exp,1,44,y,439.1099310439895,3.05,439.2401780690125,435.52409991199966
444.8451596960076,image_stim_p.png,0.7043986380158458,male,42,0.757476102997316,-1.2313279950095668,21,24,new,pos,11,Monday,31,24,446.53915758698713,0.6949363979802001,448.56897338299314,336,180,1,faceWord_exp,1,45,b,449.32644948599045,7.68,449.273372021009,445.5400960939878
454.88129017400206,image_stim_n.png,0.6919786210055463,male,42,0.5954612090135925,-0.18281188470513854,22,24,spatula,neu,13,Monday,42,24,456.5740390669962,0.691920229990501,461.1977321250015,180,336,1,faceWord_exp,1,46,y,461.7931933340151,5.14,461.88971074600704,455.57321040399256
464.89529117700295,image_stim_n.png,0.691406753991032,male,42,0.5941439669986721,2.561630339716405,22,24,hospital,neg,12,Monday,32,24,466.5893138590036,0.6938550109916832,471.31457325600786,180,336,1,faceWord_exp,1,47,y,471.90871722300653,3.52,472.0059800099989,465.58914618799463
475.0609467900067,image_stim_p.png,0.7080374219804071,male,42,0.695029964990681,-3.2613064969771037,21,24,fun,pos,11,Monday,31,24,476.8065573700005,0.7459401029918808,478.89817653401406,336,180,1,faceWord_exp,1,48,b,479.59320649900474,8.37,479.60621395599446,475.8068868929986
485.36127190399566,image_stim_n.png,0.6913190579798538,male,42,0.7112306409981102,-1.3575770021145472,22,24,tomato,neu,13,Monday,42,24,487.0555260760011,0.697752865991788,489.0807017440093,336,180,0,faceWord_exp,1,49,b,489.7919323850074,5.8,489.77202080198913,486.05902476998745
495.47694050098653,image_stim_p.png,0.6929065159929451,male,42,0.4133216240152251,-1.0613549170130714,21,24,boat,pos,11,Monday,31,24,497.1729694340029,0.6954451750207227,501.795417841,180,336,1,faceWord_exp,1,50,b,502.20873946501524,6.36,502.48832435699296,496.17238567600725
505.493101147993,image_stim_n.png,0.6939235120080411,male,42,0.6642789280158468,0.5814463879932942,22,24,sandpaper,neg,12,Monday,32,24,507.204987575009,0.7111868399952073,511.8275770469918,180,336,1,faceWord_exp,1,51,y,512.4918559750076,4.95,512.5215005589998,506.2042879879882
515.5262329769903,image_stim_n.png,0.6935673400002997,male,42,0.5305175429966766,1.9014187675556817,22,24,alligator,neg,12,Monday,32,24,517.2380195670121,0.6944095880025998,521.8602209959936,180,336,1,faceWord_exp,1,52,y,522.3907385389903,4.23,522.5537883359939,516.2206425649929
525.5624881249969,image_stim_p.png,0.6926498749817256,male,42,0.3796189099957701,-0.9222259722889368,21,24,beer,neu,13,Monday,41,24,527.2551740960043,0.6917709550180007,529.2787448340096,336,180,1,faceWord_exp,1,53,b,529.6583637440053,5.67,529.9713947089913,526.2542590800149
535.5766636950138,image_stim_p.png,0.6916028969862964,male,42,0.5278205449867528,-1.8465637543339983,21,24,wealthy,pos,11,Monday,31,24,537.2715197170037,0.6945387599989772,539.2957670050091,336,180,1,faceWord_exp,1,54,b,539.8235875499959,6.37,539.9873699019954,536.2712024550128
545.5925835460075,image_stim_p.png,0.6914018039824441,male,42,0.5783132499782369,-0.5907285556577869,21,24,truck,neu,13,Monday,41,24,547.2870753259922,0.6946087350079324,549.3123703520105,336,180,1,faceWord_exp,1,55,b,549.8906836019887,5.16,550.0037721559929,546.2871922810155
555.6083458430076,image_stim_p.png,0.6929356619948521,male,42,0.5467783560161479,-2.1296901000704778,21,24,zoo,pos,11,Monday,31,24,557.3035232939874,0.6944917289947625,561.927380328998,180,336,1,faceWord_exp,1,56,b,562.4741586850141,7.0,562.6203159909928,556.3028375720023
565.6256109469978,image_stim_n.png,0.6931334009859711,male,42,0.5463420919841155,-0.8050043475134195,22,24,famous,neu,13,Monday,42,24,567.3200216940022,0.6943206530122552,571.9435231650132,180,336,1,faceWord_exp,1,57,y,572.4898652569973,5.89,572.6366565659991,566.31993160001
575.641985432012,image_stim_p.png,0.6928913549927529,male,42,0.4802181039995048,0.26215401176465297,21,24,school,neu,13,Monday,41,24,577.3362480610085,0.6943791069788858,579.3765545180067,336,180,1,faceWord_exp,1,58,b,579.8567726220062,5.41,580.0694458729995,576.3363645389909
585.6745713849959,image_stim_n.png,0.695244819013169,male,42,0.7133503179938998,0.98843671158419,22,24,commander,neg,12,Monday,32,24,587.36920461501,0.695344041014323,589.3901764019975,336,180,1,faceWord_exp,1,59,y,590.1035267199914,4.73,590.0854212210106,586.3699154260103
595.693551245,image_stim_p.png,0.7067839670053218,male,42,0.509927327017067,-0.31568469709749714,21,24,tourist,neu,13,Monday,41,24,597.3856885150017,0.6922248080081772,599.428204906988,336,180,1,faceWord_exp,1,60,b,599.938132234005,5.71,600.1349888739933,596.3857760530082
