age,condition,word_label,delay_frames_before,response,img_trigger,session,onset_word,offset_img,scan day,word,no,word_score_warriner,onset_img,duration_frames,rt,key_t,gender,word_trigger,offset_word,img,word_score_pc,delay_frames_after,correct_resp,pause_trigger,pause_trigger_t,ID,duration_measured_img,duration_measured_word
25,faceWord_exp,neu,336,y,22,1,161.70571435599413,168.73750842299341,Monday,truck,17,5.16,168.03111041599914,42,0.5421918509964598,168.5733022669956,female,13,162.40122880299896,image_stim_n.png,-0.5907285556577869,180,1,42,163.4020631309977,77,0.7063980069942772,0.6955144470048253
25,faceWord_exp,neu,336,b,21,1,171.74378487899958,178.7580460659956,Monday,spatula,18,5.14,178.06738994799525,42,0.5123842770044575,178.5797742249997,female,13,172.4392516999942,image_stim_p.png,-0.18281188470513854,180,1,41,173.44028795499617,77,0.6906561180003337,0.6954668209946249
25,faceWord_exp,pos,336,b,21,1,181.76546378399507,188.78030721799587,Monday,moral,19,6.85,188.0890087919979,42,0.31033155499608256,188.399340346994,female,11,182.46019014699414,image_stim_p.png,-1.1443669013398097,180,1,31,183.46151613699476,77,0.6912984259979567,0.694726362999063
25,faceWord_exp,pos,336,b,21,1,191.78620512599446,198.80177579999872,Monday,lake,20,7.13,198.11077352999564,42,0.512765796003805,198.62353932599945,female,11,192.48216278599284,image_stim_p.png,-1.5151286486205269,180,1,31,193.48315363799338,77,0.6910022700030822,0.6959576599983848
25,faceWord_exp,neg,336,y,22,1,201.81008965999354,208.83902914999635,Monday,bribe,21,3.32,208.13451627099857,42,0.2752586259957752,208.40977489699435,female,12,202.50347192299523,image_stim_n.png,2.3815246085651838,180,1,32,203.50450646699755,77,0.7045128789977753,0.6933822630016948
25,faceWord_exp,neu,336,b,21,1,211.84601634299906,218.87818076799886,Monday,rocket,22,5.8,218.1721602069956,42,0.509030214001541,218.68119042099715,female,13,212.54162577399984,image_stim_p.png,-0.17528733847197087,180,1,41,213.54272192599456,77,0.7060205610032426,0.6956094310007757
25,faceWord_exp,neu,180,b,21,1,221.88434776399663,226.31478888499987,Monday,hamster,23,5.88,225.6092510659946,42,0.508252004001406,226.11750306999602,female,13,222.5797081109995,image_stim_p.png,-1.1856791528275217,336,1,41,223.58079722699767,77,0.7055378190052579,0.6953603470028611
25,faceWord_exp,pos,180,b,21,1,231.92162276399904,236.3528115319932,Monday,new,24,7.68,235.64751685499505,42,0.5076014480000595,236.1551183029951,female,11,232.61769359999744,image_stim_p.png,-1.2313279950095668,336,1,31,233.6187498839936,77,0.7052946769981645,0.6960708359983983
25,faceWord_exp,neg,180,y,22,1,241.9609439449996,246.39118611899903,Monday,diplomat,25,4.65,245.68533110899443,42,0.708583224004542,246.39391433299897,female,12,242.6557365589979,image_stim_n.png,0.13451130194660302,336,1,32,243.65690317599365,77,0.7058550100045977,0.6947926139982883
25,faceWord_exp,neu,336,y,22,1,251.99903061699297,259.0302294139983,Monday,field,26,5.73,258.32307653399766,42,0.37600301599741215,258.6990795499951,female,13,252.69380776999606,image_stim_n.png,-0.9990759838186469,180,1,42,253.6949578749991,77,0.707152880000649,0.6947771530030877
25,faceWord_exp,neg,336,y,22,1,262.03682285599643,269.0682793329979,Monday,hospital,27,3.52,268.36070609799935,42,0.5116670849965885,268.87237318299594,female,12,262.7321929789978,image_stim_n.png,2.561630339716405,180,1,32,263.73312689899467,77,0.7075732349985628,0.6953701230013394
25,faceWord_exp,neu,336,b,21,1,272.0768328189952,279.1060061859971,Monday,treaty,28,5.42,278.40053553899634,42,0.6409914690011647,279.0415270079975,female,13,272.7701729729961,image_stim_p.png,-0.7213913907893977,180,1,41,273.77102921799815,77,0.7054706470007659,0.6933401540009072
25,faceWord_exp,pos,180,y,21,1,282.1123892889955,286.5436015549931,Monday,love,29,8.0,285.8375602929955,42,0.9412536130039371,286.7788139059994,female,11,282.8082281349998,image_stim_p.png,-2.40140153221556,336,0,31,283.80932150199806,77,0.7060412619975978,0.6958388460043352
25,faceWord_exp,pos,336,b,21,1,292.1503142369984,299.18272724599956,Monday,pie,30,6.45,298.4771536099943,42,0.42453871999896364,298.90169232999324,female,11,292.84648137699696,image_stim_p.png,-2.2727319315779937,180,1,31,293.8473539309998,77,0.7055736360052833,0.6961671399985789
25,faceWord_exp,neu,180,y,22,1,302.1889960519984,306.61982441699365,Monday,tomato,31,5.8,305.91432325399364,42,0.5409237230051076,306.45524697699875,female,13,302.88485707999644,image_stim_n.png,-1.3575770021145472,336,1,42,303.8854490599988,77,0.7055011630000081,0.6958610279980348
25,faceWord_exp,neg,336,y,22,1,312.22640355899784,319.2580256699948,Monday,mouse,32,4.8,318.5553649289941,42,0.25732536100258585,318.8126902899967,female,12,312.9224499289994,image_stim_n.png,1.5906822936049958,180,1,32,313.92366865599615,77,0.7026607410007273,0.696046370001568
25,faceWord_exp,neu,336,b,21,1,322.26513906299806,329.29700300299737,Monday,school,33,5.41,328.58936577699933,42,0.5789170509960968,329.1682828279954,female,13,322.9606440919961,image_stim_p.png,0.26215401176465297,180,1,41,323.9616281979979,77,0.7076372259980417,0.6955050289980136
